순번,회사명,사업자등록번호,공장대표주소(도로명),위도,경도,업종명,생산품,전화번호,팩스번호,산업단지명,데이터기준일
24,(주)대림프라콘,5028124768,경상북도 김천시 어모면 산업단지로 100,36.15895866,128.1279712,합성수지 및 기타 플라스틱 물질 제조업 외 1 종,"기타 플라스틱 물질 , PET용기, 기타 플라스틱 물질 , PET용기",054-910-7713,054-910-7709,김천제1일반산업단지,2025-12-30
357,실리콘밸리 주식회사,5088115200,경상북도 김천시 공단4길 34(응명동),36.15700428,128.1266454,합성수지 및 기타 플라스틱 물질 제조업 외 1 종,"실리콘 고무성형제품, 실리콘 고무성형제품",054-437-0878,054-437-0879,,2025-12-30
16,(주)나노코,1138540154,경상북도 김천시 어모면 산업단지2로 55,36.16357913,128.1224435,합성수지 및 기타 플라스틱 물질 제조업,"Phenol 수지, 주물용 주제",054-437-6331,054-437-6320,김천제1일반산업단지,2025-12-30
65,(주)서일,5108108740,경상북도 김천시 감문면 감문로 1029-29,36.21469533,128.1763999,합성수지 및 기타 플라스틱 물질 제조업,"FRP 로드, 광 중심선",054-439-4125,054-439-4127,김천감문농공단지,2025-12-30
92,(주)에스씨씨,5108125564,경상북도 김천시 감문면 감문로 1029-17,36.21370361,128.176609,합성수지 및 기타 플라스틱 물질 제조업,광케이블,054-439-4124,054-439-4127,김천감문농공단지,2025-12-30
106,(주)엘지화학,1078198139,"경상북도 김천시 공단로 152-26 (대광동, LG화학김천공장) 외 1필지",36.14673398,128.1387637,합성수지 및 기타 플라스틱 물질 제조업,"합성수지, 재생섬유",054-420-1900,054-420-1809,,2025-12-30
218,금용산업(주),5108106704,"경상북도 김천시 공단4길 55 (응명동, (주)금용산업)",36.15797151,128.1239573,합성수지 및 기타 플라스틱 물질 제조업,비금속 재생,054-439-2068,054-439-2069,,2025-12-30
333,서일전자산업,5102161682,경상북도 김천시 감문면 감문로 1029-23,36.21447816,128.1769778,합성수지 및 기타 플라스틱 물질 제조업,"바인드테잎(필름), C M/B",054-439-4125,054-439-4127,김천감문농공단지,2025-12-30
548,코오롱바스프이노폼 주식회사,5228800283,경상북도 김천시 공단3길 64,36.15207007,128.1304493,합성수지 및 기타 플라스틱 물질 제조업,"POM(폴리아세탈, 엔지니어링플라스틱), Acetal, PBT",054-420-8356,054-420-8360,,2025-12-30
552,코오롱이앤피(주),5108105710,경상북도 김천시 공단3길 64 (응명동),36.15207007,128.1304493,합성수지 및 기타 플라스틱 물질 제조업,합성수지,054-420-8356,054-420-8371,,2025-12-30
553,코오롱인더스트리(주)  김천2공장,5108506978,"경상북도 김천시 공단로 128(대광동, (주)코오롱 김천공장)",36.14535571,128.13815,합성수지 및 기타 플라스틱 물질 제조업,"하이레놀, 하이록시 수지",054-420-0116,054-420-1090,,2025-12-30
49,(주)명진에코화이바,5088134231,경상북도 김천시 어모면 산업단지6로 41,36.16496227,128.1351948,합성섬유 제조업 외 1 종,폴리에스테르 섬유,070-4157-5940,053-5587-7669,김천제1일반산업단지,2025-12-30
332,서우첨단소재 주식회사,6458600864,경상북도 김천시 공단로 190 (대광동),36.14769645,128.1325645,합성섬유 제조업 외 1 종,"PET단섬유(자동차용 내장제품 소재용), 매트리스 및 의류용 충전재, 기타 산업용 섬유",054-434-8830,054-434-8831,김천대광농공단지,2025-12-30
340,성화비닐,5100226156,경상북도 김천시 남면 초곡1길 12,36.13990348,128.1841869,합성섬유 제조업,농업용비닐,054-433-0825,054-433-0826,,2025-12-30
545,케이에이에프 주식회사,6468801399,경상북도 김천시 공단로 213 (응명동),36.1453208,128.1291489,합성섬유 제조업,"섬유 PP 스테플, Bico Staple Fiber(단섬유)",054-420-3080,054-420-3096,,2025-12-30
408,이솔화학 주식회사,5108134312,경상북도 김천시 공단4길 21 (응명동) 외 1필지,36.15521507,128.122497,플라스틱 필름 제조업 외 5 종,"자동차용 디스플레이 필름, E-Glass 및 flexible glass",054-434-2611,054-434-2617,김천제1일반산업단지,2025-12-30
407,이솔화학 주식회사,5108134312,경상북도 김천시 어모면 산업단지1로 62,36.15553179,128.1212639,플라스틱 필름 제조업 외 3 종,"고경도필름, 광학필름, 자동차 전장용 기능성 필름 제조 및 가공",054-434-2611,054-434-2617,김천제1일반산업단지,2025-12-30
246,늘푸른태양,5100464358,경상북도 김천시 아홉사리길 103 (응명동) (총 2 필지),36.15034428,128.1173551,플라스틱 필름 제조업 외 1 종,"농산물포장재, 일반플라스틱, 시트, 판 등, 농산물포장재, 일반플라스틱, 시트, 판 등",054-436-8791,054-431-2302,,2025-12-30
289,라진F&P,5020253953,경상북도 김천시 어모면 산업단지4로 80,36.16222499,128.1328448,플라스틱 필름 제조업 외 1 종,PE필름,054-977-0191,054-977-0192,김천제1일반산업단지,2025-12-30
512,주식회사 태양,5108129411,경상북도 김천시 감천면 금감로 1532-26 외 3필지,36.06433054,128.1284932,플라스틱 필름 제조업 외 1 종,"포장완충재, 농산물포장자재, 포장완충재, 농산물포장자재",054-436-8791,054-431-2302,,2025-12-30
525,주식회사 효성그리드,1968100066,경상북도 김천시 감천면 광기길 176,36.08149877,128.1300204,플라스틱 필름 제조업 외 1 종,"지오그리드, 토목용보강재, 지오그리드, 토목용보강재",031-434-9853,054-434-9854,,2025-12-30
373,에스케이마이크로웍스 주식회사,8378103335,경상북도 김천시 응명동 1002-2,36.14726098,128.1269296,플라스틱 필름 제조업,폴리에스터 필름(PET),054-429-7625,054-429-7667,,2025-12-30
46,(주)레인보우,5108124677,경상북도 김천시 농소면 용암1길 3-80,36.07708707,128.1692059,"플라스틱 포대, 봉투 및 유사제품 제조업",바이오 진공봉투,,054-437-5312,,2025-12-30
421,정보테크,5131724296,경상북도 김천시 아포읍 포아로 348-5,36.18227326,128.269303,"플라스틱 포대, 봉투 및 유사제품 제조업","산업용, 포장용 필름",054-437-1346,054-437-1345,,2025-12-30
522,주식회사 한빛테크,5138156940,경상북도 김천시 아포읍 포아로 21 외 2필지,36.16289343,128.2580438,"플라스틱 포대, 봉투 및 유사제품 제조업","플라스틱 포대, 봉투, 반도체용 필름",054-434-2926,054-433-2927,,2025-12-30
576,하나필름,1392201463,경상북도 김천시 남면 농남로 1089,36.06579656,128.2702578,"플라스틱 포대, 봉투 및 유사제품 제조업","플라스틱 포대, 봉투",054-431-1150,054-431-1152,,2025-12-30
202,감문종합창호,5100499497,경상북도 김천시 봉산면 봉산1로 185 외 1필지,36.14623169,128.0409503,플라스틱 창호 제조업 외 2 종,플라스틱 및 알미늄 창호,054-431-4415,054-430-4415,,2025-12-30
150,(주)지바사,5108136606,경상북도 김천시 체육공원길 120(덕곡동),36.12035741,128.1499589,플라스틱 창호 제조업,플라스틱 창호 제조업,054-431-8883,054-430-9317,,2025-12-30
399,유니텍(주),5088113309,경상북도 김천시 아포읍 아포공단길 80,36.16679759,128.2531103,플라스틱 접착처리 제품 제조업 외 1 종,휴대전화케이스 코팅,054-910-1020,,김천아포농공단지,2025-12-30
541,창진테이프,5100146193,경상북도 김천시 남면 농남로 558 외 1필지,36.09260354,128.2258969,플라스틱 접착처리 제품 제조업 외 1 종,"OPP 테이프, OPP 테이프",054-437-6661,054-437-6662,,2025-12-30
455,주식회사 샤인네트웍스,3698601805,"경상북도 김천시 혁신8로 5, 5층 512호(율곡동, 율곡테크노밸리) 5층 512호",36.12753253,128.1816803,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업 외 2 종","금형제조 시제품, LED",054-910-0202,054-910-0204,,2025-12-30
141,(주)재영 김천2공장,7648500514,경상북도 김천시 지례면 지례공단길 15,35.97630339,128.0253795,플라스틱 시트 및 판 제조업 외 1 종,"PVC시트, PVC타일, LVT타일, PVC시트, PVC타일, LVT타일",054-435-7377,054-435-7381,김천지례농공단지,2025-12-30
44,(주)디에스에스,2438701136,경상북도 김천시 아포읍 아포공단길 59,36.16609367,128.2535415,"플라스틱 선, 봉, 관 및 호스 제조업 외 2 종","플라스틱 포장용 밴드, 플라스틱 포장용 밴드, 플라스틱 포장용 밴드",054-434-0712,054-434-0711,김천아포농공단지,2025-12-30
389,영진산업 주식회사,5108109074,경상북도 김천시 어모면 산업단지4로 5,36.15797652,128.1277251,"플라스틱 선, 봉, 관 및 호스 제조업 외 1 종","합성수지파형관,합성수지제가요전선관,COD관,SCD관, 표장용 종이상자",054-433-8956,054-433-8958,김천제1일반산업단지,2025-12-30
116,(주)오씨엠,5108111279,경상북도 김천시 감문면 감문로 1029-23,36.21447816,128.1769778,"플라스틱 선, 봉, 관 및 호스 제조업","광케이블중심코팅제,보강제",054-439-2441,054-439-4127,김천감문농공단지,2025-12-30
297,명성산업(주),8418500261,경상북도 김천시 어모면 산업단지6로 55,36.16497192,128.1346279,표면처리 및 적층 직물 제조업 외 4 종,타포린,054-432-9339,054-436-6361,김천제1일반산업단지,2025-12-30
88,(주)아주화학,5108123794,경상북도 김천시 봉산면 상금길 351,36.16670156,128.0365596,표면 가공 목재 및 특정 목적용 제재목 제조업 외 3 종,"제재목, 오일스테인 외, 오일스테인 외, 오일스테인 외",054-439-5200,054-439-5202,,2025-12-30
108,(주)영남환경,5928602739,경상북도 김천시 남면 농남로 657-10,36.0908619,128.2362859,표면 가공 목재 및 특정 목적용 제재목 제조업,"목재 분쇄품, 톱밥, 우드펠릿",054-435-7848,054-436-7848,,2025-12-30
547,코스파 주식회사,3038105562,경상북도 김천시 공단로 152-19 (대광동),36.14687248,128.135908,폴리스티렌 발포 성형제품 제조업 외 1 종,"EPP 성형품, EPP 성형품",054-439-7272,054-439-7602,,2025-12-30
247,다다마 주식회사,2388802111,경상북도 김천시 어모면 산업단지7로 135,36.16754059,128.1346435,포장용 플라스틱 성형용기 제조업 외 2 종,"플라스틱 제품, 합성수지",054-976-0000,,김천제1일반산업단지,2025-12-30
355,신흥건업,5108105699,경상북도 김천시 아포읍 지동길 203,36.19170174,128.2392922,펄프 제조업,목재창호,054-434-4868,054-434-4869,,2025-12-30
269,대윤지오텍(주),1058693297,경상북도 김천시 아포읍 아포공단길 123,36.16501867,128.250448,특수 직물 및 기타 직물 직조업,토목섬유,070-7432-7271,054-436-0812,김천아포농공단지,2025-12-30
336,서진,5100117233,"경상북도 김천시 공단로 101 (대광동, 서진화섬(주))",36.14201222,128.1378774,특수 직물 및 기타 직물 직조업,가연사,054-431-1611,054-431-1615,김천대광농공단지,2025-12-30
582,한능,5108500858,경상북도 김천시 하로길 30 (양천동),36.09749487,128.1145325,특수 직물 및 기타 직물 직조업,견직물,054-435-3300,054-435-3306,,2025-12-30
602,형제컨테이너2,2820502395,경상북도 김천시 남면 영남대로 2878,36.09148108,128.2376537,트레일러 및 세미트레일러 제조업,콘테이너(운송용),,,,2025-12-30
268,대우써머스 주식회사,1368701269,경상북도 김천시 어모면 산업단지3로 63,36.16584776,128.1249591,텔레비전 제조업 외 2 종,"텔레비전, 전자칠판, 모니터",,054-910-5553,김천제1일반산업단지,2025-12-30
32,(주)대우테크,1238649765,경상북도 김천시 어모면 산업단지3로 63,36.16584776,128.1249591,텔레비전 제조업,텔레비전,054-910-5522,070-7618-8020,김천제1일반산업단지,2025-12-30
588,한우물캡,2730201372,경상북도 김천시 어모면 어모로 133-14 외 2필지,36.16994104,128.1146613,"탭, 밸브 및 유사장치 제조업 외 2 종","지하수상부보호공, 수위조절기, 신축관이음",054-435-6636,054-435-6637,,2025-12-30
200,가온씨앤씨,1823600714,경상북도 김천시 어모면 산업단지1로 34-8,36.15512043,128.1180625,"탭, 밸브 및 유사장치 제조업",상부보호공,070-8864-5432,,김천제1일반산업단지,2025-12-30
259,대룡금속,5100498542,경상북도 김천시 대항면 대룡1길 169-4 외 2필지,36.12795019,128.049173,"탭, 밸브 및 유사장치 제조업",수도꼭지,054-436-7401,054-436-7410,,2025-12-30
441,주식회사 다름,5098803161,경상북도 김천시 대항면 대룡1길 169-4,36.12795019,128.049173,"탭, 밸브 및 유사장치 제조업",수도꼭지,054-436-7401,054-436-7410,,2025-12-30
542,청정씨앤씨,6137700282,경상북도 김천시 어모면 산업단지1로 34-7,36.15509358,128.1178735,"탭, 밸브 및 유사장치 제조업",상보보호공,031-297-0282,,김천제1일반산업단지,2025-12-30
107,(주)엘티,3128650085,경상북도 김천시 봉산면 신암3길 59-25 외 4필지,36.17347585,128.0088053,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 6 종","콘크리트데크, 수목보호판 등, 목재덱, 목재난간(디자인형울타리), 콘크리트데크, 수목보호판 등, 콘크리트데크, 수목보호판 등, 콘크리트데크, 수목보호판 등, 콘크리트데크, 수목보호판 등, 콘크리트데크, 수목보호판 등",041-415-0081,02-6499-7874,,2025-12-30
133,(주)일신콘크리트,5108124736,경상북도 김천시 감문면 문화로 424-5 외 2필지,36.22202881,128.1298436,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 4 종","벤치플룸,철근콘크리트 용배수로관, 콘크리트 호안 및 옹벽블록",054-434-1473,054-434-1475,,2025-12-30
145,(주)제이에스에스,8288701204,경상북도 김천시 남면 영남대로 3123-15,36.08011801,128.2581824,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종","유리섬유벽돌, 보강토, 식생블럭, 유리섬유벽돌, 보강토, 식생블럭",,,,2025-12-30
255,대덕벽돌,5102262640,경상북도 김천시 대덕면 남김천대로 1071,35.94218172,127.9874057,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종","벽돌, 불럭, 벽돌, 불럭",054-434-3878,054-434-3879,,2025-12-30
511,주식회사 태성콘텍,3548801340,경상북도 김천시 감문면 문화로 429-19 외 5필지,36.22178195,128.1247265,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종","콘크리트블록, 콘크리트블록",054-433-8668,054-433-8667,,2025-12-30
583,한성벽돌,5100560946,경상북도 김천시 농공단지길 20-5 (신음동),36.13221005,128.1344492,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종",벽돌,054-432-1199,,,2025-12-30
136,(주)자연과학,5108117399,경상북도 김천시 농소면 용시길 100,36.11416976,128.1733072,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 2 종,"콘크리트 식생 블록, 콘크리트 식생 블록, 콘크리트 식생 블록",054-433-5805,054-433-5806,,2025-12-30
58,(주)부영,5108124401,경상북도 김천시 개령면 오송길 128-85,36.14730835,128.1552892,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,"철강 보강 콘크리트 제품, 철강 보강 콘크리트 제품",054-435-5300,054-435-5885,,2025-12-30
73,(주)세원콘크리트,5108115974,경상북도 김천시 봉산면 영남대로 830-24,36.13742119,128.0267342,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,"콘크리트 제품, 콘크리트 제품",054-433-9002,054-433-9004,,2025-12-30
120,(주)우리이앤씨,2158773988,경상북도 김천시 봉산면 신암리 680-9번지,36.17074486,128.009672,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,프리케스트 콘크리트 암거박스,02-421-9413,02-421-9414,,2025-12-30
208,광천산업개발 주식회사,3058163331,경상북도 김천시 봉산면 봉산로 290-9 (총 2 필지) 외 1필지,36.18304728,128.0117083,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,"철근콘크리트 플륨 및 벤치플륨(시멘트 2차제품), 철근콘크리트 플륨 및 벤치플륨(시멘트 2차제품)",054-432-9377,0504-435-9377,,2025-12-30
312,보성산업 주식회사,5388100033,경상북도 김천시 남면 부상길 432 외 3필지,36.06323825,128.2445617,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,"철근가공 / 맨홀, 철근가공 / 맨홀",054-435-9760,054-437-9621,,2025-12-30
320,삼보기업 주식회사,3098107743,경상북도 김천시 남면 부상길 426,36.06282977,128.2459702,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,"수로관, 형틀, 조립식 맨홀, 수로관, 형틀, 조립식 맨홀",054-435-9760,054-437-7621,,2025-12-30
322,삼성파워텍 주식회사,5048170424,경상북도 김천시 남면 부상길 472-6,36.06215872,128.2435704,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,"조립식 맨홀, 조립식 맨홀",054-437-7620,054-437-7621,,2025-12-30
589,한일콘텍(주),5108125415,경상북도 김천시 아포읍 아포1로 140 외 4필지,36.18018488,128.233954,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,"수로관, 벤취플룸관, 콘크리트 블록 등, 수로관, 벤취플룸관, 콘크리트 블록 등",054-434-4006,054-434-4077,,2025-12-30
138,(주)장용,3378600508,경상북도 김천시 봉산면 신암3길 59-25,36.17347585,128.0088053,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업,콘크리트 제품(식생옹벽블럭 등),02-6932-4484,02-6499-4484,,2025-12-30
495,주식회사 이엠테크,7068102615,경상북도 김천시 농소면 용시길 100,36.11416976,128.1733072,코르크 및 조물제품 제조업 외 3 종,"콜크텍스, 건축자재",033-643-4479,033-652-5583,,2025-12-30
213,그림책보호작업장,5108268901,경상북도 김천시 봉산면 광천5길 80,36.20518329,128.0079309,커피 가공업,커피믹스,054-430-9494,,,2025-12-30
261,대산 블라인드,6522801099,경상북도 김천시 남면 아포대로 456-5,36.14381013,128.1873631,커튼 및 유사제품 제조업,"블라인드, 버티컬",054-431-4502,054-431-4503,,2025-12-30
372,에스엠테크,8066900481,"경상북도 김천시 혁신로 288-5, 3층 307호 (율곡동) 3층 307호",36.1261074,128.182388,커튼 및 유사제품 제조업,블라인드,054-434-0620,054-434-0621,,2025-12-30
465,주식회사 아라,4338700763,경상북도 김천시 감문면 감문로 1029-46,36.21511739,128.1774352,"체조, 육상 및 체력단련용 장비 제조업 외 4 종","운동기구,놀이시설,체육시설물,재생칩,고형연료칩, 운동기구,놀이시설,체육시설물,재생칩,고형연료칩, 운동기구,놀이시설,체육시설물,재생칩,고형연료칩, 운동기구,놀이시설,체육시설물,재생칩,고형연료칩, 운동기구,놀이시설,체육시설물,재생칩,고형연료칩",054-435-0763,054-435-0765,김천감문농공단지,2025-12-30
55,(주)베스트엔지니어링,5158122562,경상북도 김천시 어모면 어모로 739-50 외 22필지,36.21185153,128.1043243,철도차량 부품 및 관련 장치물 제조업 외 3 종,"철도용 분기기, 철도용 분기기, 철도용 분기기, 철도용 분기기",055-911-1599,054-435-2320,,2025-12-30
20,(주)다원넥스트 1공장,5038607694,경상북도 김천시 어모면 산업단지로 263,36.16763432,128.1393233,철도차량 부품 및 관련 장치물 제조업 외 1 종,"철도차량부품 및 관련장치, 철도차량부품 및 관련장치",054-716-2124,070-7545-2665,김천제1일반산업단지,2025-12-30
102,(주)에이치티씨,6648700635,"경상북도 김천시 혁신로 303, 3층 305호 (율곡동)",36.1275612,128.1806138,철도차량 부품 및 관련 장치물 제조업 외 1 종,"Train Harness, Wire Harness",054-716-1230,050-5718-1230,,2025-12-30
93,(주)에스앤에이,6438600607,"경상북도 김천시 혁신로 303, 309호(율곡동, 지텍지식산업센터)",36.1275612,128.1806138,철도차량 부품 및 관련 장치물 제조업,철도차량부품,054-435-0607,054-436-0607,,2025-12-30
469,주식회사 에스앤에이,6438600607,경상북도 김천시 어모면 산업단지7로 111,36.1679612,128.1372564,철도차량 부품 및 관련 장치물 제조업,철도차량부품,054-435-0607,054-436-0607,김천제1일반산업단지,2025-12-30
490,주식회사 위드샤인코리아,8458602119,"경상북도 김천시 혁신로 303, 305호(율곡동, 지텍지식산업센터)",36.1275612,128.1806138,철도차량 부품 및 관련 장치물 제조업,ACB BOX,054-716-1230,0505-718-1233,,2025-12-30
387,영농조합법인 우암농산,5108120856,경상북도 김천시 체육공원길 109-16 (덕곡동),36.12143939,128.1496277,천연 및 혼합조제 조미료 제조업,조미료제조업,054-436-5646,,,2025-12-30
501,주식회사 진성바이오,8958700919,경상북도 김천시 아포읍 국사리 59-8,36.16216534,128.2571411,천연 및 혼합조제 조미료 제조업,조미료(시즈닝),054-800-7088,054-800-7089,,2025-12-30
540,참나라식품,5041318832,경상북도 김천시 어모면 산업단지6로 80,36.16626408,128.1316846,천연 및 혼합조제 조미료 제조업,"프리믹스, 소스류",054-436-9979,054-437-9978,김천제1일반산업단지,2025-12-30
313,부광사,5100344976,경상북도 김천시 남면 사모실길 47-31,36.07446937,128.2570092,"천막, 텐트 및 유사 제품 제조업 외 2 종"," 차광망, 동력가지절단기",054-436-4601,054-436-4602,,2025-12-30
419,전국하나특장,2292069613,경상북도 김천시 농공단지2길 12 (신음동),36.13209478,128.1327713,차체 및 특장차 제조업,윙바디,064-437-6803,054-437-6804,,2025-12-30
244,농업회사법인(주)카리,1988701011,경상북도 김천시 봉산면 봉산1로 30-54,36.14851483,128.0318723,차류 가공업 외 3 종,"茶류 및 기타식품(선식,발효차)",054-430-8954,053-289-1389,,2025-12-30
