업체명,전화번호,본사 소재지(도로명),산업분류,주생산품
(주)에스알엔디,054-604-0728,경기도 용인시 처인구 남사면 완장천로 118-22,27199,연료전지
(주)에스에스테크,054-465-1905,경상북도 구미시 1공단로10길73-5,29199,설계조립
(주)에스엠제이,054-471-7043,경상북도 구미시 수출대로7길68-15,29294,자동차 
(주)에스엠지,054-461-5227,경상북도 구미시 수출대로3길 68-41,26299,기계부품(셔프링기)
(주)에스와이텍,054-456-5727,경상북도 구미시 4공단로 131 (구포동)제2-2동2호,26299,반도체 부품
(주)에스제이컴퍼니글로벌,02-497-1302,"서울특별시 성동구 성수이로 118, 204호 (성수동2가, 성수아카데미타워)",15219,신발제작포장
(주)에스케이테크,054-474-9706,경상북도 구미시 3공단3로 196-17 (진평동),29272,LCD검사장비
(주)에스텍머터리얼즈,054-473-9132,경상북도 구미시 4공단로 249-18,26129,석영
(주)에스티,054-604-2288,"경상북도 의성군 금성면 동부로 2280, 1층",13219,산업용직물
(주)에이스인텍,054-471-3554,경상북도 구미시 산동읍 동곡3길 45(동곡리),13999,토목섬유
(주)에이스인팩,054-461-8230,경기도 화성시 양감면,16232,수출포장
(주)에이씨티,054-476-7800,경상북도 구미시 산동면 첨단기업5로 109-32,29271,자동화장비
(주)에이아이티,054-716-2105,경상북도 구미시 1공단로7길 58-8,26222,반도체의료기판 검사
(주)에이앤디,054-604-2015,경상북도 구미시 1공단로 212 한라시그마밸리 518호,28119,전원공급기
(주)에이원스,054-473-0060,경상북도 구미시 산호대로 130-60 (공단동),29299,자동차검사장비
(주)에이치비티,,경상북도 구미시 산호대로187 602호,26111,전기계측모델
(주)에이치앤 (HN),054-453-8100,경상북도 구미시 3공단 3로 196-19,16232,목재 수출보장용 상자
(주)에이치엔티시스템,054-476-6574,경상북도 구미시 수출대로9길26-42,25924,자동화장비
(주)에이치티씨아이앤디,054-716-0071,경상북도 구미시 산호대로 104-116 (공단동),28303,TV 자재생산
(주)에이티에스,054-471-9696,경상북도 구미시 산동읍 첨단기업로 79,29299,디스플레이 장비제조
(주)에이피솔루션,,경상북도 구미시 1공단로 212 한라시그마벨리 1820호,29272,OLED 구동시스템
(주)에이피아이앤씨,054-604-0099,경상북도 구미시 4공단 7길 23-31,29199,대기압 플라즈마
(주)에코그라운드,063-223-0477,전라북도 전주시 완산구 메너머3길 33-2,22299,인조잔디
(주)에코플럭스,,경상북도 구미시 고아읍 농공단지길 45,28422,OLED 조명패널
(주)에프앤씨,054-471-5958,경상북도 구미시 산동읍 산호대로 1324-14,24119,G/S철강재철단품
(주)엑스엠(Xm),054-716-2500,경상북도 구미시 산동읍 첨단기업5로 10-107,26519,차량용 모니터
(주)엔디케이,,"경상북도 구미시 1공단로 212, 708호",29280,계측기
(주)엔티이엔지,054-476-6691,경상북도 구미시 첨단기업 5로 109-50,25113,장비 프레임
(주)엘에스비,054-476-0365,"경상북도 구미시 1공단로 212, 한라시그마밸리 1013호 ",29222,푸르3D프린터
(주)엘엔케이금속,054-475-2088,경상북도 구미시 수출대로9길26-42,25929,알루미늄가공
(주)엘케이기술,054-716-1141,경상북도 구미시 옥계2공단로 28,23212,강화유리
(주)엘케이솔루션,054-476-6466,경상북도 구미시 산동읍 첨단기업5로 48-20,29279,경화장비
(주)아바코,070-8660-8800,대구광역시 달서구 성서 4차 첨단로 160-7,26211,"LCD장비, OLED장비, 태양광장비"
(주)엠시큐브,054-472-8092,경상북도 구미시 3공단 3로 196-25,10749,식품첨가물
(주)엠씨씨바이오,02-464-3377,서울특별시 성동구 연무장 11길 15,21300,살균제
(주)엠아이피,054-463-9580,경상북도 구미시 수출대로3길 68-45,29299,플라스틱안경부품
(주)엠피하이테크,054-473-1406,경상북도 구미시 산호대로 104-86,26299,servo motor
(주)영남테크,,경상북도 구미시 수출대로 9길 26-3,26429,휴대폰 부품
(주)영진텍,054-462-6655,경상북도 구미시 수출대로7길26-7 공유지분,25924,기계가공부품
(주)영진화섬,054-471-8567,경상북도 구미시 산동읍 동곡3길 21,13229,섬유
(주)영호엔지니어링,054-715-6856,경상북도 구미시 산동읍 첨단기업2로 18-24,29299,자동화 물류라인
(주)오리온,054-461-5956,경상북도 구미시 1공단로 217,26219,"기성품 판매(냉장고, TV)"
(주)오리온엔이에스,054-460-5953,경상북도 구미시 1공단로 217,26299,전기변색디바이스
(주)오성물산,054-472-0775,경상북도 구미시  옥계2공단로1길 5 (구포동),20421,세정제
(주)오알시솔루션,054-471-0165,경상북도 구미시 3공단 3로 118-21,20119,xp263tmr
(주)오창이엔씨,054-476-8830,경상북도 구미시 1공단로 238,28122,전기공사
(주)오토피엠테크,054-604-3842,경상남도 밀양시 삼랑진읍 만어로 305,30400,자동차 도어스텝
(주)와이앤와이,054-463-0418,"경상북도 구미시 수출대로 152, 3층 308호 (공단동)",26299,자동차 디스플레이 검사장비
(주)와이에이치시스템,,경상북도 구미시 1공단로 237-18 (공단동),28909,기계정비자동화 장비제작
(주)와이즈드림,054-478-8282,"경상북도 구미시 첨단기업1로 17, 306호. 구미전자 정보기술 혁신관",26421,영상감시장치
(주)와이즈컴,054-472-6431,서울특별시 금천구 범안로 1126. 1201호,26299,tv led driver
(주)와이케이  ,054-451-6002,"경상북도 구미시 임수동 92-30 경북경제진흥원 6, 8층",20129,세정제
(주)우진WTP,054-465-7576,경상북도 구미시 산호대로 116-66,30320,자동차단자부품
(주)우진이엔피,054-476-0013,경상북도 구미시 산동읍 첨단기업5로 77-28,23222,송전용현수애자
(주)우진크린텍,054-458-4248,경상북도 구미시 고아읍 문성12길 29-13,14192,방진복부속품
(주)월드테크,054-473-2770,경상북도 구미시 산동읍 첨단기업7로 98-28,25924,기계가공품
(주)윈텍스,054-476-5441,경상북도 구미시 옥계동 2공단로 42,13213,메쉬
(주)윌닉스,054-465-4801,경상북도 구미시 1공단로 6길 103-29,22251,스티로폼 포장재
(주)유니온보드,054-465-0065,경상북도 구미시 비산으로 135 ,22229,유니온보드
(주)유비샘,054-476-6631,"서울특별시 마포구 가산디지털 1로 205-27 가산 A1타워, 427호",26219,소프트웨어
(주)유일,054-471-2448,경상북도 구미시 1공단로 6길 64-23,29299,반도체 기계 설비업
(주)유텍,070-4496-1000,대전광역시 유성구 반석로 10 (반석동) 반석역프라자 8층 801호,29299,레이저펴적지시기
(주)윤금사,054-715-3604,대구광역시 북구 오봉로 36길 82-1,30399,자동차부품
(주)윤하이테크,054-471-0784,"경상북도 구미시 첨단기업3로 54-7, 8-1동",25924,SHAFT
(주)은성하이텍,054-475-9839,경상북도 구미시 장천면 장군로 165,28422,조명기타
(주)이니셜텍,070-7776-3320,"경기도 성남시 중원구 사기막골로 45번길 14, A동 1510호",33339,세제
(주)이래알앤디,054-475-5222,경상북도 구미시 산동읍 첨단기업5로 109-14,해당없음,임대업
(주)이래코리아,054-475-5222,경상북도 구미시 산동읍 첨단기업5로 109-14,29272,평판디스플레이 제조용기계
(주)이송이엠씨,054-715-2751,서울특별시 금천구 가산디지털 1로 145 1804호,26422,흡수체
(주)이엔에이치,054-471-6332,경상북도 구미시 산동읍 첨단기업 5로 139-54,29172,공진 및 클린류
(주)이원,054-463-8540,경상북도 구미시 1공단로5길40,25914,자동차부품금형
(주)이지엠테크,054-473-9420,경상북도 구미시 1공단로 86-20,28422,LED투광
(주)일각금속,054-716-1414,대구광역시 북구 노원로 96,25924,알루미늄스틸가공
(주)일진전자산업,054-453-1926,경상북도 구미시 수출대로223,28301,케이블조립체
(주)재영텍,070-8881-4006,경상북도 구미시 산동읍 첨단기업로 85,20129,탄산리튬
(주)정광테크 본사,054-475-5967,경상북도 구미시 옥계2공단로 179-54(구포동),27309,반도체용 석영유리가공
(주)정성이엔지,,경상북도 구미시 수출대로 7길 68-9,29299,모듈블럭
(주)정우하이테크놀러지,054-465-8088,경상북도 구미시 산호대로 104-27,29294,금형부품
(주)제이씨에스인터내셔날,054-461-9567,경상북도 구미시 수출대로3길 68-45,27193,안경테
(주)제이에스엠,054-465-9595,경상북도 구미시 1공단로10길 91-1,27199,수액셋트
(주)제이에이치텍,,경상북도 구미시 비산으로 135  1층,24222,방열판
(주)제이에이치환경산업,054-600-1387,경상북도 구미시 산동읍 첨단기업 7로 98-12,29174,산업용필터
(주)제이엔씨,054-463-7766,경상북도 구미시 산호대로 116-20,29294,자동화장비
(주)제이엔텍,054-461-3639,경상북도 구미시 수출대로7길26-11,29299,sealing자동화설비
(주)제이엘씨,054-472-8180,경상북도 구미시 산동읍 첨단기업5로 10-73,25999,금형
(주)제이엠테크,054-462-0935,경상북도 구미시 산호대로 130-53,25924,휴대폰검사지그
(주)중부공조 구미지점,054-456-6666,경상북도 구미시 구미칠성로33,29199,기계가공
(주)지그탑,054-464-4220,경상북도 구미시 산호대로 154-32,26429,휴대폰S/W검증
(주)지에스디(GSD),054-461-7188,경상북도 구미시 산동읍 첨단기업7로 17,26322,산업용LCD
(주)지에스알텍,054-475-0983,경상북도 구미시 장천면 하장3길 113,24222,알류미늄가공
(주)지엔,054-464-2785,경상북도 구미시 산호대로 104-116,26329,세정제
(주)지엠글로벌,,경상북도 구미시 수출대로225,20413,완충재
(주)지오모바일,054-453-3005,경상북도 구미시 산동읍 첨단기업5로 10-69,30203,이동식 화장실
(주)지원메카텍,054-476-2340,경상북도 구미시 산호대로 402,25944,"자동화기계부품(샤프트, 롤러 브라켓)"
(주)지원산업,054-464-9992,경상북도 구미시 산호대로236,25931,"emi테이프,가스켓"
(주)지위스,054-473-6974,경상북도 구미시 1공단로 86-20,29299,금형부품
(주)지테크,053-463-4980,경상북도 구미시 수출대로 9길 26-39,28909,도광판
(주)지티스,054-482-2345,경상북도 구미시 1공단로 4길 141-30,23129,전자제품 배강도유리생산
(주)지피솔루션,054-463-7173,경상북도 구미시 수출대로 5길 15,25929,휴대폰 부품
(주)진명아이앤씨 구미지사,053-381-2100,대구광역시 달성군 현풍면 테크노대로 62,26421,방송음향기계
(주)진석테크윈,054-452-3800,경상북도 구미시 고아읍 들성로 9길 32-91,26410,유선통신기기
(주)진성시스템,054-473-0875,경상북도 구미시 산호대로 154-12,28119,휴대폰JIG검사
(주)진우엔지니어링,,경상북도 구미시 수출대로 217-13,29299,자동화장비 제작
(주)진테크놀리지,054-464-5484,경상북도 구미시 옥계2공단로 29 11동,29299,Beam
(주)창인테크,054-462-3314,경상북도 구미시 1공단로 6길 39-20,29223,Jig부품
(주)창조테크,054-462-9600,경상북도 구미시 산호대로 354-40,30220,배터리
(주)천지디엔씨,,경상북도 구미시 수출대로5길15,25924,금형부품(휴대폰)
(주)청호(엔지니어링),054-473-3901,경상북도 구미시 산동읍 동곡3길 28,25929,소방배관
(주)칠성,054-462-1799,경상북도 구미시 3공단로 89-36(시미동),29271,고무제조업
(주)컨셉션,054-714-1994,경상북도 구미시 1공단로 217,29221,전자부품용 방열패트
(주)케이알엘이디,054-468-6300,경상북도 구미시 3공단 2로 137,28422,조명기기
(주)케이엔테크,054-476-0240,"경상북도 구미시 3공단1로 301, 205호(동락상가본관동) (임수동)",19102,수처리 기기배전반
(주)케이엠,054-464-9411,강원도 평창읍 농공단지길 23-21,13999,방진복
(주)케이이씨디바이스,054-467-3064,서울특별시 서초구 마방로 10길 5,28111,전기기계설비공사
(주)케이제이정공,054-471-9468,경상북도 구미시 산동읍 첨단기업7로 122-4(신당리),25999,하우징
(주)코레코합섬,054-464-6991,경상북도 구미시 1공단로 6길 53-21,13992,GRS방적용
(주)코리아디펜스인더스트리,054-467-8902,세종특별자치시 세종로 1229 (고운동) 스타플레이스 707호,27111,방위산업무기
(주)코리아스타텍 3공장,054-473-8968,경상북도 구미시 4공단로 7길 39(구포동),25929,ESC전국
(주)코리아스타텍(1공장),054-473-8968,경상북도 구미시 4공단로 7길 39(구포동),25929,ESC전국
(주)코마테크놀로지,070-4432-9432,경상북도 구미시 3공단3로 82-14(시미동),26299,세라믹
(주)코아테크시스템,031-952-8952,경기도 파주시 문산읍 방촌로 1322,26299,자동화물류 기계
(주)포스코케미칼,054-467-6527,경상북도 포항시 남구 신항로 110,28202,N65
(주)코카브,054-215-7211,충청북도 청원시 청원구 오창읍 원리여천길로 362-35,23999,탄소복합재
(주)코파스,054-465-1606,경상북도 구미시 산호대로 143,25112,셔틀렉
(주)큐바이오테크,054-604-6915,경상북도 구미시 수출대로 217-21,13229,마스크
(주)탑런몰드텍(구포공장),054-476-4646,경상북도 구미시 옥계2공단로 5길 14(구포동),29294,금형
(주)탑런몰드텍(황상공장),054-476-4646,경상북도 구미시 옥계2공단로 5길 13,29294,금형
(주)탑테크,054-473-5334,경상북도 구미시 산동읍 첨단기업2로 36-3,26129,반도체부품
(주)태광금속,054-462-8325,"경상북도 구미시 산호대로 130-7, 3동 (공단동)",28422,자동차부품
(주)태영테크폴,054-974-6028,경상북도 구미시 3공단 3로 104-17(시미동)(천지바이오 내),20411,섬유코팅제
(주)태평양금속,054-467-8214,경상북도 구미시 산호대로 92,31900,영구자석
(주)텍슨,054-462-3385,경상북도 구미시 1공단로 4길 141-62,26410,통신중계기
(주)트리플,054-463-8403,경상북도 구미시 수출대로 9길 68-28,28111,태양광절전시공
