회사명,공장대표주소(지번),업종명,생산품,회사 번호
비유티나우 주식회사,강원특별자치도 태백시 철암동,골판지 제조업 외 1 종,골판지 박스,033-550-2539
사나래식품 농업회사법인 주식회사,강원특별자치도 태백시 금천동 41-1,김치류 제조업,김치류,데이터 미집계
산산농원,강원특별자치도태백시 동점동 247-2,건강보조용 액화식품 제조업,"각종즙,분말",033-550-2988
산채나라,강원특별자치도 태백시 황지동 439-0번지,김치류 제조업 외 1 종,"산채나물, 산채면류",033-550-2996
삼보ENG,강원특별자치도 태백시 장성동 272-1번지,육상 금속 골조 구조재 제조업,특수기계제작,033-550-3968
서울공업사,강원특별자치도 태백시 황지동 64-6번지,건설 및 채광용 기계장비 제조업,중장비정비,033-550-2572
승혜전력주식회사,강원특별자치도 태백시 철암동 449-1번지,그 외 기타 금속가공업,망형접지판,033-550-2796
썬샤인창호산업(유),강원특별자치도 태백시 철암동  454번지,플라스틱 창호 제조업 외 1 종,"규격창호, 합성수지형창호,금속창호",033-550-2988
썬스틸(주),강원특별자치도 태백시 철암동 285-3번지,금속 단조제품 제조업 외 2 종,"볼,조인트바",033-550-2996
에이멕,강원특별자치도 태백시 장성동 263-8번지,기타 가정용 전기기기 제조업 외 8 종,탈수기,033-550-3882
에코라이트,강원특별자치도 태백시 황지동 26-3 3층,일반용 전기 조명장치 제조업 외 2 종,조명기구,데이터 미집계
에프엠씨코리아주식회사,강원특별자치도 태백시 철암동 446번지 정수유통(주),화학 살균.살충제 및 농업용 약제 제조업 외 1 종,"살충제, 제초제, 살균제",033-550-2106
엠케이인터내셔날,강원특별자치도 태백시 장성동 263-8,그 외 기타 전기장비 제조업 외 1 종,"스마트무인택배보관함, 스마트무인물품보관함",033-550-2988
영농조합법인 고원농산,강원특별자치도 태백시 철암동 450번지,김치및유사채소절임식품제조업,김치,데이터 미집계
우드리즘팩토리,강원특별자치도 태백시 황지동 158-6 A동 2층,장식용 목제품 제조업,목재 공예품 및 조형물,033-550-2972
유한회사 태백골김치,강원특별자치도 태백시 장성동 263-7번지,김치류 제조업 외 1 종,김치,033-550-2796
재단법인 강원테크노파크(원료산업지원센터),강원특별자치도 태백시 동점동 536 재단법인 강원테크노파크(원료산업지원센터),기타 공학 연구개발업,(재)강원테크노파크 “경석자원을 활용한 세라믹 원료산업 기반조성사업”의 지원센터 건립,033-550-2350
정연훈,강원특별자치도 태백시 장성동 249-4번지,기타 부동산 임대업,임대업,033-550-2796
주식회사 STX,강원특별자치도 태백시 동점동 522 외 1필지,표면 가공 목재 및 특정 목적용 제재목 제조업 외 1 종,"목재칩, 목재펠릿",033-550-2350
주식회사 강산해,강원특별자치도 태백시 동점동 522,부직포 및 펠트 제조업,친환경 자연분해 멀칭재 등,033-550-2350
주식회사 그린사이언스,강원특별자치도 태백시 장성동 278-2번지,그 외 기타 특수목적용 기계 제조업 외 1 종,"플라즈마가스화기,가스화발전시스템",033-550-2106
주식회사 나무나라,강원특별자치도 태백시 장성동 278-1번지,일반 제재업 외 4 종,"고열처리목재,데크재,디자인형울타리,목재판재",033-550-2988
주식회사 대우레미콘,강원특별자치도 태백시 통동 213-3 (통동),레미콘 제조업,레미콘,033-550-2988
주식회사 대우레미콘,강원특별자치도 태백시 동점동 517-8번지,아스팔트 콘크리트 및 혼합제품 제조업,아스콘,033-550-2988
주식회사 더바이오,강원특별자치도 태백시 동점동 521-1,일반용 전기 조명장치 제조업,LED조명기구,033-550-3882
주식회사 브니엘월드,강원특별자치도 태백시 장성동 249-1,기타 과실ㆍ채소 가공 및 저장 처리업 외 7 종,"세제, 비누, 과자, 음료 등",033-550-3882
주식회사 블랙스톤,강원특별자치도 태백시 황지동 94-2,그 외 기타 전기장비 제조업 외 1 종,정맥인식기,033-550-2988
주식회사 블루모션테크,강원특별자치도 태백시 철암동 464-9,산업용 로봇 제조업,"반도체&디스플레이용 초정밀 스테이지, 초미세 가공기",데이터 미집계
주식회사 산화,강원특별자치도 태백시 철암동 464-1번지,육상 금속 골조 구조재 제조업 외 8 종,"맨홀뚜껑, 스틸그레이팅",데이터 미집계
주식회사 선경,강원특별자치도 태백시 화전동 산10-10,구조용 금속 판제품 및 공작물 제조업,컨테이너하우스,033-550-2972
주식회사 수목원,강원특별자치도 태백시 철암동 464-8번지,장류 제조업 외 3 종,청국장,033-550-2796
주식회사 아름테크,강원특별자치도 태백시 황지동 59-32 1층1호,방송장비 제조업 외 19 종,MAS-2000,033-550-2988
주식회사 에스앤,강원특별자치도 태백시 장성동 249-2번지,전시 및 광고용 조명장치 제조업 외 5 종,"LED조명,사인물,가로등주",033-550-2988
주식회사 에코라이트테크놀로지,강원특별자치도 태백시 장성동 249-3번지,일반용 전기 조명장치 제조업 외 3 종,"사인물, 금속구조물",033-550-2106
주식회사 에코퓨린,강원특별자치도 태백시 장성동 249-1,위생용 종이제품 제조업,여성 생리대,033-550-3882
주식회사 엔에스테크닉스,강원특별자치도 태백시 동점동 531 외 1필지,전기용 탄소제품 및 절연제품 제조업,반도체 공정용 탄소부품,033-550-2972
주식회사 엠제이테크,강원특별자치도 태백시 장성동 249-3,"금속 문, 창, 셔터 및 관련제품 제조업 외 5 종",수처리기계장치,033-550-7175
주식회사 영재건설,강원특별자치도 태백시 철암동 464-9번지 A동,구조용 금속 판제품 및 공작물 제조업,디자인금속울타리,033-550-3968
주식회사 우광케미칼,강원특별자치도 태백시 철암동 447번지,주거용 건물 임대업,시력교정용안경렌즈,033-550-2539
주식회사 인에코,강원특별자치도 태백시 동점동 523,그 외 기타 분류 안된 비금속 광물제품 제조업,친환경 기능성 건축 내장재,033-550-2350
주식회사 정진,강원특별자치도 태백시 철암동 452번지,배전반 및 전기 자동제어반 제조업 외 3 종,배전반,033-550-2796
주식회사 태경화학,강원특별자치도 태백시 철암동 450번지,"플라스틱 선, 봉, 관 및 호스 제조업 외 1 종",PE하수관거 및 연결관,033-550-2988
주식회사 태백산황금잣,강원특별자치도 태백시 장성동 122-15,기타 곡물 가공품 제조업,잣 가공품,033-550-3882
주식회사 태백연탄,강원특별자치도 태백시 화전동 234번지 외 1필지,연탄 및 기타 석탄 가공품 제조업,연탄,033-550-3968
주식회사 펜스타,강원특별자치도 태백시 철암동 449-1,그 외 기타 플라스틱 제품 제조업 외 8 종,"도로표지병, 디자인형 울타리, 금속제기타울타리, 조립식구조물, 바닥신호등, 장치및경관조명기구, 기타조경시설물",033-550-2972
주식회사 하나바이오,강원특별자치도 태백시 철암동 460번지,화학 살균.살충제 및 농업용 약제 제조업 외 1 종,작물보호제,033-550-2972
주식회사 해마,강원특별자치도 태백시 장성동 263-1번지,천연 및 혼합조제 조미료 제조업 외 4 종,"조미료, 스프, 소스 등",033-550-2796
주식회사대풍식품,강원특별자치도 태백시 철암동 464-7번지 464-7,도시락류 제조업 외 1 종,사골곰탕,033-550-3808
진농바이오,강원특별자치도 태백시 황지동 331-5,복합비료 및 기타 화학비료 제조업,"4종 복합비료, 미량요소복합비료",033-550-3882
참밀,강원특별자치도 태백시 철암동 449번지,비주거용 건물 임대업,"제빵, 제과",033-550-2972
참솔 주식회사,강원특별자치도 태백시 장성동 263-3,기타 과실ㆍ채소 가공 및 저장 처리업 외 1 종,"증숙고구마 분말, 팥분말, 녹차분말, 마늘 청양고추, 생강 당근 등 동결건조식품",033-550-2972
칠표연탄,강원특별자치도 태백시 백산동 141-1번지,연탄 및 기타 석탄 가공품 제조업,연탄,033-550-2106
태백고랭지김치,강원특별자치도 태백시 철암동 464-4번지 464-4,김치류 제조업 외 1 종,김치,033-550-3968
태백농협농산물유통가공사업소,강원특별자치도 태백시 화전동 79 외 2필지,기타 과실ㆍ채소 가공 및 저장 처리업 외 1 종,약초음료,033-550-2988
태백산나물영농조합법인,강원특별자치도 태백시 황지동 328번지,한의약품 제조업,약초건조포장,033-550-3935
태백산생태마을협동조합,강원특별자치도 태백시 장성동 249-4번지,차류 가공업,"산죽차, 산죽분말",033-550-2796
태백산채냉면영농조합,강원특별자치도 태백시 철암동 464-13번지 외 1필지,"면류, 마카로니 및 유사식품 제조업 외 1 종",산채냉면,033-550-3968
태백산채마을농업회사법인주식회사,강원특별자치도 태백시 통동 319-4번지,떡류 제조업 외 1 종,떡류,033-550-2988
태백삼성TNC,강원특별자치도 태백시 금천동 17번지,건설 및 채광용 기계장비 제조업 외 1 종,회전집게,데이터 미집계
태백식품,강원특별자치도 태백시 황지동 77-12번지,김치류 제조업 외 1 종,단무지,데이터 미집계
태양기계,강원특별자치도 태백시 장성동 272-3번지,육상 금속 골조 구조재 제조업 외 2 종,"제관기계, 철구조물 등",033-550-2539
하나공업사,강원특별자치도 태백시 황지동 158-6번지 외 1필지,건설 및 채광용 기계장비 제조업,건설기계정비,033-550-2796
하나씽크가구,강원특별자치도 태백시 황지동 492-6,목재 도구 및 주방용 나무제품 제조업 외 1 종,주방용 목재가구 및 사무용 O/A 가구,033-550-2988
현대레미콘아스콘 주식회사,강원특별자치도 태백시 백산동 125-7번지,레미콘 제조업 외 1 종,"레미콘,아스콘",033-550-2626
후이즈건축인테리어,강원특별자치도 태백시 철암동 451번지,기타 부동산 임대업,임대,033-550-3968
