회사명,전화번호,팩스번호,공장 도로명주소,위도,경도,업종명,생산품,대표자명,데이터기준일자
드림바이오 주식회사,033-638-3841,033-638-3844,강원도 고성군 죽왕면 송지호로 15-26,38.328685,128.520914,기타 비알코올 음료 제조업,건강기능성식품,문국봉,2020-09-30
드림원(주),033-638-3841,033-638-3844,강원도 고성군 죽왕면 송지호로 15-22,38.328634,128.52124,기타 비알코올 음료 제조업,비타민음료,박영순,2020-09-30
들내음영농조합법인, , ,강원도 고성군 거진읍 봉평리 산 34번지 외 2필지,38.443281,128.441753,기타 곡물 가공품 제조업,다시마 코팅쌀,정연흥,2020-09-30
디엠지팜 영농조합법인,033-638-3841,033-638-3844,강원도 고성군 죽왕면 송지호로 15-20,38.329192,128.52167,기타 곡물 가공품 제조업,현미식초·효소 ·조청·조미료 등,문정훈,2020-09-30
명해물산 영어조합법인, , ,강원도 고성군 죽왕면 오호리 278-13번지,38.328105,128.521133,수산동물 건조 및 염장품 제조업 외2 종,"명태, 오징어, 고등어 등",김주호,2020-09-30
믿음이엔지(ENG),033-682-2525,033-682-2626,강원도 고성군 죽왕면 향목서길 26 ((주)벽천레미콘),38.375029,128.481935,배전반 및 전기 자동제어반 제조업 외3 종,"배전반, 자동제어, 계장(계측)제어, 폐쇄회로 텔레비전시스템",정현옥,2020-09-30
봉성건업,033-635-7845,033-636-3565,강원도 고성군 토성면 용촌천길 12 (총 2 필지),38.22898,128.551218,수산동물 건조 및 염장품 제조업,명태코다리,최효길,2020-09-30
선해식품,033-638-9950,033-638-9951,강원도 고성군 죽왕면 송지호로 15-35,38.194082,128.312432,수산동물 건조 및 염장품 제조업,젓갈류,엄종철,2020-09-30
성공수산, , ,강원도 고성군 죽왕면 송지호로 15-23,38.328768,128.523492,수산동물 건조 및 염장품 제조업,명태코다리,이근철,2020-09-30
세종영어조합법인,033-631-1419,033-631-8576,강원도 고성군 토성면 청간골길 31,38.267228,128.55039,수산동물 건조 및 염장품 제조업,"명태코다리, 반건조생선",이춘옥,2020-09-30
승진,033-682-1269,033-681-0547,강원도 고성군 거진읍 봉정로 206,38.45266,128.430145,낚시 및 수렵용구 제조업,"주낙시, 장연사",이행용,2020-09-30
신왕 F&B,033-633-0677,033-633-0678,강원도 고성군 죽왕면 송지호로 15-58,38.327672,128.522795,수산식물 가공 및 저장 처리업,"건미역, 건다시마,김,건멸치",백창현,2020-09-30
신용산업,033-681-7230,033-682-7232,강원도 고성군 죽왕면 향목서길 26 ((주)벽천레미콘),38.375029,128.481935,간판 및 광고물 제조업 외6 종,"간판, 표지판, 현수막, 교통표지판 및 관련장치물, 표구제품",최춘자,2020-09-30
신해광상사,033-682-3597,033-682-5736,강원도 고성군 거진읍 송죽2길 60,38.404205,128.464447,수산동물 건조 및 염장품 제조업,먹태,김동구,2020-09-30
어업회사법인 고성명태(주),033-631-3011,033-631-3012,"강원도 고성군 죽왕면 송지호로 15-19, 오호리 278-14",38.328338,128.521873,수산동물 건조 및 염장품 제조업 외1 종,"명태포, 코다리",김현숙,2020-09-30
영광물산,033-681-5485,033-682-5485,강원도 고성군 거진읍 송죽2길 102,38.402687,128.460524,수산동물 건조 및 염장품 제조업,명태코다리,고남길,2020-09-30
영농조합법인 아라김치,033-681-0900,033-681-6265,강원도 고성군 거진읍 포남길 56 (총 2 필지),38.432101,128.443713,김치류 제조업 외4 종,"김치, 알탕, 깎두기",이재수,2020-09-30
영농조합법인 체은식품,033-681-2580,033-682-1932,강원도 고성군 현내면 봉정로 351-19,38.461513,128.420768,떡류 제조업,"감자송편, 수제비",최지성,2020-09-30
영동안전산업,033-681-5858,033-672-5502,"강원도 고성군 죽왕면 향목서길 26, 향목리 235-9 ((주)벽천레미콘)",38.375029,128.481935,구조용 금속 판제품 및 공작물 제조업 외6 종,"금속구조물 및 휀스, 난간, 목재, 판재 등",심창섭,2020-09-30
영어조합법인 동해안푸드,033-637-2358,033-633-2358,강원도 고성군 죽왕면 오호리 278-26번지,38.328248,128.52228,수산동물 건조 및 염장품 제조업 외1 종,"통명태, 명태포, 명태채",송재식,2020-09-30
오성식품,033-682-5444,033-682-5442,강원도 고성군 거진읍 송죽2길 34 (총 2 필지),38.406024,128.465637,수산동물 건조 및 염장품 제조업,"명란젓, 창란젓, 건조명태",함선녀,2020-09-30
오호 떡 방앗간, ,033-631-0250,강원도 고성군 죽왕면 오호리 278-46번지,38.328158,128.523302,떡류 제조업,떡,김용학,2020-09-30
와이비레미콘(주),033-681-3345,033-681-3346,강원도 고성군 간성읍 탑동길 93,38.370128,128.473413,레미콘 제조업 외1 종,레미콘,김갑용,2020-09-30
월드제이드,033-631-7727,033-631-7728,강원도 고성군 토성면 이른계길 27 (총 2 필지),38.273689,128.542867,기타 가정용 전기기기 제조업 외2 종,"장신구, 침대",강지영,2020-09-30
유경곡산,033-632-5595,033-638-4488,강원도 고성군 죽왕면 운봉산로 61-8 (총 2 필지),38.30048,128.532343,곡물 도정업,쌀,오경숙,2020-09-30
인덜지(주),070-4667-1579,02-6250-5311,강원도 고성군 토성면 용원로 266 (총 3 필지),38.228449,128.54637,맥아 및 맥주 제조업,맥주,커트다니엘캉가스,2020-09-30
일흥엔지니어링,033-682-8886,033-682-2686,"강원도 고성군 죽왕면 향목서길 26, 일흥엔지니어링 ((주)벽천레미콘)",38.375029,128.481935,낚시 및 수렵용구 제조업,문어낚시,김용수,2020-09-30
재건사,033-636-4468,033-633-4498,강원도 고성군 토성면 백촌3길 120-27 (재건사),38.28582,128.534953,"콘크리트 타일, 기와, 벽돌 및 블록 제조업",콘크리트 벽돌,하병준,2020-09-30
재경상사,033-637-2358,033-633-2358,강원도 고성군 죽왕면 송지호로 15-11,38.328474,128.522447,수산동물 건조 및 염장품 제조업,황태,송재식,2020-09-30
주식회사 청해에스엔디,033-632-4500,033-631-7534,강원도 고성군 토성면 청간골길 7 (총 2 필지),38.2666,128.553265,수산식물 가공 및 저장 처리업,조미김,노영국,2020-09-30
주식회사 태림,033-681-3633,033-681-6699,강원도 고성군 죽왕면 향목서길 26,38.375029,128.481935,컨베이어장치 제조업 외5 종,"송풍기, 여과기등",제혜선,2020-09-30
주식회사 태일물산,033-681-2102,033-681-3686,강원도 고성군 죽왕면 향목서길 24,38.375472,128.481936,수산동물 건조 및 염장품 제조업 외1 종,명태코다리,장일훈,2020-09-30
티에스푸드, , ,강원도 고성군 죽왕면 송지호로 15-30,38.328768,128.523492,수산동물 건조 및 염장품 제조업,"황태포, 황태채","최태훈, 함옥녀",2020-09-30
풍강수산, ,033-632-8777,강원도 고성군 죽왕면 송지호로 15-54,38.327492,128.522205,수산동물 건조 및 염장품 제조업,짝태,이미화,2020-09-30
풍대리 황태전통식품 영농조합법인,033-636-1837,033-635-1837,강원도 고성군 토성면 용촌천길 10-1,38.22856,128.550541,수산동물 건조 및 염장품 제조업,"제사포, 황태채, 먹태, 쥐포",최성일,2020-09-30
한일건업,033-636-2709,033-636-2708,강원도 고성군 토성면 잼버리동로 389-41 (한일건업),38.24076,128.548561,수산동물 건조 및 염장품 제조업,"오징어건포, 코다리, 노가리",곽철신,2020-09-30
합자회사 세가온,033-261-3957,033-256-9486,"강원도 고성군 죽왕면 향목서길 26, 합자회사 세가온 고성지사",38.375029,128.481935,구조용 금속 판제품 및 공작물 제조업 외3 종,"디자인형 울타리, 금속제 울타리 등",편인철,2020-09-30
해오름영농조합법인,033-638-1997,033-638-1999,강원도 고성군 토성면 성대로 53-42 (해오름영농법인),38.241826,128.511019,차류 가공업 외1 종,"꾸찌뽕, 찹쌀가루",홍두표,2020-09-30
형제덕장영어조합법인,033-631-7889,033-636-0889,강원도 고성군 죽왕면 송지호로 15-30,38.328538,128.520458,수산동물 건조 및 염장품 제조업,황태,라흥수,2020-09-30
화진식품,033-682-2239, ,강원도 고성군 거진읍 수외북길 11-9 (영신두부),38.442767,128.451812,두부 및 유사식품 제조업,두부,전용인외1,2020-09-30
