회사명,대표자명,담당자연락처,팩스번호,종업원수,업종명,생산품,공장대표주소(도로명),공장대표주소(지번),기준일자
(주)대한기업,박호택,033-250-4051,033-244-4970,8,금속선 가공제품 제조업 외 3 종,사무용가구,강원특별자치도 춘천시 사북면 도장골길 41-3,강원특별자치도 춘천시 사북면 고성리 563,2025-02-06
(주)대한보훈산업 춘천공장,김창수,033-250-3361,033-244-4970,5,구조용 금속 판제품 및 공작물 제조업 외 1 종,"돌망태,휀스",강원특별자치도 춘천시 사북면 도장골길 41-5,강원특별자치도 춘천시 사북면 고성리 563번지,2025-02-06
(주)더 케이엘,김규일,033-250-4225,033-251-5374,3,구조용 금속 판제품 및 공작물 제조업,흡연부스,강원특별자치도 춘천시 만천로239번길 7 (후평동),강원특별자치도 춘천시 후평동 751-18번지,2025-02-06
(주)동광산업,변명식,033-250-4225,033-242-8707,4,배합 사료 제조업 외 1 종,사료,강원특별자치도 춘천시 동면 하일길 151-1,강원특별자치도 춘천시 동면 장학리 708-1번지,2025-02-06
(주)드림테크,임진섭,033-250-4051,,11,유선 통신장비 제조업 외 5 종,CCTV,강원특별자치도 춘천시 동내면 대룡산길 8,강원특별자치도 춘천시 동내면 사암리 1219-1번지,2025-02-06
(주)디에스라이트,김단,033-250-4225,033-256-3379,4,일반용 전기 조명장치 제조업,조명기구,강원특별자치도 춘천시 동내면 거두길 150,강원특별자치도 춘천시 동내면 거두리 464-2번지,2025-02-06
(주)라이프투게더,송운서,,033-243-4780,40,화장품 제조업,화장품(팩류),"강원특별자치도 춘천시 약사고개길 29 (약사동, 보성건강원)",강원특별자치도 춘천시 약사동 40-2번지,2025-02-06
(주)라파데오,호성숙,033-250-4225,,14,그 외 기타 식료품 제조업,광선삼,강원특별자치도 춘천시 신동면 김유정로 1391,강원특별자치도 춘천시 신동면 증리 369-1번지,2025-02-06
(주)리뉴텍,김태훈,033-250-4051,033-264-1369,0,스타킹 및 기타 양말 제조업,양말,강원특별자치도 춘천시 동내면 대룡산길 227-51,강원특별자치도 춘천시 동내면 사암리 169-2,2025-02-06
(주)메디안디노스틱,오진식,033-250-4225,,16,의료용품 및 기타 의약 관련제품 제조업 외 2 종,동물 진단용 의약품,강원특별자치도 춘천시 동내면 순환대로 878,강원특별자치도 춘천시 동내면 거두리 509-1번지,2025-02-06
(주)메디언스,박상재,033-250-4225,033-258-6259,10,그 외 기타 의료용 기기 제조업 외 2 종,심부체강창상 피복제,"강원특별자치도 춘천시 신북읍 신북로 61-20, 102, 203-1호 (춘천벤처공장)","강원특별자치도 춘천시 신북읍 율문리 941번지 춘천벤처공장 102, 203-1호",2025-02-06
(주)바른,김한수,033-250-4225,033-241-1690,2,기타 식품 첨가물 제조업,효소소금,"강원특별자치도 춘천시 춘주로147번길 11-1, 지하1층 (퇴계동, 기쁜장로교회)",강원특별자치도 춘천시 퇴계동 904-2번지 기쁜장로교회 지하1층,2025-02-06
(주)바이오메트릭스테크놀로지,김태선,033-250-4225,033-258-6099,6,의료용품 및 기타 의약 관련제품 제조업,진단용 유전자칩,"강원특별자치도 춘천시 신북읍 신북로 61-14, 강원테크노파크 벤처처2공장 102호",강원특별자치도 춘천시 신북읍 율문리 942번지 강원테크노파크 벤처처2공장 102호,2025-02-06
(주)바이오메트릭테크놀로지,김태선,033-250-4225,033-258-6099,6,의료용품 및 기타 의약 관련제품 제조업,"진단용 유전자칩, 의료기기",강원특별자치도 춘천시 신북읍 율문리 942 춘천벤처2공장 102호,강원특별자치도 춘천시 신북읍 율문리 942 춘천벤처2공장 102호,2025-02-06
(주)바이오피드,정낙범,033-250-4225,02-548-5744,3,생물학적 제제 제조업,화장품 원료,"강원특별자치도 춘천시 소양강로 32, 바이오2동 101, 105호 (후평동)","강원특별자치도 춘천시 후평동 198-53번지 바이오2동 101, 105호",2025-02-06
(주)백만,손성희,033-250-4051,033-264-4003,5,그 외 기타 분류 안된 비금속 광물제품 제조업 외 4 종,미끄럼방지포장재,강원특별자치도 춘천시 동면 순환대로 1047,강원특별자치도 춘천시 동면 만천리 255-3번지,2025-02-06
(주)베스트원코리아,박봉수,033-250-4225,050-5300-4499,9,기타 운동 및 경기용구 제조업,"셔튿콕, 그립","강원특별자치도 춘천시 동내면 거두택지길4번길 23-12, 1층",강원특별자치도 춘천시 동내면 거두리 978-6번지 1층,2025-02-06
(주)본네이처,최  경,033-250-3361,033-252-5174,10,"점토 벽돌, 블록 및 유사 비내화 요업제품 제조업 외 1 종",친환경건축내외장재,강원특별자치도 춘천시 남산면 동촌로 18-1,강원특별자치도 춘천시 남산면 광판리 775 번지,2025-02-06
(주)비룡씨에이치씨,박광구,033-250-4051,033-261-9489,21,"금속 문, 창, 셔터 및 관련제품 제조업",샷시,"강원특별자치도 춘천시 동산면 논골길 17-24, 733-1",강원특별자치도 춘천시 동산면 원창리 732-1번지,2025-02-06
(주)비비텍,최중선,033-250-4051,033-252-7228,3,"사진기, 영사기 및 관련 장비 제조업 ",영상스크린,강원특별자치도 춘천시 동내면 동내로 183-14,강원특별자치도 춘천시 동내면 신촌리 328-6번지,2025-02-06
(주)비에스엘,박천정,033-250-4051,033-243-8385,16,정형외과용 및 신체보정용 기기 제조업 외 1 종,"보청기, 음성증폭기","강원특별자치도 춘천시 신북로 61-14, 104호(춘천테크노파크 춘천벤처2공장) (신북읍)",강원특별자치도 춘천시 신북읍 율문리 942번지 104호(춘천테크노파크 춘천벤처2공장),2025-02-06
(주)비엔씨테크,정현수,033-250-4051,033-263-0778,9,전기경보 및 신호장치 제조업,비상경보기,강원특별자치도 춘천시 동내면 너부래길 19-38,강원특별자치도 춘천시 동내면 고은리 241번지,2025-02-06
(주)산천제지,박광구,033-250-3361,033-261-1130,12,문구용 종이제품 제조업 외 1 종,"복사지,화장지",강원특별자치도 춘천시 동산면 논골길 17-24,강원특별자치도 춘천시 동산면 원창리 732-1 번지,2025-02-06
(주)새론,조현미,033-250-4225,,5,컴퓨터 제조업,컴퓨터,"강원특별자치도 춘천시 경춘로 2269, 2층 (온의동)",강원특별자치도 춘천시 온의동 297번지 2층,2025-02-06
(주)서정,이학서,033-250-4225,033-261-4545,3,"금속 문, 창, 셔터 및 관련제품 제조업 외 3 종","복층유리,알류미늄 창호",강원특별자치도 춘천시 동내면 학곡동2길 10-1,강원특별자치도 춘천시 동내면 학곡리 359-10번지,2025-02-06
(주)선진뉴텍,변금희,033-250-4225,,5,일반철물 제조업 외 2 종,"농자재,LED,도로표지판",강원특별자치도 춘천시 신샘밭로 178 (신동),강원특별자치도 춘천시 신동 1233번지,2025-02-06
(주)세바바이오텍,임혜원,033-250-3361,,4,화장품 제조업,"화장품, 화장품원료","강원특별자치도 춘천시 소양강로 40, 1-405,406,408(후평동,하이테크벤처타운) (후평동, (재)강원정보영상진흥원)","강원특별자치도 춘천시 후평동 198-53번지 (재)강원정보영상진흥원 1-405,406,408(후평동,하이테크벤처타운)",2025-02-06
(주)소양강푸드,이우형,033-250-4225,,3,빵류 제조업,빵,"강원특별자치도 춘천시 신북읍 신북로 260, 가동 1층",강원특별자치도 춘천시 신북읍 산천리 343-1번지 가동 1층,2025-02-06
(주)소양강푸드시스템,정재웅,033-250-4225,033-241-8884,9,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,축산물,강원특별자치도 춘천시 사우4길 12 (우두동),강원특별자치도 춘천시 우두동 765-9번지,2025-02-06
(주)소프트하우스코리아,이성일,033-250-4225,,10,경 인쇄업,인쇄물,"강원특별자치도 춘천시 동면 소양강로 76, 2층",강원특별자치도 춘천시 동면 장학리 791-151번지 2층,2025-02-06
(주)수앤그린테크,심규문,033-250-4051,033-263-0698,3,그 외 기타 플라스틱 제품 제조업,수생식물 재배용기,강원특별자치도 춘천시 공지로 98 (석사동),강원특별자치도 춘천시 석사동 292-1,2025-02-06
(주)순수,최순헌,033-250-3431,033-257-9593,6,가금류 가공 및 저장 처리업 외 1 종,치킨까스,강원특별자치도 춘천시 남산면 종자리로 17,강원특별자치도 춘천시 남산면 광판리 126-2번지,2025-02-06
(주)신일창호,염철림,033-250-4225,033-256-6204,2,플라스틱 창호 제조업,하이샤시,강원특별자치도 춘천시 공지로 561 (근화동),강원특별자치도 춘천시 근화동 548-5번지,2025-02-06
(주)신한,박영식,033-250-4225,033-241-6460,6,차류 가공업,차류,강원특별자치도 춘천시 신북읍 신샘밭로 505-5,강원특별자치도 춘천시 신북읍 율문리 28-3번지,2025-02-06
(주)씨스퀘어,이영수,033-250-4225,033-242-0770,3,그 외 기타 의료용 기기 제조업,변색시험지,"강원특별자치도 춘천시 신북읍 신북로 61-14, 강원테크노파크 벤처2공장 203호",강원특별자치도 춘천시 신북읍 율문리 942번지 강원테크노파크 벤처2공장 203호,2025-02-06
(주)아뜰리에포노마드,김형철,033-250-4051,0303-3130-9304,3,기타 목재가구 제조업,목재가구,강원특별자치도 춘천시 서면 덕두원길 108-27,강원특별자치도 춘천시 서면 덕두원리 251-4,2025-02-06
(주)아이비스퀘어,우은영,033-250-4051,033-262-7277,3,경 인쇄업 외 1 종,인쇄물,"강원특별자치도 춘천시 춘천로 188, 메가씨티 521.522호 (효자동)",강원특별자치도 춘천시 효자동 654-3번지 메가씨티 521.522호,2025-02-06
(주)아이엠바이오,안재목,033-250-4225,,3,그 외 기타 의료용 기기 제조업,의료기기,"강원특별자치도 춘천시 영서로 2317, 305호 (온의동, 럭키아파트)",강원특별자치도 춘천시 온의동 510번지 럭키아파트 305호,2025-02-06
(주)아이오테드,김성섭,033-250-4051,033-818-9445,2,그 외 기타 전자부품 제조업 외 1 종,"교육용 인공지능 스피커, 로봇(교구)","강원특별자치도 춘천시 공지로 240, 3층(효자동)",강원특별자치도 춘천시 효자동 287-5 3층,2025-02-06
(주)아이제이,박종민,033-250-4225,033-163-7876,8,일반 제재업,"판재, 각재",강원특별자치도 춘천시 서면 당숲안길 35,강원특별자치도 춘천시 서면 당림리 403-17번지,2025-02-06
(주)알파브레인,하성미,033-250-3361,,4,그 외 기타 플라스틱 제품 제조업,멀티넘버링,"강원특별자치도 춘천시 영서로 3133 (신동, (주)한국지형정보시스템)",강원특별자치도 춘천시 신동 903-8번지,2025-02-06
(주)에아가이아,김선구,033-250-4051,033-261-0703,10,그 외 기타 고무제품 제조업,이동식탄두회수장치,강원특별자치도 춘천시 동내면 점말1길 78-30,강원특별자치도 춘천시 동내면 사암리 920번지,2025-02-06
(주)에이원테크,강주상,033-250-4051,033-242-7883,8,산업용 가스 제조업,산업용가스,강원특별자치도 춘천시 신북읍 배후령길 215,강원특별자치도 춘천시 신북읍 유포리 산 18-5번지,2025-02-06
(주)에코드림농업회사법인,용석호,033-250-4225,050-5924-7979,4,생물학적 제제 제조업 외 5 종,"4종복합비료,미량요서복합비료",강원특별자치도 춘천시 신북읍 배후령길 81-10,강원특별자치도 춘천시 신북읍 천전리 312-1번지,2025-02-06
(주)에코드림농업회사법인,용석호,033-250-4051,0505-924-7979,3,배합 사료 제조업 외 5 종,비료 및 보조사료,"강원특별자치도 춘천시 강원대학길 1, 친환경농업연구센터 (효자동)",강원특별자치도 춘천시 효자동 192-1번지 강원대학교 친환경농업연구센터,2025-02-06
(주)에코시스템,최승찬,033-250-4225,033-242-1335,0,농업 및 임업용 기계 제조업,이유자돈액상급이시스템,강원특별자치도 춘천시 신북읍 배후령길 60-3,강원특별자치도 춘천시 신북읍 천전리 163번지,2025-02-06
(주)엘에스엘 시스템즈,이기섭,033-250-3361,02-6670-2388,3,그 외 기타 의료용 기기 제조업 외 3 종,열화상카메라,"강원특별자치도 춘천시 한림대학길 1 (옥천동, 한림대학교)",강원특별자치도 춘천시 옥천동 1-1번지 한림대학교,2025-02-06
(주)예건플랜,박찬우,033-250-4051,033-264-1658,3,비내화 모르타르 제조업,비내화 모르타르,강원특별자치도 춘천시 동면 춘천순환로 340-12 1층1호,강원특별자치도 춘천시 동면 만천리 524-34 1층1호,2025-02-06
(주)예담,최원정,033-250-4225,033-263-0074,0,커피 가공업,원두커피,"강원특별자치도 춘천시 우석로 22, 1층 (석사동)",강원특별자치도 춘천시 석사동 771-4번지 1층,2025-02-06
(주)예맥식품,강대숙,033-250-4051,033-263-4681,4,도시락류 제조업 외 1 종,도시락,"강원특별자치도 춘천시 송암길 17-8 (송암동, 꽃피는산골)",강원특별자치도 춘천시 송암동 205-2번지,2025-02-06
(주)용두애브컴,엄성철,033-250-3431,,12,전기경보 및 신호장치 제조업 외 3 종,"방송장비, 볼라드, 도로표지병, 경관조명",강원특별자치도 춘천시 동내면 순환대로 878-1,강원특별자치도 춘천시 동내면 거두리 497-18,2025-02-06
(주)우드랑,전재원,033-250-3361,033-255-1563,2,기타 목재가구 제조업,조립식원목가벽,"강원특별자치도 춘천시 강원대학길 1, 아산관408-1 (효자동)",강원특별자치도 춘천시 효자동 192-1번지 강원대학교 아산관408-1,2025-02-06
(주)우드앤씨티,이혜정,033-250-4051,033-253-6902,1,그 외 기타 나무제품 제조업 외 1 종,"교구, 장남감 외","강원특별자치도 춘천시 강원대학길 1, 보듬관 702호 (효자동)",강원특별자치도 춘천시 효자동 192-1번지 보듬관 702호,2025-02-06
(주)유덕산업,이문현,033-250-4051,033-255-8804,6,레미콘 제조업,레미콘,강원특별자치도 춘천시 남산면 추곡고개길 341,강원특별자치도 춘천시 남산면 수동리 611번지,2025-02-06
(주)유시티,김남갑,033-250-3361,,2,비내화 모르타르 제조업,미끄럼방지포장재,"강원특별자치도 춘천시 강원대학길 1, 강원대학교 공대6호관 116호 (효자동)",강원특별자치도 춘천시 효자동 192-1번지 강원대학교 공대6호관 116호,2025-02-06
(주)이수,김옥주,033-250-4225,033-257-4230,6,"금속 문, 창, 셔터 및 관련제품 제조업 외 8 종","가드레일, 철구조물",강원특별자치도 춘천시 동내면 거두길 184-22,강원특별자치도 춘천시 동내면 거두리 505-1번지,2025-02-06
(주)일흥제재소,오흥이,033-250-3361,033-261-1009,5,일반 제재업,"제재목(판재, 각재)",강원특별자치도 춘천시 신동면 한치로 799,강원특별자치도 춘천시 신동면 팔미리 562-5번지,2025-02-06
(주)정인그린빌,박성환,033-250-4225,033-261-0017,0,그 외 기타 나무제품 제조업,조경시설물,"강원특별자치도 춘천시 강원대학길 1 (효자동, 강원대학교) 청정산업신기술지원센터 707호(보듬관)",강원특별자치도 춘천시 효자동 192-1 청정산업신기술지원센터 707호(보듬관),2025-02-06
(주)제이에너지,김재운,033-250-3361,070-7159-2486,1,그 외 기타 전기장비 제조업,발전설비 부품,"강원특별자치도 춘천시 강원대학길 1, 아산관 408-2 (효자동)",강원특별자치도 춘천시 효자동 192-1번지 강원대학교 아산관 408-2,2025-02-06
(주)제이에이치햄프푸드,전성환,033-250-4225,033-263-3234,4,기타 곡물 가공품 제조업,대마환,강원특별자치도 춘천시 신동면 정족1길 22-26,강원특별자치도 춘천시 신동면 정족리 787번지,2025-02-06
(주)제이투,신연미,033-250-4225,033-264-6372,4,유선 통신장비 제조업 외 1 종,영상감시장치,강원특별자치도 춘천시 동내면 고은길 117,강원특별자치도 춘천시 동내면 고은리 311-9번지,2025-02-06
(주)지아이티,김택훈,033-250-3361,050-5844-6644,12,방송장비 제조업,"SMD ASS'Y, 모듈, S/W","강원특별자치도 춘천시 동내면 외솔길19번길 80-10, 4층",강원특별자치도 춘천시 동내면 거두리 1060번지,2025-02-06
(주)지엘에스에너지,주현진,033-250-4051,033-244-7765,7,전동기 및 발전기 제조업,전동기 및 발전기,강원특별자치도 춘천시 동내면 순환대로 758-1,강원특별자치도 춘천시 동내면 고은리 546-8번지,2025-02-06
(주)진성이디씨,홍성걸,033-250-4225,033-252-0586,5,교통 신호장치 제조업,보행자 감지기,"강원특별자치도 춘천시 춘천로 419, 3층 (후평동)",강원특별자치도 춘천시 후평동 157-31번지 3층,2025-02-06
(주)진양기업,이충수,033-250-3088,,9,아스팔트 콘크리트 및 혼합제품 제조업,아스콘,강원특별자치도 춘천시 남산면 둔일길 49-5,강원특별자치도 춘천시 남산면 창촌리 285번지,2025-02-06
(주)창성철강,최인순,033-250-4051,033-263-8236,20,기타 구조용 금속제품 제조업,M-BEAM구조체,강원특별자치도 춘천시 동내면 고은길 71,강원특별자치도 춘천시 동내면 고은리 330-4번지,2025-02-06
(주)창조이엔지,남궁탁,033-250-4225,033-263-2236,20,전시 및 광고용 조명장치 제조업,LED 조명장치,강원특별자치도 춘천시 동내면 학곡리 산 50-2번지,강원특별자치도 춘천시 동내면 학곡리 산 50-2번지,2025-02-06
(주)케이디사이언스,임강준,033-250-3361,070-8620-8688,21,"체조, 육상 및 체력단련용 장비 제조업 외 1 종",운동기구,강원특별자치도 춘천시 남면 가정리 377번지,강원특별자치도 춘천시 남면 가정리 377번지,2025-02-06
(주)코리원,박은애,033-250-4225,033-251-4747,5,표면처리 및 적층 직물 제조업,식생매트,강원특별자치도 춘천시 신동면 정족1길 36,강원특별자치도 춘천시 신동면 정족리 366-9번지,2025-02-06
(주)코빈즈커피,김재용,033-250-4225,,4,커피 가공업,원두커피,강원특별자치도 춘천시 동면 노루목길 8-24,강원특별자치도 춘천시 동면 장학리 42-10번지,2025-02-06
(주)클린그린,채선홍,033-250-4051,050-5182-5588,2,화장품 제조업,화장품,"강원특별자치도 춘천시 후석로462번길 90, 2층 (후평동)",강원특별자치도 춘천시 후평동 159-4번지 2층,2025-02-06
(주)태승엔바텍,정만섭,033-250-4051,02-904-8383,5,설치용 및 위생용 플라스틱제품 제조업 외 4 종,이동식화장실,강원특별자치도 춘천시 옥산포길 40-4 (사농동),강원특별자치도 춘천시 사농동 222-1 번지,2025-02-06
(주)태영이엔지,성연정,033-250-4225,,4,방송장비 제조업 외 2 종,방송장비,"강원특별자치도 춘천시 외솔길19번길 11, 2층 (석사동, 꿈나래유·아동전문교육기관)",강원특별자치도 춘천시 석사동 108-1번지 꿈나래유·아동전문교육기관 2층,2025-02-06
(주)티앤커피,주 찬,033-250-4051,02-2164-3656,6,그 외 기타 종이 및 판지 제품 제조업,티백용 테그지 접착 필터,강원특별자치도 춘천시 동내면 금촌로 84-79,강원특별자치도 춘천시 동내면 신촌리 46-26번지,2025-02-06
(주)티이오커뮤니케이션,김태은,033-250-4225,033-241-5992,4,그 외 기타 분류 안된 금속 가공 제품 제조업 외 2 종,조형물,"강원특별자치도 춘천시 서부대성로47번길 10, 4층 (요선동)",강원특별자치도 춘천시 요선동 2-8번지 4층,2025-02-06
(주)파이프퀸,정경인,033-250-4051,033-261-1063,2,그 외 기타 금속가공업 외 3 종,그루브파이프,강원특별자치도 춘천시 남산면 김유정로 197-4,강원특별자치도 춘천시 남산면 광판리 465번지,2025-02-06
(주)폴리스타,김희수,,,6,생물학적 제제 제조업,"pmo, pmo-psb","강원특별자치도 춘천시 소양강로 40 (후평동, (재)강원정보영상진흥원)",강원특별자치도 춘천시 후평동 198-53번지,2025-02-06
(주)폴제페토,김태원,033-250-4051,050-4091-7101,6,기타 악기 제조업 외 1 종,악기,"강원특별자치도 춘천시 남면 한덕발산길 49-15, 1층",강원특별자치도 춘천시 남면 한덕리 436-6번지 1층,2025-02-06
(주)푸드원,이희관,033-250-3361,033-253-9484,9,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,포장육,강원특별자치도 춘천시 동면 춘천순환로 833,강원특별자치도 춘천시 동면 장학리 613-4번지,2025-02-06
(주)플러스,이영훈,033-250-4225,,2,기타 조명장치 제조업 외 2 종,작업등,"강원특별자치도 춘천시 신북읍 신북로 61-20, 203-2(강원테크노파크) (춘천벤처공장)",강원특별자치도 춘천시 신북읍 율문리 941번지 춘천벤처공장 203-2(강원테크노파크),2025-02-06
(주)피앤아이휴먼코리아 춘천지점,홍봉창,033-250-4225,02-6426-3124,4,액체 여과기 제조업,초기우수처리시설,강원특별자치도 춘천시 동면 가래울길 41,강원특별자치도 춘천시 동면 장학리 486-2번지,2025-02-06
(주)한국푸드시스템,김동수,033-250-4051,033-244-7171,22,육류 포장육 및 냉동육 가공업 (가금류 제외),"돼지고기포장육, 쇠고기포장육",강원특별자치도 춘천시 동면 만천로 68 (한국푸드시스템(주)),강원특별자치도 춘천시 동면 만천리 619-1번지 한국푸드시스템(주),2025-02-06
(주)한성정보시스템,한정희,033-250-4051,033-257-4137,13,기억장치 제조업 외 1 종,하드디스크 어레이,"강원특별자치도 춘천시 동면 도토골길 23, 202호",강원특별자치도 춘천시 동면 만천리 413-2번지 202호,2025-02-06
(주)한일디에프,정순화,033-250-4051,033-262-6542,3,주방용 및 음식점용 목재가구 제조업 외 3 종,"사물함, 캐비닛, 신발장, 장롱, 건축물패널 등",강원특별자치도 춘천시 신북읍 문정3길 29,강원특별자치도 춘천시 신북읍 유포리 945-1,2025-02-06
(주)현진,김준수,033-250-4225,033-253-2769,53,육류 도축업(가금류 제외) 외 1 종,가금도축,강원특별자치도 춘천시 동면 만천양지길 147,강원특별자치도 춘천시 동면 만천리 330-34번지,2025-02-06
(주)현진,김옥성,033-250-4051,033-253-2769,53,육류 도축업(가금류 제외) 외 1 종,"가금도축, 닭고기",강원특별자치도 춘천시 동면 만천양지길 147,강원특별자치도 춘천시 동면 만천리 330-34번지,2025-02-06
(주)황태종가식품,안영숙,033-250-4051,033-244-6355,5,"수산동물 훈제, 조리 및 유사 조제식품 제조업","황태양념구이, 해장국",강원특별자치도 춘천시 동내면 사암길 16,강원특별자치도 춘천시 동내면 학곡리 71-3번지,2025-02-06
