순번,회사명,대표자명,전화번호,팩스번호,생산품,공장대표주소
41,(합자)대광,김소라,033-344-1534,033-261-1230,미끄럼방지포장재,강원특별자치도 홍천군 홍천읍 농공단지길 24-11
42,ARI(오디오연구소),송인관,010-5324-****,,진공관 앰프(오디오용품),강원특별자치도 홍천군 홍천읍 농공단지길 23-11
43,강남주조 주식회사,권준석,033-435-9966,033-435-9998,"탁주, 약주",강원특별자치도 홍천군 홍천읍 솔골길 7 외 5필지
44,강원도래요,김영석,010-8594-****,,구기자차가공,강원특별자치도 홍천군 서석면 행치령로 783-7
45,강원사료,이경숙,033-435-8729,033-435-8725,동물사료,강원특별자치도 홍천군 홍천읍 영서로 1929
46,강원인삼농업협동조합,서정권,033-436-3434,033-435-3437,"홍삼, 홍삼농축액, 홍삼차 등",강원특별자치도 홍천군 남면 흥성길 153
47,고양건설기계공업사,이지훈,010-6350-****,033-436-9704,건설기계부품,강원특별자치도 홍천군 남면 한서로 3035-5
48,귀인집주,도한수,0,,"탁주, 양주, 청주",강원특별자치도 홍천군 두촌면 샘재길 170-28
49,발리앤밤부코퍼레이션,고희재,02-469-5288,070-4275-1884,"대나무 원두막,  의자,  그네,  울타리",강원특별자치도 홍천군 홍천읍 설악로 1407
50,기분좋은날,최순극외 1명,033-242-5005,070-7966-3272,"고양이 놀이터, 고양이 화장실, 고양이 침대","강원특별자치도 홍천군 홍천읍 장전평로 170, 1층"
51,낙원식품,박주성,033-434-7772,033-435-7775,"수리취떡, 인절미, 수리취경단",강원특별자치도 홍천군 북방면 영서로 2734
52,남곡에너지개발(주),이상만,0,033-432-7542,태양광구조물,강원특별자치도 홍천군 서석면 행치령로 914-2
53,내면무청순대,임혜원,033-432-8010,033-432-5174,순대,강원특별자치도 홍천군 내면 창촌로 39
54,농업법인 햇곡원(주),김기평,033-434-7729,033-435-5989,포장 쌀 및 기타 곡물,강원특별자치도 홍천군 화촌면 굴운로43번길 28
55,농업회사법인 (주)곰두리,박용수,033-434-7150,,더덕무침,강원특별자치도 홍천군 북방면 송학정로 23-38
56,농업회사법인 33가 주식회사,"최종철, 박형규",033-436-5433,,"삼산주, 산양삼 즙",강원특별자치도 홍천군 남면 어두원이길 143
57,농업회사법인 그린바이오 주식회사,성재승,033-433-7433,033-433-9433,유기질 비료,강원특별자치도 홍천군 서석면 장막길 103 외 2필지
58,농업회사법인 길벗농장 주식회사,길종각,033-433-7653,033-433-7644,"사과주스,  사과식초",강원특별자치도 홍천군 서석면 장수원로 75-42 외 1필지
59,농업회사법인 미담유한회사,조미담,033-433-3839,,"약주, 탁주",강원특별자치도 홍천군 남면 남노일로 574-19
60,농업회사법인 샘골잣집주식회사,홍성철,033-435-7715,033-433-6789,"잣, 볶음 땅콩",강원특별자치도 홍천군 남면 망덕산로 43
61,농업회사법인 선일생약 주식회사,강선원,033-436-8836,033-436-8837,한약재제조업,강원특별자치도 홍천군 남면 흥성길 193 외 1필지
62,농업회사법인 이롬비료(주),김응수,033-436-2315,033-436-2324,가축분퇴비,강원특별자치도 홍천군 영귀미면 방량로 376-57 외 9필지
63,농업회사법인 이수농산(주),음수연,033-436-2321,033-436-2324,"유기질 비료(녹생토, 분변토)",강원특별자치도 홍천군 영귀미면 방량로 376-59
64,농업회사법인 주식회사 대진,송창수,033-434-7150,033-433-7150,"더덕, 깐더덕",강원특별자치도 홍천군 홍천읍 와동로 205
65,농업회사법인 주식회사 산수,안병수,070-4195-0772,02-719-0775,탁주,강원특별자치도 홍천군 화촌면 야시대로 211-63
66,농업회사법인 홍천화방다원 주식회사,김일섭,033-433-5552,,침출차(꽃차),강원특별자치도 홍천군 영귀미면 금계로 2130-37
67,농업회사법인(주) 바농,장선재,033-435-2359,033-435-2357,"도라지백, 약도라지청",강원특별자치도 홍천군 홍천읍 양지말길 11
68,농업회사법인(주)홍천에프앤지,황윤철,010-2490-****,033-436-1701,"떡볶이(쌀,밀), 떡국 떡, 컵떡볶이, 컵떡국 떡, 튀김전용 떡볶이",강원특별자치도 홍천군 홍천읍 상오안리 18-1번지 외 3필지
69,농업회사법인(주)흥성푸드,김상덕,033-436-5200,033-436-8223,"플레이크, 곡물제분 제품",강원특별자치도 홍천군 남면 흥성길 79
70,농업회사법인홍천양돈주식회사,심윤보,033-432-8660,033-432-8661,"돈분발효,유기질비료",강원특별자치도 홍천군 남면 양지골길 127 외 1필지
71,다온제분,정지호,033-432-9801,033-432-9802,곡물제분,강원특별자치도 홍천군 남면 며느리고개길 1-21
72,다원식품 주식회사,정석준,033-436-0666,,"황태껍질튀, 안주류 가공품",강원특별자치도 홍천군 남면 흥성길 107
73,주식회사 다원에프앤비,정유석,033-436-0666,033-436-0668,"치즈오징어, 곰두리감자빵, 유기농쌀과자, 떡갈비(육류가공품)",강원특별자치도 홍천군 남면 흥성길 107
74,대명기계,지훈,033-435-7631,033-433-9874,수도계량기 연결용 유니온,강원특별자치도 홍천군 홍천읍 홍천로 735-7
75,대성정보통신(주),안희순,033-435-9247,033-435-9249,계장제어장치,"강원특별자치도 홍천군 홍천읍 농공단지길 23-19, 2층"
76,대원카본포일,이순택,033-435-5200,033-435-1923,카본필름,강원특별자치도 홍천군 화촌면 구룡령로 98-18 외 2필지
77,디아코니솔텍,백향숙,033-435-8672,,구운소금,강원특별자치도 홍천군 두촌면 장사랑길 305
78,디자인글림,김우진,033-434-3383,,조명장치,강원특별자치도 홍천군 홍천읍 농공단지길 24-11 외 1필지
79,마밀랜드산골식품,홍선옥외1,070-432-3613,033-433-3613,"조청, 엿, 쨈, 스낵",강원특별자치도 홍천군 화촌면 아양정길 64
80,맑은들(주),김상덕,033-436-8882,033-436-8476,"플레이크, 곡물 제분제품",강원특별자치도 홍천군 남면 흥성길 67 외 1필지
81,명성전기,성열화,033-436-8051,033-436-8052,수배전반,강원특별자치도 홍천군 남면 흥성길 209
82,몬테리오 주식회사,강창희,033-436-1000,033-434-2005,"파고라, 조충기, 글램핑(천막구조물)","강원특별자치도 홍천군 서면 마곡길 220, 121-3"
83,뫼내뜰영농조합법인 식품공장,이계형,033-432-7420,033-432-4694,"배추김치, 기타김치, 절임류 등",강원특별자치도 홍천군 남면 명동리 189-1번지
84,밤바치농장,김남국,033-435-5881,033-435-5881,"돌배발효액, 돌배식초, 건돌배, 돌배잎비누, 돌배잎오일, 산복사발효액, 돌배묘목",강원특별자치도 홍천군 내면 밤바치길 457
85,별땅한과 하루견과,최원옥,033-435-8687,033-433-8687,강정,강원특별자치도 홍천군 홍천읍 영서로 1498
86,보성산업(주),박성호,033-433-2215,033-433-2214,레디믹스트 콘크리트,강원특별자치도 홍천군 영귀미면 금계로 2423 외 1필지
87,비케이코팅스,국은자,010-8836-****,,코팅소재,강원특별자치도 홍천군 남면 흥성길 171
88,뿌리깊은산업,손일정,033-434-0799,033-000-0000,"청국장, 된장",강원특별자치도 홍천군 내면 방내로 447
89,산촌마을농업회사법인유한회사,김종철,033-435-5575,033-432-0503,"찰옥수수범벅, 수리취떡, 홍천고향찰현미빵",강원특별자치도 홍천군 남면 설악로 569 외 1
90,삼광기업(주),최재경,033-435-0035,033-435-0038,"레미콘, 아스콘",강원특별자치도 홍천군 북방면 송학정로 34-29 외 5필지
91,삼광레미콘아스콘 주식회사,최유리,033-436-8811,033-436-9911,레미콘,강원특별자치도 홍천군 홍천읍 옥류동길 123-27
92,삼성메디슨 주식회사,유규태,033-430-1900,033-432-9905,초음파진단기,강원특별자치도 홍천군 남면 한서로 3366
93,삼성메디슨주식회사(상오안지점),김용관,033-430-1900,033-432-9905,초음파의료진단기,강원특별자치도 홍천군 홍천읍 농공단지길 23-19 외 1필지
94,서곡물산,이복순,033-433-7330,033-433-2966,잣,강원특별자치도 홍천군 북방면 성동로 56
95,서석농업협동조합,박영국,033-433-4019,033-433-4104,"두부, 두부파생상품",강원특별자치도 홍천군 서석면 구룡령로 2427
96,송림그린산업,조종구,033-435-7728,,유기질 비료,강원특별자치도 홍천군 남면 용수길 152
97,신성화학,함성복,033-433-9337,033-433-7754,"에폭시 도료, 접착제, 합성수지",강원특별자치도 홍천군 남면 흥성길 223
98,신영인쇄기획,이만우,033-434-3445,033-434-2234,"제책,경인쇄,각종인쇄물",강원특별자치도 홍천군 홍천읍 꽃뫼로 100
99,신우임산(주),이기세,033-434-4796,033-434-1397,"우드칩, 톱밥",강원특별자치도 홍천군 홍천읍 원터길 19 외 9필지
100,신풍건설기계정비,이채섭,010-5368-****,33,"금속조립 및 철물제작, 건설기계정비",강원특별자치도 홍천군 북방면 송학정로 41
101,아람식품,이호성,033-435-1010,033-435-1459,육수 소스,강원특별자치도 홍천군 홍천읍 설악로 1009-10
102,아리인포테크 주식회사,이동훈,033-830-7710,033-830-7715,봉제기기 생산 정보관리 시스템,"강원특별자치도 홍천군 희망로 91, 203호 (홍천읍)"
103,양덕임업사,김장한,033-432-1062,033-432-2453,목재,강원특별자치도 홍천군 남면 양덕원로 185
104,양지말화로구이식품,전혜연,033-436-8001,033-436-8003,"화로구이 불고기, 화로구이 더덕",강원특별자치도 홍천군 홍천읍 양지말길 22 외 2필지
105,에이솔,이승한,02-2038-2662,070-8673-1333,단열재,"강원특별자치도 홍천군 남면 흥성길 201, 화전농공단지"
106,에이앤씨브루잉 주식회사,윤현,010-3611-****,02-6488-9814,맥주,강원특별자치도 홍천군 홍천읍 생명과학관길 84
107,영농조합법인 순우리식품,조일현,033-434-8897,033-432-8898,"식염,밀전분,떡류제조업",강원특별자치도 홍천군 남면 흥성길 233
108,영농조합법인 홍천명품한과,이예연,033-433-5521,033-433-5665,"단호박한과, 조청, 약과",강원특별자치도 홍천군 내촌면 아홉사리로 927-19
109,영안모자(주)홍천공장,백승수,033-432-1701,033-433-7502,모자,강원특별자치도 홍천군 홍천읍 생명과학관길 52
110,영진ENC,최영식,010-9219-****,,"계장제어장치, 폐쇄형배전반, 분전반, 전동기제어반, 빌딩자동제어",강원특별자치도 홍천군 남면 흥성길 171
111,오렉스 주식회사,정유석,0,,호두과자기계,강원특별자치도 홍천군 남면 한서로 3276
112,옥천식품,정은선,033-436-7081,033-436-7082,"떡류, 국수류",강원특별자치도 홍천군 영귀미면 수타사로 90
113,용가네식품,용영배,033-435-5330,033-435-6530,감자,강원특별자치도 홍천군 홍천읍 설악로 1009-9
114,우진에코텍(주),석주환,033-435-2696,033-435-2199,"용접철망,돌망태,스크린철망,식생매트",강원특별자치도 홍천군 화촌면 송정2길 9
115,운무마을농림축산 영농조합법인,김우영,0,,"들기름, 참기름, 고춧가루 등",강원특별자치도 홍천군 서석면 청량로 20
116,인텍나노소재 주식회사,박현주,033-433-3779,033-433-3778,고기능성 필름,강원특별자치도 홍천군 남면 흥성길 181
117,장수 농업회사법인 주식회사,김선달,010-3827-****,,발효식초,강원특별자치도 홍천군 서면 모곡로 137 주동
118,전원테크,이재전,031-576-4300,031-576-6353,원예 및 생활용품,강원특별자치도 홍천군 홍천읍 와동로 300
119,제일산업(주),"김진환, 김순배",033-435-5923,033-435-5925,"레미콘, 아스콘",강원특별자치도 홍천군 홍천읍 설악로 1238 (총 2 필지) 외 1필지
120,제일알앤에이(주),김진호,033-435-5272,033-435-5273,"레미콘,아스콘",강원특별자치도 홍천군 북방면 팔봉산로 2550
121,주식회사 가나,송완식,033-435-9441,033-435-9446,"알루미늄난간,차량방호책,우디데크,우디블럭 외",강원특별자치도 홍천군 홍천읍 영서로 2119 외 1필지
122,주식회사 디와이푸드,방남휴,033-436-8855,033-436-8866,"떡류, 면류",강원특별자치도 홍천군 북방면 성동로 94
123,주식회사 링크맨,남성희,033-435-5856,,"LED조명기구, 목재 가공제품",강원특별자치도 홍천군 홍천읍 농공단지길 23-19
124,주식회사 미래정보기술,신동운,033-433-6200,033-433-6232,"보안용카메라, 영상감시장치, 차량판독기, 배전반, 계장제어장치",강원특별자치도 홍천군 남면 흥성길 167
125,주식회사 미래정보기술,신동운,033-433-6200,033-433-6232,"보안용카메라, 영상감시장치, 차량판독기, 배전반, 계장제어장치, 옥외조명설비",강원특별자치도 홍천군 홍천읍 농공단지길 17
126,주식회사 부국화학,김지연,033-435-1233,033-434-1235,도료용 페인트 제조,강원특별자치도 홍천군 홍천읍 농공단지길 24-11 외 1필지
127,주식회사 샌드로블록,이상미,033-435-0660,033-435-4279,"콘크리트벽돌,블록,콘크리트관,조립구조재",강원특별자치도 홍천군 홍천읍 농공단지길 34 외 1필지
128,(주)샌드로블록,이상미,033-435-0660,,"콘크리트호안 및 옹벽블록, 콘크리트블록 등",강원특별자치도 홍천군 홍천읍 농공단지길 17
129,주식회사 씨티씨백,성기홍,070-5112-2621,033-436-5676,동물백신,강원특별자치도 홍천군 홍천읍 생명과학관길 106
130,주식회사 엑스콘,권익현,033-436-0067,033-436-0068,"인공어초, 호안블록 등",강원특별자치도 홍천군 영귀미면 신봉로 54-16 외 1필지
131,주식회사 와이엔텍,김철수,033-435-9040,033-432-3720,"케이블접속자,의료용기기,가정용전기기기",강원특별자치도 홍천군 홍천읍 농공단지길 17
132,주식회사 위드강산,서민효,033-432-7007,033-432-2465,기타 육류 가공 및 저장처리업,강원특별자치도 홍천군 북방면 중화계로 49-7
133,주식회사 유민산업,유익상,033-434-9100,,콘코리트2차제품,강원특별자치도 홍천군 화촌면 삼포4길 10-18 외 2필지
134,주식회사 이엔에이치시스템,김경희,033-4357-7950,033-435-7951,"배전반 및 전기 자동제어반, 계장(계측)제어장치","강원특별자치도 홍천군 홍천읍 농공단지길 17, 1층"
135,주식회사 제이아이코퍼레이션,김지혜,033-258-6633,,"JI-바실, JI-S, JI-F",강원특별자치도 홍천군 홍천읍 농공단지길 23-19
136,주향입국,"임지연,임현혁",033-432-0277,033-435-6347,밀입국,"강원특별자치도 홍천군 남면 망덕산로 96, 1,2층"
137,창대사료,신홍근,033-433-4465,033-434-4465,동물용사료(맥주박 사료),강원특별자치도 홍천군 북방면 팔봉산로 2154-18 외 1필지
138,청해콘텍 주식회사,"구민석, 김수정",010-7364-****,,콘크리트 관 및 기타 구조용 콘크리트 제품,강원특별자치도 홍천군 남면 설악로 48
139,춘희식품,장춘희,033-433-2336,033-433-2326,"유기된장, 약과(한과)",강원특별자치도 홍천군 서석면 청정로 2327-9
140,충남석재,한성규,033-434-5784,033-434-0599,석재성형제품,강원특별자치도 홍천군 홍천읍 설악로 962-3
141,친선정미소,양성철,033-435-7555,33,곡물,강원특별자치도 홍천군 화촌면 가락재로 1454
142,케이넥스,홍석균,070-4352-4488,070-4009-4643,"제모기, 의료용케이블",강원특별자치도 홍천군 홍천읍 농공단지길 17
143,클라우스기타,엄태창,033-436-3971,033-436-3972,기타,강원특별자치도 홍천군 홍천읍 농공단지길 23-11
144,태양3C(주),황창순,033-435-4011,033-435-4017,"Probe Ass""y, LVDS",강원특별자치도 홍천군 홍천읍 농공단지길 23-18
145,태양3C(주) 본점,황창순,033-435-4011,033-435-4017,전자부품,강원특별자치도 홍천군 홍천읍 농공단지길 23-21
146,파란마을영농조합법인,임홍빈,033-433-9911,033-433-9912,반추동물사료,강원특별자치도 홍천군 북방면 성동로 162-12
147,팬덤 패브리케이션(주),채혜지,033-432-7001,033-433-9973,이동식 트레일러,강원특별자치도 홍천군 남면 흥성길 201
148,하립골,용금옥,010-4225-****,,"구절초차,구절초즙,구절초환,꽃차",강원특별자치도 홍천군 남면 월천길 50-46
149,하미토미 영농조합법인,김영민,033-434-4533,033-434-4533,"간장, 된장",강원특별자치도 홍천군 서면 보리울길17번길 16
150,하이트진로(주) 강원공장,김인규,033-430-8100,033-432-2185,맥주,강원특별자치도 홍천군 북방면 도둔길 49 (하이트맥주)
151,한스개발(주),한광용,033-434-0069,033-434-7740,"수중모터 조정기(콘트롤박스), 지열 자동제어기",강원특별자치도 홍천군 백이동길 146 (화촌면)
152,한영농산,이광영,033-435-4545,033-435-1427,잣마을 잣기름,강원특별자치도 홍천군 화촌면 가락재로 367
153,한울로드주식회사,문진기,033-435-5275,033-435-5803,"교량난간, 시설물, 금속재울타리, 관람석",강원특별자치도 홍천군 홍천읍 농공단지길 23-9
154,해피홀딩스홍천,이현삼,010-6375-****,033-433-9832,구운소금,강원특별자치도 홍천군 화촌면 당무로 385
155,혜랑인터내셔날,홍현,033-436-4480,,기타견과류 가공품,"강원특별자치도 홍천군 홍천읍 홍천로4길 24, 2층"
156,홍천강 퀴노아 영농조합법인,김미정,033-433-1288,,"생들기름, 들기름, 참기름",강원특별자치도 홍천군 화촌면 가락재로 1571
157,홍천건설기계정비공장,장현옥,033-434-2348,,버캣제작,강원특별자치도 홍천군 북방면 송학정로 129
158,홍천곡산영농조합법인,윤태건,033-435-8566,033-435-8567,"양곡(쌀, 잡곡)",강원특별자치도 홍천군 홍천읍 설악로 1287-11
159,홍천군산림조합(톱밥공장),박유봉,033-433-5317,033-433-5311,톱밥,강원특별자치도 홍천군 영귀미면 방량로 655 외 3필지
160,홍천군장애인근로작업장,박근배,033-432-9662,033-432-9655,"넥타이, 피복류 등",강원특별자치도 홍천군 북방면 송학정로 36
161,홍천남산식품,장은순,033-434-5139,033-434-5285,"참기름, 들기름, 고춧가루,볶음깨",강원특별자치도 홍천군 홍천읍 송학로 14-8
162,홍천농협미곡종합처리장,심영주,033-434-8391,033-434-8392,일반미,강원특별자치도 홍천군 북방면 두개비산로 304
163,홍천레미콘 주식회사,"조환, 장성원",033-435-4411,033-435-2266,"레미콘,콘크리트제품",강원특별자치도 홍천군 북방면 영서로 2848-19 외 3필지
164,홍천사랑말한우영농조합법인,나종구,033-433-0037,033-434-1690,한우 사료,강원특별자치도 홍천군 북방면 성동로 1125 외 1필지
165,홍천산업(주),김영현,033-432-8570,033-432-8571,"규사, 벽돌, 블록, 인터록킹","강원특별자치도 홍천군 북방면 영서로 3014-13, 외 6필지"
166,홍천순대,선영섭,033-432-9951,033-432-9952,"순대, 편육, 돈두, 기타",강원특별자치도 홍천군 영귀미면 먹방길 26
167,홍천양조장,임동빈,033-432-6347,033-435-6347,탁주,강원특별자치도 홍천군 남면 망덕산로 96
168,홍천축산업협동조합,강문길,033-434-8618,033-434-3478,축산물 가공,강원특별자치도 홍천군 홍천읍 농공단지길 23-10
169,홍천축산업협동조합(늘푸름 홍천한우 전용사료 공장),강문길,033-434-3412,,사료제조,강원특별자치도 홍천군 홍천읍 농공단지길 24-14
170,홍천플륨(주),윤형진,033-435-4277,033-435-4279,"콘크리트맨홀, 수로관, 호안블럭",강원특별자치도 홍천군 홍천읍 느리울길 23
171,홍천한우프라자,이해린,033-433-0155,033-433-6164,한우의 완제품(분쇄육 및 각부위별 포장제품),강원특별자치도 홍천군 홍천읍 남산마을길2길 9
172,황토세상,신동호,033-434-0801,033-434-5608,"황토벽돌, 황토몰탈",강원특별자치도 홍천군 서면 동막리 285-6번지 외 1
173,효자원식품,김수연,010-3730-****,,"현미국수, 메밀국수, 보리국수",강원특별자치도 홍천군 남면 흥성길 143
174,희망산업,이응배,033-432-5756,,"시멘트 벽돌, 블럭",강원특별자치도 홍천군 화촌면 삼포4길 10-18 외 5필지
175,삼둔영농조합법인,권순서,033-436-3536,,"산마늘 절임, 눈개승마 장아찌, 곰취장아찌, 오미자청, 돌배도라지청, 다래청",강원특별자치도 홍천군 내면 섬터길 18
