회사명,대표자명,전화번호,팩스번호,공장대표주소,업종명,생산품
(주)새옥산식품,도운기,054-383-4041,054-383-4042,경상북도 군위군 군위읍 군위공단길 137,곡물 혼합분말 및 반죽 제조업,앙금
(주)서한목재,김서현,054-383-2423,054-383-9990,경상북도 군위군 군위읍 정리 363번지,일반 제재업,목재 PALLET
(주)성도산업,신성희,054-382-6117,053-263-6009,경상북도 군위군 효령면 하평길 81,그 외 기타 플라스틱 제품 제조업 외 1 종,"차선분리대, 울타리"
(주)성화텍,서정하,054-382-1320,054-383-1279,경상북도 군위군 군위읍 군위공단길 118-13,도장및기타피막처리업,알미늄도장
(주)세명,김종명,054-383-5610,054-383-5613,경상북도 군위군 효령면 용매로 1011-14,부직포 및 펠트 제조업,부직포 및 펠프 제조
(주)세운,김량호,054-382-2003,054-382-2004,경상북도 군위군 부계면 치산효령로 1079,배합 사료 제조업 외 1 종,반추위용 섬유질배합사료
(주)세유,임향자,054-383-1005,054-383-4254,경상북도 군위군 군위읍 군위공단길 145,"플라스틱 선, 봉, 관 및 호스 제조업",수지고압호스
(주)세창글로벌,윤교식,054-383-4117,053-565-0907,경상북도 군위군 군위읍 군위공단길 118-3,화학섬유 방적업 외 1 종,임가공 원사
(주)수성피앤티,이영학,054-382-1170,054-382-1173,경상북도 군위군 군위읍 장천로 731-9,부직포 및 펠트 제조업,부직포(자동차 내장재)
(주)신진,박중한,054-382-8000,054-383-8988,경상북도 군위군 효령면 효령공단길 12-13,레미콘 제조업 외 1 종,"레미콘,아스콘"
(주)아이앤지건설,손명호,053-744-5367,053-744-5368,경상북도 군위군 효령면 고곡리 960번지,기타 과실ㆍ채소 가공 및 저장 처리업,"냉동 딸기, 감 슬러시"
(주)알파텍,김현지,054-383-9661,054-383-9664,경상북도 군위군 군위읍 군위공단길 97,"물질 검사, 측정 및 분석기구 제조업 외 5 종","자동제어반, 프로세스제어반, 계장,계측제어반, 수질분석기, 초음파수위계, 유랑계, cctv"
(주)앤디스코나,안성용,054-383-7488,054-383-7481,경상북도 군위군 군위읍 대북길 132,커피 가공업 외 1 종,"원두커피, 녹차파우더"
(주)양호산업,유지금,054-382-0680,054-382-0670,경상북도 군위군 효령면 효령공단길 33,"천막, 텐트 및 유사 제품 제조업 외 1 종",천막지
(주)에이원테크,허영규,054-383-1400,054-383-1405,경상북도 군위군 군위읍 군위공단길 140,그 외 기타 전자부품 제조업 외 1 종,휴대폰 케이스
(주)에이치에스글로텍 군위공장,조인순,054-383-0418,054-383-1471,경상북도 군위군 군위읍 군위공단길 135-3,부직포 및 펠트 제조업 외 6 종,부직포
(주)엘앤비하이테크,박남은,054-383-1791,054-383-1790,경상북도 군위군 군위읍 군위공단길 151,"플라스틱 선, 봉, 관 및 호스 제조업 외 8 종","자동차부품, 플랜트"
(주)영인에프앤에스,성영기,054-382-5500,054-382-5522,경상북도 군위군 군위읍 경북대로 4052,육류 포장육 및 냉동육 가공업 (가금류 제외),가공내장
(주)용전,서상윤,054-383-3871,054-383-3873,경상북도 군위군 군위읍 군위공단길 135-10 군위공단길98,"플라스틱 선, 봉, 관 및 호스 제조업","PE하수관,PE수도관"
(주)우리기술,권진희,054-383-7181,054-383-7188,경상북도 군위군 군위읍 군위공단길 97,"물질 검사, 측정 및 분석기구 제조업 외 4 종","초음파수위계, 유량계, 수질분석기, 영상감시장치, 프로세스제어반, 빌딩자동제어반"
(주)우진,주윤식,054-383-8302,054-383-8444,경상북도 군위군 군위읍 군위공단길 118-16,액체 여과기 제조업 외 2 종,
(주)울트라보드 군위지점,김태웅,054-382-9884,054-475-3344,,,샌드위치 판넬
(주)유피,류효섭,054-382-0673,054-382-0620,경상북도 군위군 효령면 고곡리 1408-179,혼성 및 재생 플라스틱 소재 물질 제조업 외 2 종,"플라스틱 가공원료, 플라스틱 사출제품"
(주)이도산업,송창근,054-383-6007,054-383-6009,경상북도 군위군 효령면 하평길 81,그 외 기타 플라스틱 제품 제조업 외 3 종,"금속재울타리, 디자인울타리, 볼라드, 차선분리대 등"
(주)일광포장,이원규,054-382-0311,054-382-0310,경상북도 군위군 효령면 치산효령로 2250,골판지 제조업 외 1 종,골판지상사
(주)창신산업,정영식,054-382-4060,054-971-4065,경상북도 군위군 군위읍 군위공단길 198-10,"알루미늄 압연, 압출 및 연신제품 제조업",알루미늄 압출판
(주)케이호스,정수환,054-382-9997,,경상북도 군위군 군위읍 군위공단길 84-11,분사기 및 소화기 제조업,소방호스
(주)코리아원진1공장,김효영,054-383-9577,054-383-9580,경상북도 군위군 군위읍 군위공단길 145,고무패킹류 제조업 외 1 종,고압호스
(주)티피엘,이희관,054-383-5237,054-383-5240,경상북도 군위군 군위읍 무성리 1212-37,배합 사료 제조업 외 1 종,혼합성단미사료
(주)평화,신묘임,054-383-5327,,경상북도 군위군 군위읍 군위공단길 105,배전반 및 전기 자동제어반 제조업 외 4 종,"수배전반 및 자동제어반, 가로등주"
(주)한국라이스텍,윤명희,054-382-9525,054-382-9526,경상북도 군위군 효령면 경북대로 2028,곡물 도정업,현미
(주)한국소방기구제작소,정수현,054-383-4062,054-383-1303,경상북도 군위군 군위읍 군위공단길 84-11,분사기 및 소화기 제조업,소화기
(주)한국필그린,이원만,054-383-0444,054-383-5444,경상북도 군위군 의흥면 산성가음로 1352,곡물 도정업,쌀
(주)흥안바이오텍,권용환,054-383-1221,054-383-1225,경상북도 군위군 군위읍 군위공단길 198-8,연사 및 가공사 제조업 외 1 종,가연사(D.T.Y)
korea com topia,백생규,054-383-1277,,경상북도 군위군 군위읍 수서리 421-6번지,도장 및 기타 피막처리업,알미늄
거목개발(주),최환혁,054-383-6171,054-383-6177,경상북도 군위군 소보면 도군로 1392-12,아스팔트 콘크리트 및 혼합제품 제조업,아스콘
경보산업,백판득,054-382-0036,054-382-9036,경상북도 군위군 효령면 용매로 1055-17,기타 건축용 플라스틱 조립제품 제조업,프라스틱 발포문틀
경원전기,송경숙,054-383-8641,054-382-5530,경상북도 군위군 군위읍 군위공단길 97,"전기회로 개폐, 보호장치 제조업 외 9 종","수배전반, 자동제어, 계장제어, 조명제어"
군위명품대추영농조합법인,최규년,,,경상북도 군위군 우보면 동부로 1429,기타 과실ㆍ채소 가공 및 저장 처리업,"대추건조품, 대추분말"
군위축산업협동조합,김진열,054-383-4998,054-383-1149,경상북도 군위군 군위읍 도군로 2389,복합비료 및 기타 화학비료 제조업 외 1 종,부산물비료
금강화이바,권영세,054-383-6361,054-383-6362,경상북도 군위군 효령면 장군로 768,"적층, 합성 및 특수표면처리 종이 제조업",종이화이바(접착지)
금성테크(주),김태정,054-383-7072,054-383-7073,경상북도 군위군 효령면 장군로 736,육상 금속 골조 구조재 제조업 외 1 종,철골 구조재 등
농업회사법인 주식회사 민속엘피씨,권혁수,054-380-3300,054-380-3399,경상북도 군위군 군위읍 오곡리 361번지,육류 도축업(가금류 제외) 외 3 종,축산물
뉴월드,김재령,054-834-4501,054-834-4501,경상북도 군위군 군위읍 군위공단길 97,액체 펌프 제조업 외 2 종,펌프
다솜식품,김명진,054-383-2443,054-383-2443,경상북도 군위군 군위읍 군위금성로 156,두부 및 유사식품 제조업,"두부,도토리묵"
다이나믹스이엔지주식회사,박철홍,054-382-9843,054-975-1198,경상북도 군위군 군위읍 군위공단길 118-8,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,조립금속제품
달구벌공업사,이성재,,,경상북도 군위군 효령면 구효령길 21,농업 및 임업용 기계 제조업,농업용온수기
대구경북능금농협음료가공공장,서병진,054-382-4772,054-382-4773,경상북도 군위군 의흥면 동부로 935-14,기타 과실ㆍ채소 가공 및 저장 처리업,능금쥬스
대동알미늄,이현배,054-382-5451,054-382-5399,경상북도 군위군 군위읍 군위공단길 102,"알루미늄 압연, 압출 및 연신제품 제조업 외 1 종",알미늄압출품
대성티앤씨,서영준,054-974-2323,054-382-2505,경상북도 군위군 군위읍 경북대로 3190,기타 목재가구 제조업,목재탁자
대원산업(주),박언규,054-383-9367,054-383-9368,경상북도 군위군 군위읍 군위공단길 156,연사 및 가공사 제조업,"연사, 가연"
대진레져,유준혁,054-382-2787,054-382-3787,경상북도 군위군 효령면 하평길 15,구조용 금속 판제품 및 공작물 제조업 외 2 종,"야외용 운동기구, 놀이터시설, 조경시설"
대창금속,최순호,054-382-3404,054-382-3403,경상북도 군위군 효령면 장기길 42,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,"가방부속,건축부속"
대창산업사,박정호,054-382-6043,054-382-5108,경상북도 군위군 우보면 동부로 1521,곡물 도정업,쌀
대한FRP산업,이준선,054-383-9338,,경상북도 군위군 효령면 경북대로 2611,설치용 및 위생용 플라스틱제품 제조업,FRP물탱크
동기(주),박상하,054-382-9940,,경상북도 군위군 효령면 하평길 115,골판지 제조업 외 1 종,골판지상자
동성산업,김주형,054-382-6462,054-382-9353,경상북도 군위군 효령면 서고암2길 45,"콘크리트 타일, 기와, 벽돌 및 블록 제조업","벽돌,블록"
동양플랜트,조희,,,경상북도 군위군 효령면 구효령길 22 (동양FRP개발) ,설치용 및 위생용 플라스틱제품 제조업,물탱크
동우섬유(주),김상환,054-382-2511,054-382-2513,경상북도 군위군 효령면 효령공단길 5,연사 및 가공사 제조업,연사
동일산업사,김연수,054-382-2758,054-382-2579,경상북도 군위군 효령면 하평길 33-4,주방용 및 음식점용 목재가구 제조업,업소용식탁
무성섬유,최민락,054-382-1932,054-382-1932,경상북도 군위군 군위읍 군위공단길 171,연사 및 가공사 제조업,폴리에스텔
미려식품,서명숙,,,경상북도 군위군 군위읍 정2길 17-63 (총 3 필지),천연 및 혼합조제 조미료 제조업,카레가루(혼합분말)
범호탑도어,박장호,,,경상북도 군위군 효령면 고곡리 1408-37번지 ,"금속 문, 창, 셔터 및 관련제품 제조업",철문(현관도어용)
산호정밀,강주석,,,경상북도 군위군 군위읍 수서리 산 25-3,자동차 차체용 신품 부품 제조업 외 1 종,자동차부품(도어부분품)
삼동몰딩,신문희,,,경상북도 군위군 부계면 치산효령로 1007,목재문 및 관련제품 제조업,목창호
삼성ENG,서진아,054-383-1414,054-382-1415,경상북도 군위군 군위읍 군위공단길 179,"천막, 텐트 및 유사 제품 제조업",농업용 제초매트
삼성식품,안미영,,,경상북도 군위군 효령면 장군리 46-1번지,기타 곡물 가공품 제조업,팝콘
삼성톱밥,박종은,054-383-5649,,경상북도 군위군 효령면 경북대로 2115-38,표면 가공 목재 및 특정 목적용 제재목 제조업,톱밥
삼우싸이징,정호상,054-382-3737,054-382-3780,경상북도 군위군 효령면 효령공단길 12-9,연사 및 가공사 제조업,싸이징
상록개발,이종윤,054-383-6372,,경상북도 군위군 효령면 장기길 308,구조용 금속 판제품 및 공작물 제조업,금속공작물제조업
상록산업,김미라,,054-382-9661,경상북도 군위군 효령면 고곡리 1408-180,육상 금속 골조 구조재 제조업 외 1 종,철골조립구조재
석담정밀,정인서,054-382-7167,054-382-7168,경상북도 군위군 효령면 용매로 1055-33 ,"금속 문, 창, 셔터 및 관련제품 제조업 외 4 종","금속롤링도어, 소음기부품"
선경출판인쇄사,박정선,054-383-1134,054-383-1105,경상북도 군위군 군위읍 군위공단길 198-1,경 인쇄업 외 2 종,"인쇄,출판"
성민섬유,이추호,054-382-9008,054-382-9008,경상북도 군위군 효령면 고곡리 1408-117번지,면직물 직조업,직조업
세광니트,양현우,,,경상북도 군위군 효령면 고곡리 1408-177번지 ,면직물 직조업,면직물
세기이앤씨(주),정윤미,054-383-5770,054-383-5772,경상북도 군위군 군위읍 군위공단길 118-13,설치용 및 위생용 플라스틱제품 제조업,FRP오수정화조
세영,김연미,054-383-5610,,경상북도 군위군 효령면 용매로 1011-18,부직포 및 펠트 제조업,부직포
수앤테크,손정락,054-976-7899,054-976-7896,경상북도 군위군 효령면 효령공단길 34,액체 여과기 제조업 외 1 종,"드럼스크린,평면스크린,호퍼,벨트컨베이어,에어컨베이어,스크루컨베이어,슬러지수집기,탈취기"
수앤테크,손정락,054-382-2364,054-382-2366,경상북도 군위군 효령면 효령공단길 12-9,액체 여과기 제조업 외 1 종,"드럼스크린,벨트컨베이어,탈취기등"
승은농업회사법인주식회사,박재응,054-382-7801,054-382-7802,경상북도 군위군 효령면 효령공단길 4,천연 및 혼합조제 조미료 제조업 외 2 종,"고춧가루,참기름,볶은깨"
신라산업,강현석,053-744-7756,053-744-7756,경상북도 군위군 효령면 치산효령로 2009,부직포 및 펠트 제조업,펠트및부직포
씨에스(CS),손동찬,,,경상북도 군위군 군위읍 군위공단길 159,산업용 그 외 비경화 고무제품 제조업 외 1 종,"고무판, 인조섬유방적사"
아이쿡,김재원,054-382-9991,054-382-9919,경상북도 군위군 효령면 효령공단길 12-3,가정용 비전기식 조리 및 난방 기구 제조업,주방용품
아진산업,신상용,054-382-0036,054-382-0036,경상북도 군위군 산성면 산성가음로 738-13,기타 방적업 외 1 종,폴리에스텔
알에스이(주),조기래,054-382-9095,054-382-8965,경상북도 군위군 효령면 용매로 1055-6,육상 금속 골조 구조재 제조업 외 1 종,철구조물
양정산업사,권상도,054-382-0365,054-382-0364,경상북도 군위군 효령면 장기길 32-7,플라스틱 필름 제조업 외 1 종,P.E 포장용봉투
에스티엠(주),김준우,054-383-9766,054-383-1340,경상북도 군위군 군위읍 군위공단길 185,그 외 자동차용 신품 부품 제조업 외 3 종,"자동차용부품, 고무제품, 오일씰, 마그네틱 로터리 엔코더 등"
연합공조,정의숙,054-382-1451,054-382-1451,경상북도 군위군 효령면 서고암2길 46,구조용 금속 판제품 및 공작물 제조업,덕트
영남냉장,김복기,,,경상북도 군위군 군위읍 무성리 444번지,기타 과실ㆍ채소 가공 및 저장 처리업,"사과말랭이, 감말랭이, 참마말랭이"
영동산업,박영곤,054-383-5068,054-383-5645,경상북도 군위군 효령면 효령공단길 14-12,직물포대 제조업,PP포장지
영풍산업,박성호,054-382-8032,054-383-4857,경상북도 군위군 효령면 치산효령로 2415,곡물 도정업,"쌀,보릿쌀"
오복누리,이대훈,,,경상북도 군위군 효령면 용매로 1011-7,배합 사료 제조업,사료
오연숙,오연숙,054-383-8601,054-383-8603,경상북도 군위군 효령면 용매로 1032,구조용 금속 판제품 및 공작물 제조업,일반철물 및 수공구
온누리식품,전성실,,,경상북도 군위군 군위읍 정리 491,곡물 제분업,"쌀가루, 콩가루, 들깨가루 등"
우리농기계,윤정덕,,,경상북도 군위군 효령면 경북대로 2613,농업 및 임업용 기계 제조업,농업 및 임업용 기계
우리스틸(주),김병준,054-382-6701,054-382-9672,경상북도 군위군 효령면 점말길 6-1,육상 금속 골조 구조재 제조업 외 1 종,C형간
우성바이오영농조합법인,조진숙,,054-383-5824,경상북도 군위군 우보면 이화리 960-1번지 ,그 외 기타 식료품 제조업,"지황액기스, 지황고"
우성산업,장옥수,,,경상북도 군위군 경북대로 3972 -1(군위읍),자동차용 금속 압형제품 제조업 외 1 종,모터코어(가전제품용)
우성제약(주),조진숙,054-382-8900,054-382-5824,경상북도 군위군 우보면 동부로 1666,한의약품 제조업,"숙지황,신곡, 맥아"
우승스틸(주),이인덕,054-382-0451,,경상북도 군위군 효령면 용매로 1030,구조용 금속 판제품 및 공작물 제조업,철구조물
우정TEX,문용재,,054-382-8911,경상북도 군위군 군위읍 군위공단길 112,연사 및 가공사 제조업,연사
유성산업,손희정,,,경상북도 군위군 군위읍 수서리 638,기타 목재가구 제조업,목재탁자
은성산업,최정숙,054-383-8021,054-383-8022,경상북도 군위군 산성면 산성가음로 2,비금속류 해체 및 선별업 외 1 종,자동차 범버
의흥식품,김대영,054-382-7711,054-383-7729,경상북도 군위군 의흥면 읍내4길 20-1,두부 및 유사식품 제조업,두부
이례기업(주),이상하,054-383-1558,054-383-1560,경상북도 군위군 효령면 효령공단길 7,"금속 문, 창, 셔터 및 관련제품 제조업 외 5 종","도로표지판, 지주 등"
이엠텍,이수협,054-382-1588,054-382-1589,경상북도 군위군 군위읍 군위공단길 198-1,액체 여과기 제조업 외 2 종,"섬유여과기, 계장제엊장치, 프로세스제어반, 교반기, 평면스크린, 모니터장치"
이화폴리텍(주),신승원,054-383-7885,054-383-7884,경상북도 군위군 의흥면 금양리 575번지,플라스틱 필름 제조업 외 1 종,비닐
일성공업사,우창구,054-383-6307,,경상북도 군위군 효령면 하평길 75,포장용 플라스틱 성형용기 제조업,파이프캡
일이산업,김교근,054-383-1212,054-383-0793,경상북도 군위군 효령면 경북대로 2514-12,폴리스티렌 발포 성형제품 제조업 외 1 종,연성플라스틱발포성형제품
정오에이티와이(주),전용태,054-383-4117,054-383-3119,경상북도 군위군 군위읍 군위공단길 101,연사 및 가공사 제조업,"ATY, 연사"
제우목재,양우석,054-383-5885,054-383-5886,경상북도 군위군 효령면 경북대로 2703-54,일반 제재업,목재가공
제일산업,김영욱,054-383-1414,,경상북도 군위군 군위읍 군위공단길 135-4,"천막, 텐트 및 유사 제품 제조업",PE타포린
제일철망주식회사,김미성,054-931-3896,,경상북도 군위군 효령면 용매로 1011-10,금속선 가공제품 제조업,"용접철망,돌망태,메시형울타리,스톤네트"
조은창호,이미영,054-382-5214,054-382-5215,경상북도 군위군 효령면 용매로 1055-39,목재문 및 관련제품 제조업 외 1 종,"목재문, 합성수지문"
주식회사 다원코리아,전삼웅,054-552-5508,053-218-8001,경상북도 군위군 군위읍 군위공단길 138,속도계 및 적산계기 제조업 외 4 종,"유량계,수처리계측제어기기,자동제어반,프로세스제어반,여과기,약품투입기,탈수및배수장치,탈취기등"
주식회사 대명,장병익,054-634-7706,054-634-7707,경상북도 군위군 군위읍 군위공단길 138,속도계 및 적산계기 제조업 외 4 종,"유량계, 수러치계측제어기기"
주식회사 동흥식품 농업회사법인,손판곤,054-382-8778,054-382-8779,경상북도 군위군 효령면 구효령길 36,김치류 제조업 외 1 종,깍두기
주식회사 디더블유(DW),권창창,054-383-0037,054-383-1266,경상북도 군위군 군위읍 군위공단길 118-13,폴리스티렌 발포 성형제품 제조업 외 1 종,"스티로폼, 난연스티로폼"
주식회사 신농,이상조,053-217-8011,,경상북도 군위군 소보면 송원리 산 52-1번지,기타 과실ㆍ채소 가공 및 저장 처리업,건조버섯가루
주식회사 에이치씨군위산업,박병윤,054-383-3200,054-383-3200,경상북도 군위군 군위읍 장천로 764,레미콘 제조업,레미콘
주식회사 에이치엠,김재현,054-383-7577,054-383-7572,경상북도 군위군 효령면 효령공단길 36,그 외 기타 분류 안된 섬유제품 제조업 외 1 종,수직형 추락방망 등 안전시설물
주식회사 예몽,조재열,,,경상북도 군위군 효령면 효령공단길 12-9,기타 곡물 가공품 제조업,"곡류가공품, 기타가공품"
주식회사 평화,신묘임,054-383-5327,,경상북도 군위군 군위읍 군위공단길 159,배전반 및 전기 자동제어반 제조업 외 4 종,"배전반, 전기자동제어반,CCTV등"
지에스티케이주식회사,이찬희,054-383-6166,054-383-6199,경상북도 군위군 효령면 치산효령로 2019,"천막, 텐트 및 유사 제품 제조업 외 1 종",p.e천막지
진성농산,홍순현,054-383-3064,054-383-3064,경상북도 군위군 군위읍 양천길 269-53,기타 과실ㆍ채소 가공 및 저장 처리업,채소가공저장업
참농부식품,홍태근,054-382-0045,054-383-8657,경상북도 군위군 부계면 한티로 2206-37,장류 제조업,"된장, 간장, 청국장, 청국장환"
창보직물,안성찬,054-382-0012,054-382-0012,경상북도 군위군 효령면 하평길 41-5,특수 직물 및 기타 직물 직조업,섬유
창영니트,남분능,054-383-0087,054-383-0134,경상북도 군위군 효령면 효령공단길 34,그 외 기타 분류 안된 섬유제품 제조업,원단
청금클로렐라,전영길,,,경상북도 군위군 부계면 치산효령로 1398-19,기타 비알코올 음료 제조업,클로렐라C
청자기업,이범용,054-382-1232,054-383-1033,경상북도 군위군 효령면 경북대로 2514-17,"플라스틱 포대, 봉투 및 유사제품 제조업",발포PE
청화정밀,김덕천,054-382-9958,054-382-9967,경상북도 군위군 군위읍 군위공단길 140,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품
코리아스틸(주)(제2공장),채달수,054-382-3797,054-382-9672,경상북도 군위군 효령면 점말길 6-12,기타 구조용 금속제품 제조업,금속판넬
코리아스틸(주)(제3공장),채달수,054-382-6703,,경상북도 군위군 효령면 점말길 6-1,육상 금속 골조 구조재 제조업 외 1 종,C형간
코리아콤토피아,백생규,054-251-9934,,경상북도 군위군 군위읍 군위공단길 118-13,도장 및 기타 피막처리업,알미늄제품
탑라인(주),하경용,,054-383-8063,경상북도 군위군 효령면 효령공단길 23,"천막, 텐트 및 유사 제품 제조업 외 1 종",천막지
태극산업,정원갑,054-382-0863,,경상북도 군위군 효령면 신매길 24-30,플라스틱 필름 제조업 외 2 종,"폴리에틸렌 필름, 피복용 플라스틱 제품"
태길엔피이싸이징,전용태,054-383-4117,054-383-4119,경상북도 군위군 군위읍 군위공단길 118-3,화학섬유직물 직조업,폴리에스텔
태성케미컬,박태성,,,경상북도 군위군 효령면 용매로 1055-29,플라스틱 필름 제조업 외 1 종,PE시트(평판)
태양섬유,하동근,054-382-0834,054-382-0934,경상북도 군위군 효령면 용매로 1055-45,어망 및 기타 끈 가공품 제조업,"안전망, 분진망"
태인건업,최현석,054-383-1373,,경상북도 군위군 효령면 장군로 736,육상 금속 골조 구조재 제조업 외 1 종,철골구조제
태흥산업(주),이병옥,054-383-3753,054-383-3755,경상북도 군위군 군위읍 군위공단길 118-25,"천막, 텐트 및 유사 제품 제조업 외 1 종",캔버스제품
태흥산업(주),이병옥,054-383-3753,054-383-3755,경상북도 군위군 군위읍 군위공단길 135-4,"천막, 텐트 및 유사 제품 제조업 외 1 종",캔버스 체출 제조업
푸른식품,한복자,054-382-9771,054-382-9772,경상북도 군위군 효령면 용매로 1055-27,천연 및 혼합조제 조미료 제조업,고추가루
하이브테크,김광진,054-382-5032,054-382-5034,경상북도 군위군 군위읍 하곡리 165-3,그 외 기타 플라스틱 제품 제조업,플라스틱사출성형품(벌통부분품)
한국사이언스 주식회사,성명희,054-383-6242,054-383-5174,경상북도 군위군 효령면 용매로 1011-19,비금속류 해체 및 선별업 외 1 종,"재생칩, PE관, 호스"
한국상사,양재근,054-383-1666,,경상북도 군위군 군위읍 군위공단길 159,그 외 기타 분류 안된 섬유제품 제조업,디카붐붐
한국이엠산업(주),홍남규,054-382-8645,054-382-7809,경상북도 군위군 부계면 치산효령로 1069,배합 사료 제조업 외 3 종,"비료,사료"
한국전관 주식회사,배예솔,043-882-8460,031-881-5064,경상북도 군위군 효령면 용매로 1011-23,"플라스틱 선, 봉, 관 및 호스 제조업",파상형 경질PE전선관
한도포장공업(주),이순남,054-383-9700,054-383-9711,경상북도 군위군 효령면 점말길 6-2,골판지 제조업 외 1 종,골판지
현대산업,김윤진,,,경상북도 군위군 효령면 나곡길 20,플라스틱 창호 제조업,PVC창호
