순번,회사명,주소,전화번호,생산품
29,(주)에이스앤아이,"대구광역시 서구 염색공단천로1길 32 (비산동, 거성테크(주))",053-351-5119,방화문자동폐쇄장치
30,(주)에코아,대구광역시 서구 달서천로87길 7 (원대동1가),053-720-9911,LED조명
31,(주)영상,대구광역시 서구 팔달로 72-18 (비산동),053-354-8338,판지상자+종이박스
32,(주)영피쉬,"대구광역시 서구 서대구로63길 11 (비산동, 동보냉동)",053-351-3744,수산물냉동품
33,(주)와이앤피,대구광역시 서구 달서로 70 (비산동),053-526-0584,여성의류
34,(주)우정하우징,대구광역시 서구 북비산로 113-13 (이현동),053-358-3368,자동차부품고정용지그제품
35,(주)유신테크,대구광역시 서구 염색공단천로3길 11(비산동),053-351-6501,금속제품
36,(주)이엘피,대구광역시 서구 염색공단로 12 (비산동),053-353-4991,첨단검사장비
37,(주)이티아이,"대구광역시 서구 염색공단로 18 (비산동, 신우밸브)",053-356-4617,버터플라이+밸브 및기타밸브
38,(주)채비,대구광역시 서구 국채보상로83길 13 (비산동),053-526-4226,천연염색의류
39,(주)칼라푸드,"대구광역시 서구 염색공단로 54 (비산동, 세원알미늄) 외 1필지",053-341-5599,도시락
40,(주)케이케이엠모터코리아이현공장,대구광역시 서구 이현동 226-4 번지,053-256-1136,오토바이+전기자전거
41,(주)코리아씨엔티,"대구광역시 서구 염색공단천로1길 32, 2층 (비산동)",053-294-8002,전자부품(휴대폰)도색
42,(주)태영산업,대구광역시 서구 염색공단천로12길 6 (비산동),053-359-1880,도금
43,(주)태영산업,대구광역시 서구 염색공단천로10길 19(비산동),053-359-1880,전자부품 및 자동차부품 도금
44,(주)프랜푸드,"대구광역시 서구 팔달로2길 25 (비산동, 한주기전)",053-359-3665,닭가공+ 소스제조
45,(주)프리앤메지스,"대구광역시 서구 달서로 20 (내당동, 대구서부신협)",053-553-0513,여성복정장
46,(주)현대건설기계정비,대구광역시 서구 가르뱅이로 79-15 (상리동),053-582-0113,하수도준설차
47,(주)현대화성,"대구광역시 서구 염색공단천로1길 34 (비산동, 금산정밀)",053-359-3734,에폭시도막 방수재
48,(주)협신이앤씨,대구광역시 서구 당산로67길 24 (중리동),053-558-2525,분수대+ 경관조명기구 등 
49,(주)혜성섬유제2공장,대구광역시 서구 염색공단천로1길 35 (비산동),053-352-2266,원사와인더가공품
50,(주)휴먼피에타스,대구광역시 서구 염색공단천로 8 (비산동),053-324-7756,도시락
51,(주)휴브아이웨어,대구광역시 서구 달서천로 399 (원대동1가),053-383-0402,안경테+ 선글라스
52,F.C 컴퍼니,"대구광역시 서구 서대구로 129, 의류봉제지원센터, 2층 (평리동)",,체육복 +속옷 및 잠옷
53,G.S시스템,대구광역시 서구 염색공단로11길 17 (비산동),053-354-0476,직물검사장치
54,JAT청운,대구광역시 서구 염색공단천로12길 3(비산동),053-351-3724,콘택트렌즈 케이스+ 사출성형
55,갑우정밀공업사,대구광역시 서구 가르뱅이로21길 11 (상리동),053-552-2700,노광기
56,강원산업사,대구광역시 서구 가르뱅이로21길 28-9 (상리동) 외 1필지,053-552-9399,금형
57,거봉아노다이징,대구광역시 서구 염색공단천로 94-1 (비산동),,전자+자동차부품 피막
58,경원산업사,대구광역시 서구 팔달로2길 7 (비산동),,자동차부품
59,경인샷다,"대구광역시 서구 염색공단로 54 (비산동, 세원알미늄)",,방화샷다
60,경일금속,대구광역시 서구 염색공단천로 32 (비산동),053-353-6878,스테인리스 표면 가공
61,경일산업,"대구광역시 서구 와룡로66길 65-9 (중리동, 경일산업)",053-561-0988,수문
62,계진푸드,"대구광역시 서구 서대구로63길 11, 5층 (비산동)",053-352-5535,닭고기가공
63,광명산업,대구광역시 서구 가르뱅이로 93-11 (상리동),053-572-7227,파이프가공품
64,광진정밀,대구광역시 서구 염색공단천로14길 9-7 (비산동),053-351-6348,금형
65,광진테크,대구광역시 서구 이현동 240-2번지,,자동차부품용 금형가공
66,그린T&C,대구광역시 서구 북비산로29길 68 (이현동),,주방가구+ 금속구조물
67,그린테크,대구광역시 서구 와룡로66길 65-13 (중리동),,자동차부품
68,금광산업사,"대구광역시 서구 염색공단천로6길 6 (비산동, 금광산업사)",053-351-1315,안경테
69,금빛커텐,대구광역시 서구 서대구로10길 53 (내당동),,커튼
70,금성제면,"대구광역시 서구 서대구로61길 41 (비산동, 금성제연)",053-352-9787,국수+쌀떡
71,기린지게차,대구광역시 서구 새방로 95(상리동),053-571-0808,건설기계정비업
72,낙동테크닉스,대구광역시 서구 북비산로13길 14-10(이현동),053-354-2399,원목 자동 송재차+ 갱립쇼+ 목재 파쇄기 등
73,남문목재,"대구광역시 서구 서대구로63길 12 (비산동, 북부목공소)",053-352-1221,목재
74,남창산업,대구광역시 서구 당산로69길 19 (중리동),053-561-8001,문지
75,네오텍,대구광역시 서구 통학로 176-65 (평리동),,양말
76,녹원,"대구광역시 서구 문화로51길 5 (평리동, 녹원침장)",053-566-1090,침구류
77,뉴크린,대구광역시 서구 서대구로3길 65-36 (내당동),053-744-6663,LED조명+LED스틱바
78,님프만 커머스,대구광역시 서구 국채보상로46길 37-14 (평리동) 1층,,이불+ 베개 등(침구류)
79,다성,"대구광역시 서구 국채보상로 405, 4층 (비산동)",053-566-1114,커튼 및 유사제품 제조업
80,단지애드,대구광역시 서구 문화로 130 (평리동),,간판+현수막
81,단지엘이디(LED),대구광역시 서구 당산로 418-1 (평리동),,LED모듈+조명기구
82,대경제과,대구광역시 서구 문화로 263-10 (평리동),053-565-9804,빵류
83,대경특수유리,대구광역시 서구 북비산로29길 49 (이현동),,복층유리제조
84,대광수지,"대구광역시 서구 염색공단천로10길 13 (비산동, 대광비닐)",053-357-0097,농+공업용 비닐제품
85,대구가방,대구광역시 서구 당산로69길 19 (중리동),,가방
86,대구봉제,"대구광역시 서구 서대구로 129, 7층(소상공인 특화센터, 평리동) (평리동)",,작업복+ 근무복
87,대구특수엠보텍스,대구광역시 서구 염색공단로11길 55 (비산동) 외 1필지,053-359-1386,섬유 엠보싱 임가공
88,대남공업사,대구광역시 서구 북비산로7길 14-6 (이현동),053-555-7840,스텐볼트
89,대동기전,대구광역시 서구 염색공단천로14길 11 (비산동),,자동제어기계(섬유 및 염색기계 용 등)
90,대림초경,"대구광역시 서구 염색공단천로8길 16, 5동 (비산동)",053-355-4288,자동차부품 금형
91,대명상사,"대구광역시 서구 국채보상로 413 (비산동, 대명상사)",,당구지(당구대 천)
92,대본보링사,"대구광역시 서구 북비산로 77-6 (이현동, 신대본정비)",053-559-0188,원동기수리
93,대산상사(주),"대구광역시 서구 평리로35길 48 (중리동, 일광 전자)",053-581-5399,문구용 종이제품
94,대영산업,대구광역시 서구 가르뱅이로9길 25 (상리동),053-355-8246,방화문
95,대영정밀제2공장,대구광역시 서구 와룡로90길 34 (이현동),053-525-6090,임플란트머신+치과시술용앵글
96,대용기계,"대구광역시 서구 팔달로2길 4 (비산동, 화신에너지)",053-352-9097,염색기
97,대우단보루포장공업사,"대구광역시 서구 염색공단천로14길 16-16 (비산동, 대우포장공업)",053-341-6434,골판지
98,대우자동차정비공장,"대구광역시 서구 염색공단천로8길 16-2, 대우자동차정비공장 (비산동) 외 1필지",053-356-5550,자동차적재함+ 차체
99,대일P&B,대구광역시 서구 북비산로 105-8 (이현동),053-582-5080,칼라박스
100,대정섬유,"대구광역시 서구 가르뱅이로6길 42 (이현동, 대정섬유)",053-522-2238,합성섬유
101,대창섬유,"대구광역시 서구 북비산로65길 22-2 (비산동) 지하1층, 1층, 3층",053-651-3569,양말+ 덧버선
102,대홍엔지니어링,대구광역시 서구 팔달로2길 61 (비산동),053-357-9515,기계부품
103,대화공업,대구광역시 서구 염색공단천로7길 38 (비산동),053-353-5335,자동차부품(램프 및 핀류)
104,대흥화학,"대구광역시 서구 염색공단천로14길 15-3 (비산동, 대흥화학)",053-355-6673,문짝잠금장치
105,도매유리,대구광역시 서구 북비산로29길 48 (이현동),053-553-6262,복층유리+유리가공
106,도이퍼니처,"대구광역시 서구 달서천로 421 (원대동1가, 광덕OA프라자)",053-357-3296,책장+수납장+책상
107,동광명품방화문,대구광역시 서구 염색공단천로3길 11 (비산동),053-557-5555,방화문+방음문+철재문
108,동방펌프테크,"대구광역시 서구 염색공단로 137-9 (비산동, 경원기계)",053-351-6111,진공펌프
109,동보프라테크,"대구광역시 서구 염색공단천로12길 2 (비산동, 동보PRC)",053-353-1234,공중합체관
110,동아어패럴,대구광역시 서구 달서로6길 31 (내당동),053-522-4456,작업복+티셔츠+조끼+ 남성 겉옷+ 여성 겉옷 등
111,동원FST,대구광역시 서구 달서천로 392 (원대동1가),,셔터문
112,동원씨엠,"대구광역시 서구 염색공단로 125 (비산동, 동원섬유)",053-351-0965,나일론+폴리에스텔
113,동원테크,대구광역시 서구 팔달로2길 9 (비산동),053-352-4783,농.산업용 전동운반차
114,두영전자,대구광역시 서구 와룡로66길 65-7 (중리동),070-8877-7228,와이어하네스(차량용)
115,따시온,대구광역시 서구 중리동 1149-1번지,053-525-4999,침구류
116,메디스헬스케어(주),대구광역시 서구 가르뱅이로20길 33-1 (상리동),053-287-3388,의료용가스공급장치외
117,무드우드,"대구광역시 서구 북비산로7길 6, 101호 (이현동)",,가구
118,문화산업,대구광역시 서구 염색공단로5길 19 (비산동),053-351-6758,자동차부품
119,미래텍(주),"대구광역시 서구 북비산로75길 3 (비산동, 서광세탁)",,LED조명등
120,보강산업,대구광역시 서구 북비산로 108-15 (이현동),053-476-0090,조립식구조물 등
121,보람정밀,대구광역시 서구 북비산로13길 14-5 (이현동),,도어록용 열쇠
122,보성산업,대구광역시 서구 가르뱅이로20길 2 (상리동),053-634-4550,저온창고 냉동기 및 컨트롤 박스
123,보성종합정비(주),대구광역시 서구 북비산로 87 (이현동),053-558-0050,건설기계정비
124,부광공업사,대구광역시 서구 고성로25길 25-9 (원대동2가),053-357-8650,가전부품 CNC가공
125,부광기계공업사,"대구광역시 서구 염색공단천로 77 (비산동, 복현식당)",053-353-0511,유직기
126,삼보산업,"대구광역시 서구 염색공단천로12길 18 (비산동, 삼보산업)",053-357-8312,안경테
127,삼부공업사,"대구광역시 서구 염색공단천로3길 37 (비산동, 협신제재소)",053-358-1965,볼트+너트및나사제품
128,삼성교역(주),"대구광역시 서구 염색공단로13길 18 (비산동, 삼성교역)",053-354-0541,나일론
129,삼성기계,대구광역시 서구 서대구로63길 13 (비산동),053-254-5398,제면기
130,삼성산업,대구광역시 서구 와룡로72길 70 (중리동),053-555-5533,도배풀
131,삼성텍,"대구광역시 서구 서대구로63길 49, 3층 전체 , 1층 일부(비산동)",,사출금형+ 블라인드 부품
132,상천테크,대구광역시 서구 당산로 462-20 (평리동),053-522-1176,비산물 방지기구
133,새한종합주방,대구광역시 서구 가르뱅이로6길 49 (이현동),053-351-3203,주방기구
134,서광사,대구광역시 서구 통학로30길 2 (평리동),053-558-5984,의복(교복)
135,서연유니폼,"대구광역시 서구 달서로 29 (내당동, 포시즌반점)",1588-9806,의류
136,서연유니폼,"대구광역시 서구 국채보상로38길 66 (중리동, OK할인마트)",,유니폼
137,서연유니폼,"대구광역시 서구 국채보상로38길 66, 1층 (중리동)",053-951-9483,병원 환자복 등
138,서진창호,대구광역시 서구 북비산로13길 24 (이현동),053-571-7300,PVC창호
139,서진텍스,"대구광역시 서구 염색공단천로10길 15 (비산동, 미산프라스틱)",053-357-8276,자수레이스
140,선광산업,대구광역시 서구 와룡로66길 65-10 (중리동),053-523-3175,옵셋인쇄+경인쇄
141,선일이앤알주식회사,대구광역시 서구 염색공단천로16길 13 (비산동) 외 1필지,053-354-0580,R.S.F
142,선진애드,대구광역시 서구 당산로88길 24 (평리동),053-555-3336,서식+책자
143,성공산업,대구광역시 서구 염색공단천로14길 9-4 (비산동),053-356-9268,금형
144,성광아이엔디,"대구광역시 서구 염색공단천로 79 (비산동, 영동정밀)",053-355-5812,임가공 및 산업기계제작
145,성서섬유,대구광역시 서구 팔달로2길 65 (비산동),053-358-4101,폴리 및 교직물 피치가공
146,성원물산,"대구광역시 서구 달서천로83길 23 (원대동3가, 천년약속)",,정복+ 학생복+ 근무복+ 유니폼 등
147,성원장갑,"대구광역시 서구 염색공단로5길 5 (비산동, 일미정)",053-358-0870,자수직물
148,성진산업,대구광역시 서구 중리동 1101-2번지,053-565-2882,침구류
149,성진정밀기계,대구광역시 서구 서대구로63길 15 (비산동),053-352-6627,마늘 분리기
150,세광정밀(주),대구광역시 서구 가르뱅이로16길 16-10 (상리동),053-556-8511,포탄신관부품+ 항공기용부품
151,세광정밀주식회사,대구광역시 서구 가르뱅이로 69 (상리동),053-556-8511,전자광학추적장비+조준장치세트+무인감시센서
152,세광정밀주식회사,"대구광역시 서구 가르뱅이로9길 13-8, 1층 (상리동)",053-556-8511,전자광학추적장비
153,세브란스 유니폼,대구광역시 서구 달서로25길 8(비산동),053-572-2944,의류 및 화섬직물
154,세아상사,"대구광역시 서구 북비산로29길 34 (평리동, 세아) (총 2 필지) 외 1필지",053-563-8366,나일론수지(재료)
155,송도산업,대구광역시 서구 와룡로 428-4 (이현동),,종광
156,송원기업사,"대구광역시 서구 북비산로29길 57 (이현동, 송원기업사)",053-567-1450,자동차부품+섬유기계부품
157,송화침장,대구광역시 서구 달구벌대로371길 24 (내당동),053-553-9632,침구
158,스마일테크,"대구광역시 서구 염색공단로 14 (비산동, 스마일테크)",053-359-0465,사출금형가공
159,신세계유니폼,"대구광역시 서구 서대구로 129, 3층, 의류봉제지원센터 (평리동)",053-564-3338,병원근무복+ 환자복+침대시트
160,신안산업사,"대구광역시 서구 달서천로83길 32-1 (원대동2가, 인화정밀)",053-353-7615,안경
161,신용애드,대구광역시 서구 북비산로13길 12 (이현동),053-523-4745,LED광고판
162,신창씨링인쇄사,"대구광역시 서구 달서로4길 10 (내당동, 신창씨링인쇄소)",053-655-3084,인쇄물+라벨+스티커+태그
163,신흥섬유,대구광역시 서구 당산로 257 (내당동),053-563-9492,면티
164,쌍마장갑,"대구광역시 서구 북비산로 171 (평리동, 쌍마장갑)",053-551-3200,목장갑
165,아스코,대구광역시 서구 염색공단천로8길 17 (비산동),053-356-1627,자동차부품 및 각종 산업용 기계+ 부품 코팅
166,아이선,대구광역시 서구 서대구로54길 35 (비산동),053-527-2022,신선+편의식품
167,아이에스산업,대구광역시 서구 통학로 203 (평리동),053-743-5662,구명조끼+가방+각종 봉제품
168,안심글로벌텍스,대구광역시 서구 염색공단천로7길 24 (비산동),053-581-1134,섬유 가공품
169,애드라인,대구광역시 서구 문화로 281 (평리동),053-257-6608,현수막+ 간판
170,엑스플로어(주)대구,대구광역시 서구 염색공단천로 61 (비산동),053-354-6031,폴리에스터
171,엠씨엔스포츠,대구광역시 서구 국채보상로 282 (평리동),053-562-8691,스포츠의류
172,영상종합인쇄포장사,대구광역시 서구 팔달로 54-9 (비산동),053-354-8338,인쇄[상자+박스]
173,예화엔지니어링,"대구광역시 서구 비산동 1755-7,8번지",053-354-0084,자동차금형부품
174,오륜기계기료공업사,"대구광역시 서구 서대구로63길 20 (비산동, 부경정밀)",053-357-7585,섬유기계부품
175,용화,대구광역시 서구 새방로27길 17-9 (상리동),053-522-5212,양말
176,우경정밀,대구광역시 서구 이현동 3-2번지 외 1필지,053-944-2292,자동차부품조립용공구
177,우경정밀,대구광역시 서구 북비산로17길 14-19 (이현동),053-352-2143,자동차부품
178,우리제어,대구광역시 서구 염색공단천로 72 (비산동),053-352-3797,자동화기계
179,우삼진공펌프,대구광역시 서구 염색공단중앙로14길 33 (비산동),053-354-3196,수봉식진공펌프
180,우성기업,"대구광역시 서구 염색공단천로10길 1 (비산동, 대경지관)",053-352-5251,오일씰+브라켓트
181,우연맨홀,대구광역시 서구 이현동 576 번지,053-353-2033,콘크리트 맨홀
182,우진산업,"대구광역시 서구 가르뱅이로6길 45 (이현동, 우진산업)",053-561-7584,기계부품
183,월드유니폼,"대구광역시 서구 달서로 88-1, 2층 (비산동)",,병원복
184,유니앤폼,대구광역시 서구 달서로26길 45 (비산동),053-562-8777,의복(유니폼+병원간호복)외
185,유신,대구광역시 서구 서대구로63길 19-1 (비산동),053-351-8234,공작 기계 부품
186,유창섬유,대구광역시 서구 와룡로72길 62 (중리동),053-553-4024,양말
187,윤솔에프앤씨,대구광역시 서구 와룡로72길 69(중리동),053-568-0192,바지+ 셔츠+ 작업복+ 케디복+ 관복
188,이라다컴퍼니,대구광역시 서구 국채보상로46길 19 (평리동),,스포츠 의류+ 작업복+ 근무복
189,이에스컴퍼니,"대구광역시 서구 북비산로17길 18 (이현동, 한영통상)",053-552-2050,자동화설비시스템
190,이엘피(영명정기),"대구광역시 서구 염색공단천로1길 36 (비산동, 영명정기)",053-354-5945,비닐 자동포장기
191,인화건설산업 주식회사,대구광역시 서구 가르뱅이로 93-5 (상리동),053-639-1613,방음판
192,일성정밀공업사,"대구광역시 서구 서대구로63길 32 (비산동, 일성정밀)",053-358-9234,펌프
193,정우섬유,대구광역시 서구 국채보상로 315 (평리동) 지하1층,053-561-0260,티셔츠
194,제이콥시스템,"대구광역시 서구 달서로5길 7, 1층 (내당동)",053-2013-5153,일반방충망+ 미세촘촘망+ 스텐망+ 방범안전망
195,제이텍엔자수,대구광역시 서구 달서로5길 7 (내당동) 1층,053-526-7858,이불+ 침구
196,제일자동차검사정비,대구광역시 서구 북비산로 105 (이현동),053-568-7777,특장차 부품 제조 및 판금 도색
197,제일특장,"대구광역시 서구 염색공단천로 74 (비산동, 제일자동차검사장)",,하수도준설차
198,조명사,대구광역시 서구 가르뱅이로20길 33(상리동),053-259-0007,조명기구
199,조은제모,대구광역시 서구 국채보상로60길 16-1(평리동),053-4223-3119,모자
200,주식회사 가드케이,"대구광역시 서구 원대로13길 23, 2층(원대동1가)",031-3726-6980,질식소화덮게+ 전기차화재진압용 냉각수도 WATER TRAP
201,주식회사 거성에너지,대구광역시 서구 가르뱅이로9길 8 (상리동),053-762-1159,전열기기
202,주식회사 구오기업,대구광역시 서구 비산동 1755-7 외 1필지,053-357-9555,전기로+ 열처리로
203,주식회사 굿유,"대구광역시 서구 국채보상로 350, 3층 (비산동)",053-589-5510,유니폼+ 단체복 등
204,주식회사 굿유니폼 비산공장,대구광역시 서구 국채보상로 405 (비산동),053-589-5500,병원유니폼+ 사무복
205,주식회사 금창산업,대구광역시 서구 고성로 98 (원대동1가),,사다리
206,주식회사 대구봉제,"대구광역시 서구 서대구로 129, 5층 의료봉제 지원센타 (평리동)",053-657-0042,작업복
207,주식회사 대창이엔씨,대구광역시 서구 달서로 84 (비산동) 3층,053-522-9088,구내방송장치+ 폐쇄회로텔레비전시스템
208,주식회사 동위,대구광역시 서구 달서로 224-6 (비산동),053-341-7783,무대장치
209,주식회사 떡 만드는 사람들,대구광역시 서구 가르뱅이로20길 31 (상리동),053-622-1856,떡류
210,주식회사 메덱스,대구광역시 서구 평리로 272-1 (내당동) 외 1필지,053-557-8565,티셔츠
211,주식회사 비상글로벌,"대구광역시 서구 염색공단천로14길 16-16, (A부지)(비산동)",053-216-9461,간봉(복층유리부자재)
212,주식회사 서연유니폼,대구광역시 서구 국채보상로38길 66(중리동),053-1588-9806,의류
213,주식회사 서우 평리지점,대구광역시 서구 북비산로59길 7-1 (평리동),053-573-5050,의류+ 지갑+ 가방
214,주식회사 성진기업,"대구광역시 서구 문화로 192-3, (지하1,지상1층) (평리동)",,무대장치
215,주식회사 셰프링,대구광역시 서구 염색공단천로14길 15-4 (비산동),053-381-7791,후라이팬+ 냄비
216,주식회사 신진금속,대구광역시 서구 와룡로70길 57 (중리동),053-384-6501,알루미늄시트+갈바가공
217,주식회사 에스티에스씨엔비,"대구광역시 서구 서대구로63길 49, 1층, 2층일부(비산동)",053-352-2758,블라인드 부품
218,주식회사 영남금속공업,대구광역시 서구 염색공단천로 92-1 (비산동),053-353-6360,도금(자동차부품)
219,주식회사 핫한,"대구광역시 서구 서대구로 129, 8층(평리동, 경혜빌딩)(평리동)",,폴웨어+ 스포츠 웨더+ 레깅스+여성용 운동복+남성용 운동복 등
220,주식회사경민,대구광역시 서구 염색공단천로11길 15 (비산동),053-341-5002,섬유광택가공품
221,주식회사광진정밀,대구광역시 서구 가르뱅이로6길 35 (이현동),053-523-6348,자동차프레스금형
222,주식회사세이프로드,대구광역시 서구 가르뱅이로10길 3-7 (상리동),053-555-8837,볼라드+차선분리대+휀스
223,주식회사에이치아이옵틱,대구광역시 서구 염색공단천로14길 15-4 (비산동),053-355-3131,기계부품
224,주식회사이노그라비아,대구광역시 서구 와룡로69길 21 (중리동),053-558-2971,인쇄용롤+엠보용롤+엠조평판+UV Printe 금형
225,죽암에프에이,"대구광역시 서구 와룡로66길 65-13, 2동 (중리동)",053-588-8993,부품조립자동화설비
226,중일산업,대구광역시 서구 팔달로2길 60 (비산동),053-341-8600,샌드위치 판넬 마감자재
227,진성금속,대구광역시 서구 팔달로2길 70 (비산동),053-357-2029,볼트
228,진성전착,대구광역시 서구 염색공단천로 42 (비산동),053-357-1137,자동차 및 기계 부품 도장
229,진영금속,"대구광역시 서구 염색공단천로6길 6-1 (비산동, 금산정밀)",053-354-1305,자동차부품
230,진일화스너,"대구광역시 서구 염색공단천로 102 (비산동, 진일화스너)",053-351-9747,볼트
231,진흥공업사,대구광역시 서구 염색공단천로 12 (비산동),053-352-3438,기계베어링
232,참마음식품,대구광역시 서구 북비산로17길 15 (이현동),053-353-3665,양념계육
233,참유니폼,대구광역시 서구 달서로4길 35 (내당동),,유니폼
234,창대F&C,대구광역시 서구 국채보상로46길 37-14 (평리동),053-526-2952,근무복
235,창신산업,대구광역시 서구 당산로86길 40-1 (평리동),053-521-7778,염색용보빈
236,청명산업,"대구광역시 서구 옥산로6길 14-1 (원대동3가, 현대식당)",053-294-3025,배수트랩
237,청아유니폼,대구광역시 서구 달서로 32 (내당동),053-555-5640,근무복
238,초록,대구광역시 서구 가르뱅이로6길 47 (이현동),053-746-0052,기능성휴지통
239,칠성산업,대구광역시 서구 통학로52길 42-5(비산동),053-357-3446,산업용 가위
240,콩사랑식품,대구광역시 서구 달서천로53길 34-67 (비산동),053-357-1211,청국장
241,태극정공,"대구광역시 서구 염색공단천로10길 16, 1층(비산동)",053-356-6398,자동차 부품
242,태림A&C,대구광역시 서구 염색공단천로12길 5 (비산동),053-591-9789,염색기계장비
243,태산ENC,대구광역시 서구 염색공단천로14길 16-9 (비산동) 외 1필지,053-384-5629,기타금형
244,태산이앤씨,대구광역시 서구 비산동 2028-80,,복층유리
245,태양지기산업사,대구광역시 서구 북비산로29길 55 (이현동),053-356-5710,종이박스
246,태영스포츠웨어,대구광역시 서구 문화로 169-1 (평리동),,체육복
247,태원상사,대구광역시 서구 당산로 236 (내당동),053-252-0316,가방+ 트렁크
248,태평연승공업사,"대구광역시 서구 와룡로66길 69 (중리동, 연승공업사)",053-567-6002,끈+로프
249,티엔에프,"대구광역시 서구 염색공단천로1길 32 (비산동, 거성테크(주))",053-294-8002,자동차부품+ 산업기계부품 가공
250,티큐아이시 코포레이션,대구광역시 서구 염색공단천로 85 (비산동),053-356-3650,봉제원단
251,포그난,"대구광역시 서구 당산로67길 26 (중리동, 대일빌딩)",053-565-5554,블라인드+커튼
252,프레임엔진코리아,대구광역시 서구 염색공단천로10길 11 (비산동),070-8688-8664,안경부품
253,한보산업사,대구광역시 서구 염색공단천로6길 8 (비산동),053-355-5518,주방용품
254,한일산업,대구광역시 서구 새방로25길 6 (상리동),053-254-8716,공조필터+공조기+베일러네트
255,한일샷터,대구광역시 서구 염색공단천로14길 16-4(비산동),053-3814-1900,셔터
256,해성금형,대구광역시 서구 팔달로2길 63 (비산동),053-353-3708,금형제품
257,행복푸드,대구광역시 서구 염색공단천로 7 (비산동),053-341-9214,식육포장
258,현대상사,대구광역시 서구 국채보상로19길 8 (이현동),053-559-8700,하네스
259,혜성섬유,"대구광역시 서구 염색공단천로 82 (비산동, 해성화물)",053-356-1441,직물원단가공정리
260,화성밸브(주),"대구광역시 서구 팔달로2길 29 (비산동, 화성) 외 1필지",053-353-5789,산업용밸브
261,화성산업사,"대구광역시 서구 가르뱅이로6길 47 (이현동, 화성산업사)",053-526-6701,캐스터(바퀴)+교육용모형
262,화신섬유(주),대구광역시 서구 달구벌대로377안길 17-7 (내당동),053-556-7449,양말
263,(주)천일도금,대구광역시 서구 국채보상로19길 17,053-654-1001,금속표면처리(자동차부품)
264,J.P산업,대구광역시 서구 국채보상로19길 17,,금속표면처리(도어록)
265,덕양산업,대구광역시 서구 와룡로84길 13-1,053-522-8578,주조 금형
266,대원스프링,대구광역시 서구 문화로 14,053-563-6597,자동차부품+ 각종스프링
267,마이크론스타아이웨어,"대구광역시 서구 와룡로99길 10, 3층",070-8880-4764,안경태
