회사명,업종명,생산품,주소,연락처,출처파일
(주)두영파워텍 1공장,,자동차부품(와이어링 하네스),"대구광역시 서구 와룡로72길 32, 106동",053-523-7679,대구광역시 서구_공장등록 현황_20251110.csv
한일자동기계,,파츠피다(자동화기계 부품),대구광역시 서구 국채보상로7길 23,053-522-2955,대구광역시 서구_공장등록 현황_20251110.csv
성광공업사,,섬유기계부품,대구광역시 서구 와룡로90길 18,053-567-7075,대구광역시 서구_공장등록 현황_20251110.csv
(주)신우MNT,,금형(자동차 부품),대구광역시 서구 평리로21길 27,053-573-5007,대구광역시 서구_공장등록 현황_20251110.csv
세일정밀,,자동차부품,대구광역시 서구 국채보상로 45-11,053-558-2264,대구광역시 서구_공장등록 현황_20251110.csv
나성Family,,자동차 부품,"대구광역시 서구 와룡로65길 7, 2층",053-572-2026,대구광역시 서구_공장등록 현황_20251110.csv
(주)명진초경,,자동차부품 금형,대구광역시 서구 국채보상로3길 14,053-552-0301,대구광역시 서구_공장등록 현황_20251110.csv
신창정밀(2공장),,자동차부품 도장,대구광역시 서구 국채보상로3길 30,053-566-5518,대구광역시 서구_공장등록 현황_20251110.csv
(주)미래테크,,자동차검사장비+ 검사구,대구광역시 서구 국채보상로3길 34-1,053-527-9045,대구광역시 서구_공장등록 현황_20251110.csv
삼우도금,,자동차금형,대구광역시 서구 와룡로69길 60-7,053-558-1550,대구광역시 서구_공장등록 현황_20251110.csv
삼현산업,,자동차 부품 도금,대구광역시 서구 와룡로83길 5-1,053-556-4986,대구광역시 서구_공장등록 현황_20251110.csv
상운도금,,자동차부품,대구광역시 서구 와룡로73길 57-22,053-522-8226,대구광역시 서구_공장등록 현황_20251110.csv
에덴산업,,오토바이부품,대구광역시 서구 와룡로73길 57-24,053-564-0125,대구광역시 서구_공장등록 현황_20251110.csv
광영금속,,기계부품,대구광역시 서구 와룡로87길 37,053-555-4944,대구광역시 서구_공장등록 현황_20251110.csv
신화성,,자동차부품 표면처리,대구광역시 서구 와룡로87길 31-1,053-526-7420,대구광역시 서구_공장등록 현황_20251110.csv
대양금속,,자동차부품,대구광역시 서구 와룡로87길 31,053-524-0483,대구광역시 서구_공장등록 현황_20251110.csv
거산엔지니어링,,기계부품 금속열처리(브레이징),대구광역시 서구 와룡로87길 29,053-556-2026,대구광역시 서구_공장등록 현황_20251110.csv
동천금속,,자동차부품 도금,대구광역시 서구 국채보상로 38-12,053-563-0844,대구광역시 서구_공장등록 현황_20251110.csv
(주)일출테크,,자동차부품+ 쇼바 도금,대구광역시 서구 국채보상로5길 15,053-557-3008,대구광역시 서구_공장등록 현황_20251110.csv
(주)성광도금,,자동차부품도금,대구광역시 서구 국채보상로10길 8,053-564-4461,대구광역시 서구_공장등록 현황_20251110.csv
구곡정밀,,기계 부품,대구광역시 서구 국채보상로10길 12,053-572-5471,대구광역시 서구_공장등록 현황_20251110.csv
보경테크,,기계 부품,대구광역시 서구 국채보상로10길 12,053-263-9486,대구광역시 서구_공장등록 현황_20251110.csv
TK금속,,컨베이어 부품,대구광역시 서구 국채보상로20길 20-5,053-561-6651,대구광역시 서구_공장등록 현황_20251110.csv
선아정밀,,기계부품+ CNC가공,대구광역시 서구 국채보상로14길 17,053-526-1271,대구광역시 서구_공장등록 현황_20251110.csv
삼성테크,,유공압 기계부품,대구광역시 서구 국채보상로14길 17,053-381-4745,대구광역시 서구_공장등록 현황_20251110.csv
성재정공,,자동차부품 가공,대구광역시 서구 국채보상로14길 17,053-567-4582,대구광역시 서구_공장등록 현황_20251110.csv
화성정공,,자동차 부품,대구광역시 서구 국채보상로14길 17,053-567-4585,대구광역시 서구_공장등록 현황_20251110.csv
동양정밀(주),,자동차 부품,대구광역시 서구 와룡로66길29,053-566-3180,대구광역시 서구_공장등록 현황_20251110.csv
대우산업사,,자동차 악세사리,대구광역시 서구 국채보상로21길 11,053-556-7042,대구광역시 서구_공장등록 현황_20251110.csv
명차,,자동차 정비,대구광역시 서구 문화로17길 39,053-558-1115,대구광역시 서구_공장등록 현황_20251110.csv
오대산업(주),,자동차부품-피니온샤프트,대구광역시 서구 국채보상로19길 20,053-555-4072,대구광역시 서구_공장등록 현황_20251110.csv
서한씨엠에이(주),,전자부품+ 자동차부품,대구광역시 서구 와룡로87길 50,053-526-6790,대구광역시 서구_공장등록 현황_20251110.csv
원화정밀,,자동차부품,대구광역시 서구 당산로77길17,,대구광역시 서구_공장등록 현황_20251110.csv
BM테크(비엠테크),,LCD부품+ 세라믹 부품,"대구광역시 서구 문화로 38-7, 105동",053-523-6957,대구광역시 서구_공장등록 현황_20251110.csv
대진산업,,자동차 부품,대구광역시 서구 와룡로 72길 37-9 2층 안쪽,,대구광역시 서구_공장등록 현황_20251110.csv
경원인더스트리(주),,종광(섬유기계부품),대구광역시 서구 와룡로66길 7-8,053-562-8111,대구광역시 서구_공장등록 현황_20251110.csv
백경산업,,자동차 부품,대구광역시 서구 와룡로90길 39,053-551-8362,대구광역시 서구_공장등록 현황_20251110.csv
동진도금,,자동차부품 도금,대구광역시 서구 와룡로99길 27,053-562-8851,대구광역시 서구_공장등록 현황_20251110.csv
욱일공업사,,자동차부품,대구광역시 서구 와룡로90길 8-14,053-525-5535,대구광역시 서구_공장등록 현황_20251110.csv
아성유리,,자동차부품(라이트),대구광역시 서구 와룡로90길 8-14,053-561-9018,대구광역시 서구_공장등록 현황_20251110.csv
태영정밀,,기계 부품,대구광역시 서구 문화로19길 3,,대구광역시 서구_공장등록 현황_20251110.csv
삼덕세라믹,,세라믹 부품(섬유 부품),대구광역시 서구 문화로19길 31,053-554-3043,대구광역시 서구_공장등록 현황_20251110.csv
일산정공,,선박용 엔진부품,대구광역시 서구 평리로33길 28,053-526-0960,대구광역시 서구_공장등록 현황_20251110.csv
디앤에이모터스,,이륜자동차 부품,대구광역시 서구 와룡로 340,053-593-9768,대구광역시 서구_공장등록 현황_20251110.csv
한라테크,,자동차부품 도금,대구광역시 서구 와룡로65길 14,053-567-7271,대구광역시 서구_공장등록 현황_20251110.csv
주현에너지,,도시가스 부품,"대구광역시 서구 와룡로65길 6, A동",053-555-5630,대구광역시 서구_공장등록 현황_20251110.csv
윤성공업,,의료기(휠체어) 부품,"대구광역시 서구 와룡로65길 22, 태백A동 106호",053-566-5773,대구광역시 서구_공장등록 현황_20251110.csv
태성금속,,금속도금(나사못+ 자동차부품),대구광역시 서구 와룡로 377-8,053-563-2544,대구광역시 서구_공장등록 현황_20251110.csv
부광공업,,자동차부품 도금,대구광역시 서구 국채보상로6길 12-3,053-382-7575,대구광역시 서구_공장등록 현황_20251110.csv
부경산업,,자동차 부품,대구광역시 서구 국채보상로20길 29,053-567-7801,대구광역시 서구_공장등록 현황_20251110.csv
미래산업,,자동차부품,대구광역시 서구 와룡로90길 69,053-357-9055,대구광역시 서구_공장등록 현황_20251110.csv
세진,,자동차용품(간이시트 작업),대구광역시 서구 와룡로90길 18-3,053-564-8828,대구광역시 서구_공장등록 현황_20251110.csv
가야헤드사,,자동차 부품 임가공,대구광역시 서구 국채보상로23길 2-13,053-351-1930,대구광역시 서구_공장등록 현황_20251110.csv
태경세라믹,,섬유기계부품,대구광역시 서구 국채보상로3길 28-1,053-355-2128,대구광역시 서구_공장등록 현황_20251110.csv
명문산업,,자동차부품 도장처리,대구광역시 서구 국채보상로21길 26,053-559-4511,대구광역시 서구_공장등록 현황_20251110.csv
서일테크,,플라스틱 사출(에어컨 부품),대구광역시 서구 국채보상로20길 10-6,053-351-6427,대구광역시 서구_공장등록 현황_20251110.csv
영도테크,,자동차 부품(고무성형),대구광역시 서구 국채보상로14길 17,053-567-3582,대구광역시 서구_공장등록 현황_20251110.csv
대양세라믹,,얀가이드(섬유 부품),대구광역시 서구 문화로14길 34,053-558-5215,대구광역시 서구_공장등록 현황_20251110.csv
동원산업사,,섬유기계부품 외주가공,대구광역시 서구 와룡로66길 7-4,053-563-1830,대구광역시 서구_공장등록 현황_20251110.csv
광명섬유,,자동차 시트,대구광역시 서구 와룡로70길45,,대구광역시 서구_공장등록 현황_20251110.csv
SH테크,,자동차 부품,대구광역시 서구 평리로35길 5-5,053-249-5714,대구광역시 서구_공장등록 현황_20251110.csv
SH테크,,자동차부품,대구광역시 서구 평리로35길 5-4,053-249-5714,대구광역시 서구_공장등록 현황_20251110.csv
(주)유성오토모티브,,자동차부품(후드힌지+도어랫치),대구광역시 서구 문화로23길 3,053-591-5711,대구광역시 서구_공장등록 현황_20251110.csv
엠씨이엔지(모토캠프),,자동차 부품,대구광역시 서구 와룡로87길 28,053-254-9462,대구광역시 서구_공장등록 현황_20251110.csv
삼천리보링,,자동차엔진부품 및 원동기 보링,대구광역시 서구 장산로 298,053-563-0636,대구광역시 서구_공장등록 현황_20251110.csv
(주)가온텍,,자동차제어시스템,대구광역시 서구 문화로3길 8,053-587-3185,대구광역시 서구_공장등록 현황_20251110.csv
우일산업,,오토바이 부품,대구광역시 서구 장산로 316,053-555-5599,대구광역시 서구_공장등록 현황_20251110.csv
우일,,오토바이 부품,대구광역시 서구 장산로 316,053-555-5599,대구광역시 서구_공장등록 현황_20251110.csv
우일 물류센터,,오토바이 부품,대구광역시 서구 장산로 322,053-555-5599,대구광역시 서구_공장등록 현황_20251110.csv
(주)동민금속,,자동차부품,대구광역시 서구 와룡로90길 37,053-526-5068,대구광역시 서구_공장등록 현황_20251110.csv
일심,,자동차부품,대구광역시 서구 와룡로90길 39,053-552-9103,대구광역시 서구_공장등록 현황_20251110.csv
현부품상사,,자동차 부품,대구광역시 서구 국채보상로7길 27,053-561-4953,대구광역시 서구_공장등록 현황_20251110.csv
영진테크,,자동차부품,대구광역시 서구 국채보상로 45-13,053-471-2278,대구광역시 서구_공장등록 현황_20251110.csv
대명상사,,자동차부품,대구광역시 서구 국채보상로7길 33,053-559-4320,대구광역시 서구_공장등록 현황_20251110.csv
일출산업사,,자동차 부품(쇼바 외),대구광역시 서구 국채보상로5길 15,053-557-3008,대구광역시 서구_공장등록 현황_20251110.csv
덕산테크,,자동차부품,대구광역시 서구 국채보상로3길 17,053-521-3979,대구광역시 서구_공장등록 현황_20251110.csv
경희테크,,자동차부품,대구광역시 서구 국채보상로5길 29,053-524-1545,대구광역시 서구_공장등록 현황_20251110.csv
신우기업,,산업기계부품,대구광역시 서구 문화로 18,053-565-2228,대구광역시 서구_공장등록 현황_20251110.csv
유경트랜스,,전자부품 트랜스,대구광역시 서구 국채보상로7길 51,053-525-8611,대구광역시 서구_공장등록 현황_20251110.csv
(자)구진기업,,전자부품 도금,대구광역시 서구 와룡로87길 8-1,053-524-3984,대구광역시 서구_공장등록 현황_20251110.csv
태성공업사,,주방용품+ 자동차 부품,대구광역시 서구 문화로19길 28,053-526-5660,대구광역시 서구_공장등록 현황_20251110.csv
창신오토시스템,,금속자동문 제작,대구광역시 서구 문화로14길 8-5,053-571-6266,대구광역시 서구_공장등록 현황_20251110.csv
신안정밀,,금형 부품,대구광역시 서구 국채보상로6길 18-1,053-559-7237,대구광역시 서구_공장등록 현황_20251110.csv
누리ECS,,자동차 부품,대구광역시 서구 와룡로99길 40,053-525-4053,대구광역시 서구_공장등록 현황_20251110.csv
오토아이티(주),,자동차부품,"대구광역시 서구 와룡로 307, 5층 518호",053-795-6303,대구광역시 서구_공장등록 현황_20251110.csv
( 주)명장,그 외 자동차용 신품 부품 제조업 외 4 종,"실린더, 댐퍼","대구광역시 달서구 호산동로7길 42, (3차단지 95B 1-7L) (호림동)",,대구광역시_산업단지 기업 등록현황_20250707.csv
(유)대구특수금속,주형 및 금형 제조업,자동차상업인쇄,"대구광역시 달성군 다사읍 세천로3길 69, 성서5차첨단산업단지 6B 4L",,대구광역시_산업단지 기업 등록현황_20250707.csv
(유)대구특수금속,그 외 자동차용 신품 부품 제조업 외 7 종,"자동차부품, 명판,라벨류","대구광역시 달서구 성서공단북로69길 39, 1차단지 35B 7L 1차단지 35B 7L (갈산동)",,대구광역시_산업단지 기업 등록현황_20250707.csv
(재)대구기계부품연구원,주형 및 금형 제조업,주형 금형,"대구광역시 달서구 성서공단로35길 35, 2차단지 10B 7L (갈산동)",,대구광역시_산업단지 기업 등록현황_20250707.csv
(재)대구기계부품연구원,기타 공학 연구개발업,연구개발,대구광역시 달성군 구지면 국가산단대로52길 24-49,,대구광역시_산업단지 기업 등록현황_20250707.csv
(주) 태양인덕션히터,"산업용 오븐, 노 및 노용 버너 제조업",고주파유도가열기,대구광역시 동구 율암로 149-50 (상매동),,대구광역시_산업단지 기업 등록현황_20250707.csv
(주)LJ테크,이동전화기 제조업 외 1 종,"스마트폰부품,자동차센서부품","대구광역시 달서구 성서4차첨단로 62, 4차단지 7B 6L (대천동)",,대구광역시_산업단지 기업 등록현황_20250707.csv
(주)SJ테크,이동전화기 제조업 외 1 종,"휴대폰부품,자동차센서부품","대구광역시 달서구 성서4차첨단로 62, 4차단지 7B 6L (대천동)",,대구광역시_산업단지 기업 등록현황_20250707.csv
(주)SJ테크,그 외 자동차용 신품 부품 제조업 외 4 종,"자동차전장, 엔진, 파워트레인부품",대구광역시 달성군 구지면 국가산단대로39길 159,,대구광역시_산업단지 기업 등록현황_20250707.csv
(주)가나공업,자동차 차체용 신품 부품 제조업 외 1 종,BALL JOINT CAP류,"대구광역시 달서구 달서대로88길 8-12, 2차단지 17B 2-4L (갈산동)",,대구광역시_산업단지 기업 등록현황_20250707.csv
(주)가람,위생용 및 산업용 도자기 제조업,"정밀요업(자동차부품,절삭공구 외)","대구광역시 달서구 성서공단로51길 41, (1차단지 106B 1-11L) (장동)",,대구광역시_산업단지 기업 등록현황_20250707.csv
(주)가람기계,건설 및 채광용 기계장비 제조업,굴삭기부품,"대구광역시 달서구 성서로52길 14, 1차단지 106B 1-15L (장동)",,대구광역시_산업단지 기업 등록현황_20250707.csv
(주)가람기계,건설 및 채광용 기계장비 제조업,굴삭기 전용 부품,"대구광역시 달성군 다사읍 세천로7길 47, (5차단지 8B 1-1L)",,대구광역시_산업단지 기업 등록현황_20250707.csv
(주)가온텍,그 외 자동차용 신품 부품 제조업 외 3 종,진동융착지그,대구광역시 서구 문화로3길 8 (이현동),,대구광역시_산업단지 기업 등록현황_20250707.csv
(주)가우스,그 외 기타 전자부품 제조업 외 2 종,산업용 기계 등,대구광역시 달성군 현풍면 테크노대로2길 25,,대구광역시_산업단지 기업 등록현황_20250707.csv
(주)거양금속,자동차용 신품 동력전달장치 제조업,"디프기어, 스타트모터 등",대구광역시 달성군 구지면 화산리 1113-8번지 외 2필지,,대구광역시_산업단지 기업 등록현황_20250707.csv
