연번,회사명,업종명,생산품,공장대표주소(도로명),사업유형,전화번호,데이터 기준일
92,늘푸른식품,기타 과실ㆍ채소 가공 및 저장 처리업,오가피추출액,경상남도 의령군 부림면 막곡리 181-3번지,제조업,,2026-03-06
116,부림농수산,기타 과실ㆍ채소 가공 및 저장 처리업,"농,수산물 과채류",경상남도 의령군 가례면 홍의로 188,제조업,055-572-6200,2026-03-06
117,부림영농조합법인,기타 과실ㆍ채소 가공 및 저장 처리업,양파즙,경상남도 의령군 가례면 홍의로 193 외 2필지,제조업,055-572-6200,2026-03-06
122,산수원식품,기타 과실ㆍ채소 가공 및 저장 처리업,과실 및 채소 주스,경상남도 의령군 칠곡면 도산리 3-3번지 외 6필지 외 6필지,제조업,,2026-03-06
178,제일버섯밸리,기타 과실ㆍ채소 가공 및 저장 처리업,버섯가공품,경상남도 의령군 정곡면 백곡리 70번지 외 8필지 외 8필지,제조업,,2026-03-06
85,농업회사법인 (주)논두렁,기타 곡물 가공품 제조업,"누룽지,떡국떡",경상남도 의령군 화정면 석천로 80,제조업,055-0573-5778,2026-03-06
87,농업회사법인 의령생활건강 주식회사,기타 곡물 가공품 제조업,가공(찰비영양)쌀,경상남도 의령군 용덕면 덕암로6길 17,제조업,055-574-0140,2026-03-06
89,농업회사법인 주식회사 우영,기타 곡물 가공품 제조업,"생강청, 도라지조청, 도라지정가",경상남도 의령군 화정면 석천로 80,제조업,,2026-03-06
107,동해식품,기타 곡물 가공품 제조업,"국수,냉면",경상남도 의령군 용덕면 교암리 219-3번지,제조업,055-583-0272,2026-03-06
111,모시골푸드,기타 곡물 가공품 제조업,누룽지,경상남도 의령군 화정면 화정로5길 66,제조업,,2026-03-06
49,(주)엠디,기타 건축용 플라스틱 조립제품 제조업 외 1 종,"플라스틱사출성형,PE잔교",경상남도 의령군 의령읍 남강로 561,제조업,043-288-0401,2026-03-06
6,(주)경신,기타 건축용 나무제품 제조업 외 5 종,"유로폼,벽패널,화장실칸막이",경상남도 의령군 봉수면 한지18길 26,제조업,055-574-5400,2026-03-06
