회사명,소재지주소,전화번호,업종명,데이터담당기관,데이터담당부서,데이터기준일자
(주)지원컴퍼니,경상남도 산청군 단성면 지리산대로2883번길 58-5,,커피 가공업,경상남도 산청군청 ,전략사업담당관,2024-07-02
(주)태양스틸,경상남도 산청군 금서면 동의보감로 77-11,055-973-6101,육상 금속 골조 구조재 제조업 외 1종,경상남도 산청군청 ,전략사업담당관,2024-07-02
(주)팔보식품,경상남도 산청군 금서면 친환경로2405번길 54-5,055-972-8588,기타 비알코올 음료 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
(주)할머니청국장,경상남도 산청군 생비량면 비량로161번길 13,,장류 제조업 외 1종,경상남도 산청군청 ,전략사업담당관,2024-07-02
(주)홍성 1공장,경상남도 산청군 신안면 지리산대로 3739,055-973-8020,레미콘 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
(주)홍성 2공장,경상남도 산청군 신안면 지리산대로 3739,055-973-8022,아스팔트 콘크리트 및 혼합제품 제조업 외 3종,경상남도 산청군청 ,전략사업담당관,2024-07-02
(주)화인바이오,경상남도 산청군 시천면 삼신봉로506번길 20-48,055-974-7001,생수 생산업,경상남도 산청군청 ,전략사업담당관,2024-07-02
(주)화인바이오,경상남도 산청군 시천면 삼신봉로 460,055-974-7001,생수 생산업,경상남도 산청군청 ,전략사업담당관,2024-07-02
(합)동명식품,경상남도 산청군 금서면 친환경로 2484-8,055-974-0765,"면류, 마카로니 및 유사식품 제조업 외 2종",경상남도 산청군청 ,전략사업담당관,2024-07-02
(합자)신안위탁영농회사,경상남도 산청군 신안면 신차로 107,055-973-7168,복합비료 및 기타 화학비료 제조업 외 1종,경상남도 산청군청 ,전략사업담당관,2024-07-02
(합자)혜성도기,경상남도 산청군 생초면 월곡리 545번지,055-972-2013,가정용 및 장식용 도자기 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
S라이즈,경상남도 산청군 단성면 목화로 74,055-973-8818,그 외 기타 플라스틱 제품 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
가칭 산음약초,"경상남도 산청군 산청읍 산수로 116-54, 202호 ",055-973-9885,기타 과실ㆍ채소 가공 및 저장 처리업,경상남도 산청군청 ,전략사업담당관,2024-07-02
경남산업,경상남도 산청군 산청읍 친환경로2720번길 75,,직물포대 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
경남생약농업협동조합,경상남도 산청군 산청읍 친환경로2720번길 190,055-973-3400,그 외 기타 식료품 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
경남약용작물산업화지원센터,경상남도 산청군 금서면 친환경로2605번길 45,055-970-1131,건강기능식품 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
고려정밀,경상남도 산청군 단성면 옥단로 2004,055-973-8105,농업 및 임업용 기계 제조업 외 1종,경상남도 산청군청 ,전략사업담당관,2024-07-02
골인제약주식회사,경상남도 산청군 금서면 친환경로 2462-8,055-974-0991,의약용 화합물 및 항생물질 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
구니카주식회사,경상남도 산청군 금서면 친환경로 2483,055-973-8777,인형 및 장난감 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
그린파워씨앤에스,경상남도 산청군 금서면 친환경로 2461-16,055-972-3385,포장용 플라스틱 성형용기 제조업 외 1종,경상남도 산청군청 ,전략사업담당관,2024-07-02
금강레미콘 주식회사,경상남도 산청군 생비량면 진산로 2166-11,055-973-8825,레미콘 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
금강아스콘(주),경상남도 산청군 생비량면 진산로 2166-12,055-973-8825,아스팔트 콘크리트 및 혼합제품 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
낙우산업(주),경상남도 산청군 산청읍 산수로 116-54,055-972-9922,비금속광물 분쇄물 생산업 외 18종,경상남도 산청군청 ,전략사업담당관,2024-07-02
농업회사법인 (주)산청자연식품,경상남도 산청군 차황면 신차로 1770,055-973-7330,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1종,경상남도 산청군청 ,전략사업담당관,2024-07-02
농업회사법인 동의바이오 주식회사,경상남도 산청군 단성면 동방실로 80-22,055-974-0000,기타 비알코올 음료 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
농업회사법인 산청한방자연식품 주식회사,경상남도 산청군 금서면 친환경로2451번길 95,055-974-3399,장류 제조업 외 1종,경상남도 산청군청 ,전략사업담당관,2024-07-02
농업회사법인 썸머힐상사(주),경상남도 산청군 단성면 호반로 1666-3,055-972-4222,기타 과실ㆍ채소 가공 및 저장 처리업,경상남도 산청군청 ,전략사업담당관,2024-07-02
농업회사법인(주)블루힐,경상남도 산청군 생비량면 도전리 378-1번지,,기타 과실ㆍ채소 가공 및 저장 처리업,경상남도 산청군청 ,전략사업담당관,2024-07-02
농업회사법인산청한방식품(주),경상남도 산청군 금서면 매촌리 산 101번지,055-972-7000,장류 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
농업회사법인썸머힐상사(주),경상남도 산청군 단성면 호반로 1666-3,055-972-4222,기타 과실ㆍ채소 가공 및 저장 처리업,경상남도 산청군청 ,전략사업담당관,2024-07-02
농업회사법인주식회사 조이팜,경상남도 산청군 생초면 왕산로496번길 35,,기타 과실ㆍ채소 가공 및 저장 처리업,경상남도 산청군청 ,전략사업담당관,2024-07-02
농업회사법인주식회사휴롬팜산청,경상남도 산청군 금서면 평촌리 산 25-10번지,055-972-0900,기타 과실ㆍ채소 가공 및 저장 처리업,경상남도 산청군청 ,전략사업담당관,2024-07-02
단성양조장,경상남도 산청군 단성면 목화로 973,055-972-0010,탁주 및 약주 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
대영교역,경상남도 산청군 산청읍 산수로 116-19,055-973-5476,기타 주변기기 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
동광요업,경상남도 산청군 단성면 창촌리 772-1번지,055-972-5022,기타 건축용 비내화 요업제품 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
동의농산,경상남도 산청군 금서면 동의보감로 1040,055-974-7009,김치류 제조업 외 7종,경상남도 산청군청 ,전략사업담당관,2024-07-02
동인중기,경상남도 산청군 단성면 석대로365번길 22,055-972-9585,건설 및 채광용 기계장비 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
리더스,경상남도 산청군 시천면 남명로200번길 65,,기기용 자동측정 및 제어장치 제조업 외 1종,경상남도 산청군청 ,전략사업담당관,2024-07-02
만났다 고향식품,경상남도 산청군 생초면 경호로 360,055-972-3399,기타 과실ㆍ채소 가공 및 저장 처리업,경상남도 산청군청 ,전략사업담당관,2024-07-02
만승와이어패널,경상남도 산청군 생초면 새실로 634,055-973-0277,금속선 가공제품 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
맘씨주식회사,경상남도 산청군 오부면 내곡리 131-4번지,055-972-3044,가공 및 정제염 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
무창산업 주식회사,경상남도 산청군 신등면 상능로504번길 36-30,055-974-6666,레미콘 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
문대정미소,경상남도 산청군 신안면 문대리 59-2번지,055-972-0827,곡물 도정업,경상남도 산청군청 ,전략사업담당관,2024-07-02
비봉화학,경상남도 산청군 산청읍 친환경로 3135,055-973-4187,플라스틱 필름 제조업 외 1종,경상남도 산청군청 ,전략사업담당관,2024-07-02
산양정미소,경상남도 산청군 산청읍 범학길 23,055-973-2028,곡물 도정업,경상남도 산청군청 ,전략사업담당관,2024-07-02
산청군농업협동조합,경상남도 산청군 신안면 지리산대로 3929,055-970-2526,곡물 도정업,경상남도 산청군청 ,전략사업담당관,2024-07-02
산청군농협덕산지소(감식초),경상남도 산청군 시천면 서촌길 41,055-972-9601,"식초, 발효 및 화학 조미료 제조업",경상남도 산청군청 ,전략사업담당관,2024-07-02
산청군산림조합(제재2공장),경상남도 산청군 금서면 매촌리-1288번지,055-973-7769,표면 가공 목재 및 특정 목적용 제재목 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
산청군산림조합(제재공장),경상남도 산청군 금서면 친환경로 2485,055-973-7769,일반 제재업,경상남도 산청군청 ,전략사업담당관,2024-07-02
산청군약초영농조합법인(주식회사 산청식품),경상남도 산청군 산청읍 친환경로 2783-4,055-973-6887,차류 가공업,경상남도 산청군청 ,전략사업담당관,2024-07-02
산청군양잠농업협동조합,경상남도 산청군 금서면 친환경로2605번길 51,055-973-2211,건강기능식품 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
산청기능성콩영농조합법인,경상남도 산청군 삼장면 친환경로 557-3,055-974-0558,그 외 기타 식료품 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
산청농협미곡종합처리사업소,경상남도 산청군 차황면 장위리 43-11번지,055-970-2526,곡물 도정업,경상남도 산청군청 ,전략사업담당관,2024-07-02
산청생약땃두릅영농조합법인,경상남도 산청군 삼장면 친환경로 467,055-972-5177,그 외 기타 식료품 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
산청양계영농조합법인,경상남도 산청군 신안면 중촌갈전로 821,055-973-4721,복합비료 및 기타 화학비료 제조업 외 1종,경상남도 산청군청 ,전략사업담당관,2024-07-02
산청음료(주),경상남도 산청군 시천면 남명로 59-61,055-972-9550,생수 생산업,경상남도 산청군청 ,전략사업담당관,2024-07-02
산청조섬유배합사료영농조합법인,경상남도 산청군 차황면 신차로 1717-15,055-972-8972,배합 사료 제조업 외 1종,경상남도 산청군청 ,전략사업담당관,2024-07-02
생초세라믹,경상남도 산청군 생초면 평촌리 293번지,055-973-0950,가정용 및 장식용 도자기 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
성동기업(주),경상남도 산청군 산청읍 산수로 116-28,055-974-0727,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1종",경상남도 산청군청 ,전략사업담당관,2024-07-02
송죽견직,경상남도 산청군 신안면 하정리 333-1번지,055-973-7711,특수 직물 및 기타 직물 직조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
송죽견직,경상남도 산청군 신안면 원지로122번길 42,055-972-0303,특수 직물 및 기타 직물 직조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
신양석재,경상남도 산청군 신안면 중촌리 841-4번지,055-972-0713,기타 석제품 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
안심가식품,경상남도 산청군 시천면 지리산대로1723번길 57-10,055-972-9688,기타 식품 첨가물 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
양지산업주식회사,경상남도 산청군 신안면 지리산대로 3600 ,055-972-4700,레미콘 제조업 외 1종,경상남도 산청군청 ,전략사업담당관,2024-07-02
엔앤씨 메디메틱 주식회사농업회사법인,경상남도 산청군 단성면 목화로278번길 8-11,055-972-2314,화장품 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
영남장제산업,경상남도 산청군 금서면 친환경로2346번길 58-3,055-973-8475,그 외 기타 봉제의복 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
영남제과,경상남도 산청군 생비량면 화현리 1665-1번지,055-974-3100,과자류 및 코코아 제품 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
영남제과,경상남도 산청군 생비량면 진산로 2101-8,055-974-3100,과자류 및 코코아 제품 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
영남푸드,경상남도 산청군 생비량면 진산로 2071-4,055-972-9931,과자류 및 코코아 제품 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
예농원,경상남도 산청군 시천면 중태리 583번지,055-972-9215,김치류 제조업 외 2종,경상남도 산청군청 ,전략사업담당관,2024-07-02
오부세라믹,경상남도 산청군 오부면 오동로 229,055-972-6077,가정용 및 장식용 도자기 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
오우회영농법인,경상남도 산청군 산청읍 산수로 116-48,055-974-3222,농산물 창고업 외 2종,경상남도 산청군청 ,전략사업담당관,2024-07-02
우남산업,경상남도 산청군 신등면 신등가회로 84,055-973-1502,곡물 도정업,경상남도 산청군청 ,전략사업담당관,2024-07-02
원세라믹,경상남도 산청군 생초면 생초안길 8-7,055-973-1872,가정용 및 장식용 도자기 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
유일세라믹,경상남도 산청군 오부면 오동로208번길 24,055-972-0695,기타 건축용 비내화 요업제품 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
은성영농조합법인,경상남도 산청군 단성면 호암로 744,055-974-8900,기타 과실ㆍ채소 가공 및 저장 처리업,경상남도 산청군청 ,전략사업담당관,2024-07-02
재머리농원,경상남도 산청군 산청읍 정곡척지로 173,055-972-1314,장류 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
정도원 농업회사법인 주식회사,경상남도 산청군 금서면 친환경로 2462-18,055-972-4185,기타 과실ㆍ채소 가공 및 저장 처리업,경상남도 산청군청 ,전략사업담당관,2024-07-02
주식회사 늘다,경상남도 산청군 생비량면 진산로 2047,055-973-2183,곡물 제분업,경상남도 산청군청 ,전략사업담당관,2024-07-02
주식회사 대도세라텍,경상남도 산청군 오부면 오동로 213,055-973-9885,기타 건축용 비내화 요업제품 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
주식회사 대호수출포장,경상남도 산청군 신안면 신차로 417-3,,골판지 제조업 외 1종,경상남도 산청군청 ,전략사업담당관,2024-07-02
주식회사 미미에프,경상남도 산청군 생비량면 진산로 2071-1,055-973-2183,떡류 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
주식회사 비에이치,경상남도 산청군 산청읍 산수로 116-48,,일반용 전기 조명장치 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
주식회사 어스앤에어로스페이스,경상남도 산청군 금서면 매촌리 1348번지,055-850-7706,항공기용 부품 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
주식회사 엘케이샘물,경상남도 산청군 삼장면 친환경로 462-30,055-974-3000,생수 생산업,경상남도 산청군청 ,전략사업담당관,2024-07-02
주식회사 연아다옴,경상남도 산청군 금서면 동의보감로 77-30,055-972-0942,기타 구조용 금속제품 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
주식회사 우리에너지,경상남도 산청군 금서면 친환경로 2484,,그 외 기타 나무제품 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
주식회사 울티모팩,경상남도 산청군 생비량면 진산로2106번길 21,055-972-6268,직물포대 제조업 외 1종,경상남도 산청군청 ,전략사업담당관,2024-07-02
주식회사 자연과사람들,경상남도 산청군 산청읍 산수로 116-11,,표면 가공 목재 및 특정 목적용 제재목 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
주식회사 진경엔텍,경상남도 산청군 산청읍 산수로 116-54,02-468-6257,액체 여과기 제조업 외 5종,경상남도 산청군청 ,전략사업담당관,2024-07-02
주식회사 청하머그리드,경상남도 산청군 금서면 친환경로2451번길 38-13,055-974-9933,포장용 플라스틱 성형용기 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
주식회사 카이랩스,경상남도 산청군 금서면 친환경로 2431-23,055-972-3119,"탭, 밸브 및 유사장치 제조업 외 1종",경상남도 산청군청 ,전략사업담당관,2024-07-02
주식회사 카이랩스 산청지점,경상남도 산청군 금서면 친환경로2451번길 33,055-973-3119,"탭, 밸브 및 유사장치 제조업 외 1종",경상남도 산청군청 ,전략사업담당관,2024-07-02
주식회사 평림,경상남도 산청군 금서면 친환경로2451번길 33,055-974-7119,비주거용 건물 임대업,경상남도 산청군청 ,전략사업담당관,2024-07-02
주식회사평림제2공장,경상남도 산청군 금서면 친환경로 2431-23,055-974-7119,"탭, 밸브 및 유사장치 제조업 외 1종",경상남도 산청군청 ,전략사업담당관,2024-07-02
지리산영농조합법인,경상남도 산청군 단성면 사직단로257번길 227,055-972-0324,기타 수산동물 가공 및 저장 처리업,경상남도 산청군청 ,전략사업담당관,2024-07-02
지리산참숯굴,경상남도 산청군 단성면 길리 26-1번지,055-974-0117,천연수지 및 나무 화학물질 제조업 외 1종,경상남도 산청군청 ,전략사업담당관,2024-07-02
지리산특산물개발원,경상남도 산청군 단성면 강누리 901-3번지,055-973-6093,기타 곡물 가공품 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
지리산한방식품영농조합법인,경상남도 산청군 삼장면 친환경로 171-16,055-284-7733,건강보조용 액화식품 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
지에스전선(주),경상남도 산청군 산청읍 산수로 116-12,055-973-8531,기타 절연선 및 케이블 제조업 외 1종,경상남도 산청군청 ,전략사업담당관,2024-07-02
진산푸드(주),경상남도 산청군 생비량면 도전리 190번지,055-972-9107,떡류 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
참들애바이오푸드영농조합법인,경상남도 산청군 금서면 친환경로2605번길 63,,기타 증류주 및 합성주 제조업 외 1종,경상남도 산청군청 ,전략사업담당관,2024-07-02
천웅요업,경상남도 산청군 생초면 산청대로 2496-82,055-973-6636,기타 건축용 비내화 요업제품 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
천지모터스(주),경상남도 산청군 금서면 특리 45번지,,자동차 재제조 부품 제조업 외 1종,경상남도 산청군청 ,전략사업담당관,2024-07-02
콩살림,경상남도 산청군 생비량면 화현리 198번지,055-973-7273,장류 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
태광산업사,경상남도 산청군 오부면 오동로 38-189,055-973-8335,그 외 기타 분류 안된 비금속 광물제품 제조업 외 3종,경상남도 산청군청 ,전략사업담당관,2024-07-02
플러스콘주식회사,경상남도 산청군 금서면 친환경로 2483-9,055-974-9026,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1종,경상남도 산청군청 ,전략사업담당관,2024-07-02
한국GRC(주),경상남도 산청군 산청읍 산수로 116-55,055-973-5675,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
한국MIR,경상남도 산청군 금서면 친환경로 2491-22,055-973-8101,고무패킹류 제조업 외 4종,경상남도 산청군청 ,전략사업담당관,2024-07-02
한국몰딩 주식회사,경상남도 산청군 생초면 산수로1153번길 46-47,055-972-0720,타일 및 유사 비내화 요업제품 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
한국지붕태양광3 유한회사,경상남도 산청군 금서면 동의보감로 77-11,,태양력 발전업,경상남도 산청군청 ,전략사업담당관,2024-07-02
한국항공우주산업주식회사,경상남도 산청군 금서면 친환경로 2436,055-851-6178,항공기용 부품 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
한솔식품,경상남도 산청군 단성면 사월리 1440-2번지,055-973-5303,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1종,경상남도 산청군청 ,전략사업담당관,2024-07-02
함양산청축산업협동조합,경상남도 산청군 차황면 부리 668번지,055-974-0451,복합비료 및 기타 화학비료 제조업 외 2종,경상남도 산청군청 ,전략사업담당관,2024-07-02
함양산청축산업협동조합 축분퇴비유통센터,경상남도 산청군 산청읍 웅석봉로133번길 88,055-973-4501,복합비료 및 기타 화학비료 제조업 외 1종,경상남도 산청군청 ,전략사업담당관,2024-07-02
합자회사 혜성도기 제1공장,경상남도 산청군 금서면 친환경로 2462,055-972-2013,가정용 및 장식용 도자기 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
합자회사 혜성도기 제2공장,경상남도 산청군 금서면 친환경로 2483-10,055-972-2013,가정용 및 장식용 도자기 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
화평산업주식회사,경상남도 산청군 산청읍 산수로 116-37,,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
화평산업주식회사,경상남도 산청군 산청읍 산수로 116-48,,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
황매산황금들영농조합법인,경상남도 산청군 차황면 신차로1989번길 21,055-972-1399,곡물 도정업,경상남도 산청군청 ,전략사업담당관,2024-07-02
효성식품영농조합법인,경상남도 산청군 금서면 친환경로2605번길 57,055-973-8980,기타 식품 첨가물 제조업 외 7종,경상남도 산청군청 ,전략사업담당관,2024-07-02
