회사명,대표자명,공장대표주소(도로명),대표업종번호,업종번호,업종명,전화번호,팩스번호,생산품,데이터기준일자
한보엔지니어링,서경만,경상남도 진주시 솔밭로31번길 14 (상평동) 외 1필지,25999,"25999, 25995, 29222, 29224",그 외 기타 분류 안된 금속 가공 제품 제조업 외 3 종,055-752-9308,055-759-9451,농기계부품,2025-05-08
주식회사 엘앤에스코리아,정준영,경상남도 진주시 사봉면 산업단지로44번길 6,22251,"22251, ",폴리스티렌 발포 성형제품 제조업,055-759-1159,,EPS준불연단열재,2025-05-08
(주)미래산업,정재훈,"경상남도 진주시 동부로169번길 12,(충무공동, 윙스타워) A동 17층 1705호",22299,"22299, ",그 외 기타 플라스틱 제품 제조업,055-762-3668,,골프용품,2025-05-08
(주)씨엔텍코리아-진주2공장,"김영연, 제정열",경상남도 진주시 사봉면 사군로303번길 21-10,22299,"22299, ",그 외 기타 플라스틱 제품 제조업,070-4600-0156,070-7545-7985,플라스틱 사출품(외함 등),2025-05-08
㈜비즈,유경숙,"경상남도 진주시 망경남길44번길 22,(망경동, 진주지식산업센터) 1동 4층 423호",22299,"22299, ",그 외 기타 플라스틱 제품 제조업,055-761-5387,0303-3443-5387,3D프린팅 시제품,2025-05-08
대명,김행임,경상남도 진주시 문산읍 동부로 954-36,17902,"17902, 22299",위생용 종이제품 제조업 외 1 종,055-752-8601,055-752-8602,"점보롤 화장지, 빨래집게",2025-05-08
대진미터텍주식회사,손의숙,경상남도 진주시 돗골로26번길 21 (상평동),27214,"27214, 22299, 26429, 29133",속도계 및 적산계기 제조업 외 3 종,055-753-9891,055-753-9892,"수도원격단말기, 수도원격검침기, 수도스마트미터링, 수도밸브, 수도계량기 보호통",2025-05-08
디자인 일리,신재우,"경상남도 진주시 동부로169번길 12, B동 7층 706 (충무공동)",22299,"22299, 26112",그 외 기타 플라스틱 제품 제조업 외 1 종,055-758-7494,055-752-7494,수상레저용품,2025-05-08
예우사,최치관,"경상남도 진주시 동부로169번길 12, A동 3층 319, 320 (충무공동) A동 3층 319, 320호",14192,"14192, 13222, 13409, 14111, 14112, 14191, 14491, 14499, 15129, 15190, 22299, 25999","근무복, 작업복 및 유사의복 제조업 외 11 종",055-755-7620,055-755-7630,"체육복, 모자, 휘장, 가방 등",2025-05-08
일우,김현정,경상남도 진주시 대곡면 오방로 160,22299,"22299, ",그 외 기타 플라스틱 제품 제조업,055-747-4054,055-742-4054,플라스틱 농자재 및 육묘상자,2025-05-08
제일아크릴,박세홍,경상남도 진주시 남강로 1095 (상평동),28423,"28423, 22299, 33910",전시 및 광고용 조명장치 제조업 외 2 종,055-759-5002,055-757-4356,"LED 간판, 옥외광고물,아크릴 판, 아크릴제품 등",2025-05-08
주식회사 대성해양,임병철,경상남도 진주시 일반성면 답천리 1062,22299,"22299, ",그 외 기타 플라스틱 제품 제조업,055-762-8565,055-762-8567,친환경 플라스틱 부표,2025-05-08
주식회사 아미티,정창훈,"경상남도 진주시 진주대로 501, 창업보육센터, A동 216호(가좌동, 경상국립대학교 가좌캠퍼스)",26429,"26429, 22292, 22299",기타 무선 통신장비 제조업 외 2 종,055-762-6270,0504-076-6270,QR코드를 활용한 스마트 주차번호판,2025-05-08
(주)금성이노텍,서영순,경상남도 진주시 정촌면 산업로 21,30331,"30331, 25924, 29294, 30400, 31322",자동차용 신품 동력전달장치 제조업 외 4 종,055-762-8331,055-762-8332,"자동차부품(기어,샤프트)",2025-05-08
대창마린테크(주) 진주공장,김효성,경상남도 진주시 지수면 지수로 237,25912,"25912, 25200, 25941, 25994, 25999, 29120, 29142, 29294, 30331, 30391, 30392, 30399, 31114, 31910",금속 단조제품 제조업 외 13 종,055-759-6556,055-759-9559,"기어류,축류,중장비부품, 조선기자재",2025-05-08
천마기계(주),조용민,경상남도 진주시 공단로 54 (상평동),25924,"25924, 22191, 22192, 24132, 24133, 25200, 25912, 25941, 25942, 25999, 27199, 29120, 29163, 29169, 29173, 29294, 30320, 30391, 30392, 30399, 30400, 31114, 31311, 31312, 31910",절삭가공 및 유사처리업 외 24 종,055-757-6345,055-757-6342,"유공압커플러,에어컨커플러, 플랜지,자동차부품 등",2025-05-08
태성산업,이정환,경상남도 진주시 정촌면 뿌리산단로 121,25914,"25914, 25924, 29294, 31999",그 외 금속 압형제품 제조업 외 3 종,055-763-5304,055-763-5305,농기계부품,2025-05-08
하은테크(주),박홍수,경상남도 진주시 정촌면 산업로39번길 15,30399,"30399, 29210, 29294, 30391, 30392, 30400, 31322",그 외 자동차용 신품 부품 제조업 외 6 종,055-853-8799,055-761-8796,"자동차부품, 항공기 치공구, 농기계 부품 외",2025-05-08
한성엔지니어링,빈인선,경상남도 진주시 사봉면 사곡리 1848번지,25924,"25924, 23992, 29229, 29294",절삭가공 및 유사처리업 외 3 종,055-761-8490,055-761-8491,"플라스크 및 대차, 전동연마기, 연마디스크",2025-05-08
