일련번호,시군구명,회사명,업종명,도로명주소,주요생산품명,대표자명,전화번호,팩스번호,직원수,데이터기준일자
16,거제시,(주)삼녹 한내공장,선박 구성 부분품 제조업,경상남도 거제시 연초면 연하해안로 725-5 외 3필지,"PIPE SPOOL 제작, 설치","이헌국, 김기덕, 김환중",055-638-3227,055-638-3127,24,2024-06-10
17,거제시,(주)새한레미콘,레미콘 제조업,경상남도 거제시 연초면 오비4길 52,레미콘,강종학,055-632-4405,055-634-6570,13,2024-06-10
18,거제시,(주)새한레미콘 아스콘공장,아스팔트 콘크리트 및 혼합제품 제조업,경상남도 거제시 연초면 오비4길 52,아스콘,강종학,055-633-8200,055-634-6570,5,2024-06-10
19,거제시,(주)서진,선박 구성 부분품 제조업,경상남도 거제시 연하해안로 600-3 (연초면),선박구성부분품,서진홍,055-632-6280,055-633-4334,15,2024-06-10
20,거제시,(주)성광산업,복합비료 및 기타 화학비료 제조업 외 1 종,경상남도 거제시 거제면 거제남서로 3799-17,유기질비료,백승용,055-632-6290,055-632-6270,3,2024-06-10
21,거제시,(주)성원테크,선박 구성 부분품 제조업,경상남도 거제시 연초면 연하해안로 601-18,"부분품, 반제품 형태의 금속제품",이재호,055-636-6809,,13,2024-06-10
22,거제시,(주)신성,선박 구성 부분품 제조업 외 1 종,경상남도 거제시 사등면 거제대로 5330 외 1필지,철의장품,이성신,055-635-2144,055-635-2145,50,2024-06-10
23,거제시,(주)신영기업거제지점,육상 금속 골조 구조재 제조업 외 2 종,경상남도 거제시 연초면 연하해안로 725-3 (신영기업) (총 2 필지) 외 1필지,선박부품,오정관,055-633-0034,055-633-0038,24,2024-06-10
24,거제시,(주)신진물산,수산동물 냉동품 제조업,경상남도 거제시 동부면 거제남서로 2245 외 4필지,냉동어류,김성기,055-633-4845,055-633-0160,1,2024-06-10
25,거제시,(주)신풍,레미콘 제조업 외 1 종,경상남도 거제시 사등면 성포로 349-18 외 18필지,"레미콘, 아스콘","김원수, 홍현실",055-632-2346,055-634-1801,34,2024-06-10
26,거제시,(주)에이치제이중공업 거제2공장,선박 구성 부분품 제조업,경상남도 거제시 사등면 성포로 349-20 외 3필지,선박블럭,유상철,051-410-3113,051-410-8465,50,2024-06-10
27,거제시,(주)에이치제이중공업 거제공장,선박 구성 부분품 제조업,경상남도 거제시 연초면 연하해안로 473-7,선박블록,유상철,051-410-3111,051-410-8465,250,2024-06-10
28,거제시,(주)에코미코,그 외 기타 분류 안된 금속 가공 제품 제조업 외 2 종,경상남도 거제시 피솔길 201 (장평동),"장애인 휠체어용 무대경사로, 탈의실, 방충망, 방진망",김미연,055-634-0209,055-634-0080,3,2024-06-10
29,거제시,(주)엔알바이오텍,건강기능식품 제조업 외 1 종,경상남도 거제시 둔덕면 죽전길 310-1,화웅초,엄덕주,055-273-2016,,3,2024-06-10
30,거제시,(주)욱일기업,선박 구성 부분품 제조업,경상남도 거제시 사등면 거제대로 5330-26 외 3필지,"Deck House, Engin Casing",김태욱,055-636-8097,055-635-9724,6,2024-06-10
31,거제시,(주)유경씨엠,시멘트 제조업,경상남도 거제시 사등면 성포로 365 외 4필지,시멘트,"김기호, 배흥경",055-636-7672,055-636-2346,25,2024-06-10
32,거제시,(주)이엠테크,그 외 기타 플라스틱 제품 제조업 외 3 종,경상남도 거제시 장목면 옥포대첩로 1421,"플라스틱 부품류, 콘센트/플러그류, 조명등류",서동석,055-637-3505,055-637-3595,3,2024-06-10
33,거제시,(주)일등,기타 수산동물 가공 및 저장 처리업,경상남도 거제시 사등면 지석2길 76,붕장어,강영진,055-632-2061,055-632-2062,14,2024-06-10
34,거제시,(주)제일레미콘,레미콘 제조업,경상남도 거제시 연초면 오비4길 46 외 1필지,레미콘,강진용,055-633-8200,055-634-6570,10,2024-06-10
35,거제시,(주)제일레미콘 아스콘공장,아스팔트 콘크리트 및 혼합제품 제조업,경상남도 거제시 연초면 오비4길 42 (연초면),아스콘,강진용,055-633-8200,055-634-6570,3,2024-06-10
36,거제시,(주)조은,선박 구성 부분품 제조업,경상남도 거제시 사등면 언양1길 43-10,"보온재, 함석 가공품",김주성,055-638-4696,055-638-4697,1,2024-06-10
37,거제시,(주)지에스,전구 및 램프 제조업 외 1 종,경상남도 거제시 고현로 61-1(고현동),"일반용 전기조명장치, 가로등","송형우, 강은혜",,,2,2024-06-10
38,거제시,(주)지투비네트웍스,일반용 전기 조명장치 제조업 외 2 종,경상남도 거제시 연초면 한내2길 1 레인보우빌 1층 외 2필지,"경관조명기구, 가로등기구",김대용,,055-632-1576,3,2024-06-10
39,거제시,(주)진광,선박 구성 부분품 제조업,경상남도 거제시 연초면 연하해안로 600-2,조선BLOCK,백도수,055-632-6004,055-633-3004,20,2024-06-10
40,거제시,(주)청해식품,김치류 제조업 외 1 종,경상남도 거제시 연초면 대금산로 39 (㈜청해식품) 외 4필지,김치류,김경수,055-636-0730,055-636-0731,42,2024-06-10
41,거제시,(주)칸정공,육상 금속 골조 구조재 제조업 외 7 종,"경상남도 거제시 하청면 연하해안로 1570-24, (하청면 유계리 10번지) (총 2 필지) 외 1필지",선박구성부분품,박기태,055-637-1717,055-634-6401,29,2024-06-10
42,거제시,(주)퍼쉬,선박 구성 부분품 제조업,경상남도 거제시 사등면 거제대로 5330-4 (퍼쉬(주)) 외 1필지,철의장품,김봉교,055-636-1964,055-636-1955,32,2024-06-10
43,거제시,(주)평화산소,산업용 가스 제조업,경상남도 거제시 연초면 연하해안로 751,산소.LPG가스.아세칠렌탄산가스,이상관,055-633-0388,055-633-7343,5,2024-06-10
44,거제시,(주)피앤엘 1공장,선박 구성 부분품 제조업,경상남도 거제시 연초면 연하해안로 600-1,선박용STEEL PIPE,"이철재, 신관우",055-632-4157,055-632-4169,15,2024-06-10
45,거제시,(주)피앤엘 2공장,선박 구성 부분품 제조업 외 3 종,경상남도 거제시 연초면 연하해안로 600 외 1필지,배관파이프 SPOOL,"이철재, 신관우",055-632-4158,,15,2024-06-10
46,거제시,(주)피엔케이엔지니어링,선박 구성 부분품 제조업,경상남도 거제시 양정4길 29 (양정동),보온재(함석),김현곤,055-632-3114,055-681-7998,5,2024-06-10
47,거제시,(주)한국카본 거제공장,선박 구성 부분품 제조업,경상남도 거제시 하청면 유계6길 5,선박용파이프,"조문수, 이명화",055-350-8421,055-355-0088,20,2024-06-10
48,거제시,(주)한려식품,육류 도축업(가금류 제외) 외 1 종,경상남도 거제시 사등면 거제대로 5943 (한려도계장),닭고기,전복동,055-632-9111,055-634-2111,15,2024-06-10
49,거제시,(주)한선,기타 수산동물 가공 및 저장 처리업 외 1 종,경상남도 거제시 둔덕면 호곡길 69 (둔덕수산),"굴가공류,로우프사",정상욱,055-633-5100,055-634-5555,24,2024-06-10
50,거제시,(주)해원,선박 구성 부분품 제조업,경상남도 거제시 사등면 지석로 43-18 (㈜해원),선박구성부분품,신해균,055-633-4960,055-633-4962,30,2024-06-10
51,거제시,(주)형제콘크리트,"콘크리트타일,기와,벽돌및블록제조업",경상남도 거제시 연초면 오비4길 40 (형제레미콘),"벽돌,블럭,토목자재",곽손순,055-632-1121,055-632-2153,3,2024-06-10
52,거제시,(주)홍성산업,레미콘 제조업,경상남도 거제시 거제대로 5022 (장평동) (주)홍성레미콘 외 1필지,레미콘,"박진서,이지영",055-634-4545,055-634-4070,28,2024-06-10
53,거제시,FI테크,기타 조명장치 제조업,경상남도 거제시 덕포1길 11-11 (덕포동),"LED작업등, LED SRTIP, 조명기기용컨버터(LED), 조명기기외 기타장치","조은화, 이승환",055-637-3118,055-634-3118,5,2024-06-10
54,거제시,거산식품,차류 가공업,경상남도 거제시 사등면 오량1길 1-28,"유자청, 유자차 등",유미숙,,055-633-1572,19,2024-06-10
55,거제시,거제농산물수출영농조합법인,빵류 제조업 외 2 종,경상남도 거제시 거제면 화원1길 79 거제농산물수출영농조합법인,"유자빵, 유자차, 맹종죽순",남기봉,055-636-1494,055-636-1496,9,2024-06-10
56,거제시,거제도 알로에,액상시유 및 기타 낙농제품 제조업,경상남도 거제시 동부면 율포로 565-23 (송수알로에),알로에겔,문진천,055-632-4572,055-632-4573,5,2024-06-10
57,거제시,거제도외포멸치,수산동물 건조 및 염장품 제조업,경상남도 거제시 장목면 옥포대첩로 732,건멸치,정재헌,055-635-7058,055-635-1999,2,2024-06-10
58,거제시,거제도외포멸치식품,수산동물 건조 및 염장품 제조업,경상남도 거제시 장목면 외포4길 55,"건멸치, 멸치액젓",정갑근,,,2,2024-06-10
59,거제시,거제도칡즙,기타 과실ㆍ채소 가공 및 저장 처리업,경상남도 거제시 둔덕면 언양로 7,칡즙,우계명,,,0,2024-06-10
60,거제시,거제사슴영농조합법인,건강보조용 액화식품 제조업 외 1 종,경상남도 거제시 거제면 옥산금성길 23,"건강보조용액화식품(녹용액,홍삼액 등),인삼식품(홍삼분말)",김수민,055-636-5300,055-636-5301,45,2024-06-10
61,거제시,거제수협수산물종합가공공장,기타 수산동물 가공 및 저장 처리업 외 1 종,경상남도 거제시 사등면 견내량1길 85,"생선회, 어육",서희수,055-636-7424,055-636-7423,35,2024-06-10
62,거제시,거제식품,수산동물 건조 및 염장품 제조업,경상남도 거제시 장목면 외포4길 97,액젖류,권순식,055-636-6121,055-636-6011,2,2024-06-10
63,거제시,거제알로에팜,기타 과실ㆍ채소 가공 및 저장 처리업,경상남도 거제시 거제면 읍내로 282,농산물 가공식품(알로에음료),이웅일,055-633-5575,055-633-5777,6,2024-06-10
64,거제시,건화공업(주) 성포1공장,선박 구성부분품 제조업 외 1 종,경상남도 거제시 사등면 성포로 303 외 11필지,조선BLOCK,"이수우,황갑기",055-680-5600,055-680-5780,60,2024-06-10
65,거제시,건화공업주식회사,강선건조업,경상남도 거제시 사등면 성포로 217 ((주)녹봉조선) 외 13필지,선박구성부분품,"이수우,황갑기",055-680-5600,055-636-0267,1,2024-06-10
66,거제시,경남테크(주),표면 가공 목재 및 특정 목적용 제재목 제조업,경상남도 거제시 사등면 두동로 235,목재칩,김효순,055-673-0203,055-672-9022,0,2024-06-10
67,거제시,광도기업,선박 구성 부분품 제조업,경상남도 거제시 사등면 거제대로 5330-26 외 2필지,강재,최영락,055-636-0056,055-636-0057,7,2024-06-10
68,거제시,광도기업(2공장),선박 구성 부분품 제조업,경상남도 거제시 사등면 거제대로 5330-10 외 1필지,선박구성부분품,최영락,,055-636-0122,5,2024-06-10
69,거제시,광신기계산업(주),선박 구성 부분품 제조업,경상남도 거제시 하청면 천마산길 55 외 2필지,철의장품,이종철,055-633-0047,055-632-1446,50,2024-06-10
70,거제시,광신기계산업(주) 유계공장,선박 구성 부분품 제조업,경상남도 거제시 하청면 연하해안로 1570-16,조선기자재(파이프),이종철,055-636-2278,055-632-1446,30,2024-06-10
71,거제시,광진테크,간판 및 광고물 제조업,"경상남도 거제시 연초면 소오비길 11-10, 광진테크","간판, 현수막",김용화,055-632-7333,055-632-2244,1,2024-06-10
72,거제시,금강중공업(주),선박 구성 부분품 제조업,경상남도 거제시 장목면 장목리 산 95번지 외 17필지 외 17필지,조선기자재선박부분품,유치권,,,60,2024-06-10
73,거제시,기득산업 주식회사,선박 구성 부분품 제조업,경상남도 거제시 연초면 오비4길 21-14,선박구성부부품,공경열,055-633-1259,055-633-1291,28,2024-06-10
74,거제시,나린산업 주식회사,표면 가공 목재 및 특정 목적용 제재목 제조업 외 1 종,경상남도 거제시 연초면 다공4길 47,"휀스, 울타리, 데크용 목재, 판재 등",이영미,055-638-4503,055-636-4503,5,2024-06-10
75,거제시,농업회사법인 (주)더조은냉동,가금류 가공 및 저장 처리업,경상남도 거제시 사등면 오량1길 1-16,냉동닭,전진주,055-637-2995,055-634-2111,5,2024-06-10
76,거제시,농업회사법인 대명원주식회사,건강기능식품 제조업,경상남도 거제시 동부면 산촌명진길 42-30 외 4필지,건강기능식품,허남현,,055-636-0325,6,2024-06-10
77,거제시,농업회사법인 산촌허브(주),건강보조용 액화식품 제조업,경상남도 거제시 동부면 부춘길 198,건강보조용 액화식품,김용식,055-632-2233,055-635-6500,2,2024-06-10
78,거제시,농업회사법인 주노서바이오텍(주),기타 비알코올 음료 제조업 외 1 종,"경상남도 거제시 동부면 동부로7길 13-4, (지번:동부면 산양리 213) 외 1필지",유자에센셜오일,김성일,,,5,2024-06-10
79,거제시,대일수산(주),기타 수산동물 가공 및 저장 처리업 외 2 종,경상남도 거제시 하청면 와항1길 32-1,"굴가공류, 복숭아통조림",이정태,055-636-2155,055-636-3977,85,2024-06-10
80,거제시,대일식품(주),수산동물 냉동품 제조업,경상남도 거제시 하청면 와항1길 32 (총 2 필지) 외 1필지,수생동물 냉동품,이영석,055-636-2155,055-636-3977,15,2024-06-10
81,거제시,대일씨에프,"수산동물 훈제, 조리 및 유사 조제식품 제조업 외 1 종",경상남도 거제시 하청면 와항1길 43 외 8필지,굴 훈제 및 보일드 통조림,이영석,,055-636-3977,50,2024-06-10
82,거제시,더행복한푸드시스템,기타 식사용 가공처리 조리식품 제조업 외 1 종,,"밀키트, 소스",임해동,,,9,2024-06-10
83,거제시,동림수산,수산동물 건조 및 염장품 제조업,경상남도 거제시 둔덕면 녹산1길 30 동림수산 외 1필지,"어리굴젓, 양념멍게",문병준,055-633-5103,055-632-7892,2,2024-06-10
84,거제시,디에이치테크,선박 구성 부분품 제조업,경상남도 거제시 둔덕면 거제남서로 5008,선박구성부분품,반준한,055-632-5503,055-632-5504,25,2024-06-10
85,거제시,라이트온(주),전시 및 광고용 조명장치 제조업 외 3 종,경상남도 거제시 고현로2길 16-1 (고현동),LED 전광판,고영수,,,0,2024-06-10
86,거제시,미래부엌가구,주방용 및 음식점용 목재가구 제조업,경상남도 거제시 사등면 지석2길 63-8,싱크대 제조,최화식,055-638-2328,,2,2024-06-10
87,거제시,미래시스템창호(주),플라스틱 창호 제조업 외 6 종,경상남도 거제시 연초면 연하해안로 951,"각종창호제품, 각종휀스제품",전기온,055-634-6288,055-634-6282,6,2024-06-10
88,거제시,삼녹ENG,구조용 금속 판제품 및 공작물 제조업 외 1 종,"경상남도 거제시 읍내로 154-29, (지번:거제면 서정리 424) (거제면) 외 2필지","CARBON,SUS PIPE SPOOL",김부건,055-634-0991,055-634-0992,74,2024-06-10
89,거제시,삼녹ENG 2공장,구조용 금속 판제품 및 공작물 제조업 외 1 종,"경상남도 거제시 읍내로 154-27, (구지번:거제면 서정리 424-1) (거제면)","CARBON,SUS PIPE SPOOL",김부건,055-634-0991,055-634-0992,24,2024-06-10
90,거제시,삼삼해물 영어조합법인,"수산동물 훈제, 조리 및 유사 조제식품 제조업",경상남도 거제시 옥포대첩로9길 1 (옥포동) 2층,자숙문어,이현진,055-687-0039,055-687-0037,4,2024-06-10
91,거제시,삼삼해물씨푸드 1공장,기타 수산동물 가공 및 저장 처리업,경상남도 거제시 옥포대첩로9길 6 (옥포동),수산물 필렛 등,이현진,055-687-0039,055-687-0037,8,2024-06-10
92,거제시,삼삼해물씨푸드 3공장,기타 식사용 가공처리 조리식품 제조업,경상남도 거제시 옥포대첩로9길 3 (옥포동) 조라승판회관 2층,밀키트,이현진,055-687-0039,055-687-0037,6,2024-06-10
93,거제시,삼성중공업(주) 성내공장,선박 구성 부분품 제조업,경상남도 거제시 사등면 거제대로 5330-34 외 4필지,선박부품,최성안,055-630-8470,055-630-4940,200,2024-06-10
94,거제시,삼성중공업(주) 한내 제1공장,선박 구성 부분품 제조업,경상남도 거제시 연초면 연하해안로 777 (연초면) 외 15필지,선박구성부분품제조업,최성안,055-630-9895,055-636-4940,25,2024-06-10
95,거제시,삼성중공업(주)사곡공장,선박 구성 부분품 제조업,경상남도 거제시 사등면 피솔길 290 (사등면) 외 1필지,"신조선박,해양구조물",최성안,055-630-6011,055-630-4940,550,2024-06-10
96,거제시,삼성중공업(주)신한내 메가단지,강선 건조업 외 12 종,경상남도 거제시 연초면 한내리 911번지 외 14필지,"신조선박, 해양구조물,풍력발전설비",최성안,055-630-6011,055-630-4940,450,2024-06-10
97,거제시,삼성중공업(주)오비공장,선박 구성 부분품 제조업,경상남도 거제시 연초면 오비리 688번지 외 88필지 외 2필지,선박구성부분품,최성안,055-630-8470,055-630-4940,74,2024-06-10
98,거제시,세양기업(주),육상 금속 골조 구조재 제조업 외 3 종,경상남도 거제시 연초면 연하해안로 725-4 (세양기업),철의장품,박정현,055-633-0560,055-632-0423,18,2024-06-10
99,거제시,세양기업(주)제2공장,도장 및 기타 피막처리업 외 5 종,경상남도 거제시 연초면 연하해안로 725-4 (세양기업) 외 3필지,"선박블럭, 선박의장품, 도장품",박정현,055-633-0560,055-632-0423,2,2024-06-10
100,거제시,숨비영어조합법인,수산동물 냉동품 제조업,경상남도 거제시 장목면 거제북로 1488,냉동 수산물,양승현,055-632-0522,,16,2024-06-10
101,거제시,슈퍼무기(주),일반용 도료 및 관련제품 제조업,경상남도 거제시 장목면 옥포대첩로 1135,도료,강명수,055-635-3567,055-635-2259,2,2024-06-10
102,거제시,신영기업제2공장,육상 금속 골조 구조재 제조업 외 1 종,경상남도 거제시 연초면 연하해안로 733 ((주)장한),철의장품,오정관,055-633-0034,055-633-0038,0,2024-06-10
103,거제시,신화기업(주),선박 구성 부분품 제조업,경상남도 거제시 사등면 두동로 193-3 (두동공단),철의장품,박정현,055-636-6434,055-636-7587,23,2024-06-10
104,거제시,신화기업(주) 제2공장,선박 구성 부분품 제조업,"경상남도 거제시 사등면 두동로 193-3, (사곡리 419-12번지) (두동공단) (총 2 필지)",선박구성부분품,박정현,055-636-6434,055-636-7587,12,2024-06-10
105,거제시,씨케이디 주식회사,선박 구성 부분품 제조업 외 3 종,경상남도 거제시 사등면 거제대로 5538 외 7필지,강선건조 및 선박구성분분품,장관순,055-635-2906,,2,2024-06-10
106,거제시,아시아조선(주),강선 건조업 외 2 종,경상남도 거제시 사등면 성포로 239,"강선, 비철금속선, 레이더마스트",장창근,055-638-0920,055-638-0922,10,2024-06-10
107,거제시,어업회사법인남포수산(주),수산동물 건조 및 염장품 제조업,경상남도 거제시 둔덕면 거제남서로 5145 (세양수산) 외 1필지,액젖류,조현구,055-637-5111,055-241-7070,5,2024-06-10
108,거제시,에스에이치에너지주식회사,배전반 및 전기 자동제어반 제조업 외 1 종,경상남도 거제시 연초면 연하해안로 574,배전반,오영아,070-5217-9445,,3,2024-06-10
109,거제시,에스와이동양가스(주),산업용 가스 제조업,경상남도 거제시 거제면 옥산로 146 (활어산소충전소),산업용가스,양영배,055-636-5545,055-636-6813,3,2024-06-10
110,거제시,연연칠백리(주),"근무복, 작업복 및 유사의복 제조업 외 3 종",경상남도 거제시 연초면 오비3길 21-1,"조선소모품(근무복,작업복, 가죽의복 등)",유원관,055-634-2255,,12,2024-06-10
111,거제시,오뚜기SF(주),배합 사료 제조업 외 1 종,경상남도 거제시 사등면 거제대로 5382,배합사료,맹성주,055-670-7773,055-636-5644,7,2024-06-10
112,거제시,옥토유기질비료영농조합법인,복합비료 및 기타 화학비료 제조업 외 1 종,경상남도 거제시 사등면 지석로 163,유기질비료,김상곤,055-635-7996,055-635-9799,4,2024-06-10
113,거제시,외포조선소,기타 선박 건조업,경상남도 거제시 장목면 외포5길 27-1,목선,김분자,055-636-6019,,5,2024-06-10
114,거제시,우리윈시스템 주식회사,유선 통신장비 제조업 외 7 종,"경상남도 거제시 거제중앙로 1855, 4층 (고현동)","감시카메라,무선통신장비,구내방송장치,버스정보안내단말기",황숙형,055-634-1951,055-634-1952,7,2024-06-10
115,거제시,우주공업사,건설 및 채광용 기계장비 제조업,경상남도 거제시 연초면 연하해안로 389 (총 2 필지) 외 1필지,건설기계부품,박중진,055-635-8875,055-637-2794,4,2024-06-10
116,거제시,우주중기 주식회사,건설 및 채광용 기계장비 제조업,경상남도 거제시 사등면 사곡2길 9,건설기계부품,김성묵,,055-636-5491,1,2024-06-10
117,거제시,원준기업,"천막, 텐트 및 유사 제품 제조업 외 1 종",경상남도 거제시 옥포대첩로 333 (덕포동) 외 1필지,천막,노태우,055-682-5393,055-688-5392,6,2024-06-10
118,거제시,유원마린테크,합성수지선 건조업 외 1 종,경상남도 거제시 연초면 연하해안로 725-1 외 2필지,"소형선박, 어선, 레저보트",유명호,055-731-1262,055-731-1269,12,2024-06-10
119,거제시,육서방F&B,기타 식사용 가공처리 조리식품 제조업,경상남도 거제시 일운면 거제대로 1822,한우곰탕 등,정명련,055-682-2234,055-682-2297,7,2024-06-10
120,거제시,제이엘중공업 주식회사,선박 구성 부분품 제조업,경상남도 거제시 연초면 연하해안로 473-15,선박블록,서준상,055-674-6897,055-672-6896,160,2024-06-10
121,거제시,주식회사 가온일렉콤,배전반 및 전기 자동제어반 제조업,경상남도 거제시 수양로 197 (양정동),배전반 및 전기 자동제어반,박수일,055-632-8367,055-633-5529,23,2024-06-10
122,거제시,주식회사 공용,혼성 및 재생 플라스틱 소재 물질 제조업,경상남도 거제시 장목면 옥포대첩로 1457 (장목면) 외 5필지,합성수지(재생플라스틱),김영희,055-634-0077,055-635-9669,5,2024-06-10
123,거제시,주식회사 금영스틸,선박 구성 부분품 제조업,경상남도 거제시 사등면 성포로 209 외 1필지,선박블럭,강중헌,055-736-4622,055-736-4626,48,2024-06-10
124,거제시,주식회사 금호안전산업,그 외 기타 봉제의복 제조업,경상남도 거제시 해명로 3 (수월동) 2층,보호복,정석문,,0303-3444-0602,3,2024-06-10
125,거제시,주식회사 남평레미콘,레미콘 제조업,경상남도 거제시 연초면 오비4길 42 (연초면),레미콘,"문지훈, 이학주",055-633-3340,055-633-7625,13,2024-06-10
126,거제시,주식회사 남평산업,아스팔트 콘크리트 및 혼합제품 제조업 외 1 종,"경상남도 거제시 연초면 연하해안로 601-20, (총3필지) (연초면) 외 2필지",건설용 쇄골재,문지훈,055-633-3340,055-633-7620,13,2024-06-10
127,거제시,주식회사 동원산업,그 외 기타 봉제의복 제조업,경상남도 거제시 연초면 소오비길 19,특수의복 및 의복부분품,정원홍,055-632-6778,055-632-8777,4,2024-06-10
128,거제시,주식회사 디케이에너지,구조용 금속 판제품 및 공작물 제조업 외 2 종,경상남도 거제시 연초면 효촌길 86-7,태양광 구조물,이동훈,055-636-9175,050-7084-2094,22,2024-06-10
129,거제시,주식회사 모린정보기술,기기용 자동측정 및 제어장치 제조업 외 5 종,경상남도 거제시 수양1길 86 (수월동),"계장제어장치, 프로세스제어반, 자동제어반, 수배전반, 분전반, CCTV, 방송설비",박건환,055-632-7183,0502-632-5555,7,2024-06-10
130,거제시,주식회사 삼척이엔지,도장 및 기타 피막처리업,경상남도 거제시 사등면 두동로 193-5 (사등면) 외 1필지,철의장품,김수복,055-636-7951,055-635-7812,3,2024-06-10
131,거제시,주식회사 알루부이,구조용 금속 판제품 및 공작물 제조업 외 2 종,"경상남도 거제시 사등면 언양로 291, 1층","알루미늄부표, 수상부표, 수상부자, 부잔교, 선박부품",백영종,055-633-3390,055-633-3396,2,2024-06-10
132,거제시,주식회사 얌테이블,기타 수산동물 가공 및 저장 처리업 외 1 종,,"생선회, 즉석식품, 해산물 밀키트",주상현,055-645-8999,055-633-8996,125,2024-06-10
133,거제시,주식회사 용쓰네,육류 포장육 및 냉동육 가공업 (가금류 제외),경상남도 거제시 거제면 동상명진길 96-1,육류 포장육,권용화,,055-637-3726,5,2024-06-10
134,거제시,주식회사 이테크 한내공장,선박 구성 부분품 제조업,경상남도 거제시 연초면 한내2길 11-22 외 3필지,온도유지(발열)판넬,백철진,055-633-2702,055-633-2703,30,2024-06-10
135,거제시,주식회사 제이엘비엘티,선박 구성 부분품 제조업,경상남도 거제시 둔덕면 법동어구로 644 외 1필지,선박용 철가공,장훈,055-636-6897,055-672-6897,34,2024-06-10
136,거제시,주식회사 칸,그 외 기타 전기장비 제조업 외 2 종,"경상남도 거제시 용소1길 105, B동 1층(아주동, 칸빌딩)","해양플랜트 전자장비, 정션박스, 기타 소형제작품",현장환,055-639-7600,055-639-7700,4,2024-06-10
137,거제시,주식회사 케이캄,강선 건조업 외 3 종,경상남도 거제시 장목면 거제북로 2053-74 외 10필지,"강선,비철금속선박 및 기타항해용 선박, 오락 및 스포츠용보트",장해식,,,40,2024-06-10
138,거제시,주식회사 퍼쉬(지석공장),선박 구성 부분품 제조업,경상남도 거제시 사등면 지석로 201,선박구성부분품제조(강관),김봉교,055-636-1964,055-636-1955,15,2024-06-10
139,거제시,주식회사 효림테크,일반용 전기 조명장치 제조업,경상남도 거제시 거제면 동상명진길 96,LINE LED 커넥터 연결,황남연,055-637-3737,055-637-3726,8,2024-06-10
