업체명,전화번호,주소,업종명,생산품,대표자명
(주)신우,055-673-6768,경상남도 고성군 회화면 배둔공단길 109,그 외 기타 금속가공업 외 1 종,철구조물(선박구성부분품),박진석
(주)신흥이엔지,055-271-6219,경상남도 고성군 마암면 남해안대로 3175,육상 금속 골조 구조재 제조업 외 1 종,육상 및 해양 구조재,곽철민
(주)에스엘,055-674-1546,경상남도 고성군 상리면 부포로 130,혼성 및 재생 플라스틱 소재 물질 제조업,플라스틱재생수지,여경도
(주)영광공작소,055-672-2437,경상남도 고성군 구만면 화림2길 81,육상 금속 골조 구조재 제조업 외 1 종,선박용 유니트,허만진
(주)영일,055-672-0717,경상남도 고성군 고성읍 율대5길 103,선박 구성 부분품 제조업,선박구성부분품,권순석
(주)이래FR 도장공장,055-673-8991,경상남도 고성군 회화면 배둔공단길 129,도장 및 기타 피막처리업,선박부분품도장품,우성운
(주)이래에프알,055-673-8971,경상남도 고성군 회화면 봉오로 55,선박 구성 부분품 제조업,선박구성부분품,우성운
(주)인송,,경상남도 고성군 하이면 삼상로 918,"수산동물 훈제, 조리 및 유사 조제식품 제조업 외 2 종",철갑상어 훈제품,조영오
(주)인우,055-672-8915,경상남도 고성군 고성읍 율대6길 123,선박 구성 부분품 제조업,철구조물,김진균
(주)일경,055-672-2070,경상남도 고성군 동해면 거류로 946,"금속 문, 창, 셔터 및 관련제품 제조업 외 5 종","금속조립구조재, 수문",염서원
(주)제이에스에프,055-673-7371,경상남도 고성군 거류면 은황길 301,목재문 및 관련제품 제조업 외 1 종,"목재창호, 목재가구",신애자
(주)조선,055-674-1870,경상남도 고성군 고성읍 이당6길 237,육상 금속 골조 구조재 제조업 외 1 종,철구조물 및 조선기자재,이한열
(주)좋은아트산업,055-673-8813,경상남도 고성군 상리면 척번정7길 127,육상 금속 골조 구조재 제조업 외 1 종,버스(택시)승강장,정영인
(주)진영테크 고성공장,055-672-0490,경상남도 고성군 거류면 거류로 136,폴리스티렌 발포 성형제품 제조업 외 2 종,"우레탄발포성형제품, 강화플라스틱",장흥복
(주)천년산업,055-672-9912,경상남도 고성군 삼산면 두포리 177-4,복합비료 및 기타 화학비료 제조업 외 3 종,"패화석칼슘비료, 칼슘단미사료",임호준
(주)킹스스파,055-674-2253,경상남도 고성군 고성읍 월평3길 88-68,기타 가정용 전기기기 제조업,전기식 반신욕기,한승엽
(주)태창이엔지(마동지점),,경상남도 고성군 거류면 거류로 376-57,선박 구성 부분품 제조업,배관재(선박/해양플랜트),곽태영
(주)태창테크,055-672-2360,경상남도 고성군 마암면 보전1길 125-22,선박 구성 부분품 제조업 외 2 종,"선박부품, 철구조물",곽경호
(주)티앤드에스,051-832-4880,경상남도 고성군 회화면 당항길 10,구조용 금속 판제품 및 공작물 제조업 외 2 종,"박스, 밸브박스, 플랜지박스, 압착기",서정태
(주)피앤엘,055-585-9970,경상남도 고성군 대가면 대가로 853,선박 구성 부분품 제조업 외 1 종,선박부분품,이철재
(주)하이엠샘물,055-673-0044,경상남도 고성군 구만면 구만로 1010,생수 생산업,생수,장구현
(주)한국클로렐라,055-345-4441,경상남도 고성군 마암면 도전2길 82,기타 식품 첨가물 제조업,식용클로렐라,배옥자
(주)한덕,055-673-5762,경상남도 고성군 고성읍 율대6길 81,선박 구성 부분품 제조업,선박의장품,김병수
(주)한성종합철강,055-673-9858,경상남도 고성군 고성읍 공단로 93,구조용 금속 판제품 및 공작물 제조업,"샌드위치판넬, 철강재",김육인
(주)해송,055-672-9717,경상남도 고성군 마암면 당항만로 412,선박 구성 부분품 제조업,조선기자재(절단),유기수
(주)해주,055-736-0088,경상남도 고성군 상리면 부포리 384-1,선박 구성 부분품 제조업,조선기자재,강수범
(주)혜승수산 ,055-674-6066,경상남도 고성군 하일면 춘암2길 16-60,수산동물 건조 및 염장품 제조업,건어물,김임권
가델유기축산 영농조합법인,055-672-1767,경상남도 고성군 거류면 감서5길 102-59,배합 사료 제조업 외 1 종,보조사료(생균제),배인숙
가야정비,055-674-2844,경상남도 고성군 고성읍 공단로 79,건설 및 채광용 기계장비 제조업,굴삭기 버켓,김경아
건설기업,055-674-2306,경상남도 고성군 고성읍 송학리 246,"콘크리트 타일, 기와, 벽돌 및 블록 제조업","콘크리트벽돌, 블럭",이영호
경남식품유통(주),055-673-9585,경상남도 고성군 마암면 두호1길 22,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,단순육가공,허종완
경남자동차중기정비,055-674-3170,경상남도 고성군 고성읍 남해안대로 2556,건설 및 채광용 기계장비 제조업,"유압호스, 바켓",천명호
경남자원 주식회사,055-673-0203,경상남도 고성군 구만면 광덕리 303,표면 가공 목재 및 특정 목적용 제재목 제조업 외 2 종,"목재칩, 톱밥(목분)",박수백
경양수산(주),055-673-9295,경상남도 고성군 삼산면 장치2길 501-48,수산동물 냉동품 제조업,수산물 가공,전명열
고려화공 주식회사,055-673-3891,경상남도 고성군 마암면 당항만로 138,화약 및 불꽃제품 제조업 외 3 종,"신호탄, 무기및총포탄, 소화기",조영준
고성군미맥영농조합법인,055-672-8954,경상남도 고성군 마암면 금호로 435-29,곡물 도정업,현미,이일도
고성기업,,경상남도 고성군 고성읍 덕선리 산 50-1,선박 구성 부분품 제조업,선박용의장철구조물,허유림
고성농업협동조합,055-673-0233,경상남도 고성군 고성읍 기월4길 16,곡물 도정업,백미,이재열
고성레미콘 주식회사,055-672-8787,경상남도 고성군 거류면 용산리 54-1,레미콘 제조업,레미콘,김철현
고성발효사료영농조합법인,055-674-5908,경상남도 고성군 고성읍 대평리 83-10,배합 사료 제조업,가축용 배합사료,박완욱
고성식품,055-673-5667,경상남도 고성군 고성읍 남해안대로 2935-49,수산동물 건조 및 염장품 제조업 외 2 종,"각종 젓갈, 각종 장아찌",천미경
고성아스콘 주식회사,055-672-8787,경상남도 고성군 거류면 용산리 54-2,아스팔트 콘크리트 및 혼합제품 제조업,"아스콘, 쇄석골재",김오현
고성양조장,055-674-4050,경상남도 고성군 고성읍 성내로 66,탁주 및 약주 제조업,탁주,주석
고성퇴비영농조합법인,055-674-2046,경상남도 고성군 영오면 대가로 2069-17,복합비료 및 기타 화학비료 제조업 외 1 종,부산물비료,조원래
공룡나라약선문화예술촌,055-672-7776,경상남도 고성군 하일면 자란만로 1047-66,김치류 제조업 외 2 종,"장아찌, 생강차, 편강",여희주
광명수출포장,055-674-2989,경상남도 고성군 마암면 두호1길 137,골판지 제조업 외 1 종,골판지상자,김숙경
금강종합식품,055-674-0276,경상남도 고성군 고성읍 덕선2길 101-1,"면류, 마카로니 및 유사식품 제조업 외 1 종",국수,박용주
금강중공업 주식회사,055-670-3536,경상남도 고성군 동해면 동해로 1469,강선 건조업 외 3 종,"철블럭, 강선",금동현
금강중공업 주식회사 제2공장,055-672-3535,경상남도 고성군 동해면 동해로 1510,선박 구성 부분품 제조업,선박구성부분품제조업(블럭),금동현
나리푸드,,경상남도 고성군 마암면 두호2길 83-66,기타 곡물 가공품 제조업,곡물가공품,변정주
남도산업,055-672-1211,경상남도 고성군 거류면 신용7길 19,수산동물 건조 및 염장품 제조업,멸치액젓,김판수
남도식품(주),055-672-9560,경상남도 고성군 거류면 당동6길 50-12,수산동물 냉동품 제조업 외 2 종,"생굴,냉동굴",김지곤
남영수산,055-835-8942,경상남도 고성군 하이면 석지2길 111,수산동물 건조 및 염장품 제조업,멸치건어물,김용하
남일식품,055-832-4378,경상남도 고성군 하이면 하이로 183,"수산동물 훈제, 조리 및 유사 조제식품 제조업","명태포, 쥐치포",김치환
농업회사법인 고성한우주식회사,055-674-5908,경상남도 고성군 고성읍 대평로 126-7,배합 사료 제조업 외 1 종,생균제 사료,박재곤
농업회사법인 꾸지팜 주식회사,,경상남도 고성군 고성읍 월평4길 126,탁주 및 약주 제조업 외 1 종,"구지뽕 막걸리, 구지뽕 액즙",홍대규
농업회사법인 주식회사 두보,055-673-5331,경상남도 고성군 고성읍 남해안대로 2953,곡물 도정업,"두보쌀, 남도할맥",허원태
농업회사법인 주식회사 맥소반,055-672-8006,경상남도 고성군 고성읍 남해안대로 2969-25,"면류, 마카로니 및 유사식품 제조업 외 1 종",쌀보리 라면,허원태
대광산업,055-673-6814,경상남도 고성군 마암면 두호2길 208,선박 구성 부분품 제조업,조선기자재,장종태
대륙조선소,055-672-4615,경상남도 고성군 회화면 배둔공단길 68,합성수지선 건조업 외 1 종,F.R.P 선박 건조,박인호
대운산업,055-673-0748,경상남도 고성군 하일면 공룡로 800,수산동물 건조 및 염장품 제조업,"명태알포, 쥐포",이종자
대화중공업(주),055-674-6897,경상남도 고성군 고성읍 죽계리 195,선박 구성 부분품 제조업,"조선기자재, 산업기계설비",심현철
대화항공산업(주),055-673-8566,경상남도 고성군 고성읍 교사대독길 390,항공기용 부품 제조업,항공기기체부품,김영홍
덕광중공업주식회사,055-670-1800,경상남도 고성군 동해면 조선특구로 488-4,선박 구성 부분품 제조업 외 2 종,선박구성부분품,이상석
동성글러브,,경상남도 고성군 고성읍 이당1길 111,기타 편조의복 액세서리 제조업,면장갑,공정율
동원식품,051-809-5396,경상남도 고성군 대가면 송계1길 14,수산동물 건조 및 염장품 제조업,멸치젓갈,최경옥
동진물산,055-673-1732,경상남도 고성군 하일면 오방2길 220,수산동물 건조 및 염장품 제조업,"명태포, 오징어",정대수
동해참숯,,경상남도 고성군 동해면 외산로 518-13,천연수지 및 나무 화학물질 제조업 외 1 종,참숯,이남기
류안산업,,경상남도 고성군 고성읍 월평리 360,선박 구성 부분품 제조업,선박용 휠타,류진천
바다엔,,경상남도 고성군 하이면 덕호리 209,장류 제조업,"어된장, 어간장",박선아
바로산업,055-674-6821,경상남도 고성군 거류면 동해로 245,선박 구성 부분품 제조업,선박용사다리 배관 지지대,신은자
배둔정미소,055-673-2011,경상남도 고성군 회화면 엑스포로 58,곡물 도정업,"현미,백미,도미",하학열
보성하이테크,,경상남도 고성군 고성읍 우산4길 32-18,그 외 기타 특수목적용 기계 제조업 외 1 종,"굴폐각분쇄기, 폐기물건조기",김금규
비아이피(주) 고성공장 1공장,055-650-8800,경상남도 고성군 회화면 배둔공단길 67,선박 구성 부분품 제조업,선박구성부분품,"유영호, 조의제"
비아이피(주) 고성공장 제2공장,055-650-8800,경상남도 고성군 회화면 배둔공단길 68,선박 구성 부분품 제조업,선박구성부분품,"유영호, 조의제"
비아이피(주) 고성공장 제3공장,055-650-8800,경상남도 고성군 회화면 배둔공단길 78,선박 구성 부분품 제조업,선박구성부분품,"유영호, 조의제"
비아이피(주) 고성공장 제4공장,055-650-8800,경상남도 고성군 회화면 배둔공단길 81,선박 구성 부분품 제조업,선박구성부분품,"유영호, 조의제"
사조산업(주),055-673-8700,경상남도 고성군 고성읍 율대5길 29,"수산동물 훈제, 조리 및 유사 조제식품 제조업 외 4 종","참치, 닭통조림,동물용사료,식품첨가물",김정수
삼강에스앤씨 주식회사,055-670-6000,경상남도 고성군 동해면 조선특구로 740,강선 건조업 외 2 종,"선박,철구조물",송무석
삼강엠앤티(주),055-673-7015,경상남도 고성군 동해면 내산3길 51-1,선박 구성 부분품 제조업 외 2 종,선체블록,송무석
삼강엠앤티(주)가공공장,055-673-7015,경상남도 고성군 동해면 조선특구로 2029,육상 금속 골조 구조재 제조업 외 1 종,조립용 금속구조재 및 구성부분품,송무석
삼덕식품,055-672-1587,경상남도 고성군 동해면 동해로 855,수산동물 건조 및 염장품 제조업,멸치액젓,김석용
삼도프레스(주),055-673-6231,경상남도 고성군 고성읍 남해안대로 2951,디지털 적층 성형기계 제조업 외 1 종,프레스,이도경
상리양조장,055-672-8019,경상남도 고성군 상리면 척번정7길 82-14,탁주 및 약주 제조업,탁주,전현숙
새고성농업협동조합,055-672-8288,경상남도 고성군 상리면 장치로 355,곡물 도정업 외 1 종,"도정백미, 현미, 가래떡",곽근영
성림목재상사,055-673-7802,경상남도 고성군 거류면 당동6길 16,일반 제재업,"건축자재, 목재",김순갑
성원물산(주),055-674-2636,경상남도 고성군 거류면 동해로 459,천연 및 혼합조제 조미료 제조업 외 1 종,"고추가루,기능성현미",정문호
세경중공업 주식회사,055-674-7876,경상남도 고성군 대가면 금호로 308-198,선박 구성 부분품 제조업,"선박부분 품(셀가이드,블록)",한도교
세양식품,,경상남도 고성군 동해면 용정리 276,수산동물 건조 및 염장품 제조업,멸치액젓,진종만
세영산업,055-674-4950,경상남도 고성군 상리면 부포로 199-9,직물포대 제조업,직물포대,전길임
세운산업 주식회사,02-532-8070,경상남도 고성군 거류면 거류로 376-70,선박 구성 부분품 제조업 외 1 종,밸브실 제작,김철수
세진하이테크 주식회사,055-672-7701,경상남도 고성군 영오면 영산4길 3,육상 금속 골조 구조재 제조업 외 1 종,금속조립구조재제조업,황용규
소전식품,055-835-1211,경상남도 고성군 하이면 하이로 312,기타 식품 첨가물 제조업,식품용소금,정순묵
스틸피스트(주),055-672-2391,경상남도 고성군 구만면 영회로 1586,강관 제조업 외 1 종,특수파이프,조정제
시앤시코리아 주식회사,055-673-7196,경상남도 고성군 고성읍 공단로 85-7,절삭가공 및 유사처리업,"밸브,Pipe 및 각종 기계부품",강순석
신도엔지니어링,055-673-5760,경상남도 고성군 마암면 두호4길 187,선박 구성 부분품 제조업,선박의장품,한영신
신라자동차1급정비공업사,055-673-7711,경상남도 고성군 고성읍 남해안대로 2524,건설 및 채광용 기계장비 제조업,"중기정비, 자동차수리",천명길
신선유기영농조합법인,055-672-4488,경상남도 고성군 대가면 대가로 517,복합비료 및 기타 화학비료 제조업 외 1 종,부산물비료,김영삼
신양수산,,경상남도 고성군 하일면 춘암2길 64,수산동물 건조 및 염장품 제조업,건조 멸치,전석만
신영라텍스,055-673-4431,경상남도 고성군 고성읍 율대5길 38-39,그 외 기타 고무제품 제조업,고무풍선,정문철
신우시앤시코리아(주),055-673-7196,경상남도 고성군 고성읍 공단로 87,도장 및 기타 피막처리업,조선기자재,강순석
신풍산업,055-673-4420,경상남도 고성군 고성읍 율대5길 38-39,고무 의류 및 기타 위생용 비경화 고무제품 제조업,"고무장화, 고무장갑",문행숙
신화당제과,055-673-8771,경상남도 고성군 고성읍 율대5길 54-17,과자류 및 코코아 제품 제조업,"사탕, 제리, 건과, 유과류",윤성차
씨제이제일제당(주),055-740-3316,경상남도 고성군 동해면 동해로 849-5,수산동물 건조 및 염장품 제조업,멸치액젓,"김철하, 손경식, 신현재"
아버지의바다 두도액젓,055-673-8386,경상남도 고성군 삼산면 두포1길 137-24,수산동물 건조 및 염장품 제조업,액젓,강무웅
어업회사법인 거보산업 주식회사,055-674-3425,경상남도 고성군 삼산면 공룡로 2203,배합 사료 제조업 외 1 종,펠릿 사료,정난근
어업회사법인 삼진피드 주식회사,,경상남도 고성군 거류면 은황길 237,배합 사료 제조업 외 1 종,단미사료,황정규
에스탱크엔지니어링(주),055-239-9300,경상남도 고성군 동해면 내산3길 51-1,금속탱크 및 저장용기 제조업,금속 탱크 및 저장용기,김진태
오뚜기SF(주),055-672-9741,경상남도 고성군 고성읍 남해안대로 2771,"수산동물 훈제, 조리 및 유사 조제식품 제조업 외 6 종","참치, 꽁치, 고등어 캔통조림, 참치농축액, 야생엑기스, 복숭아 통조림, 어생사료",도영현
우성테크,055-673-0805,경상남도 고성군 고성읍 상정대로 538,금속 단조제품 제조업,소화배관,서제열
우양수산식품,055-833-5550,경상남도 고성군 하이면 하이로 300-33,수산동물 건조 및 염장품 제조업,액젖,신정숙
유림에코(주),055-755-1401,경상남도 고성군 상리면 신촌2길 10-36,도장 및 기타 피막처리업,어로용부표 도장품,강훈석
유성물산교역(주),055-672-4902,경상남도 고성군 고성읍 율대5길 71,기타 과실ㆍ채소 가공 및 저장 처리업 외 4 종,"골뱅이, 꽁치, 번데기, 과실통조림","강승모, 강순걸"
유엔산업,,경상남도 고성군 고성읍 율대5길 104,선박 구성 부분품 제조업,선박구성부분품,정유엔
이케이중공업(주),055-673-3010,경상남도 고성군 동해면 조선특구로 1236,기타 기관 및 터빈 제조업 외 22 종,"선박구성 부분품, 기타터빈제조, 컨베이어장치, 기타물품취급장비 등",이종열
자란만식품,055-672-7391,경상남도 고성군 삼산면 두포로 273,수산동물 건조 및 염장품 제조업,"멸치액젓, 절임식품",박원일
장인석공,,경상남도 고성군 고성읍 월평리 663,기타 석제품 제조업,"석등 및 석공예품 장치물, 병, 그릇등 석제품, 가구 등",윤철
정동유업영농조합법인,,경상남도 고성군 영오면 양산2길 11,액상시유 및 기타 낙농제품 제조업,"요구르트, 치즈",김정섭
정암레미콘 주식회사,055-854-1900,경상남도 고성군 하이면 삼상로 892,레미콘 제조업,레미콘,박경원
제이아이씨한성(주)고성지점,,경상남도 고성군 거류면 거류로 376-78,기타 구조용 금속제품 제조업 외 1 종,"선박블록, 선박용의장품",박용흠
제일리버스(주),055-672-9761,경상남도 고성군 고성읍 월평로 169,육류 도축업(가금류 제외) 외 3 종,"소,돼지도축",오만호
제일리버스(주),055-672-9761,경상남도 고성군 고성읍 월평로 169,육류 도축업(가금류 제외) 외 3 종,축산물도축가공품,오만호
주식회사 강성플랜트,070-4421-7171,경상남도 고성군 동해면 조선특구로 144,선박 구성 부분품 제조업,선박구성부분품,정우철
주식회사 고려노벨화약,055-673-2801,경상남도 고성군 마암면 당항만로 190,화약 및 불꽃제품 제조업,"산업용폭약, 뇌관",최경훈
주식회사 길갈스텐창호,055-673-7506,경상남도 고성군 고성읍 죽계1길 77,플라스틱 창호 제조업,플라스틱 창호,전춘호
주식회사 나라이엔지,055-674-7940,경상남도 고성군 거류면 거류로 376-78,선박 구성 부분품 제조업,선박구성부분품,"차규환, 조우엽"
주식회사 대림에스엔피지점,055-673-8998,경상남도 고성군 고성읍 율대6길 63,도장 및 기타 피막처리업,"배관, 철의장품",김제인
주식회사 두도,055-673-8386,경상남도 고성군 삼산면 공룡로 2102-39,수산동물 건조 및 염장품 제조업,액젓어간장,강무웅
주식회사 디케이테크,055-670-1400,경상남도 고성군 거류면 거류로 376-66,선박 구성 부분품 제조업,덕트,이상석
주식회사 미래중공업,055-672-6386,경상남도 고성군 동해면 조선특구로 856,선박 구성 부분품 제조업 외 2 종,"선박용 블럭, 아스팔트운반선",박상룡
주식회사 배둔콘크리트,055-673-5555,경상남도 고성군 회화면 영회로 2197,"콘크리트 타일, 기와, 벽돌 및 블록 제조업","가정용,토목용 콘크리트제품",김학수
주식회사 보창,055-673-4774,경상남도 고성군 고성읍 교사리 880-3,선박 구성 부분품 제조업,선박구성부분품,윤희재
주식회사 삼광기업,055-674-7430,경상남도 고성군 고성읍 남해안대로 2282,가정용 유리제품 제조업,KS규격 복층유리생산,김도연
주식회사 송효,055-672-0167,경상남도 고성군 회화면 배둔공단길 104,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업,콘크리트농수로관,문정도
주식회사 씨엠중공업,070-4610-4721,경상남도 고성군 동해면 조선특구로 1108-14,수상 금속 골조 구조재 제조업 외 1 종,"해양,건설플랜트 구조물",김지훈
주식회사 양광중공업,055-673-2125,경상남도 고성군 거류면 거류로 376-68,선박 구성 부분품 제조업,셀가이드,곽형근
주식회사 에어파렛트,,경상남도 고성군 거류면 은월4길 11-48,플라스틱 접착처리 제품 제조업 외 1 종,폴리우레아,이재훈
주식회사 엠투에이치,055-256-4321,경상남도 고성군 고성읍 남해안대로 2309,내연기관 제조업,내연기관,정재훈
주식회사 오도재축산,070-4268-4812,경상남도 고성군 고성읍 월평로 169,육류 포장육 및 냉동육 가공업 (가금류 제외),"소,돼지 식육가공 포장판매",장원직
주식회사 이래fr,055-673-8971,경상남도 고성군 상리면 부포로 46,선박 구성 부분품 제조업,철의장품(p/from 외),우성운
주식회사 정암산업개발,055-854-1900,경상남도 고성군 하이면 삼상로 892,아스팔트 콘크리트 및 혼합제품 제조업,아스콘,최승호
주식회사 중앙오션 고성공장,055-672-9880,경상남도 고성군 거류면 동해로 739,선박 구성 부분품 제조업,선박 구성부분품,전병철
주식회사 진양 고성지점,055-672-5597,경상남도 고성군 상리면 부포로 203,폴리스티렌 발포 성형제품 제조업 외 1 종,스치로풀성형제품,허성두
주식회사 태광,055-674-7690,경상남도 고성군 상리면 부포로 199-14,폴리스티렌 발포 성형제품 제조업 외 1 종,부이 및 박스,고맹의
주식회사 태금,055-674-1600,경상남도 고성군 거류면 송산로 53-63,선박 구성 부분품 제조업,조선기자재,이재동
주식회사 태창이엔지,055-672-2360,경상남도 고성군 거류면 거류로 376-46,선박 구성 부분품 제조업 외 1 종,배관제 제작,곽태영
주식회사 하나이엔지,055-672-9962,경상남도 고성군 거류면 동해로 679,선박 구성 부분품 제조업 외 1 종,"선박외형제품, 열교환기",배종석
주식회사 해강,055-644-6707,경상남도 고성군 회화면 배둔공단길 116,선박 구성 부분품 제조업 외 2 종,"조선의장품,도장,철구조물",박원섭
지산산업(주),055-674-3878,경상남도 고성군 삼산면 공룡로 2624-99,복합비료 및 기타 화학비료 제조업 외 1 종,석회질비료,양현석
지엠에스아이(주),055-641-7520,경상남도 고성군 회화면 배둔공단길 116,선박 구성 부분품 제조업,선박구성부분품,조준식
지엠에스아이(주),055-674-7524,경상남도 고성군 거류면 안정로 1150-10,기타 물품 취급장비 제조업 외 1 종,"산업기계, 크레인류, 기계설비공사, 전자제어장치",조준식
진산아스콘 주식회사,055-672-8463,경상남도 고성군 상리면 상정대로 1213,아스팔트 콘크리트 및 혼합제품 제조업,아스콘,정현수
진성화학공업사,055-674-6973,경상남도 고성군 고성읍 이당5길 39-14,플라스틱 필름 제조업 외 1 종,농업용비닐,곽정임
천가식품,055-673-8391,경상남도 고성군 하일면 춘암1길 170,수산동물 건조 및 염장품 제조업,멸치 염장품,천주영
천광종합상사,055-673-4416,경상남도 고성군 고성읍 남해안대로 2764-6,그 외 기타 플라스틱 제품 제조업,PVC샤시 창호,최성호
천해수산,055-835-0609,경상남도 고성군 하이면 하이로 486-10,수산동물 냉동품 제조업 외 1 종,"냉동어류, 수산건어물",손봉기
태영산업(주),055-672-7272,경상남도 고성군 고성읍 율대6길 103,선박 구성 부분품 제조업,선박의장품,김종주
푸드디자인,055-673-6003,경상남도 고성군 거류면 거류로 286-58,육류 기타 가공 및 저장처리업 (가금류 제외) 외 2 종,"돈가스, 소스",최재영
플랜트클리닉센터,055-674-1076,경상남도 고성군 영현면 신분3길 10,복합비료 및 기타 화학비료 제조업,4종 복합비료,정채경
하이양조장,055-834-6110,경상남도 고성군 하이면 하이로 250,탁주 및 약주 제조업,막걸리,원만연
하이에어코리아의장(주),055-670-9000,경상남도 고성군 거류면 거류로 376-56,선박 구성 부분품 제조업,선박 철의장품,이맹로
하이에어코리아의장(주),055-670-9000,경상남도 고성군 거류면 거류로 376-48,도장 및 기타 피막처리업 외 1 종,선박의장품 도장,이맹로
한국아르다메탈패키징(주),055-584-6113,경상남도 고성군 고성읍 율대5길 54-3,금속 캔 및 기타 포장용기 제조업,"런천미트 캔, 기타 캔 및 뚜껑",빠뜨뤽마리프랑스와사브레
한려식품,055-674-4239,경상남도 고성군 삼산면 공룡로 2624-71,수산동물 건조 및 염장품 제조업,멸치액젓,조임재
한방황토,055-674-7676,경상남도 고성군 고성읍 신월로 193-14,그 외 기타 분류 안된 비금속 광물제품 제조업 외 3 종,황토벽돌,윤인구
