순번,단지명,회사명,공장대표주소,업종명,전화번호,팩스번호,생산품
36,창녕대합일반산업단지,(주)대산엘이디전기조명,경상남도 창녕군 대합면 대합산업단지로 22-22,전구 및 램프 제조업 외 6 종,055-532-5546,,LED 조명기구
37,개별공장,(주)대성산업,경상남도 창녕군 대지면 경남대로 4897-14,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,055-533-1364,055-533-0259,우+돈
38,개별공장,(주)대성이노텍,경상남도 창녕군 장마면 초곡길 322,철도차량 부품 및 관련 장치물 제조업 외 1 종,055-533-7700,,객차+전동차+기관차(구체+SIDE+ROOF+U/F+END)
39,개별공장,(주)대영레미콘,경상남도 창녕군 대지면 미산길 3-24,레미콘 제조업,055-532-8620,055-532-0958,레미콘
40,개별공장,(주)대영아스콘,경상남도 창녕군 대지면 미산길 3-26,아스팔트 콘크리트 및 혼합제품 제조업,055-532-8622,055-532-0958,아스콘
41,개별공장,(주)대왕,경상남도 창녕군 영산면 신제로 69,선박 구성 부분품 제조업,055-521-3425,055-521-3420,선박부품+플랜트
42,창녕대합일반산업단지,(주)대우경금속,경상남도 창녕군 대합면 합리 1418,그 외 자동차용 신품 부품 제조업 외 3 종,055-533-0013,053-611-6066,자동차발판+변속기 로터 등+자동차부품+자동차부품+자동차부품
43,개별공장,(주)대원기업,경상남도 창녕군 장마면 동정리 26-4,그 외 자동차용 신품 부품 제조업 외 3 종,,,자동차부품(응축기+증발기)
44,개별공장,(주)대주기공,경상남도 창녕군 도천면 바깥어만길 84-9,기체 여과기 제조업 외 1 종,070-5100-3205,,산업용 집진기
45,개별공장,(주)대진,경상남도 창녕군 창녕읍 환곡어도로 225-21,기타 기초 무기 화학물질 제조업,055-533-0074,055-533-1715,산화철
46,개별공장,(주)대진,경상남도 창녕군 창녕읍 신촌리 669-4,그 외 기타 분류 안된 비금속 광물제품 제조업,055-533-0074,055-533-1715,칼라규사
47,개별공장,(주)대진실업,경상남도 창녕군 대지면 학성세거리길 252,목재 포장용 상자·드럼 및 유사용기 제조업,055-533-8812,055-533-8812,운반용목제상자+톱밥
48,개별공장,(주)대진에코텍,경상남도 창녕군 도천면 예리 734-1,일반 제재업,,,각재및판재
49,개별공장,(주)대한기업,경상남도 창녕군 성산면 후천공단길 27,도장 및 기타 피막처리업 외 3 종,055-532-5323,055-532-5328,금속표면처리+조명기구+가로등주 제작 및 분체도장
50,창녕서리농공단지,(주)대화포징,경상남도 창녕군 영산면 서리상촌길 307-47,그 외 자동차용 신품 부품 제조업,055-521-4590,,자동차부품
51,개별공장,(주)동림식품,경상남도 창녕군 계성면 계성장마로 250-18,수산동물 훈제·조리 및 유사 조제식품 제조업 외 2 종,055-536-4653,055-536-6620,농수산물통조림+농산물통조림+카레+짜장소스 통조림
52,창녕대합일반산업단지,(주)동성,경상남도 창녕군 대합면 대합산업단지로 120-7,철도차량 부품 및 관련 장치물 제조업,,054-954-9211,철도차량부품
53,개별공장,(주)동성에너텍,경상남도 창녕군 계성면 영산계성로 590,구조용 금속 판제품 및 공작물 제조업,055-521-2700,055-521-2701,플랜트+발전설비+조선설비
54,개별공장,(주)동소금속,경상남도 창녕군 장마면 초곡길 235-24,그 외 자동차용 신품 부품 제조업 외 3 종,055-521-3087,,파이프+칼라
55,개별공장,(주)동우,경상남도 창녕군 도천면 바깥어만길 23,육상 금속 골조 구조재 제조업 외 3 종,055-536-7114,055-536-7116,철구조물 및 산업플랜트
56,개별공장,(주)동우목재산업,경상남도 창녕군 도천면 논리우강길 454,일반 제재업,055-521-2223,055-521-2230,각재 등
57,개별공장,(주)동원레미콘,경상남도 창녕군 성산면 대터공단길 62,레미콘 제조업,055-532-0913,,레미콘제조
58,개별공장,(주)동일씨앤이,경상남도 창녕군 고암면 간상길 292,설치용 및 위생용 플라스틱제품 제조업 외 1 종,031-477-9300,,FRP 저장탱크+FRP 파이프
59,개별공장,(주)동주S&J,경상남도 창녕군 영산면 신제리 172-13,차체 및 특장차 제조업,,,파워게이트 차량+윙바디 등
60,개별공장,(주)동창,경상남도 창녕군 대지면 효정리 432-1,기타육지동물고기가공및저장처리업,055-533-9133,,육지동물가공품
61,개별공장,(주)동호산업,경상남도 창녕군 창녕읍 직교리 374-17,그 외 기타 분류 안된 화학제품 제조업 외 1 종,,,방착제+이형제
62,개별공장,(주)두남에스에이,경상남도 창녕군 대지면 도양새우등길 57,부직포 및 펠트 제조업,055-530-4460,,펠트+차동차내장재
63,창녕대지농공단지,(주)두남에스에이,경상남도 창녕군 대지면 대지농공단지길 24-35,그 외 자동차용 신품 부품 제조업,055-532-4460,055-532-4457,휠커버
64,개별공장,(주)디.엠테크,경상남도 창녕군 대지면 학성세거리길 252,무기안료용 금속 산화물 및 관련 제품 제조업,,,시멘트착색용안료
65,개별공장,(주)디알아이,경상남도 창녕군 계성면 계성장마로 250-8,산업용 그 외 비경화 고무제품 제조업 외 2 종,,,고무방충제
66,창녕대합일반산업단지,(주)디알오토텍,경상남도 창녕군 대합면 대합산업단지로 38-36,산업용 로봇 제조업 외 1 종,055-532-8353,055-532-8353,산업용 로봇 제조+그외 기타 특수 목적용 기계 제조업
67,개별공장,(주)디에스이노베이션,경상남도 창녕군 대합면 수장퇴산로 40,육상 금속 골조 구조재 제조업,055-532-8686,055-532-8383,철구조물
68,개별공장,(주)디에스피,경상남도 창녕군 도천면 논리우강길 395,육상 금속 골조 구조재 제조업 외 1 종,055-521-4488,055-521-3460,데크플레이트
69,개별공장,(주)디엔[3공장],경상남도 창녕군 대합면 경남대로 5279-22,자동차 차체용 신품 부품 제조업,,055-532-4460,자동차 내장제
70,개별공장,(주)디자인남영,경상남도 창녕군 창녕읍 환곡어도로 82,코르크 및 조물제품 제조업 외 1 종,055-532-2900,055-532-2906,식생메트+일반용 조명장치
71,개별공장,(주)디케이엘,경상남도 창녕군 도천면 경남대로 3133,도장 및 기타 피막처리업,055-806-7003,055-806-7004,철도용부품(도장품)
72,개별공장,(주)디케이엘,경상남도 창녕군 대지면 도양새우등길 19,철도차량 부품 및 관련 장치물 제조업 외 1 종,055-532-7008,055-532-7009,의료기부품+철도차량 부품+철도차량 내장재
73,개별공장,(주)디케이오스텍창녕공장,경상남도 창녕군 장마면 초곡길 235-24,그 외 자동차용 신품 부품 제조업 외 4 종,051-727-7071,051-727-7077,자동차부품
74,개별공장,(주)또로록식품,경상남도 창녕군 장마면 장마고곡로 177-22,천연 및 혼합조제 조미료 제조업,055-328-3568,055-328-3569,소스류+양념육+기타수산물
75,창녕대지농공단지,(주)라인메탈,경상남도 창녕군 대지면 대지농공단지길 24-21,금속선 가공제품 제조업,055-532-0251,,와이어로프
76,개별공장,(주)로얄캔들,경상남도 창녕군 도천면 어만리 394,라이터·연소물 및 흡연용품 제조업 외 2 종,,,양초(향초)+스프+화학조미료
77,개별공장,(주)리노,경상남도 창녕군 유어면 내부곡길 166,물질 검사·측정 및 분석기구 제조업 외 5 종,055-232-7108,,초음파탐상기+비파괴검사장비
78,개별공장,(주)명성패킹,경상남도 창녕군 대합면 유산1길 16,골판지 제조업 외 1 종,055-533-5110,055-533-6141,골판지상자+지통+하드보드지
79,개별공장,(주)모전식품,경상남도 창녕군 대합면 모전리 876,천연 및 혼합조제 조미료 제조업 외 6 종,055-532-1820,055-532-1852,숙성양파농축액+곰탕+설렁탕+돈사골추출액
80,개별공장,(주)미래중공업,경상남도 창녕군 도천면 바깥어만길 84-9,기체 여과기 제조업 외 1 종,055-536-7480,055-536-7481,산업용 집진기
81,개별공장,(주)미래테크-1공장,경상남도 창녕군 성산면 후천공단길 37,그 외 자동차용 신품 부품 제조업 외 3 종,055-532-6534,055-532-6538,자동차 에어콘용 콤프레샤부품
82,개별공장,(주)미래테크-2공장,경상남도 창녕군 성산면 후천공단길 38,그 외 자동차용 신품 부품 제조업 외 3 종,055-532-6534,055-532-6538,자동차 에어콘용 콤퓨레샤부품
83,개별공장,(주)벽진피앤티,경상남도 창녕군 영산면 월령공장길 90,구조용 금속 판제품 및 공작물 제조업,,,글라스울판넬
84,개별공장,(주)벽진피앤티(P&T)),경상남도 창녕군 영산면 신제로 299-7,육상 금속 골조 구조재 제조업,053-584-8444,070-8230-5665,건축용자재(만넬)
85,개별공장,(주)보성산업,경상남도 창녕군 대합면 도개1길 62-21,산업용 송풍기 및 배기장치 제조업,055-532-0300,055-533-0074,송풍기+배기장치
86,개별공장,(주)봉견,경상남도 창녕군 유어면 우포1대로 908,콘크리트 타일·기와·벽돌 및 블록 제조업,055-532-9950,055-532-9971,호안블럭
87,개별공장,(주)부강텍스,경상남도 창녕군 고암면 억만미산로 268,합성섬유 제조업,055-533-1178,055-533-1179,폴리에스텔실
88,개별공장,(주)부경하이텍,경상남도 창녕군 영산면 신제리 731,그 외 자동차용 신품 부품 제조업 외 3 종,,,자동차부품(볼스터드)
89,개별공장,(주)산마을,경상남도 창녕군 장마면 창녕장마로 427,기타 과실ㆍ채소 가공 및 저장 처리업,055-521-7550,055-521-5802,생식품
90,개별공장,(주)삼부,경상남도 창녕군 계성면 광계마을길 194,그 외 자동차용 신품 부품 제조업 외 3 종,,,조향장치
91,개별공장,(주)삼성씨와이,경상남도 창녕군 계성면 준공업단지길 11,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업,055-521-3381,055-521-3380,콘크리트관+PC암거
92,개별공장,(주)삼성콘크리트창녕공장,경상남도 창녕군 계성면 준공업단지길 11,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업,055-521-3381,055-521-3380,PC전주+PHC파일
93,개별공장,(주)삼성화이바,경상남도 창녕군 계성면 영산장마로 519,합성섬유 제조업,,,산업용 폴리에스텔 화이바
94,개별공장,(주)삼진기계,경상남도 창녕군 대합면 용산유산로 6,농업 및 임업용 기계 제조업,055-532-9388,,양파줄기제거기
95,개별공장,(주)삼진플랜텍,경상남도 창녕군 장마면 계성장마로 165,선박 구성 부분품 제조업,,055-521-5590,piping+철구조물
96,개별공장,(주)상원이엔씨,경상남도 창녕군 대지면 대대효정길 136-29,금속류 해체 및 선별업 외 1 종,02-2669-2521,,선박용 문+창문+계단+난간
97,개별공장,(주)상진화력,경상남도 창녕군 영산면 영산월령로 438,산업용 난방보일러 및 방열기 제조업,,,산업용보일러
98,개별공장,(주)새일진식품,경상남도 창녕군 대지면 경남대로 4897-65,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,055-532-4643,055-532-3076,2차 가공육
99,개별공장,(주)서원산업,경상남도 창녕군 계성면 광계마을길 205,그 외 기타 분류 안된 섬유제품 제조업,055-345-2776,,충전물 솜
100,개별공장,(주)선진,경상남도 창녕군 대지면 경남대로 4897-66,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,055-532-3216,055-532-3220,선진포크
101,개별공장,(주)성림텍,경상남도 창녕군 대합면 장기리 1111-1,판지 상자 및 용기 제조업,055-533-9701,055-533-9702,포장박스
102,개별공장,(주)성신,경상남도 창녕군 도천면 경남대로 3103,기타 구조용 금속제품 제조업 외 1 종,055-335-7000,055-326-2115,컨테이너
103,창녕서리농공단지,(주)성일엠텍,경상남도 창녕군 영산면 서리상촌길 307-113,자동차 엔진용 신품 부품 제조업 외 1 종,055-521-1712,055-526-1712,피스톤핀
104,창녕서리농공단지,(주)성일엠텍,경상남도 창녕군 영산면 서리 534,자동차 엔진용 신품 부품 제조업 외 1 종,055-521-1712,055-526-1712,자동차엔진부품+태양력발전업
105,창녕서리농공단지,(주)성일엠텍,경상남도 창녕군 영산면 서리 535,자동차 엔진용 신품 부품 제조업 외 1 종,055-521-1712,055-526-1712,자동차엔진부품+태양력발전업
106,개별공장,(주)성진식품,경상남도 창녕군 남지읍 솔밭길 27,면류·마카로니 및 유사식품 제조업 외 2 종,055-526-1230,055-526-2573,당면+냉면
107,개별공장,(주)성화,경상남도 창녕군 대합면 모전리 563,선박 구성 부분품 제조업,055-806-8031,055-806-8032,해치+격판
108,창녕대합일반산업단지,(주)세기엘테크,경상남도 창녕군 대합면 합리 1416,주형 및 금형 제조업,053-581-8820,053-581-8825,금형제작 및 다이캐스팅 
109,창녕대합일반산업단지,(주)세아베스틸,경상남도 창녕군 대합면 대합산업단지로 100,제강업 외 1 종,055-530-8500,055-530-8597,특수강
110,개별공장,(주)세움영남,경상남도 창녕군 도천면 송진리 1024,육상 금속 골조 구조재 제조업,055-806-7966,,철가설재(동바리 등)
111,개별공장,(주)세종일신,경상남도 창녕군 대합면 수장퇴산로 112-42,금속탱크 및 저장용기 제조업 외 2 종,,,현장 조립식 맨홀
112,개별공장,(주)세종페이퍼텍,경상남도 창녕군 대합면 모전리 919,그 외 기타 종이 및 판지 제품 제조업,055-532-8827,,테이프용 지관
113,개별공장,(주)세현,경상남도 창녕군 대지면 왕산리 355,어망 및 기타 끈 가공품 제조업,,,안전망+건축자재망
114,개별공장,(주)세화이앤씨,경상남도 창녕군 도천면 바깥어만길 23,산업용 오븐·노 및 노용 버너 제조업 외 1 종,055-536-7111,055-536-7238,산업용연소설비
115,개별공장,(주)수창,경상남도 창녕군 대합면 대동월포로 381,레미콘 제조업,055-533-1935,055-533-2830,레미콘
116,개별공장,(주)시민,경상남도 창녕군 도천면 논리덕곡길 185,선박 구성 부분품 제조업,055-536-7446,,원형덕트
117,창녕대합일반산업단지,(주)시코텍,경상남도 창녕군 대합면 대합산업단지로 95,알루미늄 제련·정련 및 합금 제조업,055-533-9971,,알루미늄 합금
118,개별공장,(주)신광콘크리트,경상남도 창녕군 창녕읍 이남길 40-60,콘크리트 타일·기와·벽돌 및 블록 제조업,055-533-5100,055-5330-1505,인터로킹
119,창녕대합농공단지,(주)신라명과남부사업본부,경상남도 창녕군 대합면 대합공단길 21,과자류 및 코코아 제품 제조업,055-532-0404,055-532-1944,빵+과자
120,개별공장,(주)신성메가텍,경상남도 창녕군 장마면 동장가1길 79-20,육상 금속 골조 구조재 제조업 외 1 종,051-866-7268,051-866-7260,철구조물
121,창녕대합일반산업단지,(주)신성에이치엔티,경상남도 창녕군 대합면 대합산업단지로 38-45,그 외 자동차용 신품 부품 제조업,053-611-9415,055-611-9416,자동차 부품
122,개별공장,(주)신우포장,경상남도 창녕군 영산면 신제로 24,골판지 제조업 외 2 종,055-521-5630,055-521-5631,포장용 박스
123,창녕대합일반산업단지,(주)신화열처리,경상남도 창녕군 대합면 대합산업단지로 38-43,자동차용 신품 동력전달장치 제조업,055-530-9900,055-530-9999,자동차부품
124,창녕대합일반산업단지,(주)씨티알대합공장,경상남도 창녕군 대합면 합리 1388,그 외 자동차용 신품 부품 제조업 외 3 종,055-530-5600,055-530-5603,터보차처 콤푸레샤 하우징
125,창녕서리농공단지,(주)씨티알영산2공장,경상남도 창녕군 영산면 서리상촌길 307-122,그 외 자동차용 신품 부품 제조업 외 4 종,055-278-0247,055-286-1319,조향+현가장치
126,창녕서리농공단지,(주)씨티알영산AM1공장,경상남도 창녕군 영산면 서리상촌길 307-29,자동차용 신품 조향장치 및 현가 장치 제조업,055-530-5611,055-533-5603,자동차 조향장치
127,창녕서리농공단지,(주)씨티알영산AM2공장,경상남도 창녕군 영산면 서리상촌길 307-50,그 외 자동차용 신품 부품 제조업 외 3 종,055-520-0200,055-520-0297,자동차부품
128,창녕서리농공단지,(주)씨티알영산AM창고,경상남도 창녕군 영산면 서리상촌길 307-92,그 외 자동차용 신품 부품 제조업 외 3 종,055-530-5611,055-533-5603,자동차터보차져+콤프레샤하우징
129,창녕서리농공단지,(주)씨티알영산공장,경상남도 창녕군 영산면 서리상촌길 307-106,그 외 자동차용 신품 부품 제조업 외 4 종,055-520-3000,070-4275-1267,자동차 조향 및 현가장치 부품
130,개별공장,(주)아이언창녕,경상남도 창녕군 영산면 영산도천로 448,건설 및 채광용 기계장비 제조업,055-521-0240,055-521-0250,트럭 적재함
131,개별공장,(주)알엠에이창녕공장,경상남도 창녕군 계성면 영산계성로 560,자동차용 신품 동력전달장치 제조업 외 1 종,031-352-2959,031-352-8678,전기자동차 2차전지 알루미늄 케이스 등
132,개별공장,(주)약동산업,경상남도 창녕군 영산면 영산월령로 524,육상 금속 골조 구조재 제조업 외 1 종,,,철구조물
133,개별공장,(주)에스에스티,경상남도 창녕군 계성면 계성장마로 350,그 외 자동차용 신품 부품 제조업 외 4 종,,055-536-5451,자동차용 신품부품+차체용 신품부품
134,개별공장,(주)에스와이테크,경상남도 창녕군 계성면 영산계성로 602,기타 구조용 금속제품 제조업,055-521-0281,055-521-0287,금속구조물+금속기계
135,개별공장,(주)에스지,경상남도 창녕군 영산면 월령리 775-7,금속 단조제품 제조업,055-526-0581,,커플러
136,개별공장,(주)에스텍,경상남도 창녕군 창녕읍 창녕장마로 543-1,그 외 자동차용 신품 부품 제조업 외 3 종,055-533-9161,055-533-9164,라지에이터
137,개별공장,(주)에이원,경상남도 창녕군 계성면 준공업단지길 32-7,광학렌즈 및 광학요소 제조업,055-536-7200,055-536-7200,휴대폰카메라 모듈
138,개별공장,(주)에이원(제2공장),경상남도 창녕군 계성면 명리길 66,광학렌즈 및 광학요소 제조업,055-536-7200,055-536-7204,휴대폰카메라 모듈(렌즈)
139,개별공장,(주)에이치앤비,경상남도 창녕군 대지면 우포1대로 1218-17,구름베어링 제조업,055-532-5260,,니들베어링
140,창녕대합일반산업단지,(주)에이치에스코팅,경상남도 창녕군 대합면 대합산업단지로 103,도장 및 기타 피막처리업,055-790-9220,055-790-9221,농기계 부품 도장
141,개별공장,(주)에이치엔티,경상남도 창녕군 계성면 준공업단지길 14,금속 열처리업,055-536-1963,055-536-0393,금속열처리 등
142,개별공장,(주)에코라인,경상남도 창녕군 남지읍 학계리 1064-14,혼성 및 재생 플라스틱 소재 물질 제조업,,,재생 플라스틱 원료
143,개별공장,(주)엔.에이.텍,경상남도 창녕군 유어면 선소1길 117-25,복합비료 및 기타 화학비료 제조업 외 1 종,055-532-0541,055-532-0542,부산물비료(퇴비)
144,창녕대합일반산업단지,(주)엘엠에이티,경상남도 창녕군 대합면 대합산업단지로 79,알루미늄주물 주조업,055-343-7511,055-343-7507,알루미늄주물
145,창녕대합일반산업단지,(주)엘엠에이티,경상남도 창녕군 대합면 대합산업단지로 87,알루미늄주물 주조업,055-343-7511,055-343-7507,알루미늄 주물
146,개별공장,(주)영등산업,경상남도 창녕군 대합면 평지리 967,콘크리트 타일·기와·벽돌 및 블록 제조업,,,벽돌+블록
147,창녕서리농공단지,(주)영신티알,경상남도 창녕군 영산면 서리상촌길 307-7,그 외 기타 고무제품 제조업,055-342-4611,,구동장치고무제품
148,개별공장,(주)영진목재,경상남도 창녕군 영산면 열무고개길 36-6,일반 제재업,055-536-0790,055-536-7352,건축용자재
149,창녕대합일반산업단지,(주)영화,경상남도 창녕군 대합면 대합산업단지로 38-19,기타 구조용 금속제품 제조업,053-582-8600,053-582-8682,샌드위치 판넬
150,창녕대합일반산업단지,(주)우리들하이텍,경상남도 창녕군 대합면 대합산업단지로 38-45,일반철물 제조업,055-532-1280,053-532-1290,일반철물제품
151,창녕대합일반산업단지,(주)우영공업,경상남도 창녕군 대합면 합리 1420-1,자동차 차체용 신품 부품 제조업 외 1 종,055-533-9882,053-614-9833,MUFFLER 소음기+MUFFLER 흡음제
152,개별공장,(주)우진목재,경상남도 창녕군 영산면 열무고개길 36-13,일반 제재업,,,제재목
153,개별공장,(주)우포라이스텍,경상남도 창녕군 유어면 우포1대로 588,기타 곡물 가공품 제조업,055-532-7068,055-532-1206,현미 가공 식품
154,창녕대합일반산업단지,(주)유림테크창녕공장,경상남도 창녕군 대합면 대합산업단지로 68-54,자동차 엔진용 신품 부품 제조업,055-532-6257,055-532-6258,자동차 엔진 하우징
155,창녕대합농공단지,(주)유일,경상남도 창녕군 대합면 대합공단길 36-14,복합비료 및 기타 화학비료 제조업,055-532-4741,055-532-7771,제4종복합비료+유기농자재
156,창녕대합농공단지,(주)유일,경상남도 창녕군 대합면 대합공단길 46,복합비료 및 기타 화학비료 제조업,055-532-4741,055-532-7771,복합비료
157,개별공장,(주)유일정공,경상남도 창녕군 영산면 신제로 20,절삭가공 및 유사처리업 외 2 종,,055-521-6516,발전설비 절삭가공+Gas Receiver+Air Receiver+Strong Back Ring
158,개별공장,(주)이노폴,경상남도 창녕군 계성면 준공업단지길 16,일반용 도료 및 관련제품 제조업,051-796-9951,051-796-9908,분체도료용 원료
159,개별공장,(주)이앤씨,경상남도 창녕군 대지면 학성세거리길 270,복합비료 및 기타 화학비료 제조업 외 1 종,055-533-8871,055-533-8110,유기질비료
160,개별공장,(주)이오스코리아,경상남도 창녕군 고암면 원촌어은길 154,금속 가구 제조업 외 2 종,055-585-2713,055-533-2710,화장실칸막이+조립식패널+조절식 책상+의자
161,개별공장,(주)일원식품,경상남도 창녕군 영산면 신제로 4,육류 기타 가공 및 저장처리업 (가금류 제외),,,돼지고기 가공 및 포장제품
162,창녕남지농공단지,(주)일진,경상남도 창녕군 남지읍 남지공단길 11,금속 문·창·셔터 및 관련제품 제조업 외 2 종,055-327-8101,055-327-8102,금속+문+창+셔터 및 관련 제품
163,창녕남지농공단지,(주)일진,경상남도 창녕군 남지읍 남지공단길 9,금속 문·창·셔터 및 관련제품 제조업 외 2 종,055-327-8101,055-327-8102,금속 문+창+셔터
164,개별공장,(주)자미에프앤비,경상남도 창녕군 이방면 이방로 445-27,식초·발효 및 화학 조미료 제조업 외 2 종,055-532-5222,,식초+고추장+발효원액
165,개별공장,(주)장수원,경상남도 창녕군 대지면 경남대로 4897-39,육류 포장육 및 냉동육 가공업 (가금류 제외),,,한우+돈육 포장육
166,개별공장,(주)정수이엔지,경상남도 창녕군 대합면 수장퇴산로 112-42,육상 금속 골조 구조재 제조업 외 1 종,055-532-8572,055-532-9553,철구조물
167,창녕대합일반산업단지,(주)제이아이,경상남도 창녕군 대합면 대합산업단지로 38-45,절삭가공 및 유사처리업,053-383-0942,053-383-0943,자동차부품
168,개별공장,(주)제이에프코리아,경상남도 창녕군 도천면 경남대로 3081,그 외 기타 플라스틱 제품 제조업,055-521-9002,,전자통신장비부품
