순번,회사명,대표자명,공장대표주소,전화번호,팩스번호,업종명,생산품
45,미조유압공업사,정안국,경상남도 남해군 미조면 미조로 196,055-867-7347,,기타 일반 기계 및 장비 수리업 외 1 종,"양망기, 윈치, 유자망 어류 분리기, 선상고정식크레인"
46,미조조선소,정찬원,경상남도 남해군 미조면 미조리 77-4번지,055-867-6326,055-867-4628,기타 선박 건조업,"선박(목선, 합성수지선) 건조 및 수리"
47,보물섬우리밀영농조합법인,류봉심,경상남도 남해군 남해읍 망운로 195-4,055-864-5193,055-863-2901,"면류, 마카로니 및 유사식품 제조업 외 1 종",국수
48,비에이치에스(BHS),장태철,경상남도 남해군 고현면 남해대로 3408-30,055-863-5547,055-863-5546,날붙이 제조업,"숟가락, 젓가락, 티수픈등"
49,새남해농협 농식품유통센터,류성식,경상남도 남해군 고현면 남해대로 3487-16 (새남해농협흑마늘가공공장),055-863-2530,055-863-2529,기타 과실ㆍ채소 가공 및 저장 처리업,"흑마늘액상음료(진액), 흑마늘, 다진마늘"
50,서창선간이수리소,강인권,경상남도 남해군 창선면 서부로 861-30,055-867-2494,055-867-2494,합성수지선 건조업 외 1 종,"선박(목선, 합성수지선) 건조 및 수리"
51,선인수산,정규현,경상남도 남해군 이동면 남해대로 2326-9,055-864-0102,055-862-0102,기타수산동물 가공 및 저장 처리업,자숙새꼬막살
52,신성엔지니어링,조재삼,경상남도 남해군 고현면 남해대로 3406,055-863-0414,055-863-0405,금속탱크 및 저장용기 제조업 외 3 종,금속제물탱크
53,신화씽크,여창모,경상남도 남해군 고현면 남해대로3100번길 15 신화씽크,055-862-1096,,주방용 및 음식점용 목재가구 제조업,가정용 씽크대
54,어업회사법인 주식회사 수정식품,한정여,경상남도 남해군 삼동면 봉화로56번길 45-41,055-867-0075,055-867-0348,수산동물 건조 및 염장품 제조업,멸치액젓
55,영남농산영농조합법인,강경자,경상남도 남해군 남면 남서대로 708 (영남농산),055-863-2777,055-863-5333,기타 과실ㆍ채소 가공 및 저장 처리업,"깐마늘, 시금치"
56,우도식품,김근호,경상남도 남해군 고현면 남해대로 3487-100,055-862-2022,055-862-2023,차류 가공업 외 5 종,
57,우송석재,장상우,경상남도 남해군 남해읍 남해대로 2981-13,055-864-5561,055-863-1561,기타 석제품 제조업,석제가공생산
58,웰로하스,유기봉,경상남도 남해군 남해읍 평현로124번길 16-11,055-863-5989,055-863-5990,"식초, 발효 및 화학 조미료 제조업",마늘발효식초음료
59,유진개발(주),박해경,경상남도 남해군 고현면 남해대로 3406,055-863-3200,055-863-3201,"금속 문, 창, 셔터 및 관련제품 제조업 외 1 종",구조용 금속판제품
60,은점영어조합법인,박성근,경상남도 남해군 삼동면 동부대로942번길 38-21,055-867-8686,055-867-8687,수산동물 건조 및 염장품 제조업,멸치액젓
61,이가락건강,정경태,경상남도 남해군 설천면 설천로 176-40,055-863-2950,,기타 과실ㆍ채소 가공 및 저장 처리업,"흑마늘, 흑도라지, 흑생강"
62,인광식품(1공장),윤진원,경상남도 남해군 미조면 동부대로 34,055-867-7114,055-867-7515,수산동물 건조 및 염장품 제조업,멸치액젓
63,인광식품(2공장),윤진원,경상남도 남해군 미조면 동부대로 35-21,055-867-7114,055-867-7515,수산동물 건조 및 염장품 제조업,멸치액젓
64,일심식품,이기명,경상남도 남해군 남해읍 선소로75번길 78,,,과실 및 그 외 채소 절임식품 제조업,마늘장아찌
65,조연식품,조연자,경상남도 남해군 남면 남면로202번길 50-16,,,과실 및 그 외 채소 절임식품 제조업,절임류(장아찌 등)
66,주식회사 엘에스아이오티,김충국,"경상남도 남해군 남해읍 망운로 27, A동 2층",055-864-1190,,전자감지장치 제조업,"온도센서, 수신기"
67,주식회사 일백,이동한,경상남도 남해군 고현면 화방로 51,055-862-8675,055-862-8676,기타 과실ㆍ채소 가공 및 저장 처리업,"흑마늘즙, 양배추즙"
68,주식회사 청남,"김봉실,최승호",경상남도 남해군 고현면 남해대로 3245-9,055-864-7321,055-864-7325,레미콘 제조업 외 1 종,"레미콘, 아스콘"
69,주식회사 하남엔지니어링,강철호,경상남도 남해군 고현면 오곡리 196-21 제2동,055-864-2777,055-864-7772,산업용 냉장 및 냉동 장비 제조업 외 4 종,"식물생장 조절실, 히트펌프, 항온항습조"
70,주식회사초린원,이금선,경상남도 남해군 남면 남면로 1534-118 (산지약용작물가공유통센타),055-863-3599,055-863-8002,기타 곡물 가공품 제조업,산양산삼 및 도라지 혼합엑기스
71,진보수산(주),지용철,경상남도 남해군 설천면 강진로 694-41,055-863-3250,,수산동물 냉동품 제조업 외 1 종,굴가공품
72,창남조선소,김보숙,경상남도 남해군 창선면 당항리 34-3번지,055-867-5555,055-867-5666,기타 선박 건조업 외 1 종,목선건조 및 수리
73,풍년비닐공업사,박현엽,경상남도 남해군 고현면 남해대로 3243-6,055-863-0121,055-863-0151,플라스틱 필름 제조업 외 2 종,"농업용 멀칭비닐, 쓰레기봉투,플라스틱포"
74,항촌조선소,김한옥,경상남도 남해군 남면 남면로1031번길 39-9,,,기타 선박 건조업,목선건조 및 수리
75,해늘찬치즈,정철수,경상남도 남해군 남면 남서대로 684-4,,,액상시유 및 기타 낙농제품 제조업,"치즈, 요구르트"
