회사명,전화번호,읍면동,주소,주력생산품,근로자수
(주)신성사,055-342-4701,진영읍,경상남도 김해시 진영읍 서부로 210 B동,엘리베이터운전반표시기류,63
(주)우창,055-342-4081,진영읍,경상남도 김해시 진영읍 서부로179번길 76,농기계 중장비시트,61
(주)일해,055-346-2800,진영읍,경상남도 김해시 진영읍 본산로 49-16 일해(주),사출 플라스틱 냉장고부품,60
(주)플루엔,055-333-5613,진영읍,경상남도 김해시 진영읍 서부로378번길 41,산업기계 원심탈수기 유압기계제조,56
(주)에이치엘테크,055-723-6776,진영읍,경상남도 김해시 진영읍 본산1로56번길 32,냉장고복층유리,55
(주)지원엠텍,055-343-9230,진영읍,경상남도 김해시 진영읍 본산로 295,특수건설기계,54
성원공업사,055-329-6114,진영읍,경상남도 김해시 진영읍 본산로269번길 62-15,"TORQUE MEMBER, BMC, LSPV, S.KNUCKLE",53
지에스주식회사,055-343-0549,진영읍,경상남도 김해시 진영읍 본산1로56번길 77,휴대폰 카메라부품,52
바다중공업주식회사,055-720-1000,진영읍,경상남도 김해시 진영읍 진산대로 135-56,크레인 준설선,50
대양공업,055-346-2080,진영읍,경상남도 김해시 진영읍 본산로 153-23,금속 가전부품 가공,50
(주) 진보P&C,055-344-0249,진영읍,경상남도 김해시 진영읍 김해대로 118-46,플라스틱표면처리,49
이래cs(주) 2공장,055-346-2000,진영읍,경상남도 김해시 진영읍 서부로179번길 82,지엠자동차부품 필러,46
(주)카길애그리퓨리나 김해,055-340-3302,진영읍,경상남도 김해시 진영읍 본산로 257,배합사료,46
(주)신광식품지점 제2공장,055-343-2757,진영읍,경상남도 김해시 진영읍 본산로 60-33,음료베이스 생산,45
(주)대양정밀,055-346-2080,진영읍,경상남도 김해시 진영읍 본산로 153-33,금속가전부품 절삭가공,45
(주)카보라인코리아,055-343-6441,진영읍,경상남도 김해시 진영읍 본산로 81,특수도료 제조,44
(주)신혁산업,055-346-6256,진영읍,경상남도 김해시 진영읍 서부로396번길 20,자동차브레이크호스용 우레탄 범퍼,44
(주)엠.티.에스,055-345-7511,진영읍,경상남도 김해시 진영읍 하계로240번길 99,산업용냉장 및 냉동장비,43
덕성금속공업(주),055-342-5111,진영읍,경상남도 김해시 진영읍 서부로179번길 47,자동차어셈블러 압형조립,43
(주)삼광정밀,055-342-5441,진영읍,경상남도 김해시 진영읍 서부로38번길 79-27,세탁기부품(비철금속),43
동화A.C.M(주),055-337-6265,진영읍,경상남도 김해시 진영읍 서부로 275-21,"치공구, 항공기 부품",42
신성몰드테크주식회사,055-712-6600,진영읍,경상남도 김해시 진영읍 본산로 172,가전제품틀 금형,42
(주)경동냉열산업,055-345-1941,진영읍,경상남도 김해시 진영읍 서부로396번길 30-22,유니트쿨러 컨덴샤등,42
（주)엘앤지,055-232-8841,진영읍,경상남도 김해시 진영읍 하계로240번길 63,반도체검사장비,41
주식회사유니크5공장,055-340-2119,진영읍,경상남도 김해시 진영읍 서부로179번길 89,자동차 솔레노이드 밸브,40
주식회사 평산인터내셔널,055-342-4334,진영읍,경상남도 김해시 진영읍 서부로179번길 104,에어컨호스 고무가스켓,40
(주)강진테크,055-343-8161,진영읍,경상남도 김해시 진영읍 본산2로79번길 14,자동차타이로드외 부품,40
부경양돈협동조합사료공장,055-340-6163,진영읍,경상남도 김해시 진영읍 본산2로79번길 27,양돈사료,40
(주)삼표산업 김해몰탈공장,055-909-1505,진영읍,경상남도 김해시 진영읍 서부로 372,시멘트 비내화 모르타르,40
대명화성(주),055-342-5451,진영읍,경상남도 김해시 진영읍 서부로 219,알루미늄복합판넬,39
(주)신영산업,055-340-1631,진영읍,경상남도 김해시 진영읍 서부로179번길 109,플라스틱자동차부품(USB),39
(주)명성에이앤피,055-345-6331,진영읍,경상남도 김해시 진영읍 김해대로 118-72,네온사인,39
에스아이씨 주식회사,055-346-6668,진영읍,경상남도 김해시 진영읍 하계로240번길 93-26,철판 가공,38
우암기계,055-346-6900,진영읍,경상남도 김해시 진영읍 하계로240번길 127,고압연료관(선박용),38
(주)SDT,055-715-9700,진영읍,경상남도 김해시 진영읍 하계로240번길 116,목상자 용기,38
블루전자주식회사,055-343-9546,진영읍,경상남도 김해시 진영읍 진산대로 211,전자부품(하네스),38
(주)아스픽,055-720-0300,진영읍,경상남도 김해시 진영읍 본산로219번길 77,자동차 도어부품,38
(주)신원,055-723-3000,진영읍,경상남도 김해시 진영읍 하계로240번길 85,로봇케이블및제어기,36
HJ밸브,055-342-5678,진영읍,경상남도 김해시 진영읍 서부로 133,탭 밸브 유사장치(밸브),36
(주)TMS,010-****-****,진영읍,경상남도 김해시 진영읍 서부로179번길 61-8,전자제품단열재,36
주식회삼영엠아이텍 김해공장,055-342-3023,진영읍,경상남도 김해시 진영읍 하계로96번길 11-1,음향및 전자기측정 분석기구,36
(주)가산기업,055-283-7282,진영읍,경상남도 김해시 진영읍 하계로 207,자동차부품(시트벨트),35
아신오토텍,055-343-8800,진영읍,경상남도 김해시 진영읍 본산로219번길 84-6,자동차엔진부품,35
(주)대신물산,055-343-5834,진영읍,경상남도 김해시 진영읍 진영읍 본산로 290,곤약,35
(주)신광식품지점 제2공장,055-343-2757,진영읍,경상남도 김해시 진영읍 본산로 60-33,음료베이스생산,34
거명파워(주),055-345-5500,진영읍,경상남도 김해시 진영읍 본산로269번길 65,발전소 밸브부품,33
주식회사함일셀레나,055-345-5200,진영읍,경상남도 김해시 진영읍 서부로179번길 39-17,폴리우레탄통,32
우진기계,055-346-6330,진영읍,경상남도 김해시 진영읍 하계로 247-25,자동차부품(엔진),31
대림철강(주),055-345-9809,진영읍,경상남도 김해시 진영읍 서부로123번길 4,냉열연 철판,31
연수산업,055-342-5270,진영읍,경상남도 김해시 진영읍 본산로 60-61,자동차용엔진부품,31
주식회사태양글로발,055-343-1680,진영읍,경상남도 김해시 진영읍 본산2로 15-15,선박엔진(내연기관),31
제이에이텍주식회사,055-723-2235,진영읍,경상남도 김해시 진영읍 본산로193번길 45,자동차 차체,31
(주)희영,055-343-6721,진영읍,경상남도 김해시 진영읍 하계로 186,"냉장고, 에어컨내부 이음파이프",30
주식회사 아이비솔,055-724-1830,진영읍,경상남도 김해시 진영읍 본산로219번길 78,자동차동력전달장치,30
창신정공,055-343-2969,진영읍,경상남도 김해시 진영읍 본산1로 86,자동차엔진부품,30
영진테크,055-345-5900,진영읍,경상남도 김해시 진영읍 본산로269번길 80,에어컨부품 용접,30
제이엠테크,055-723-2052,진영읍,경상남도 김해시 진영읍 본산로269번길 62-12,공작기계부품,30
신우기전(주）,055-342-5131,진영읍,경상남도 김해시 진영읍 진영읍 서부로179번길 39-131,차량용 램프,29
(주)경일에프비,055-345-1061,진영읍,경상남도 김해시 진영읍 진산대로 135-55,자동차금형,29
덕흥주식회사,055-345-2958,진영읍,경상남도 김해시 진영읍 본산로110번길 26,CNC절삭기계,29
(주)성운알엔씨,055-346-7337,진영읍,경상남도 김해시 진영읍 본산로 60-60,레미콘,29
주식회사 광림,055-716-1099,진영읍,경상남도 김해시 진영읍 본산로269번길 62-12,공작기계부품,29
태광티앤씨,055-345-8503,진영읍,경상남도 김해시 진영읍 본산로269번길 84,소방배관,29
오헌산업(주),055-342-9411,진영읍,경상남도 김해시 진영읍 본산로269번길 15-18,레미콘생산,29
미디어프린팅넷(주) 김해지사,055-343-6115,진영읍,경상남도 김해시 진영읍 본산로269번길 6,신문인쇄,29
세창포장(2공장),055-313-2273,진영읍,경상남도 김해시 진영읍 본산로153-26 ,골판지 골판지상자,29
주식회사 석진이엔티,051-203-8420,진영읍,경상남도 김해시 진영읍 서부로179번길 39-38,금속기계부품 주문제작(홀더.라이너),28
(주)태영수출포장,055-343-6126,진영읍,경상남도 김해시 진영읍 진산대로 228-1,목상자,28
(주)신원이엔지,055-345-4311,진영읍,경상남도 김해시 진영읍 하계로 50,컨트롤박스,28
(주)경은,055-345-7761,진영읍,경상남도 김해시 진영읍 본산로219번길 74,세라믹백업테이프,28
에스씨티,055-345-5900,진영읍,경상남도 김해시 진영읍 본산로269번길 70,동파이프부품,28
(주)온일3공장,055-345-1559,진영읍,경상남도 김해시 진영읍 본산로 153-12,자동차하우징,28
거화산업㈜,055-346-5582,진영읍,경상남도 김해시 진영읍 서부로38번길 93,조선기자재(선박부품제조),28
(주)신혁2공장,055-343-6613,진영읍,경상남도 김해시 진영읍 하계로240번길 93-18,EPP포장재 완충재,27
주식회사 서보,055-342-4081,진영읍,경상남도 김해시 진영읍 서부로179번길 77,자동차프레임 프레스 압형,27
(주)유진산업,055-337-4152,진영읍,경상남도 김해시 진영읍 진산대로 235-2,"건조기,열교환기",27
(주)삼성정밀 진영공장,055-338-1170,진영읍,경상남도 김해시 진영읍 김해대로 118-80,차량용 제동장치,27
(주)제이엠큐엔테크,055-342-0411,진영읍,경상남도 김해시 진영읍 본산로 60-49,자동차부품(베어링),27
（주）제이엔케이티,055-723-3452,진영읍,경상남도 김해시 진영읍 서부로396번길 62-17,자동차엔진신품부품,27
(주)승산팩,055-329-3150,진영읍,경상남도 김해시 진영읍 서부로 247,골판지상자,26
(주)신광플랜트 본산지점,055-342-5992,진영읍,경상남도 김해시 진영읍 본산로269번길 38,"금속 부품( 샤프트,기어류 선삭)",26
주식회사 대동인더스트리,055-345-3233,진영읍,경상남도 김해시 진영읍 본산로269번길 71-99,플라스틱 팬 부품,26
동양화성(주),055-342-5075,진영읍,경상남도 김해시 진영읍 서부로179번길 61-40,발포성형 층간채움재,25
(주)월드테크,055-343-5762,진영읍,경상남도 김해시 진영읍 본산2로79번길 12-42,금속표면처리,25
(주)대한포장,055-345-2599,진영읍,경상남도 김해시 진영읍 본산로269번길 16-5,플라스틱 일회용기,25
（주）새론캐스텍,055-345-3526,진영읍,경상남도 김해시 진영읍 서부로378번길 77,철강주물주조,25
DM테크2공장주식회사,055-345-6384,진영읍,경상남도 김해시 진영읍 하계로240번길 93-14,자동차 브레이크 부품,24
(주)SY나노텍,055-346-2930,진영읍,경상남도 김해시 진영읍 하계로 232-31,자동차 부품(엔진 하이브리드,24
대근산업,055-343-1512,진영읍,경상남도 김해시 진영읍 진산대로201번길 4-47,방산부품,24
(주)흥일기업,055-330-8914,진영읍,경상남도 김해시 진영읍 본산로193번길 49,철도차량부품,24
(주)온일,055-343-1491,진영읍,경상남도 김해시 진영읍 진영읍 본산2로 103,자동차용 하우징,24
(주)명성테크,055-342-4131,진영읍,경상남도 김해시 진영읍 서부로378번길 5,금속세탁기 부품,24
(주)신라정기,055-346-6612,진영읍,경상남도 김해시 진영읍 서부로378번길 68-9 A동,자동차제동장치,24
(주)다현테크,055-264-4353,진영읍,경상남도 김해시 진영읍 하계로240번길 209-40 B,공작기계(Head Assy),23
서호테크,010-****-****,진영읍,경상남도 김해시 진영읍 진영읍 서부로1791번길39-86 ,포크레인운전석금속,23
주식회사중일옥사이드,055-345-9911,진영읍,경상남도 김해시 진영읍 김해대로 94-11,광명단(납을 산화시킴)제조,23
피엠피리사이텍(주),055-343-4484,진영읍,경상남도 김해시 진영읍 본산1로 79,휴대용박스 종이케이스 완충제,23
(주)에이원하이드로텍,055-343-6011,진영읍,경상남도 김해시 진영읍 본산로269번길 39,공작기계류(유압호스),23
주식회사 해인테크,055-723-3166,진영읍,경상남도 김해시 진영읍 서부로346번길 19,자동차 고무부품,23
(주)금아스틸 오척공장,055-267-1619,진영읍,경상남도 김해시 진영읍 하계로240번길 209-40 B 1층 ,칼라강판 가공,22
（주)세화정밀공업,055-342-9444,진영읍,경상남도 김해시 진영읍 서부로 102-42,자동차신품부품 알루미늄주조,22
에스제이글로벌 주식회사,055-343-6780,진영읍,경상남도 김해시 진영읍 서부로123번길 11,금형 코어,22
케이디테크(주),055-343-8291,진영읍,경상남도 김해시 진영읍 본산로 49-48,전기차단기부품(대형변압기),22
케이알씨(K.R.C),055-345-6570,진영읍,경상남도 김해시 진영읍 본산로212번길 32,특수강단조물,22
명조단조 주식회사,055-345-1700,진영읍,경상남도 김해시 진영읍 본산로241번길 70,금속단조,22
금창경판(주),055-346-6675,진영읍,경상남도 김해시 진영읍 본산로 153-20,경판성형,22
주식회사야호텍,055-342-5020,진영읍,경상남도 김해시 진영읍 서부로378번길 52-27,자동차 모타 기타기졔장비제조,22
대성ENG,055-346-7247,진영읍,경상남도 김해시 진영읍 서부로346번길 28-4,철재금속 가공,22
미래지씨아이,055-346-3844,진영읍,경상남도 김해시 진영읍 하계로278번길 5-36,하네스(제어기 케이블제조),21
진양테크㈜,055-345-2050,진영읍,경상남도 김해시 진영읍 서부로123번길 33,철도 하부제작,21
농업회사법인(주)태백축산,055-294-1506,진영읍,경상남도 김해시 진영읍 진남로 58,한우 포장육가공,21
주식회사 재성테크,010-****-****,진영읍,경상남도 김해시 진영읍 한림로 1147-2,금속커버류,21
삼운TECH,055-342-4438,진영읍,경상남도 김해시 진영읍 본산2로 15-33,자동차부분담는 TRAY,21
(주)거산기계,055-343-4343,진영읍,경상남도 김해시 진영읍 본산로 277,콘크리트 광물파쇄기,21
(주)정광기업,055-344-0034,진영읍,경상남도 김해시 진영읍 서부로378번길 21,플랜트 단조,21
(주)금아스틸제3공장,010-****-****,진영읍,경상남도 김해시 진영읍 하계로240번길 209-8,칼라스틸 강판 가공,20
주식회사 엔피티,055-323-8898,진영읍,경상남도 김해시 진영읍 하계로240번길 115,자동차부품(금속 압형),20
현아산업(주),055-346-2806,진영읍,경상남도 김해시 진영읍 하계로240번길 12,경판 성형제작,20
(주)오복아미노진영공장,010-****-****,진영읍,경상남도 김해시 진영읍 서부로202번길 19-20,양조간장원액,20
(주)동훈테크 지점,055-346-3217,진영읍,경상남도 김해시 진영읍 서부로179번길 39-86,중장비 플라스틱 의자,20
보영HS주식회사,055-345-0407,진영읍,경상남도 김해시 진영읍 진산대로201번길 4-46,유압기기,20
한영메카텍,055-342-4682,진영읍,경상남도 김해시 진영읍 진산대로 135-39 한영메카텍,"공작기계커버, 전기차충전기커버",20
세방금속기술(주),055-342-0411,진영읍,경상남도 김해시 진영읍 본산로86번길 2,금형제작(방산-포탄),20
삼환방식산업,055-342-0401,진영읍,경상남도 김해시 진영읍 본산1로56번길 46,열수축시트,20
(주)케이엠티,055-342-9701,진영읍,경상남도 김해시 진영읍 본산2로 41,금속열처리,20
(주)선일열처리,055-342-9366,진영읍,경상남도 김해시 진영읍 본산1로 80,금속자동차부품 열처리,20
주식회사 세창포장,055-313-2274,진영읍,경상남도 김해시 진영읍 서부로396번길 46,골판지박스 제조인쇄,20
(주)성광,055-342-4155,진영읍,경상남도 김해시 진영읍 서부로378번길 11-1,가전제품 부품 금속압형제품,20
삼부정밀화학(주)진영공장,055-338-2650,진영읍,경상남도 김해시 진영읍 서부로346번길 28-4,폴리우레탄 TPV필름,20
㈜에이치오테크,055-724-2060,진영읍,경상남도 김해시 진영읍 진영읍 서부로 187 ,자동차내장품 드라이브패스,19
(주)케이알(KR)2공장,055-346-1191,진영읍,경상남도 김해시 진영읍 본산로86번길 26 A동,내화벽돌,19
대건,055-343-1013,진영읍,경상남도 김해시 진영읍 본산2로79번길 9,자동차전자부품플라스틱표면도장,19
스마일포장,010-****-****,진영읍,경상남도 김해시 진영읍 본산로219번길 63,파렛트제작,19
진영장애인직업재활시설,055-343-4467,진영읍,경상남도 김해시 진영읍 하계로138번길 125-5,전자제품 부품 조립,18
(주)재우,055-266-9540,진영읍,경상남도 김해시 진영읍 하계로240번길 211-25,항공기부품,18
신명케미칼,010-****-****,진영읍,경상남도 김해시 진영읍 본산로 49-21,냉장고플라스틱 조립품,18
김해가야시니어클럽,055-724-2589,진영읍,경상남도 김해시 진영읍 여래로20번길 56,참기름제조,18
물맑은고기팜농업회사법인,055-346-0206,진영읍,경상남도 김해시 진영읍 본산로241번길 66,발골해서진공포장(돼지고기),18
(주)에스앤엠,055-343-4734,진영읍,경상남도 김해시 진영읍 본산1로56번길 68,나일론 플라스틱엔진부품,18
삼광선재기계공업(주),055-342-8190,진영읍,경상남도 김해시 진영읍 진산대로251번길 11,"산업용기계(신선기,연선기)",17
(주)대동알미늄,055-345-1555,진영읍,경상남도 김해시 진영읍 본산로 92,롤러 연마,17
(주)세라정공,055-342-0572,진영읍,경상남도 김해시 진영읍 본산로110번길 11-9,원자력부품절삭가공,17
푸드벨,055-342-3610,진영읍,경상남도 김해시 진영읍 본산2로 121,소스 농축액,17
경인공업,010-****-****,진영읍,경상남도 김해시 진영읍 서부로38번길 85,자동차차체용 신품 부품,17
남경산업(주),055-346-2711,진영읍,경상남도 김해시 진영읍 서부로 197-16,산업용가스,16
순수한우,055-255-1507,진영읍,경상남도 김해시 진영읍 진남로 58,육가공 포장육,16
(주)지석ANC,055-904-7000,진영읍,경상남도 김해시 진영읍 본산로 70,아스팔트,16
(주)애니토이 부설연구소,055-346-7406,진영읍,경상남도 김해시 진영읍 김해대로 94-45,로봇자동화설비,16
에스씨컴퍼니,070-4107-9598,진영읍,경상남도 김해시 진영읍 본산1로56번길 84,떡류,16
주식회사드림축산,055-343-8898,진영읍,경상남도 김해시 진영읍 본산로 272,육류가공,16
미래 주식회사 농업회사법인,010-****-****,진영읍,경상남도 김해시 진영읍 서부로38번길 5-60,가금류가공 및 저장처리,16
(주)케이에스이,055-342-0328,진영읍,경상남도 김해시 진영읍 하계로138번길 21-14,다이캐스팅기(자동차부품사출기),15
진성ENG,055-345-8222,진영읍,경상남도 김해시 진영읍 하계로240번길 209-17,세탁기 냉장고 부품,15
(주)오영,055-345-1267,진영읍,경상남도 김해시 진영읍 서부로 249,금속표면처리,15
(주)위드솔루션,010-****-****,진영읍,경상남도 김해시 진영읍 본산로 49-16 일해(주),플라스틱 야채틀 생산,15
엠에스티（M．S．T）,055-342-9041,진영읍,경상남도 김해시 진영읍 진산대로177번길 12-1,선박가구,15
(주)제이엠큐앤테크2공장,055-343-1340,진영읍,경상남도 김해시 진영읍 본산2로 127,자동차부품(베어링),15
한유테크(주),055-585-4183,진영읍,경상남도 김해시 진영읍 한림로 1205-31,선박 철골 구조물 부자재 절단,15
백산케미칼(주),055-342-4823,진영읍,경상남도 김해시 진영읍 서부로378번길 83,냉장고내장스폰지가공,15
대방정밀,055-342-0239,진영읍,경상남도 김해시 진영읍 하계로240번길 91,자동차부품(금형),14
(주)대륜기계,055-342-5501,진영읍,경상남도 김해시 진영읍 하계로 232-32,알류미늄 캐리어,14
대우화학(주),055-342-4010,진영읍,경상남도 김해시 진영읍 서부로179번길 39-124,플라스틱 파렛트,14
에이앤씨테크,055-342-9876,진영읍,경상남도 김해시 진영읍 서부로179번길 772층 ,메탈 가스켓,14
(주)동우정밀 진영공장,055-251-8311,진영읍,경상남도 김해시 진영읍 본산로 49-42,냉장고부품 캡데코류제작,14
이엔피테크㈜,055-345-8363,진영읍,경상남도 김해시 진영읍 진영읍 진산대로201번길 4-14,항공기엔진부품,14
농업회사법인 주식회사봉하마을,055-344-1230,진영읍,경상남도 김해시 진영읍 봉하로 122-15,쌀도정,14
새한식품,055-343-4070,진영읍,경상남도 김해시 진영읍 본산로 60-89,미숫가루,14
(주) 유니코글로벌 본산지점,055-342-5991,진영읍,경상남도 김해시 진영읍 본산로269번길 38,"금속 부품( 샤프트,기어류 선삭)",14
(주)한남,055-343-1300,진영읍,경상남도 김해시 진영읍 본산2로79번길 12-43,활성탄,14
이레산업,055-343-8509,진영읍,경상남도 김해시 진영읍 본산2로79번길 34,폐드럼성형 재생,14
(주)인성티엔피,055-286-3308,진영읍,경상남도 김해시 진영읍 본산로 153-26,냉장고 파이프부품(밴딩 스폰지부착),14
동진정밀,055-345-2770,진영읍,경상남도 김해시 진영읍 서부로38번길 103,선박기계부품,14
(주)리치이엔지,055-343-9792,진영읍,경상남도 김해시 진영읍 서부로 64,기계제조크레인,14
(주)전진전자,055-345-8874,진영읍,경상남도 김해시 진영읍 진영로454번길 74-14,플라스틱에어컨부품,14
(주)밀성씨앤티,055-342-8660,진영읍,경상남도 김해시 진영읍 하계로240번길 81,유압실린더,13
주식회사더원텍,055-723-2530,진영읍,경상남도 김해시 진영읍 하계로138번길 106,"hyd uint, coolnt system",13
태민에코보드,055-346-6228,진영읍,경상남도 김해시 진영읍 본산로269번길 81,자동차플라스틱사출성형,13
에스알(주),055-346-2731,진영읍,경상남도 김해시 진영읍 본산로 153-32,금속 산업용 배관자재,13
(주)제일자원,055-342-3625,진영읍,경상남도 김해시 진영읍 본산로269번길 28,폐유 재생연료,13
주식회사티스트롱,055-342-1771,진영읍,경상남도 김해시 진영읍 서부로346번길 56,의료기부품 치과인플란트부품,13
가야이엔에스（가야 E & S）,055-343-6692,진영읍,경상남도 김해시 진영읍 서부로396번길 20-65,금속캔등 기타포장용기 제조,13
동성 BYD 지게차,055-346-2332,진영읍,경상남도 김해시 진영읍 서부로 297-11,지게차부품제조,13
주식회사덕산이엔지,055-325-5341,진영읍,경상남도 김해시 진영읍 하계로240번길 103,펌프 ,12
케이테크,010-****-****,진영읍,경상남도 김해시 진영읍 서부로 28 나동 1층 ,자동화기기,12
대한로재(주),055-343-5812,진영읍,경상남도 김해시 진영읍 본산로86번길 26 B동,내화용벽돌,12
(주)온일2공장,055-343-1491,진영읍,경상남도 김해시 진영읍 진영읍 본산2로 15-28,자동차용 하우징,12
(주)대양금속김해공장,055-338-5130,진영읍,경상남도 김해시 진영읍 본산로 156,스테인레스냉간압연제품,12
S.KOREA,055-345-1069,진영읍,경상남도 김해시 진영읍 본산로110번길 11-25,자동차부품 내장제 프래스가공,12
세라스(주),055-345-3603,진영읍,경상남도 김해시 진영읍 하계로278번길 5-27,파인 세라믹 부품,11
한울테크,055-909-0060,진영읍,경상남도 김해시 진영읍 서부로202번길 51,포크레인부품,11
썬테크,055-346-6276,진영읍,경상남도 김해시 진영읍 하계로 444,"플라스틱사출,세탁기등 부품",11
다승정밀,055-346-0588,진영읍,경상남도 김해시 진영읍 서부로123번길 7,자동차 조향장치,11
세현정밀,055-342-9444,진영읍,경상남도 김해시 진영읍 서부로 102-42,자동차신품부품 알루미늄주조,11
신화테크,055-342-9444,진영읍,경상남도 김해시 진영읍 서부로 102-42,자동차신품부품 알루미늄주조,11
진영산업,055-343-4114,진영읍,경상남도 김해시 진영읍 진산대로 135-39 한영메카텍,자동차 전기 충전기 도장(공작기계 커버),11
웅진산업(주),055-342-3369,진영읍,경상남도 김해시 진영읍 진산대로 113-8,금형제작(자동차),11
㈜HNC,010-****-****,진영읍,경상남도 김해시 진영읍 진영읍 진산대로 237 ,철도차량 부품,11
(주)영림테크,055-343-7557,진영읍,경상남도 김해시 진영읍 한림로 1144,자동차 브레이크,11
대명알앤텍(주),055-343-5008,진영읍,경상남도 김해시 진영읍 본산로219번길 82,산업용고무제품,11
디에스아이(주),055-342-2683,진영읍,경상남도 김해시 진영읍 본산로269번길 15-24,자동차 엔진 케이블 부품,11
(주)광진기계금속,055-343-6838,진영읍,경상남도 김해시 진영읍 본산로269번길 21,산업기계부품 주조,11
포밍테크주식회사,055-342-5222,진영읍,경상남도 김해시 진영읍 서부로38번길 83-22 B동,자동차시트(스폰지),11
(주)한창진공,055-345-3936,진영읍,경상남도 김해시 진영읍 서부로38번길 103-7,기계범퍼제조,11
주식회사 케이씨아이(KCI),055-345-8619,진영읍,경상남도 김해시 진영읍 서부로 64-4,유압부품피팅가공,11
(주)해동시트,055-346-1972,진영읍,경상남도 김해시 진영읍 서부로38번길 83-22,자동차시트,11
주식회사 금곡(2공장),055-723-2677,진영읍,경상남도 김해시 진영읍 하계로240번길 209-9,유공압 부품,10
(주)태성시스템,055-343-6990,진영읍,경상남도 김해시 진영읍 하계로240번길 103,에어컨부품,10
(주)한국쿨러유압,055-338-4121,진영읍,경상남도 김해시 진영읍 하계로240번길 93-8,유압기계,10
대공정밀,055-345-2894,진영읍,경상남도 김해시 진영읍 하계로240번길 109,냉장고부품(한지 브라켓),10
세일벤딩,055-345-9436,진영읍,경상남도 김해시 진영읍 서부로 203-36,"파이프 벤딩,",10
