연번,구분,업체명,업체 주소,생산품,전화번호
73,소기업,(주)달리팩,"인천광역시 부평구 부평북로 245, 1, 2, 5층(청천동, 레드런)",플라스틱 용기,032-330-1006
74,소기업,(주)닷,"인천광역시 부평구 부평대로 283, A동 301호(청천동, 부평우림라이온스밸리) A동 301호 외 1필지",26299,02-867-1113
75,소기업,(주)대경에프엔티 지점,"인천광역시 부평구 백범로577번길 20, 경인센타 (십정동) 외 1필지",침구류,032-576-1101
76,소기업,(주)대륜이엔지,인천광역시 부평구 부평북로 373 (삼산동),공작기계용 부품,032-511-1492
77,소기업,(주)대명크렌시아,"인천광역시 부평구 부평북로 328, (주)대명크렌시아 (갈산동)","침대, 매트리스, 프레임 외",032-517-0136
78,소기업,(주)대성스크린,"인천광역시 부평구 부평대로329번길 46 (청천동, 펌텍코리아(주))",프라스틱용기 인쇄,
79,소기업,(주)대성종합주방물류,인천광역시 부평구 서달로298번길 123 (청천동),"스테인레스 씽크대, 주방기기",032-514-6644
80,소기업,(주)대성포레스,"인천광역시 부평구 부평대로 337, 1층 126호(청천동, 부평 제이타워3차 지식산업센터) 1층 126호 외 1필지",전자기기 케이스,
81,소기업,(주)대신건업,인천광역시 부평구 항동로46번길 38 (일신동),알루미늄 샤시,032-502-1744
82,소기업,(주)대신크리에이티브,"인천광역시 부평구 세월천로30번길 39, (주)대신크리에이티브 (청천동)",자동차용 계기판,070-5138-8320
83,소기업,(주)대원에프에이,"인천광역시 부평구 부평대로 283, B동 B1층 808B (청천동, 부평 우림라이온스밸리)",자동제어기,032-204-2230
84,소기업,(주)대원화인켐,인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 638호,제품 포장,
85,소기업,(주)대은글로벌솔루션,"인천광역시 부평구 부평대로 283, B동 603C호(청천동, 부평우림라이온스밸리) B동 603C호 외 1필지","클러치베어링, 부싱, 세탁볼, 식기섹처볼, 탈취볼, 샤워헤드, 롤 클리너 ",032-623-7760
86,소기업,(주)대일본초,"인천광역시 부평구 부평대로 337, 3층 328호(청천동, 부평 제이타워3차 지식산업센터) 3층 328호",광고대행,
87,소기업,(주)대진표면처리약품,인천광역시 부평구 십정동 120번지 경남도금단지 401호,흑진주도금 약품,032-578-0603
88,소기업,(주)대평종합운수,"인천광역시 부평구 부평대로 337 (청천동) 1038,1039호",포장,032-256-3800
89,소기업,(주)대한비즈플랫폼,"인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 937호,938호,939호,940호,941호,1105호",유무선 인터넷서비스(설치),
90,소기업,(주)대현에이엔디(지점),"인천광역시 부평구 부평대로 337, 2층 207호(청천동, 부평 제이타워3차 지식산업센터) 2층 207호",인테리어 디자인,
91,소기업,(주)대호국제물류,"인천광역시 부평구 부평대로 337, 11층 1127호(청천동, 부평 제이타워3차 지식산업센터) 11층 1127호",경영컨설팅,
92,소기업,(주)대흥밸브,"인천광역시 부평구 평천로255번길 13, 5층 501호,502호,503호,504호(청천동) 5층 501호,502호,503호,504호",탭 밸브 및 유사장치,032-508-0405
93,소기업,(주)대흥인터내셔날,"인천광역시 부평구 부평대로 301, 5층 508-2호 (청천동, 남광센트렉스)",악기용케이블,032-363-3213
94,소기업,(주)더마크엠,인천광역시 부평구 새벌로 4(청천동),"기타 부동산 개발 및 공급업, 프레임제작, 야외벤치제작, 가변형벽체가공 및 제작, 욕실장 제작 등",
95,소기업,(주)더메이테크,"인천광역시 부평구 부평대로 283, C동 6층 609B호(청천동, 부평우림라이온스밸리) C동 6층 609B호","영상기기, 조명장치, 태양광 발전장치",070-7723-9277
96,소기업,(주)더블유엠비,"인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 623,624호",광고대행,1544-6930
97,소기업,(주)더블유티씨,"인천광역시 부평구 무네미로448번길 56, 421호(구산동, 한국폴리텍대학(인천캠퍼스))","보안용 카메라, 영상감시 장치,  응용과학용소프트웨어",070-8287-2292
98,소기업,(주)더비씨,"인천광역시 부평구 부평대로 301, 818-2호(청천동, 남광센트렉스) 818-2호",엔지니어링,032-363-3710
99,소기업,(주)더플러스엔지니어링,"인천광역시 부평구 부평대로 283, C동 1103B호(청천동, 부평우림라이온스밸리) C동 1103B호",설계용역,070-4123-7705
100,소기업,(주)덕성그린텍,"인천광역시 부평구 부평대로 283, 1201호 (청천동)","여과기집진기,유해가스제거설비",032-623-5070
101,소기업,(주)데브언리밋,"인천광역시 부평구 부평대로 293, 9층 907호(청천동, 부평테크시티)",소프트웨어 개발,
102,소기업,(주)데이터하이브,인천광역시 부평구 부평대로 293 (청천동) 부평테크시티 9층 913호,"데이터 베이스, 온라인 정보 제공 등",032-262-3121
103,소기업,(주)데이터하이브,"인천광역시 부평구 부평대로 293, 9층 913호(청천동, 부평테크시티)",온라인 데이터베이스 수집 및 AI 데이터 가공 서비스,032-262-3121
104,중기업,(주)데코원,인천광역시 부평구 평천로 205 (청천동) 외 1필지,"침구, 커튼류",032-517-9755
105,소기업,(주)도움다리,인천광역시 부평구 주부토로 279 (갈산동),시각장애인 점자촉지판,032-204-5353
106,소기업,(주)도원에이치,인천광역시 부평구 부평대로313번길 84 (청천동),마스크,
107,소기업,(주)동곡,인천광역시 부평구 부평대로313번길 84 (청천동) 2층 1호,"의류, 가방 등",032-715-7185
108,소기업,(주)동명양행,인천광역시 부평구 부평대로313번길 18 (청천동) 2층,의류 등,02-494-0984
109,소기업,(주)동명엔지니어링,인천광역시 부평구 부평북로 5(청천동),자분탐상기 비파괴기기,032-505-0616
110,소기업,(주)동아에스티씨,"인천광역시 부평구 가재울로 129 (십정동, 테크노1공장)",특수목적용기계,032-811-9222
111,소기업,(주)동아에프이,"인천광역시 부평구 경인로1083번길 62, 2층 (부개동)",전기제어배전반,032-815-8191
112,소기업,(주)동아에프이,"인천광역시 부평구 부평대로 283, B동 5층 503-B호(청천동, 부평우림라이온스밸리) B동 5층 503-B호","전기 자동화 System 제어 판넬, 배전용 전기회로 개폐",032-815-8191
113,소기업,(주)동양테크놀로지,"인천광역시 부평구 부평대로 283, B동 B104, C동 B131호 (청천동, 부평 우림라이온스밸리)","황온항습기,냉각기,공조기",032-574-3200
114,소기업,(주)동양후로아,"인천광역시 부평구 부평북로 363, A동 7호 (삼산동)","도장형바닥재, 미끄럼방지포장재, 계단논슬립 등",032-541-1460
115,소기업,(주)동와,인천광역시 부평구 안남로433번길 8 (청천동),낚시대,032-526-1789
116,소기업,(주)동우이엔지,"인천광역시 부평구 부평대로 293, 301호, 302호(청천동, 부평테크시티)",임대업,032-837-5290
117,소기업,(주)동우전자,"인천광역시 부평구 부평대로 283, 씨동 4층 403 (청천동, 부평 우림라이온스밸리) 씨동 4층 403호 씨동 4층 403호 외 4필지",전자부품 실장기판 ,032-623-7255
118,소기업,(주)동원롤,인천광역시 부평구 부평북로 379 (삼산동),"캘린더기, 히팅롤, 탕성롤외",032-516-7973
119,소기업,(주)동익엔지니어링,"인천광역시 부평구 평천로255번길 13, 303호 (청천동) 303호","자동제어, 수배전반, 판넬",032-518-4322
120,소기업,(주)동진실리콘,"인천광역시 부평구 새벌로 29, 5층 501호, 502호, 503호, 504호(청천동, 부평테크노타워) 5층 501호, 502호, 503호, 504호","실리콘 생활용품, 실리콘 완제품 ",032-516-8660
121,소기업,(주)두리엔터프라이즈,"인천광역시 부평구 백범로577번길 15 -13(십정동, 공장)",자동차부품,032-872-6621
122,소기업,(주)두진금형,인천광역시 부평구 장제로329번길 44 (갈산동),금형,032-511-3611
123,소기업,(주)두현인텍,인천광역시 부평구 안남로402번길 48(청천동),"금속가공, 절삭가공 외",032-623-6900
124,소기업,(주)둘로스기업,인천광역시 부평구 안남로402번길 15 (청천동),유공압진동제어발브,032-521-9876
125,소기업,(주)듀델코리아,인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 214호,건물시설 유지관리,02-806-5500
126,소기업,(주)듀센 코리아,"인천광역시 부평구 부평대로 293, 1109호(청천동, 부평테크시티) 1109호",금형설계 등,070-5228-4532
127,소기업,(주)듀센코리아,"인천광역시 부평구 새벌로 9, 3~4층 (청천동)","무선통신장비(휴대폰 케이스 등), 의료용 흡입기 등",032-721-5755
128,소기업,(주)듀센코리아,"인천광역시 부평구 부평북로236번길 49, 1층 (청천동)","무선 통신장비, 의료용 흡입기 등",032-721-5755
129,소기업,(주)드림인,인천광역시 부평구 평천로153번길 20(청천동),화장품 용기,070-4323-3005
130,소기업,(주)드림테크이엔씨,"인천광역시 부평구 부평대로 283, A동 7층 712 (청천동, 부평 우림라이온스밸리)",방풍전기기기,032-623-7599
131,소기업,(주)드림퍼니쳐,인천광역시 부평구 부평북로 183-1 (청천동),인테리어 가구,032-676-8477
132,소기업,(주)드웰링,"인천광역시 부평구 부평대로 283, C동 8층 803호 (청천동, 부평 우림라이온스밸리)",,02-558-1120
133,소기업,(주)디뷰파트너스 (D-View Partners),인천광역시 부평구 가재울로 163 (십정동),"커튼, 침구류 외",032-576-7755
134,소기업,(주)디브이알씨앤씨,"인천광역시 부평구 부평대로 301, 418호, 720호(청천동, 남광센트렉스) 418호, 720호","CCTV,컴퓨터",032-363-3785
135,소기업,(주)디스텍,인천광역시 부평구 주부토로262번길 30 (갈산동),"유.무선마이크, 오디오앰프",032-501-2713
136,소기업,(주)디스텍,"인천광역시 부평구 평천로199번길 53, C동 3층 (청천동)",무선마이크,032-501-2713
137,소기업,(주)디스플레이비투비,"인천광역시 부평구 부평대로 301, 3층 303호 (청천동, 남광센트렉스)",컴퓨터 및 주변기기,032-363-3470
138,소기업,(주)디앤디우니코(D&D UNICO Co.Ltd),인천광역시 부평구 평천로199번길 53 (청천동),가방,
139,소기업,(주)디앤시스,"인천광역시 부평구 무네미로448번길 56, 하이테크관307호 (구산동, 폴리텍Ⅱ대학)",메인보드등,070-4159-5480
140,소기업,(주)디앤시스,인천광역시 부평구 부평대로297번길 34 (청천동),"산업용 컴퓨터, 키오스크",070-4159-5480
141,소기업,(주)디앤시스,"인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 745호,1132호,1133호,1134호,1135호,1136호,1137호,1138호,1139호,1140호,1141호,1142호,1143호","산업용 컴퓨터, 키오스크",070-4159-5480
142,소기업,(주)디앤피파크,"인천광역시 부평구 부평대로 301, 925호(청천동, 남광센트렉스) 925호 외 7필지",컨트롤판넬,032-363-3466
143,소기업,(주)디에스이엔지,인천광역시 부평구 청천마차로 250 (청천동),"식품산업기기,기계설비,제관, 식품자동포장기계외",032-513-8004
144,소기업,(주)디에스이엔지,"인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 1217,1218,1219,1220,1221호",포장자동화기계 설계,
145,소기업,(주)디에이텍,"인천광역시 부평구 부평대로 283, 씨동 710호 (청천동, 부평 우림라이온스밸리)","광모니터, 알콜 농도측정기",032-868-0844
146,소기업,(주)디에프코리아,"인천광역시 부평구 평천로199번길 53, A동 2층 (청천동)",LED조명,032-528-2953
147,소기업,(주)디엔테크,"인천광역시 부평구 부평대로297번길 96, 4층(청천동)",치과용 유니트,032-288-5600
148,소기업,(주)디와이,"인천광역시 부평구 장제로 170, 지하1층 (부평동, 금호레스빌)",문구용 종이제품,032-874-9640
149,소기업,(주)디자인시스템,"인천광역시 부평구 부평대로 337, 7층 720호(청천동, 부평 제이타워3차 지식산업센터) 7층 720호 외 2필지",LED조명,032-262-8246
150,소기업,(주)디저트앤,인천광역시 부평구 부평대로313번길 18 (청천동) 3층,"빵류, 치즈케이크, 디저트 등",032-325-8300
151,소기업,(주)디저트앤 부평지점,"인천광역시 부평구 부평대로 337, 7층 746호(청천동, 부평 제이타워3차 지식산업센터) 7층 746호",빵류,032-325-8300
152,소기업,(주)디지탈웍스,"인천광역시 부평구 부평대로 283, C동 2층 206 (청천동, 부평 우림라이온스밸리)",배전반,032-502-5592
153,소기업,(주)디지탈웨어,"인천광역시 부평구 부평대로 283, C동 9층 909 (청천동, 부평 우림라이온스밸리)","영상정보디스플레이장치,멀티미디어학습장치,",032-522-1987
154,소기업,(주)디케이엔지,"인천광역시 부평구 부평대로 283, A동 5층 A-509호(청천동, 부평우림라이온스밸리) A동 5층 A-509호 외 1필지","자동화설비, 제어장비 등 ",070-4290-5359
155,소기업,(주)디케이엔지 ,"인천광역시 부평구 부평대로 293, 부평테크시티 705호 706호 707호 (청천동)",생산기술 엔지니어링,070-7510-7180
156,중기업,(주)디케이티,인천광역시 부평구 평천로199번길 13 (청천동),"인쇄회로기판, 전자부품",070-4324-3293
157,중기업,(주)디케이티,인천광역시 부평구 평천로199번길 25 (청천동),"인쇄회로기판, 전자부품",070-4324-3293
158,소기업,(주)디티에스아이엔씨,인천광역시 부평구 일신로39번길 16-17 (일신동),스키용품(스키고글),032-526-4282
159,소기업,(주)디파트라이트,"인천광역시 부평구 부평대로 301, 7층 713 (청천동, 남광센트렉스) 외 1필지","LED경관조명, LED응용기기 외",032-363-3313
160,소기업,(주)라이징크래프트,"인천광역시 부평구 부평대로 293, 9층 906호(청천동, 부평테크시티)","가상현실(VR, AR)",
161,소기업,(주)라이프디엔에이,"인천광역시 부평구 백범로577번길 20, 635호(십정동, 경인센타)",바다맛베이스(조미료),070-8833-4000
162,소기업,(주)라피네르,"인천광역시 부평구 평천로 213 (청천동) 생산동 1층, 3층",방향제,070-4226-1772
163,소기업,(주)랩랩,"인천광역시 부평구 부평대로 293, 10층 1019호(청천동, 부평테크시티)","애니메이션, 캐릭터 등",
164,소기업,(주)러블리페이퍼,"인천광역시 부평구 주부토로 236, A동 9층 906호(갈산동, 인천테크노밸리 U1센터) A동 9층 906호","종이캔버스, 종이가죽",032-514-0109
165,소기업,(주)레드큐브,"인천광역시 부평구 부평대로 337, 11층 1101호(청천동, 부평 제이타워3차 지식산업센터) 11층 1101호",미디어 콘텐츠,
166,소기업,(주)레몬인터렉티브,"인천광역시 부평구 백범로577번길 20, 843~845호(십정동, 경인센타)","파워팩, 유압기기",032-576-3150
167,소기업,(주)레블코퍼레이션,"인천광역시 부평구 부평대로 293, 9층 911호(청천동, 부평테크시티)",모바일 어플리케이션,
168,소기업,(주)레오테크,"인천광역시 부평구 청중로 100, 1층,4층,5층 (청천동)",무선원격검침시스템 외,070-7093-0600
169,소기업,(주)레오테크,"인천광역시 부평구 부평대로 283, B동 7층 701호904호 (청천동, 부평 우림라이온스밸리) B동 7층 701호904호","유량수진제,방식기,무선모뎀,구역유량계기",070-7093-0600
170,중기업,(주)레이덱스,인천광역시 부평구 안남로 414 (청천동),"장비조립용 플라스틱 MCT, CNC밀링 서형품 등 , 자동화 기계, 화장품 등 ",070-4903-8967
171,소기업,(주)로보웰코리아,"인천광역시 부평구 부평대로 283, A동 6층 609호 (청천동, 부평 우림라이온스밸리) A동 6층 609호",모터컨트롤러,032-3447-0022
172,소기업,(주)로봇메카,"인천광역시 부평구 주부토로151번길 23, 지하 (갈산동)",산업용 로봇 등,1670-7701
173,소기업,(주)로이전자,"인천광역시 부평구 부평대로 301, 남광센트렉스 524호,525호 (청천동)",자동차부품,032-462-5681
174,소기업,(주)로진상사,"인천광역시 부평구 새벌로 4, 2층 (청천동)",핸드백,
175,소기업,(주)로커스로지스틱스,"인천광역시 부평구 부평대로 293, 8층 810호(청천동, 부평테크시티) 8층 810호",전시 및 행사대행,
176,소기업,(주)루스테크놀로지,"인천광역시 부평구 안남로434번길 57, 5층 (청천동)","일반용 전기 조명 장치, 교통신호장치 제조업, 전구 및 램프제조업",032-578-6726
177,소기업,(주)룩스엠,"인천광역시 부평구 안남로402번길 84, 2층(청천동, 신우몰드(주))",조명기구,032-512-1197
178,소기업,(주)리더스이엔지,인천광역시 부평구 청천동 383-15번지,휴대폰 케이스,032-677-2918
179,소기업,(주)리더텍,인천광역시 부평구 부평북로 126-9 (청천동),금형,032-508-5046
180,중기업,(주)리더팜,인천광역시 부평구 백범로577번길 15-17 (십정동) 3층,축산물,032-576-2588
181,소기업,(주)리더플렉스,"인천광역시 부평구 부평대로 283, 우림라이온스밸리 C동 B201호 (청천동) 외 4필지",닥트,
182,소기업,(주)리드바이오랩 부평지점,인천광역시 부평구 부평북로 238 (청천동),음식물처리기 등,02-3662-2288
183,소기업,(주)리멘,"인천광역시 부평구 청천마차로 8, 진성시스템 4층 (청천동)",차량용 카메라(AVN CAMERA),032-523-7741
184,소기업,(주)리치골드디벨롭먼트,"인천광역시 부평구 부평대로 293, 부평테크시티 710호 (청천동)",경영컨설팅,
185,소기업,(주)림플러스,"인천광역시 부평구 새벌로 4, 4층 403호 (청천동)",방화셧터부품,032-623-6651
186,소기업,(주)림플러스,"인천광역시 부평구 청중로 93, 2층 (청천동)","인덕션,방화셧터용 힌지",032-513-6651
187,소기업,(주)립멘,인천광역시 부평구 가재울로 145 (십정동),탈산소제,032-865-8166
188,소기업,(주)링크이앤씨,"인천광역시 부평구 부평대로 283, B동 707호(청천동, 부평우림라이온스밸리) B동 707호",구조설계 등,070-7677-0077
