순번,회사명,공장대표주소,전화번호,팩스번호,생산품,업종명
17,(주)그린웰,"인천광역시 계양구 서운산업로47번길 22-1, 2층 (서운동)",070-7784-1300,032-5759-366,"밸브, 산업용정수장치, 액체필터, 펌프부속장치",배전반 및 전기 자동제어반 제조업 외 3 종
18,(주)그린텍코리아,인천광역시 계양구 계양대로13번길 24 (작전동),032-546-0408,032-546-0409,미술교재 등,사무 및 회화용품 제조업
19,(주)글로넥스,"인천광역시 계양구 아나지로 20, 2동 4층(효성동)",032-6622-660,032-662-2661,"전기정 도어락, 스위치",그 외 기타 전기장비 제조업
20,(주)금강손수레,인천광역시 계양구 평리길 100 (평동),032-543-6902,050-7351-3230,운반기구,그 외 기타 달리 분류되지 않은 운송장비 제조업
21,(주)남해전자,"인천광역시 계양구 서운산단로3길 20, 4층 (서운동)",032-684-6877,032-684-6876,전자부품,전자부품 실장기판 제조업
22,(주)넥스랩,인천광역시 계양구 서운산단로2길 50 (서운동) 4층,032-671-5030,032-671-5031,"LED마스크, 마사지기, 피부세안기, 전기조명",기타 가정용 전기기기 제조업 외 1 종
23,(주)누리텔,인천광역시 계양구 계양대로13번길 26 (작전동) 부국정밀 3층,032-549-0416,032-545-0416,동축커넥터,그 외 기타 전자부품 제조업
24,(주)늘푸른광고산업,인천광역시 계양구 대보로 102 (작전동),032-673-7399,032-679-7399,"교통표지판, 안전표지판지주, 금속기둥 등",금속 표시판 제조업 외 7 종
25,(주)다됨,"인천광역시 계양구 서운산단로1길 19, 3층 25호(서운동) 3층 25호 외 1필지",032-715-4436,,조명장치,일반용 전기 조명장치 제조업
26,(주)다올산업,"인천광역시 계양구 하느재로9번길 5, 2층(계산동)",032-524-7288,032-513-2514,경관조명기구,기타 조명장치 제조업 외 2 종
27,(주)다원조명,"인천광역시 계양구 서운산단로1길 19, 5층 16호(서운동) 5층 16호",032-683-6060,,조명기구,일반용 전기 조명장치 제조업
28,(주)당근,인천광역시 계양구 황어로255번길 44 (이화동),032-327-7888,032-327-7886,조미료제조,천연 및 혼합조제 조미료 제조업
29,(주)대경브이엔씨,인천광역시 계양구 아나지로 402 (작전동),032-568-3806,032-568-3807,플라스틱 및 전자부품 코팅도장,플라스틱 접착처리 제품 제조업 외 2 종
30,(주)대교조명,"인천광역시 계양구 서운산단로1길 19, 515호(서운동) 515호",032-684-7258,,조명기구,일반용 전기 조명장치 제조업
31,(주)대동시스템(제4공장),인천광역시 계양구 아나지로 285 (작전동) (총 2 필지) 외 1필지,032-546-3040,032-546-3039,운송장비용 콘트롤케이블,금속선 가공제품 제조업 외 4 종
32,(주)대동종합기계,인천광역시 계양구 아나지로551번길 16 (서운동),032-676-8528,032-676-8529,"화학기계,산업기계",그 외 기타 특수목적용 기계 제조업 외 1 종
33,(주)대동티에스,인천광역시 계양구 새벌로80번길 17 (효성동),032-554-7711,032-543-6735,"호환성공구, 연마석",연마재 제조업 외 1 종
34,(주)대명아이넥스,인천광역시 계양구 서운산단로5길 20 (서운동),032-555-0950,032-555-0130,스텐레스 식기건조대,그 외 기타 분류 안된 금속 가공 제품 제조업
35,(주)대성자동포장기계,인천광역시 계양구 봉오대로894번길 48-19 (서운동),032-672-7671,032-672-7675,포장기계,"용기 세척, 포장 및 충전기 제조업"
36,(주)대양이티에스,"인천광역시 계양구 서운산단로2길 5(서운동, (주)엔엑스오)",031-647-2550,,공기청정기,비디오 및 기타 영상기기 제조업 외 2 종
37,(주)대원물산,인천광역시 계양구 아나지로97번길 14 (효성동) 2층,032-545-5552,032-544-5552,위생용 마스크,기타 직물제품 제조업
38,(주)대진코스탈,"인천광역시 계양구 서운산단로1길 88(서운동, (주)대진코스탈)",032-517-4418,032-529-6918,"문서세단기, 하드파쇄기",사무용 기계 및 장비 제조업 외 1 종
39,(주)대한메텍스,인천광역시 계양구 아나지로38번길 12 (효성동),032-551-4154,032-551-3153,"적산열량계, 전력량계",속도계 및 적산계기 제조업
40,(주)대호몰드,인천광역시 계양구 계양대로16번길 97 (작전동),032-555-6286,032-555-6285,금형 및 플라스틱 제품,그 외 기타 금속가공업 외 1 종
41,(주)덕성,인천광역시 계양구 동양로 55 (동양동),032-515-3901,032-515-3905,낚시끝대생산,낚시 및 수렵용구 제조업
42,(주)도우,"인천광역시 계양구 서운산단로3길 20, 4층 (서운동)",032-554-2853,032-551-6840,"반도체장비 부품, 반도체 제조용 기계, 전기,전자기판 전자부품",전자부품 실장기판 제조업 외 5 종
43,(주)동광엔지니어링,인천광역시 계양구 서운산단로5길 9 (서운동),032-543-6680,032-543-6682,기계 및 정밀부품,볼트 및 너트류 제조업
44,(주)동신냉열이엔지,인천광역시 계양구 새벌로80번길 15 (효성동),032-546-4118,032-546-4995,"냉열기기, 공기조화기",산업용 냉장 및 냉동 장비 제조업 외 1 종
45,(주)동양마그닉스,인천광역시 계양구 아나지로 238 (효성동),032-547-0792,032-548-8451,방전가공기,전자 응용 절삭기계 제조업
46,(주)동양에스텍,인천광역시 계양구 서운산단로1길 53 (서운동) 2동 D호,032-682-0322,032-682-0324,금속가공업(규격철판),절삭가공 및 유사처리업
47,(주)두성캠테크,인천광역시 계양구 까치말로6번길 12 (작전동),032-683-5450,032-683-5455,플라스틱 사출 성형,그 외 기타 플라스틱 제품 제조업
48,(주)듀크린,인천광역시 계양구 서운산단로8길 11 (서운동),032-555-1661,032-549-8644,"집진기, 이동식사다리",기체 여과기 제조업 외 1 종
49,(주)듀크린 2공장,인천광역시 계양구 서운산단로6길 15 (서운동),070-4112-7377,,집진기,기체 여과기 제조업
50,(주)디비엘,인천광역시 계양구 봉오대로651번길 26 (작전동),032-513-4470,032-516-2201,실험동물기자재,그 외 기타 의료용 기기 제조업
51,(주)디앤디우니코,"인천광역시 계양구 아나지로248번길 12, 1층(효성동)",,0504-222-6934,가방,가방 및 기타 보호용 케이스 제조업
52,(주)디에스이 계양지점,"인천광역시 계양구 서운산단로1길 19, 3층 317호(서운동) 3층 317호 외 1필지",032-548-1741,,조명등기구,일반용 전기 조명장치 제조업 외 2 종
53,(주)디에이텍,인천광역시 계양구 서운산단로4길 13 (서운동),032-868-0844,032-868-0846,"알코올농도측정기용 센서, 음주측정기",그 외 기타 전자부품 제조업 외 1 종
54,(주)디자인 임광건설,"인천광역시 계양구 장제로 922, 201호(병방동)",032-555-8823,032-541-0693,"옥외광고물, 금속구조물",간판 및 광고물 제조업 외 6 종
55,(주)디자인메이커스,"인천광역시 계양구 서운산단로2길 72, 나동 204호 (서운동)",032-328-0000,,간판 및 광고물,간판 및 광고물 제조업
56,(주)라파레,"인천광역시 계양구 안남로458번길 11-1, 3층 (효성동)",032-556-6875,032-556-6877,"수제과일청, 숙취해소환",기타 식품 첨가물 제조업 외 2 종
57,(주)러셀로보틱스,"인천광역시 계양구 서운산단로4길 13, B동(서운동)",070-4048-6530,032-232-1268,"무인자동화시스템(무인운반차, 자율주행로봇 등)",산업용 로봇 제조업 외 1 종
58,(주)레마텍,"인천광역시 계양구 서운산단로1길 19, 4층 401호 (서운동) 4층 401호 외 1필지",032-678-3313,,"콘넥터, 광학",유선 통신장비 제조업 외 1 종
59,(주)로드파워,인천광역시 계양구 아나지로 546-2 (서운동),032-821-5985,032-821-5984,"부하저항기,NGR,HRG 외 저항기",전기회로 접속장치 제조업 외 2 종
60,(주)로이텍코퍼레이션,인천광역시 계양구 마장로517번길 9(효성동),032-517-5523,032-517-5528,화장품 용기,포장용 플라스틱 성형용기 제조업 외 1 종
61,(주)루트랩,인천광역시 계양구 서운산단로2길 62 (서운동) 3층 일부,032-555-5740,033-555-0760,"포장기계, 산업용로봇","용기 세척, 포장 및 충전기 제조업 외 1 종"
62,(주)리치코스,인천광역시 계양구 서운산업로 62(서운동),032-673-6600,032-675-2832,화장솔,비 및 솔 제조업
63,(주)리텍,인천광역시 계양구 서운산단로6길 21(서운동),032-324-9838,032-324-9840,"무선통신기기, 운영정보표시장치, DID시스템, VD페이져, 이트라지태그, 대원단말기, 제습기, 이어폰",기타 무선 통신장비 제조업 외 8 종
64,(주)메가텔,인천광역시 계양구 서운산업로47번길 17-1 (서운동),032-511-5000,032-523-4000,CCTV카메라,방송장비 제조업 외 1 종
65,(주)메딕콘,"인천광역시 계양구 서운산단로1길 19, 4층 14호(서운동) 4층 14호",032-543-7335,,RFID센서,전자카드 제조업
66,(주)메모릭스,"인천광역시 계양구 아나지로38번길 6 (효성동, (주)메모릭스)",032-573-1062,032-573-1064,휴대폰용 카메라모듈,발광 다이오드 제조업 외 1 종
67,(주)메인테크엔지니어링,인천광역시 계양구 서운산단로8길 16 (서운동),02-830-6763,,"인쇄회로 조립품, 자동 측정 및 제어장치",전자부품 실장기판 제조업 외 1 종
68,(주)명일씨앤비,인천광역시 계양구 아나지로396번길 5 (작전동),032-554-6811,032-554-6810,골판지제조,골판지 제조업 외 1 종
69,(주)모닉스디와이,인천광역시 계양구 효서로 392 (작전동),032-544-7800,032-544-6726,"전자금형, 가속성준형",주형 및 금형 제조업
70,(주)모던씨앤비,인천광역시 계양구 서운산단로6길 18 (서운동),032-679-0755,032-679-0753,"스크린인쇄, 화장용 브러쉬",스크린 인쇄업 외 1 종
71,(주)목산산업,인천광역시 계양구 아나지로443번길 16 (서운동),032-679-9091,032-679-9094,"간판, 옥외광고물",간판 및 광고물 제조업 외 1 종
72,(주)문정산업,인천광역시 계양구 아나지로551번길 13 (서운동),032-553-2211,032-553-2662,PE원료,그 외 기타 플라스틱 제품 제조업
73,(주)미드라인,인천광역시 계양구 효서로 101 (효성동) 3층,032-650-5912,032-650-5913,의류,남자용 겉옷 제조업 외 8 종
74,(주)미래과학교육원,"인천광역시 계양구 장제로 735, 5층 (작전동)",032-543-9404,032-543-9405,과학교구 및 교재,전시용 모형 제조업
75,(주)미앤미,인천광역시 계양구 길마로 17-1 (효성동),032-568-0959,032-568-7309,"양념소스, 고기가공제품",육류 기타 가공 및 저장처리업 (가금류 제외) 외 2 종
76,(주)바숨,인천광역시 계양구 서운산단로1길 25 (서운동) 4동 102호,032-673-2024,,알루미늄 정밀가공 및 절단,절삭가공 및 유사처리업
77,(주)백암실업,인천광역시 계양구 벌말로584번길 7 (상야동),032-543-4822,032-671-3822,인쇄지함(칼라박스),판지 상자 및 용기 제조업
78,(주)뷰티프로모션스,인천광역시 계양구 귤현동 495번지 귤현빌딩,032-549-6060,032-549-8600,모조 장식품,모조 귀금속 및 모조 장신용품 제조업 외 1 종
79,(주)브이오비(VOB),인천광역시 계양구 용마루3길 3 (용종동),032-544-1101,032-541-0376,청국장,장류 제조업
80,(주)브이티아이코리아,"인천광역시 계양구 서운산단로1길 19, 3층 324호(서운동) 3층 324호",032-624-1375,,"기체공급기, 액체정제기","증류기, 열교환기 및 가스발생기 제조업 외 1 종"
81,(주)비젼코베아,인천광역시 계양구 서운산단로1길 87 (서운동),032-555-2170,032-555-4997,등산용스틱,기타 운동 및 경기용구 제조업
82,(주)비케이코리아,"인천광역시 계양구 선주로54번길 8, 1동 A호, 2동 (선주지동)",032-581-3466,032-581-8937,"산업용 냉장 및 냉동장비, 주방기계",산업용 냉장 및 냉동 장비 제조업 외 1 종
83,(주)사이언스프로,"인천광역시 계양구 서운산단로1길 19, 5층 510호 (서운동) 5층 510호",070-7700-2434,,"반도체 조립용 장비, 측청, 시험 및 분석기구, 정밀기기",반도체 제조용 기계 제조업 외 2 종
84,(주)삼양피에스텍,인천광역시 계양구 까치말로5번길 16 (작전동),032-542-8044,032-545-8384,엔지니어링 플라스틱부품,절삭가공 및 유사처리업
85,(주)삼영기술,"인천광역시 계양구 아나지로418번길 14-2, 지층(작전동)",070-4797-0497,032-232-7251,"실리콘제품, 무인항공기 등",고무패킹류 제조업 외 2 종
86,(주)삼정전기,인천광역시 계양구 서운산단로8길 12 (서운동),032-672-4501,032-672-0548,LED 조명 등,육상 금속 골조 구조재 제조업 외 7 종
87,(주)삼조,"인천광역시 계양구 서운산단로1길 19, 4층 421호 (서운동) 4층 421호",032-553-1741,,"컨트롤러, 전자부품, 에너지 저장장치",에너지 저장장치 제조업
88,(주)삼호이엔지,인천광역시 계양구 아나지로568번길 18(서운동),032-543-4171,032-543-4172,수전고정대,"탭, 밸브 및 유사장치 제조업"
89,(주)상민에스디,인천광역시 계양구 서운산단로5길 19 (서운동),032-546-0341,032-546-0342,단열창호,"금속 문, 창, 셔터 및 관련제품 제조업"
90,(주)서광글라스,인천광역시 계양구 아나지로551번길 14 (서운동),032-664-0016,032-663-2486,복층유리,디스플레이 장치용 유리 제조업
91,(주)서울조구,인천광역시 계양구 아나지로 72 (효성동),032-521-3503,032-548-0133,낚시 용구 (REEL),낚시 및 수렵용구 제조업 외 1 종
92,(주)서울창호,인천광역시 계양구 아나지로 538-9 (서운동),032-545-7901,032-545-7972,알루미늄 창호,"금속 문, 창, 셔터 및 관련제품 제조업 외 1 종"
93,(주)서진텍,인천광역시 계양구 서운산단로1길 16 (서운동),032-555-1780,032-555-1786,기계정밀부품,절삭가공 및 유사처리업
94,(주)선경인케이,인천광역시 계양구 서운산단로3길 1(서운동),032-710-6808,,주방용 전기기기,주방용 전기기기 제조업
95,(주)선샤인,인천광역시 계양구 평리길 97 (평동),032-543-3596,032-543-3598,자동차 선바이져,운송장비 조립용 플라스틱제품 제조업 외 8 종
96,(주)설미,인천광역시 계양구 벌말로584번길 15-1 (하야동),02-532-1432,02-532-4640,간판,간판 및 광고물 제조업
97,(주)성우미크론,"인천광역시 계양구 아나지로374번길 11 (작전동, 성우미크론)",032-542-7911,032-543-4836,반도체금형,주형 및 금형 제조업
98,(주)성일기공,인천광역시 계양구 서운산단로1길 25 (서운동),032-719-3773,032-719-3393,자동차부품,그 외 자동차용 신품 부품 제조업 외 3 종
99,(주)성진금속,인천광역시 계양구 아나지로568번길 7 (서운동),032-555-7825,032-555-7829,알루미늄 창호,"금속 문, 창, 셔터 및 관련제품 제조업"
100,(주)성화보빈,인천광역시 계양구 아나지로 44 (효성동),032-545-2054,032-542-8405,전자부품(프라스틱사출),그 외 기타 전자부품 제조업 외 1 종
101,(주)세기수출포장,인천광역시 계양구 벌말로609번길 13-30(하야동),032-513-5511,032-513-5548,종이박스,판지 상자 및 용기 제조업
102,(주)세종파마텍,인천광역시 계양구 서운산단로 54(서운동),032-508-1284,032-508-1288,"정제기, 충진기, 코팅기, 믹서기, 건조기",그 외 기타 특수목적용 기계 제조업 외 4 종
103,(주)셀텍월드,인천광역시 계양구 서운산단로2길 17 (서운동) (주)셀텍월드,032-552-1045,032-552-1046,"무선리모컨,절전콘센트",기타 무선 통신장비 제조업
104,(주)손텍,인천광역시 계양구 서운산단로4길 12 (서운동),032-551-7033,032-542-1733,무선통비장비 등,기타 무선 통신장비 제조업 외 3 종
105,(주)솔리티,인천광역시 계양구 서운산단로1길 59 (서운동),02-2098-0003,,디지털도어락,일반철물 제조업
106,(주)송정하이테크,인천광역시 계양구 서운산단로3길 17 (서운동),032-545-3450,032-545-4021,산업용모니터케이스 외 금속가공품,구조용 금속 판제품 및 공작물 제조업 외 1 종
107,(주)신명써보,인천광역시 계양구 아나지로97번길 10 (효성동),032-566-6100,032-566-0006,"전동기, 감속기",전동기 및 발전기 제조업
108,(주)신성피엔텍,인천광역시 계양구 새풀로7번길 14 (효성동),032-549-4413,032-549-4415,복사용지 등,문구용 종이제품 제조업
109,(주)신승반점,인천광역시 계양구 주부토로 516 (계산동),032-553-1900,032-553-1901,"면,짜장소스,딤섬요리",기타 식사용 가공처리 조리식품 제조업
110,(주)신안룩스,"인천광역시 계양구 서운산단로1길 19, 3층 26호(서운동) 3층 26호",032-715-4436,,조명기구,일반용 전기 조명장치 제조업
111,(주)신원 FA,"인천광역시 계양구 서운산단로1길 19, 3층 1호(서운동) 3층 1호 외 1필지",02-6406-4718,,"절연선, 케이블, 커넥터",기타 절연선 및 케이블 제조업
112,(주)씨아이씨티,"인천광역시 계양구 아나지로85번길 7, 2,3,4층 (효성동)",032-715-7008,032-715-7011,핸드폰용 비산방지 필름,그 외 기타 전자부품 제조업 외 1 종
113,(주)씨앤케이테크,"인천광역시 계양구 아나지로 87, 3층 301호 (효성동)",032-552-8840,032-552-8829,산업용음향기기,기타 음향기기 제조업
114,(주)씨에스아이엔테크,인천광역시 계양구 서운산업로 61(서운동),032-714-2400,032-714-259,철도차량부품,철도차량 부품 및 관련 장치물 제조업 외 3 종
115,(주)씨에이엔에이,"인천광역시 계양구 아나지로374번길 11, 6동 202호(작전동, 성우미크론)",031-502-0474,,UV용 필름 등,가방 및 기타 보호용 케이스 제조업 외 1 종
116,(주)아이딕,"인천광역시 계양구 서운산단로1길 67, 4층 (서운동)",032-541-0152,032-541-0153,"공기청정기, 에어분사기, 전시광고조명장치, 금형제작",기체 여과기 제조업 외 3 종
117,(주)아이플닷컴,"인천광역시 계양구 서운산단로1길 59, B동 1층(서운동, 대원루스터(주))",032-555-2922,,전자도어록,일반철물 제조업
118,(주)아트케이,"인천광역시 계양구 아나지로 384, 지하1층 (작전동)",032-552-9182,032-552-9183,"태권도복, 셔츠, 블라우스 등",셔츠 및 블라우스 제조업 외 1 종
119,(주)안성정밀,"인천광역시 계양구 서운산업로 16-2, 1층 (서운동)",032-543-6437,032-545-3851,"압력계온도부품, 분무노즐, 핸드폰 액세서리 부품",절삭가공 및 유사처리업
120,(주)앤비앤코퍼레이션,"인천광역시 계양구 아나지로 32, 4층(효성동, ㈜고일)",02-540-5331,02-540-5302,의류,남자용 겉옷 제조업 외 4 종
121,(주)양양정밀,인천광역시 계양구 새풀로1번길 18 (효성동),032-553-7609,032-554-1976,금형제작 및 자동차부품 사출성형 등,주형 및 금형 제조업 외 1 종
122,(주)에버온,"인천광역시 계양구 서운산단로4길 6, B동 3층(서운동)",02-2039-2121,,전기차 충전기,기타 전기 변환장치 제조업
123,(주)에스아이인터내셔널,"인천광역시 계양구 서운산단로1길 25, 3동 (서운동)",032-719-3773,032-719-3393,자동화부품 및 동력전달장치 외,기어 및 동력전달장치 제조업 외 3 종
124,(주)에스에이치비피,"인천광역시 계양구 아나지로 412, 2동 1층,2층 일부 (작전동)",032-540-8700,032-540-8719,"door trim, armrest",그 외 자동차용 신품 부품 제조업 외 1 종
125,(주)에스에프씨,인천광역시 계양구 아나지로424번길 7 (작전동),032-546-4194,032-546-4642,낚시용구,낚시 및 수렵용구 제조업
126,(주)에스티케이프로페셔널오디오,"인천광역시 계양구 마장로543번길 15, 3층 (주)에스티케이프로페셔널오디오 (효성동)",032-527-1788,032-525-1784,오디오제품,기타 음향기기 제조업 외 1 종
127,(주)에스피에스,"인천광역시 계양구 서운산업로 27, 2층 (서운동)",032-555-6872,032-555-6873,"영상감시장치, 통신장비",방송장비 제조업 외 1 종
128,(주)에이로보틱스,"인천광역시 계양구 서운산단로2길 5, 1층(서운동, (주)엔엑스오)",032-584-9592,,자율주행 무인 지게차,산업용 로봇 제조업
129,(주)에이스푸드,인천광역시 계양구 평리길 93(평동),032-555-9145,032-555-9146,가공육(계육),가금류 가공 및 저장 처리업
130,(주)에이치앤케이,인천광역시 계양구 서운산단로1길 65 (서운동),032-679-1510,032-505-1511,블리스터 포장기계,"용기 세척, 포장 및 충전기 제조업"
131,(주)에코세미텍,"인천광역시 계양구 서운산단로1길 67, 4층 (서운동)",032-715-5088,032-715-5089,반도체 소자,기타 반도체소자 제조업
132,(주)에코플레이,"인천광역시 계양구 서운산단로2길 17, 4층(서운동, (주)셀텍월드)",,,전기차 완속 충전장치,기타 전기 변환장치 제조업
133,(주)엔엑스오,인천광역시 계양구 서운산단로2길 5 (서운동) (주)넥시오,032-556-9545,032-556-9544,"터치스크린, 모니터",컴퓨터 모니터 제조업 외 7 종
134,(주)엘지씨엔에스,인천광역시 계양구 아나지로213번길 23 (효성동),02-2099-5247,02-6713-7044,"전기차용 충전기, 통합 항법 다기능 시현기",기타 전기 변환장치 제조업 외 9 종
135,(주)엠에스티테크놀로지,인천광역시 계양구 아나지로 428-12 (작전동),032-582-0121,032-582-0127,핸드폰 부품,그 외 기타 금속가공업
136,(주)엠에프씨코리아,"인천광역시 계양구 서운산단로1길 19, 5층 9호(서운동) 5층 9호 외 1필지",070-7700-9511,,유량 측정기구,"물질 검사, 측정 및 분석기구 제조업"
137,(주)엠지에이치코리아,인천광역시 계양구 아나지로 42 (효성동),032-441-8844,032-441-8845,"하네스, 마이콤, 콘덴서, 저항기 등",그 외 기타 전자부품 제조업
138,(주)엠케이티,인천광역시 계양구 새벌로80번길 13 (효성동),032-724-9920,032-716-9920,스팀멸균기,전기식 진단 및 요법 기기 제조업 외 3 종
139,(주)엠텍정공,인천광역시 계양구 서운산업로50번길 11 (서운동),032-345-7083,032-345-7085,필기구용 금형,주형 및 금형 제조업
140,(주)영성전자,인천광역시 계양구 주부토로413번길 32 (작전동),032-546-4577,032-542-6635,Lead line(전해콘텐서용),전자축전기 제조업 외 1 종
141,(주)영일이엔씨,"인천광역시 계양구 서운산단로1길 19, 5층 504호(서운동) 5층 504호",032-552-8335,,"유선통신장비, 기타무선통신장비",유선 통신장비 제조업 외 7 종
142,(주)오비콤엔지니어링,"인천광역시 계양구 아나지로 87, 302호(효성동)",032-653-5464,032-551-5464,"콘넥터 솔레노이드,각종배선류,",기타 무선 통신장비 제조업 외 9 종
143,(주)오성마이더스,인천광역시 계양구 서운산단로2길 56 (서운동),031-314-5900,031-314-5551,"공구보관함, 무인택배함",그 외 기타 분류 안된 금속 가공 제품 제조업 외 4 종
144,(주)오성자원,인천광역시 계양구 아나지로438번길 16-1 (작전동),032-551-0787,032-551-0789,종이재생가공처리,그 외 기타 종이 및 판지 제품 제조업
145,(주)오소선,"인천광역시 계양구 평리길 112, 2층 (평동)",032-545-2825,032-554-2879,치과교정용장치,치과용 기기 제조업
146,(주)오투텍,"인천광역시 계양구 선주로56번길 29-23, (선주지동 198-4, 선주지동 198-5 가동)(선주지동)",032-543-0890,032-543-0895,전동모터,전동기 및 발전기 제조업
147,(주)와이씨뷰티크리에이션스,인천광역시 계양구 아나지로248번길 14 (효성동),032-541-0921,032-541-0922,헤어브러쉬,비 및 솔 제조업
148,(주)와이지-원,인천광역시 계양구 서운산단로1길 11(서운동),032-500-5479,032-527-5131,절삭공구,톱 및 호환성 공구 제조업
149,(주)우리엔프라,"인천광역시 계양구 서운산단로2길 73(서운동, (주)이노디스)",,,반도체장비용기계부품,반도체 제조용 기계 제조업
150,(주)우리젠,"인천광역시 계양구 장제로977번길 7, 2층(방축동)",032-586-4548,032-525-4547,빌딩자동제어장치(DDC),배전반 및 전기 자동제어반 제조업
151,(주)우성기계공업,인천광역시 계양구 벌말로566번길 13-1 (상야동),032-544-4505,032-544-4552,파이프 가공기계,금속 절삭기계 제조업
152,(주)우일코퍼레이션,인천광역시 계양구 아나지로 544 (서운동),032-261-9806,032-232-0984,목재류,일반 제재업
153,(주)우일플랜트,인천광역시 계양구 아나지로462번길 19(서운동),032-674-4392,032-674-3437,"경판, 로링, 탱크, 조형물 등",기타 구조용 금속제품 제조업 외 3 종
154,(주)우주,인천광역시 계양구 아나지로148번길 9 (효성동),032-330-2061,032-330-2064,전열기기,가정용 전기 난방기기 제조업
155,(주)원애드컴,인천광역시 계양구 오류남길 40 (오류동),02-3665-9057,02-2666-3204,간판 등,간판 및 광고물 제조업 외 1 종
156,(주)원테크솔루션,"인천광역시 계양구 아나지로 431, 2층(작전동, (주)코니스)",032-541-3084,032-552-5777,지폐계수기,사무용 기계 및 장비 제조업
157,(주)월드블라인드,인천광역시 계양구 서운산단로3길 16 (서운동),032-553-8611,032-553-4155,"롤스크린,블라인드",일반철물 제조업
158,(주)월드블라인드,"인천광역시 계양구 계양대로16번길 81, 2층 (작전동)",032-553-8611,032-553-4155,블라인드,커튼 및 유사제품 제조업
159,(주)월드웰,인천광역시 계양구 서운산단로1길 67 (서운동),032-876-2114,032-876-2117,용접기 및 자동화설비,그 외 기타 전기장비 제조업 외 6 종
160,(주)웰펀라이프,인천광역시 계양구 아나지로 152 (효성동),032-504-8200,032-504-8199,"가구(씽크대,붙박이장)",목재 도구 및 주방용 나무제품 제조업 외 2 종
161,(주)유니얀 인천지점,"인천광역시 계양구 아나지로 32, 2층(효성동, ㈜고일)",031-851-3042,031-851-3044,"근무복, 작업복 및 유사 의복 제조업, 기타 봉제의복 제조업",면직물 직조업 외 29 종
162,(주)유니콘,인천광역시 계양구 서운산업로54번길 15 (서운동),032-574-9907,032-575-9907,산업용 계측기 외,기기용 자동측정 및 제어장치 제조업
163,(주)유로,인천광역시 계양구 학고개길 25 (갈현동),032-255-5566,032-255-5568,"온수매트,욕실용품,스마트컵,공기청정기외",그 외 기타 달리 분류되지 않은 제품 제조업 외 5 종
164,(주)유비시스코리아,"인천광역시 계양구 아나지로 20, 5층 (효성동)",032-501-7431,032-501-7433,"플라스틱적층, 도포 및 플라스틱표면처리 외","플라스틱 적층, 도포 및 기타 표면처리 제품 제조업 외 2 종"
