순번,회사명,생산품,업종명,공장대표주소(도로명),전화번호,데이터기준일자
18,(주)가온세정,파이프,도금업 외 1 종,"인천광역시 서구 가람로 14, 1층 인천표면처리센터 코아텍 109호 (오류동) 1층 인천표면처리센터 코아텍 109호",032-564-7988,2025-04-02
19,(주)가온세정 제2공장지점,파이프,도금업 외 1 종,"인천광역시 서구 가람로 14,(오류동, 인천표면처리센터 요진코아텍) 1동 7층 702호 외 1필지",032-564-7988,2025-04-02
20,(주)가온엘이디,"LED신호등, LED조명기기(투광등, 보안등, 가로등 외)",일반용 전기 조명장치 제조업 외 3 종,"인천광역시 서구 백범로630번길 16, 9층 910 (가좌동) 9층 910호",032-573-5601,2025-04-02
21,(주)가온프라텍,플라스틱 화장품용기,그 외 기타 플라스틱 제품 제조업,인천광역시 서구 원전로 5 (경서동),032-684-9435,2025-04-02
22,(주)가원조경,조경시설물,표면 가공 목재 및 특정 목적용 제재목 제조업,"인천광역시 서구 세자봉로76번길 1 (금곡동, 공장)",032-565-0456,2025-04-02
23,(주)감휴먼테크,"욕실수납장, 기타 가구제조",그 외 기타 가구 제조업,인천광역시 서구 도곡로 121-4 (대곡동),032-568-7300,2025-04-02
24,(주)강경팩,골판지제조,골판지 제조업 외 1 종,인천광역시 서구 뱃길1로 53 (오류동),032-548-1813,2025-04-02
25,(주)강남산업,"금속문,방화문","금속 문, 창, 셔터 및 관련제품 제조업",인천광역시 서구 길주로 32 (석남동),032-572-2428,2025-04-02
26,(주)강성피앤디,주방용품피막처리,도장 및 기타 피막처리업,인천광역시 서구 중봉대로286번길 33 (석남동),032-574-0019,2025-04-02
27,(주)강인파워텍,"배전반,태양광발전장치,LED조명기구",일반용 전기 조명장치 제조업 외 3 종,"인천광역시 서구 원당대로206번길 22(오류동, 매일이앤씨(주))",032-564-7866,2025-04-02
28,(주)강진,알루미늄 캡,포장용 플라스틱 성형용기 제조업,"인천광역시 서구 백범로 681, 6층 604호(가좌동, 스마트테크노타워) 6층 604호 외 3필지",,2025-04-02
29,(주)거경,"화장품,면봉,화장솜",그 외 기타 달리 분류되지 않은 제품 제조업 외 1 종,"인천광역시 서구 보듬로 158, 7층 검단지식산업센터 블루텍 734호 (오류동)",032-541-2984,2025-04-02
30,(주)거둘기업,종이상자,골판지 제조업 외 1 종,인천광역시 서구 사렴로9번길 27 (경서동),032-564-4036,2025-04-02
31,(주)거명엔지니어링,금속가공,그 외 기타 금속가공업,인천광역시 서구 원전로 43(경서동),,2025-04-02
32,(주)거봉한진,"가스기화기,밸브","탭, 밸브 및 유사장치 제조업 외 2 종",인천광역시 서구 북항로177번길 68 (원창동),032-682-2072,2025-04-02
33,(주)거상컴퍼니,"간판(전기식, 비전기식), 시트 인쇄",전시 및 광고용 조명장치 제조업 외 2 종,인천광역시 서구 원창로 35 (원창동),,2025-04-02
34,(주)거성씨푸드,"연어필렛,광어필렛,도다리필렛",기타 수산동물 가공 및 저장 처리업,인천광역시 서구 소담2로 34-2(금곡동),02-572-7770,2025-04-02
35,(주)거성알루미늄,알루미늄가공,그 외 기타 금속가공업 외 1 종,인천광역시 서구 사렴로9번길 41 (경서동),032-816-6019,2025-04-02
36,(주)건승,"가로등주, 가로등",육상 금속 골조 구조재 제조업 외 1 종,"인천광역시 서구 보듬로 158, 2층 검단지식산업센터 블루텍 219호 (오류동) 2층 검단지식산업센터 블루텍 219호",032-566-6993,2025-04-02
37,(주)건영산업,시트 합판,"박판, 합판 및 유사 적층판 제조업",인천광역시 서구 원당대로265번길 31 (오류동),032-566-6451,2025-04-02
38,(주)건우기업,목공기계,기타 가공 공작기계 제조업,인천광역시 서구 누리1로 29(오류동),031-996-0700,2025-04-02
39,(주)건우앤택,휴대폰 도장,도장 및 기타 피막처리업,"인천광역시 서구 가정로16번길 4, 가동2층 나동2층(가좌동)",032-578-0852,2025-04-02
40,(주)건우체어,의자,소파 및 기타 내장가구 제조업,인천광역시 서구 가정로77번길 31 (가좌동),032-577-5358,2025-04-02
41,(주)건우피씨비,인쇄회로기판,인쇄회로기판용 적층판 제조업 외 1 종,인천광역시 서구 백범로810번길 26-19 (가좌동),032-573-1339,2025-04-02
42,(주)건풍,소방단자함,배전반 및 전기 자동제어반 제조업,인천광역시 서구 중봉대로 807 (경서동),032-569-6221,2025-04-02
43,(주)검단아스콘,아스콘,아스팔트 콘크리트 및 혼합제품 제조업,인천광역시 서구 도담3로 9 (오류동),032-719-7000,2025-04-02
44,(주)게임플러스어뮤즈먼트,"게임기, 농구대",영상게임기 제조업 외 1 종,인천광역시 서구 중봉대로376번길 13-1 (원창동),02-1670-1602,2025-04-02
45,(주)경기정밀화학,"폐수처리제, 표면처리제",그 외 기타 분류 안된 화학제품 제조업 외 2 종,인천광역시 서구 보도진로41번길 18 (가좌동),032-442-9600,2025-04-02
46,(주)경덕산업,자동차부품,자동차용 신품 동력전달장치 제조업 외 1 종,"인천광역시 서구 원전로48번길 31 (경서동, 경덕산업)",032-562-4277,2025-04-02
47,(주)경도,"목재표면가공, 태양광발전","목재 보존, 방부처리, 도장 및 유사 처리업 외 1 종","인천광역시 서구 이든로 30, 1동 (오류동)",032-569-7793,2025-04-02
48,(주)경도산업,아크릴 성형 가공품,합성수지 및 기타 플라스틱 물질 제조업,인천광역시 서구 도담8로 16 (오류동),02-2254-2992,2025-04-02
49,(주)경신 인천공장,자동차배선 조립,기타 절연선 및 케이블 제조업,인천광역시 서구 가좌동 538-3번지,032-580-7232,2025-04-02
50,(주)경신유앤엘,유니폼,"근무복, 작업복 및 유사의복 제조업","인천광역시 서구 건지로86번길 41 (가좌동, 주1동)",032-578-0931,2025-04-02
51,(주)경원,"판재,각재",일반 제재업 외 2 종,"인천광역시 서구 봉수대로170번길 21 (가좌동, 나동)",032-583-4213,2025-04-02
52,(주)경은금속,철재케이스,도장 및 기타 피막처리업,인천광역시 서구 가정로8번길 10 (가좌동),032-666-2922,2025-04-02
53,(주)경인양행,염료,"염료, 조제 무기안료, 유연제 및 기타 착색제 제조업","인천광역시 서구 건지로 199 (석남동, (주)경인양행인천공장A동) 외 4필지",032-571-7498,2025-04-02
54,(주)경인텍,인쇄회로기판,경성 인쇄회로기판 제조업,인천광역시 서구 원창로89번길 14-13 (원창동),032-575-4340,2025-04-02
55,(주)경인펄프,압축파지,비금속류 원료 재생업,인천광역시 서구 장고개로117번길 38 (가좌동) 외 1필지,032-577-2525,2025-04-02
56,(주)경중기업,가방부속품,도금업 외 1 종,"인천광역시 서구 가람로 14, 8층 인천표면처리센터 코아텍 805호 (오류동)",031-569-2439,2025-04-02
57,(주)경진실업,판지제품 및 기타 종이박스,골판지 제조업 외 1 종,인천광역시 서구 이든로 10 (오류동),032-565-2733,2025-04-02
58,(주)고려계전,수배전반,배전반 및 전기 자동제어반 제조업,인천광역시 서구 보도진로 100-60 (가좌동),032-584-4540,2025-04-02
59,(주)고려다이캐스팅기계,다이캐스팅 및 일반산업기계 제작,금속 주조 및 기타 야금용 기계 제조업,인천광역시 서구 보도진로30번길 16 (가좌동),032-572-6311,2025-04-02
60,(주)고려일렉트릭,"금형,프레스가공",주형 및 금형 제조업 외 1 종,인천광역시 서구 가정로67번길 20 (가좌동) 외 1필지,032-579-8177,2025-04-02
61,(주)고려차량,철도차량부품,철도차량 부품 및 관련 장치물 제조업 외 1 종,"인천광역시 서구 건지로284번길 113, D동 104호 (가좌동)",051-898-3111,2025-04-02
62,(주)고려특수베어링,"볼베어링,  원추롤러베어링, 구름베어링 등",구름베어링 제조업,인천광역시 서구 도담로 22 (오류동),032-567-3836,2025-04-02
63,(주)고뫄스방수 (인천지점),방수재,그 외 기타 분류 안된 화학제품 제조업,인천광역시 서구 도담로 132 (오류동),032-563-1473,2025-04-02
64,(주)고현중전기,기어 및 동력전달장치,기어 및 동력전달장치 제조업,인천광역시 서구 가정로38번길 1 (가좌동),032-773-4732,2025-04-02
65,(주)골드시스템,포장기계,"용기 세척, 포장 및 충전기 제조업","인천광역시 서구 도담로 42, 4동 (오류동)",032-583-5896,2025-04-02
66,(주)공공스토리사업단,"안내판, 간판",표면 가공 목재 및 특정 목적용 제재목 제조업,"인천광역시 서구 마중로 109, C동 (오류동)",032-673-1458,2025-04-02
67,(주)공동구매북,유아동도서,제책업,"인천광역시 서구 가남로 61, A동 1층 113 (가좌동, 토지산업2차 지식산업센터)",070-4070-4874,2025-04-02
68,(주)광덕산업,승강기 부품,승강기 제조업,인천광역시 서구 북항로31번길 77(석남동),032-579-9061,2025-04-02
69,(주)광덕종합목재,운반용 목재 파렌트,목재 깔판류 및 기타 적재판 제조업 외 1 종,인천광역시 서구 원당대로265번길 46 (오류동),032-568-6886,2025-04-02
70,(주)광동케이이씨,"전기발전기 및 배터리 부품, 선반가공품",기타 전기 변환장치 제조업 외 1 종,"인천광역시 서구 염곡로 33, 1층, 2층(가좌동)",032-584-7725,2025-04-02
71,(주)광명특수금속,"금속가공,철도차량부품",그 외 기타 금속가공업 외 1 종,인천광역시 서구 원당대로157번길 5 (오류동),032-812-9376,2025-04-02
72,(주)광성공사,"간판,광고물",간판 및 광고물 제조업,"인천광역시 서구 서곶로 332,1층 (심곡동)",032-565-2277,2025-04-02
73,(주)광신정밀,"함마비트,착암기호환성공구",건설 및 채광용 기계장비 제조업,인천광역시 서구 북항로193번길 50 (원창동),032-815-3877,2025-04-02
74,(주)광일체어,"사무용의자, 목재가구",소파 및 기타 내장가구 제조업 외 1 종,"인천광역시 서구 건지로109번길 21 (석남동, 광일체어(주)) 외 1필지",032-576-5361,2025-04-02
75,(주)광일체어,의자부속부품,그 외 기타 가구 제조업 외 1 종,인천광역시 서구 봉수대로300번길 14 (석남동),032-576-5361,2025-04-02
76,(주)광진,금속압형제품,자동차용 금속 압형제품 제조업 외 1 종,인천광역시 서구 보도진로54번길 10 (가좌동),032-584-6601,2025-04-02
77,(주)광진실업,"부직포, 이불솜, 이불",부직포 및 펠트 제조업 외 2 종,인천광역시 서구 가정로58번길 3 (가좌동) 외 1필지,032-582-4147,2025-04-02
78,(주)광진하이텍,"플라스틱 화장품 용기, 주방수전, 샤워기, 수전용 필터",그 외 기타 플라스틱 제품 제조업 외 2 종,"인천광역시 서구 가정로77번길 26-1, 1층(가좌동)",070-8865-4222,2025-04-02
79,(주)광휘,코팅합판,표면 가공 목재 및 특정 목적용 제재목 제조업,인천광역시 서구 봉수대로162번길 11 (가좌동),032-572-4615,2025-04-02
80,(주)광희,보일러,선철주물 주조업,"인천광역시 서구 원전로59번길 1 (경서동, C동)",032-561-8997,2025-04-02
81,(주)교동컴퍼니,짬뽕(즉석식품),기타 식사용 가공처리 조리식품 제조업,"인천광역시 서구 원창로89번길 13-5, 나동 101호(원창동, 원창테크노)",032-715-8129,2025-04-02
82,(주)구영에스피,"인테리어 제품, 철도부품, 특수차량개조",간판 및 광고물 제조업 외 3 종,인천광역시 서구 봉수대로300번길 24 (석남동),032-576-8711,2025-04-02
83,(주)구영에스피,안내표지판 등,금속 표시판 제조업,"인천광역시 서구 파랑로 495, 2동 413호 (청라동) 2동 413호",032-576-8711,2025-04-02
84,(주)구일특수목재,표면가공목재,표면 가공 목재 및 특정 목적용 제재목 제조업,인천광역시 서구 북항로193번길 12 (원창동),032-582-0964,2025-04-02
85,(주)국보마스크,마스크,기타 직물제품 제조업,"인천광역시 서구 중봉대로 240 (석남동) 1동,2동 1층",032-710-5720,2025-04-02
86,(주)규림테크,승강기부품,승강기 제조업,인천광역시 서구 정서진5로 16 (오류동),032-561-4806,2025-04-02
87,(주)그라미,"건축내장재, 가구판넬,틱지싱핀","목재 보존, 방부처리, 도장 및 유사 처리업 외 2 종","인천광역시 서구 건지로153번길 26-3 (석남동, 나동)",032-583-2096,2025-04-02
88,(주)그로피아,"금속가공품,금형",그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,인천광역시 서구 마중4로 10 (오류동),032-814-9785,2025-04-02
89,(주)그린리소스,"고순도 희토류 금속산화물, 반도체&디스플레이용 세라믹 보호코팅",기타 기초 무기 화학물질 제조업 외 1 종,인천광역시 서구 가정로37번길 39 (가좌동),032-572-6939,2025-04-02
90,(주)그린스케이프,"캔/페트 파쇄기, 구조용 금속구조물",광물처리 및 취급장비 제조업 외 1 종,"인천광역시 서구 가정로67번길 30, A동 2층 일부 (가좌동)",032-611-8102,2025-04-02
91,(주)그린아이에스,"화물승강기, 유압리프트, 컨베이어, 철골조등 ",승강기 제조업 외 6 종,"인천광역시 서구 거북로 25-26, 2층(석남동)",053-746-6570,2025-04-02
92,(주)그린양행,식물영양제,생물 살균.살충제 및 식물보호제 제조업,인천광역시 서구 향동로 65 (금곡동),032-578-0607,2025-04-02
93,(주)그린엔텍,은,"기타 비철금속 제련, 정련 및 합금 제조업",인천광역시 서구 건지로109번길 54 (석남동),032-571-7111,2025-04-02
94,(주)그린전자,PCB,인쇄회로기판용 적층판 제조업 외 2 종,"인천광역시 서구 백범로 681, 스마트테크노타워 415호, 416호 (가좌동)",032-582-9939,2025-04-02
95,(주)그린코퍼레이션,산업용 기계부품,그 외 기타 일반목적용 기계 제조업 외 1 종,인천광역시 서구 원전로48번길 23(경서동),070-5151-1313,2025-04-02
96,(주)그린텍,인쇄회로기판,경성 인쇄회로기판 제조업,인천광역시 서구 가정로77번길 20 (가좌동),032-572-6063,2025-04-02
97,(주)그린팩,포장기계,"용기 세척, 포장 및 충전기 제조업",인천광역시 서구 보도진로30번길 16-1 (가좌동),032-513-4006,2025-04-02
98,(주)그린프레쉬,도시락,도시락류 제조업,"인천광역시 서구 건지로153번길 25-14, 1층(석남동)",032-575-3934,2025-04-02
99,(주)극동이씨티,"액상소석회, 마이크로웨이브 건조기, 탈취기",석회 및 플라스터 제조업 외 5 종,인천광역시 서구 건지로250번길 76 (가좌동),032-578-2175,2025-04-02
100,(주)극동정영반즈,산업용노,"산업용 오븐, 노 및 노용 버너 제조업 외 1 종","인천광역시 서구 사렴로10번길 30 (경서동, 4동)",032-561-3330,2025-04-02
101,(주)극동주공,주물버너,선철주물 주조업 외 1 종,"인천광역시 서구 사렴로10번길 30 (경서동, 4동)",032-561-4121,2025-04-02
102,(주)글로벌씨엠에쓰,"커피 그라인더, 탬핑기, 온수기",기타 가정용 전기기기 제조업,"인천광역시 서구 봉수대로 505, 3층 (원창동)",032-584-9005,2025-04-02
103,(주)글로벌푸드,만능소스,천연 및 혼합조제 조미료 제조업,"인천광역시 서구 보듬로 158, 8층 검단지식산업센터 블루텍 830호 (오류동)",070-4610-6532,2025-04-02
104,(주)금강알앤에이,쇄석,비금속광물 분쇄물 생산업,"인천광역시 서구 봉수대로 272 (석남동, 진보자원개발(주) 1동) 외 1필지",032-584-8453,2025-04-02
105,(주)금강엔이에스,"분전반,배전반,일반용 전기 조명장치, 전기 변환장치,변압기,전기회로 개폐 등",배전반 및 전기 자동제어반 제조업 외 5 종,"인천광역시 서구 사월로 31-14, 2층 (왕길동)",032-575-1116,2025-04-02
106,(주)금강자동차,"개조승용차,개조화물차,특장차,트레일러",차체 및 특장차 제조업 외 5 종,"인천광역시 서구 북항로 28-46, A동 1층 (원창동)",032-574-8312,2025-04-02
107,(주)금강테크원,"표면처리기계, 분사기(모래분사기)",그 외 기타 특수목적용 기계 제조업 외 1 종,인천광역시 서구 보도진로 100-33 (가좌동),032-571-8191,2025-04-02
108,(주)금강특장차,"개조승용차,개조화물차,특장차,트레일러,구조변경",차체 및 특장차 제조업 외 6 종,인천광역시 서구 북항로 28-46 (원창동),032-574-8312,2025-04-02
109,(주)금길,"케이스, 쇼핑백",종이 포대 및 가방 제조업,"인천광역시 서구 보듬로 158, 공존동 611호(오류동, 블루텍) 공존동 611호 외 2필지",02-2026-5525,2025-04-02
110,(주)금문,"방화문, 건식PD카바","금속 문, 창, 셔터 및 관련제품 제조업 외 1 종",인천광역시 서구 건지로 98-10(가좌동),032-584-9025,2025-04-02
111,(주)금상화학,화학제품,기타 기초 무기 화학물질 제조업 외 1 종,인천광역시 서구 건지로153번길 46-11 (석남동),032-577-4118,2025-04-02
112,(주)금양레이저,"소화전박스, 분전함박스, 접지블럭, 기타 철구조물",구조용 금속 판제품 및 공작물 제조업 외 2 종,인천광역시 서구 향동로 34(금곡동),032-562-4966,2025-04-02
113,(주)금정하이플렉스,자동차부품,그 외 자동차용 신품 부품 제조업 외 2 종,인천광역시 서구 호두산로94번길 1 (경서동),032-561-8861,2025-04-02
114,(주)금진팀버이앤씨,각재,표면 가공 목재 및 특정 목적용 제재목 제조업 외 2 종,인천광역시 서구 중봉대로 146 (가좌동),032-584-8851,2025-04-02
115,(주)금진팀버이앤씨,2차 가공목,표면 가공 목재 및 특정 목적용 제재목 제조업,인천광역시 서구 북항로 76-28 (원창동),032-584-8851,2025-04-02
116,(주)금호글로벌,"금메달, 견장, 훈장, 기념패, 뱃지, 금속표지판",그 외 기타 분류 안된 금속 가공 제품 제조업 외 8 종,인천광역시 서구 중봉대로376번길 25-1 (원창동),032-571-2370,2025-04-02
117,(주)금호테크,전자부품,주형 및 금형 제조업 외 1 종,인천광역시 서구 가재울로 112 (가좌동),032-573-4605,2025-04-02
118,(주)기린푸드시스템,"돈까스,생선까스",육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,"인천광역시 서구 장고개로238번길 33-1 (가좌동, (주)기린푸드시스템 1동) 외 3필지",032-584-7979,2025-04-02
119,(주)기성산업기계,벨트컨베이어,컨베이어장치 제조업,인천광역시 서구 북항로193번길 26 (원창동) 외 1필지,032-818-0588,2025-04-02
120,(주)기인테크,양면테이프,그 외 기타 전자부품 제조업,인천광역시 서구 봉수대로161번길 36(가좌동),032-577-8066,2025-04-02
121,(주)기정,"플라스틱제품, 금속도포 플라스틱 필름",플라스틱 접착처리 제품 제조업 외 2 종,인천광역시 서구 가좌로11번길 6 (가좌동),032-584-5577,2025-04-02
122,(주)김앤김,"김가루, 자반",수산식물 가공 및 저장 처리업,인천광역시 서구 봉수대로285번길 13(석남동),032-362-0070,2025-04-02
123,(주)나경엔터프라이즈,인쇄회로기판,경성 인쇄회로기판 제조업,"인천광역시 서구 석남로 25 (석남동, E동)",032-571-5241,2025-04-02
124,(주)나노스,집진기,기체 여과기 제조업,인천광역시 서구 북항로193번길 39 (원창동),032-279-0302,2025-04-02
125,(주)나노원,금형,주형 및 금형 제조업 외 1 종,인천광역시 서구 호두산로94번길 23(경서동),032-675-4845,2025-04-02
126,(주)나노텍,인쇄회로기판,경성 인쇄회로기판 제조업,인천광역시 서구 봉수대로501번길 57-1 (원창동),032-575-0640,2025-04-02
127,(주)나라이엔씨,"방송장비, 비디오 및 기타영상기기, 전시 및 광고용 조명장치",방송장비 제조업 외 2 종,인천광역시 서구 심곡로113번길 7 (심곡동) 1층,032-567-3599,2025-04-02
128,(주)나은테크,폐야채건조기외,그 외 기타 특수목적용 기계 제조업,인천광역시 서구 원전로12번길 11(경서동),032-572-8023,2025-04-02
129,(주)나인트,LED거울,기타 판유리 가공품 제조업,인천광역시 서구 도담7로 8 (오류동),,2025-04-02
130,(주)남강엔지니어링,감속기,기어 및 동력전달장치 제조업,인천광역시 서구 북항로207번길 10(원창동),032-584-0671,2025-04-02
131,(주)남동금속,화장품케이스,도금업 외 1 종,"인천광역시 서구 가람로 14, 2층 인천표면처리센터 코아텍 201호 (오류동)",032-817-3794,2025-04-02
132,(주)남동금속,철제선반,그 외 기타 금속가공업,인천광역시 서구 가람로 14 (오류동) 인천표면처리센터 요진코아텍 1동 2층 202호,,2025-04-02
133,(주)남동테크,철제선반,그 외 기타 금속가공업,인천광역시 서구 가람로 14 (오류동) 인천표면처리센터 요진코아텍 1동 2층 202호,,2025-04-02
134,(주)네오코,"전기오븐기,금속위생용품, 소화장치",금속 캔 및 기타 포장용기 제조업 외 10 종,인천광역시 서구 북항로193번길 44 (원창동),032-572-5432,2025-04-02
135,(주)네오코,"온장고, 가정용 소독기, 적외선 소독기",주방용 전기기기 제조업 외 1 종,"인천광역시 서구 건지로 98-79, 3층 (가좌동)",032-572-5432,2025-04-02
136,(주)네이처코퍼레이션,"마카정, 락토페린정",건강기능식품 제조업,인천광역시 서구 장고개로231번안길 5(가좌동),,2025-04-02
137,(주)네일에이스,"네일버퍼, 하일",그 외 기타 달리 분류되지 않은 제품 제조업 외 1 종,인천광역시 서구 봉수대로183번길 14 (가좌동),032-572-4141,2025-04-02
138,(주)네클라코스메틱,비누,화장품 제조업,"인천광역시 서구 보듬로 158, (오류동, 블루텍) 1동 3층 303호",,2025-04-02
139,(주)넥소," ,  ,  ,  , 전자칠판, OPS컴퓨터, 텔레비전거치대,  ,  ",기타 주변기기 제조업 외 8 종,"인천광역시 서구 보듬로 158, (오류동, 블루텍) 1동 5층 527호",032-569-5771,2025-04-02
140,(주)노바복스코프,"치과용기기, 기타조명장치",치과용 기기 제조업 외 6 종,"인천광역시 서구 장고개로126번길 18(가좌동, (주)노바복스코프)",032-563-2745,2025-04-02
141,(주)노아엑츄에이션,"자동제어장치, 수문밸브, 수문권양기, 마스크",배전반 및 전기 자동제어반 제조업 외 3 종,인천광역시 서구 정서진9로 11 (오류동),032-680-3400,2025-04-02
142,(주)농업회사법인 정푸드,계육가공품,가금류 가공 및 저장 처리업,인천광역시 서구 소담로 43(금곡동),032-721-6251,2025-04-02
143,(주)농우,"육개장, 설렁탕, 뚝배기불고기",도시락류 제조업 외 3 종,인천광역시 서구 봉수대로182번길 29 (가좌동),032-766-0990,2025-04-02
144,(주)누리플러스,캐릭터 봉제완구 및 제품,인형 및 장난감 제조업,인천광역시 서구 건지로 90 (가좌동),032-579-7747,2025-04-02
145,(주)누리홈,"침구, 수예",침구 및 관련제품 제조업,"인천광역시 서구 건지로 144-5, 2층(가좌동)",032-576-0246,2025-04-02
146,(주)누보갤러리,"APT 가구(신발장, 주방씽크대 외)",기타 목재가구 제조업 외 1 종,인천광역시 서구 이든로 36 (오류동) 외 1필지,032-569-1401,2025-04-02
147,(주)누보켐 검단,아스콘,아스팔트 콘크리트 및 혼합제품 제조업,인천광역시 서구 도담로 142 (오류동),032-517-0080,2025-04-02
148,(주)누보켐 인천,아스콘,아스팔트 콘크리트 및 혼합제품 제조업,인천광역시 서구 도담4로 28 (오류동),032-517-5500,2025-04-02
149,(주)뉴로시스,PCB Controller,그 외 기타 전자부품 제조업 외 2 종,인천광역시 서구 가재울로 119 (가좌동),032-578-7001,2025-04-02
150,(주)뉴바이오산업,탈취제,생물학적 제제 제조업 외 2 종,인천광역시 서구 백석동 218-8번지 외 3필지 외 3필지,032-429-5061,2025-04-02
151,(주)뉴벨,임플란트,정형외과용 및 신체보정용 기기 제조업,"인천광역시 서구 보듬로 158, 공존동 1114호 (오류동, 블루텍) 공존동 1114호",,2025-04-02
152,(주)뉴테크,자동제어장치,배전반 및 전기 자동제어반 제조업 외 1 종,인천광역시 서구 열우물로 231 (가좌동),032-577-4410,2025-04-02
153,(주)다고,"철물, 철재가구",일반철물 제조업,"인천광역시 서구 장고개로118번길 23 (가좌동, 다고(주))",032-578-4705,2025-04-02
154,(주)다래테크,"saw shank, 가공품,금속압형제품",그 외 금속 압형제품 제조업 외 2 종,인천광역시 서구 북항로245번길 13-11 (원창동),032-581-0215,2025-04-02
155,(주)다비드화장품,화장품,화장품 제조업,인천광역시 서구 도담8로 14 (오류동),032-679-0091,2025-04-02
156,(주)다빈,인쇄회로판(PCB),경성 인쇄회로기판 제조업,"인천광역시 서구 거북로 17, 나 616호 (석남동) 외 1필지",032-575-1152,2025-04-02
157,(주)다산정보통신,유무선 통신기기,기타 무선 통신장비 제조업,"인천광역시 서구 백범로604번길 17 (가좌동, 가동)",032-818-6851,2025-04-02
158,(주)다연정공,유압부품,"탭, 밸브 및 유사장치 제조업 외 2 종",인천광역시 서구 보도진로41번길 9 (가좌동),032-581-7053,2025-04-02
159,(주)다온벤카코리아,"차량용 코팅제,광택제,세정제","치약, 비누 및 기타 세제 제조업 외 1 종",인천광역시 서구 백범로810번길 26-13 (가좌동) 외 1필지,032-868-4249,2025-04-02
160,(주)다온시스템,"LED조명기구용 컨버터, 매입형및고정형LED등기구",일반용 전기 조명장치 제조업 외 1 종,"인천광역시 서구 원적로7번길 23, 3층 (가좌동)",032-715-5410,2025-04-02
161,(주)다온에프앤씨,컵과일,기타 과실ㆍ채소 가공 및 저장 처리업,"인천광역시 서구 백범로 611,  (가좌동) 1동 2층 215호",,2025-04-02
162,(주)다온티앤티,"이동업무차,캠핑카",차체 및 특장차 제조업,인천광역시 서구 북항로177번길 116 (원창동) 외 1필지,032-562-6394,2025-04-02
163,(주)다운,"사료자동급여기 외, 실물모형제조",농업 및 임업용 기계 제조업 외 1 종,인천광역시 서구 보도진로42번길 22 (가좌동),032-873-1787,2025-04-02
