순번,회사명,공장대표주소(도로명),사업자등록번호,업종명
81,(주)신원기술,"인천광역시 연수구 갯벌로 109 (송도동, 신원기술)",1398107391,주형 및 금형 제조업 외 2 종
82,(주)씨디이싸인,"인천광역시 연수구 송도미래로 30, 에이동 8층 801 (송도동)",1098167587,기록매체 복제업 외 3 종
83,(주)씨엠코리아,"인천광역시 연수구 송도미래로 30, 에이동 3층 314 (송도동)",1318664277,"치약, 비누 및 기타 세제 제조업"
84,(주)아마다코리아,인천광역시 연수구 하모니로177번길 12 (송도동),1348133555,"그 외 기타 분류 안된 전문, 과학 및 기술 서비스업 외 1 종"
85,(주)아스타,"인천광역시 연수구 송도미래로 30, E동 9층 905 (송도동)",5408800563,기타 주변기기 제조업
86,(주)아이리스코리아,인천광역시 연수구 첨단대로60번길 29 (송도동),1018135174,그 외 기타 플라스틱 제품 제조업 외 4 종
87,(주)아이블포토닉스,"인천광역시 연수구 갯벌로145번길 22 (송도동, (주)아이블포토닉스)",1348159521,발광 다이오드 제조업 외 1 종
88,(주)아이센스,인천광역시 연수구 하모니로275번길 12 (송도동),2108129428,체외 진단 시약 제조업 외 1 종
89,(주)아이센스,인천광역시 연수구 인천타워대로25번길 43-10(송도동),2108129428,"물질 검사, 측정 및 분석기구 제조업 외 2 종"
90,(주)아이시에스솔루션스,"인천광역시 연수구 송도미래로 30, 이동 7층 705 (송도동) 외 1필지",1138612316,배전반 및 전기 자동제어반 제조업 외 2 종
91,(주)아이씨디,"인천광역시 연수구 송도미래로 30, B동 6층 602 (송도동)",1318612328,전시 및 광고용 조명장치 제조업 외 3 종
92,(주)아이씨텍,"인천광역시 연수구 갯벌로 124 (송도동, (주)아이씨텍)",1398112462,주방용 전기기기 제조업 외 1 종
93,(주)아이에스시,"인천광역시 연수구 벤처로 82, [지구단위계획 Ic-2의 1] (송도동)",6578501739,발광 다이오드 제조업 외 3 종
94,(주)아콘스,"인천광역시 연수구 송도미래로 30, B동 B1층 B08,  B09호(송도동, 송도 BRC 스마트밸리 지식산업센터)",6498100293,기기용 자동측정 및 제어장치 제조업 외 2 종
95,(주)아프로식품,"인천광역시 연수구 송도미래로 30, A동 6층 608,609호 (송도동, 송도 BRC 스마트밸리 지식산업센터)",4208703177,기타 식사용 가공처리 조리식품 제조업
96,(주)알림테크놀로지,"인천광역시 연수구 갯벌로 129, 405호 (송도동, 산업기술연구집적센터)",1308639493,기타 무선 통신장비 제조업
97,(주)앤에이치씨,"인천광역시 연수구 송도과학로 56, 송도테크노파크BT센터 524호 (송도동)",8508700032,디스플레이 제조용 기계 제조업 외 1 종
98,(주)얀센백신,인천광역시 연수구 하모니로303번길 23 (송도동),1358130546,기초 의약 물질 제조업 외 1 종
99,(주)어드밴스메탈,"인천광역시 연수구 송도미래로 30, B동 9층 03호(송도동, 송도 BRC 스마트밸리 지식산업센터)",1318653203,"기타 비철금속 압연, 압출 및 연신 제품 제조업"
100,(주)에스아이티코리아,"인천광역시 연수구 송도과학로 32, M동 2103호 (송도동)",1318613443,전자저항기 및 전자카드 제조업
101,(주)에스에이엘,인천광역시 연수구 송도미래로 30 (송도동) 송도 BRC 스마트밸리 지식산업센터 A동 20층 2004호,2368101664,전자감지장치 제조업
102,(주)에스엘바이젠,인천광역시 연수구 송도과학로 85 (송도동) 연세대학교 국제캠퍼스 에스엘바이젠 산학협력관,5068158504,기초 의약 물질 제조업 외 1 종
103,(주)에스티,"인천광역시 연수구 송도미래로 30, 에이동404호(송도동 송도비알씨스마트밸리지식산업센터) (송도동)",1318614971,반도체 제조용 기계 제조업
104,(주)에스피씨,인천광역시 연수구 갯벌로 103 (송도동),1398141458,전기용 탄소제품 및 절연제품 제조업
105,(주)에스피지,인천광역시 연수구 송도과학로16번길 13-30 (송도동),1398111459,전동기 및 발전기 제조업 외 1 종
106,(주)에어로솔루션즈,"인천광역시 연수구 송도과학로16번길 13-18, 405호(송도동, 송도건원테크노큐브)",2708701763,무인 항공기 및 무인 비행장치 제조업
107,(주)에이스전자,"인천광역시 연수구 송도미래로 30, A동 9층 913 (송도동)",6928100564,가정용 전기 난방기기 제조업
108,(주)에이지브이에스,"인천광역시 연수구 송도미래로 30, 이동 4층 403 (송도동)",3128640006,산업용 로봇 제조업
109,(주)에이치에스글로벌,"인천광역시 연수구 송도과학로 32, 송도IT센터 M동 1703호, 1704호 (송도동)",1218631968,화장품 제조업
110,(주)에이치엘클레무브,"인천광역시 연수구 하모니로 224 (송도동, MHE송도공장) 외 1필지",1428117158,그 외 자동차용 신품 부품 제조업 외 1 종
111,(주)에이펙스이에스씨,"인천광역시 연수구 송도미래로 30, D동 14층 1411 (송도동)",3428100830,기타 전기 변환장치 제조업 외 6 종
112,(주)에이피솔루션즈,"인천광역시 연수구 갯벌로 129, 산업기술연구집적센터 201호 (송도동)",1318176647,기타 엔지니어링 서비스업
113,(주)에이피텍,인천광역시 연수구 송도과학로16번길 13-46 (송도동),1348620619,반도체 제조용 기계 제조업 외 1 종
114,(주)에이피텍,"인천광역시 연수구 벤처로100번길 34, 1~3층 일부 (송도동)",1348620619,반도체 제조용 기계 제조업 외 1 종
115,(주)에프앤에스전자,"인천광역시 연수구 벤처로 82, 본관1층, 팹동1,2층(송도동, 정보통신산업진흥원 송도사무소)",3478102153,기타 반도체소자 제조업
116,(주)엔디에스,"인천광역시 연수구 송도미래로 30, 비동 204호 (송도동)",1318620978,반도체 제조용 기계 제조업
117,(주)엔알티,인천광역시 연수구 송도국제대로286번길 20 (송도동),2478802513,액체 여과기 제조업 외 1 종
118,(주)엔알티,"인천광역시 연수구 벤처로12번길 34(송도동, (주)탑에이테크놀로지)",2478802513,액체 여과기 제조업
119,(주)엔에프씨,인천광역시 연수구 갯벌로145번길 15-8 (송도동),1318637479,화장품 제조업
120,(주)엔유엔지니어링,"인천광역시 연수구 비류대로331번길 2-11, (주)엔유엔지니어링 (연수동)",1228613487,일반용 전기 조명장치 제조업
121,(주)엔티앤에스,"인천광역시 연수구 송도미래로 30, 비동 1층 104 (송도동)",8248700237,디스플레이 제조용 기계 제조업
122,(주)엘리비젼,"인천광역시 연수구 인천타워대로 99, 1201호 (송도동)",1218165390,기타 산업 회사 본부
123,(주)엘브이에스,"인천광역시 연수구 송도미래로 30, 송도비알씨스마트밸리 지식산업센터 비동 801,802,803호 (송도동)",1318614914,광학렌즈 및 광학요소 제조업
124,(주)엘제이전자,인천광역시 연수구 함박뫼로50번길 59 (연수동),6518600011,"전자코일, 변성기 및 기타 전자 유도자 제조업 외 1 종"
125,(주)엠블록스,"인천광역시 연수구 송도미래로 30, 디동 13층 1310-C호(송도동, 송도 BRC 스마트밸리 지식산업센터)",1558102383,산업용 로봇 제조업
126,(주)엠에스시스템,"인천광역시 연수구 송도미래로 30, E동 9층 907 (송도동)",1218620796,방송장비 제조업
127,(주)엠피인터랙티브,"인천광역시 연수구 인천타워대로 99, 801호(송도동, 애니오션빌딩)",1138641728,광고 대행업
128,(주)오토시스,"인천광역시 연수구 갯벌로 55, 2층 (송도동)",1178113291,산업처리공정 제어장비 제조업 외 3 종
129,(주)우림월드,"인천광역시 연수구 송도미래로 30, 비407호 (송도동)",1318156258,"전기회로 개폐, 보호장치 제조업 외 2 종"
130,(주)우신라보타치,"인천광역시 연수구 송도미래로 30, B동 1019호 (송도동, 송도 BRC 스마트밸리 지식산업센터) 외 9필지",1138649827,생물 의약품 제조업 외 1 종
131,(주)우영오토비,"인천광역시 연수구 송도미래로 30, 송도비알씨스마트밸리 지식산업센터 비동515호 (송도동)",1218190128,산업처리공정 제어장비 제조업 외 2 종
132,(주)원더브릿지,"인천광역시 연수구 송도미래로 30, D동 1층 105호 (송도동, 송도 BRC 스마트밸리 지식산업센터)",2748103155,"근무복, 작업복 및 유사의복 제조업 외 17 종"
133,(주)원스타인터내셔널,"인천광역시 연수구 송도미래로 30, A동 8층 808 (송도동) 외 4필지",1208727788,기타 가정용 전기기기 제조업 외 1 종
134,(주)웨이드,"인천광역시 연수구 송도미래로 30, E동 17층 1702 (송도동)",3988700344,반도체 제조용 기계 제조업
135,(주)위더스테크,"인천광역시 연수구 송도미래로 30, 비동 5층 518 (송도동)",1318638522,산업처리공정 제어장비 제조업
136,(주)유니트원,"인천광역시 연수구 송도미래로 30, 디동 1107호(송도동, 송도 BRC 스마트밸리 지식산업센터)",1318653620,일반용 전기 조명장치 제조업
137,(주)유라가,"인천광역시 연수구 송도미래로 30, B동 310호(송도동, 송도 BRC 스마트밸리 지식산업센터)",1318628650,떡류 제조업
138,(주)유시스,"인천광역시 연수구 송도미래로 30, B동 5층 515 (송도동)",3598800822,기타 음향기기 제조업 외 5 종
139,(주)유이에스인프라,"인천광역시 연수구 송도미래로 30, 비동 721호(송도동, 송도 BRC 스마트밸리 지식산업센터)",6438100655,유선 통신장비 제조업 외 3 종
140,(주)유진로봇,인천광역시 연수구 하모니로187번길 33 (송도동),2118642832,산업용 로봇 제조업
141,(주)유환아이티,"인천광역시 연수구 대암로 39-1, 1층 (옥련동)",1218602541,기타 음향기기 제조업 외 1 종
142,(주)은학,인천광역시 연수구 송도국제대로286번길 20 (송도동),7548800920,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업"
143,(주)이너트론,"인천광역시 연수구 벤처로36번길 37, A동(1층 일부)(송도동, (주)크레셈)",2148706910,기타 무선 통신장비 제조업 외 1 종
144,(주)이노인스트루먼트,인천광역시 연수구 송도미래로 30 (송도동) E동 22층 2206호 외 1필지,4478700025,유선 통신장비 제조업 외 3 종
145,(주)이륜,"인천광역시 연수구 갯벌로 124, 1층 (송도동)",1388164026,사무용 기계 및 장비 제조업 외 3 종
146,(주)이선이엔지,"인천광역시 연수구 송도미래로 30, E동 19층 1905D (송도동)",4658501294,"전자기 측정, 시험 및 분석기구 제조업"
147,(주)이스젠,"인천광역시 연수구 송도미래로 30, 비동 721호(송도동, 송도 BRC 스마트밸리 지식산업센터)",3148142645,유선 통신장비 제조업 외 4 종
148,(주)이엔씨테크놀로지,"인천광역시 연수구 송도미래로 30, 송도비알씨스마트밸리지식산업센터 비동411,412호 (송도동)",1318639405,액체 여과기 제조업
149,(주)이음디앤피,"인천광역시 연수구 송도미래로 30, D동 10층 1005 (송도동)",8028701333,제책업 외 1 종
150,(주)이피코,"인천광역시 연수구 갯벌로 129, 307호 (송도동, 산업기술연구집적센터)",1238174920,기타 전기 변환장치 제조업 외 1 종
151,(주)인더블럭,"인천광역시 연수구 송도과학로 32, 테크노파크IT센터 M동 1101호 (송도동)",1318658095,인형 및 장난감 제조업
152,(주)인터몰드,"인천광역시 연수구 송도미래로 30, 이동 23층 2304 (송도동) 외 1필지",4018700276,주형 및 금형 제조업
153,(주)정도테크,"인천광역시 연수구 송도미래로 30, 디동 9층 907 (송도동)",1318647069,육상 금속 골조 구조재 제조업 외 1 종
154,(주)정완테크,"인천광역시 연수구 송도미래로 30, B동 B1층 B01,B02 (송도동)",7278800461,주형 및 금형 제조업
155,(주)정호이앤씨,인천광역시 연수구 송도동 10-76번지,1398104598,비디오 및 기타 영상기기 제조업
156,(주)제노시스,인천광역시 연수구 벤처로100번길 2 (송도동),1318157878,비디오 및 기타 영상기기 제조업 외 5 종
157,(주)제브라앤시퀀스,인천광역시 연수구 송도과학로 56 (송도동) 송도테크노파크 BT센터 522호,2708700314,교통 신호장치 제조업
158,(주)제브라앤시퀀스,"인천광역시 연수구 송도과학로 56, 321호(송도동, 송도테크노파크 BT센터)",2708700314,교통 신호장치 제조업
159,(주)제이에스티앤랩,"인천광역시 연수구 송도미래로 30, B동 8층 808 (송도동)",1408132662,"탭, 밸브 및 유사장치 제조업 외 1 종"
160,(주)제이엘티,"인천광역시 연수구 벤처로100번길 12, 외 1필지 (송도동)",3628101342,그 외 기타 특수목적용 기계 제조업
161,(주)제이오,"인천광역시 연수구 갯벌로 129, 산업기술연구집적센터 401,501호 (송도동)",1368112653,"물질 검사, 측정 및 분석기구 제조업"
162,(주)제이콥스,"인천광역시 연수구 벤처로100번길 2, 1층 (송도동)",1318610150,반도체 제조용 기계 제조업
163,(주)쥬비트,"인천광역시 연수구 송도미래로 30, 디동 4층 408 (송도동) 외 1필지",1068684087,기억장치 제조업
164,(주)지앤지테크놀러지,"인천광역시 연수구 송도미래로 30, A동 1층 102, 103 (송도동)",1218128681,육상 금속 골조 구조재 제조업 외 7 종
165,(주)지엠티,"인천광역시 연수구 송도미래로 30, 에이동 9층 901 (송도동)",2018173556,기타 무선 통신장비 제조업 외 2 종
166,(주)지이에스테크,인천광역시 연수구 송도국제대로286번길 20 (송도동),7358100105,주형 및 금형 제조업
167,(주)천인에이엠피,"인천광역시 연수구 송도미래로 30, B동 3층 205,318,319,320,321,322 (송도동)",5588600901,전동기 및 발전기 제조업
168,(주)캠시스,"인천광역시 연수구 벤처로100번길 26, [지구단위계획 Ic-5의 2,3] (송도동) 외 1필지",1398103094,그 외 기타 전자부품 제조업 외 2 종
169,(주)케이디코퍼레이션,"인천광역시 연수구 하모니로275번길 34 (송도동, KD Corporation 송)",1338130424,"물질 검사, 측정 및 분석기구 제조업"
170,(주)케이앤,"인천광역시 연수구 송도미래로 30, E동 10층 1006 (송도동)",4068600124,기타 주변기기 제조업 외 1 종
171,(주)케인아시아,"인천광역시 연수구 송도미래로 30, A동 3층 311,312 (송도동)",1318668915,"전자기 측정, 시험 및 분석기구 제조업"
172,(주)코닉스,인천광역시 연수구 벤처로12번길 34(송도동),1398112706,"물질 검사, 측정 및 분석기구 제조업 외 1 종"
173,(주)코아텍,"인천광역시 연수구 송도미래로 30, B동 2층 215 (송도동)",1318651428,변압기 제조업 외 1 종
174,(주)코텍,"인천광역시 연수구 벤처로24번길 26, [지구단위계획 Ic-10] (송도동)",1308144628,비디오 및 기타 영상기기 제조업
175,(주)퀸테스,"인천광역시 연수구 송도미래로 30, D동 22층 2210 (송도동)",3028700528,그 외 기타 전자부품 제조업
176,(주)큐비에스,인천광역시 연수구 갯벌로 89 (송도동),1398131455,가정용 전기 난방기기 제조업 외 3 종
177,(주)큐엘,인천광역시 연수구 송도미래로 30 (송도동) 송도 BRC 스마트밸리 지식산업센터 D동 2206호,7098600396,전시 및 광고용 조명장치 제조업
178,(주)크라이저,인천광역시 연수구 송도미래로 30 (송도동) 송도 BRC 스마트밸리 지식산업센터 A동 206호,1068645288,컴퓨터 모니터 제조업
179,(주)탑에이테크놀로지,인천광역시 연수구 벤처로12번길 34(송도동),1318196473,반도체 제조용 기계 제조업 외 2 종
180,(주)태인스포먼트,"인천광역시 연수구 송도미래로 30, 에이동 B1층 B02 (송도동) 외 1필지",2048619901,"체조, 육상 및 체력단련용 장비 제조업 외 2 종"
181,(주)탭탭,인천광역시 연수구 송도미래로 30 (송도동) 송도 BRC 스마트밸리 지식산업센터 E동 20층 2002호,2118695912,그 외 기타 일반목적용 기계 제조업 외 2 종
182,(주)토비스,"인천광역시 연수구 하모니로226번길 15(송도동, TOVIS 송도 신공장) 외 1필지",1338137806,액정 표시장치 제조업
183,(주)파블로항공,"인천광역시 연수구 송도미래로 30, A동 2005호(송도동, 송도 BRC 스마트밸리 지식산업센터) 외 1필지",3888101209,무인 항공기 및 무인 비행장치 제조업
184,(주)파워인덕션,"인천광역시 연수구 하모니로187번길 16(송도동, 에이스테크놀로지 R&D 센터)",1318198715,전기ㆍ전자공학 연구개발업 외 1 종
185,(주)포토메카닉,"인천광역시 연수구 송도과학로 56, 송도BT센터 914호 (송도동)",8978100422,"기타 측정, 시험, 항해, 제어 및 정밀기기 제조업 외 2 종"
186,(주)프로센,"인천광역시 연수구 송도과학로 32, 송도테크노파크 IT센터 M동 1001호 (송도동)",1348672494,"물질 검사, 측정 및 분석기구 제조업"
