공공,회사명,공장대표주소(도로명),사업유형,전화번호
114,삼국기연,"인천광역시 동구 만석부두로7번길 15-11 (만석동, 비전하나산업(주))",제조업,032-579-0851
115,삼부레이저피엠씨(주),인천광역시 동구 보세로 43 (만석동),제조업,032-864-0591
116,삼성기계공업(주),인천광역시 동구 샛골로 222-7 (송림동),제조업,032-772-1466
117,삼정,"인천광역시 동구 금곡로42번길 4, 2층 (금곡동)",제조업,032-773-3402
118,삼화제분(주),"인천광역시 동구 석수로 60 (만석동, 삼화제분주식회사)",제조업,032-772-1595
119,상도금속,인천광역시 동구 보세로 47-1 (만석동),제조업,032-572-7525
120,상도산업,"인천광역시 동구 염전로 9, L동 108호 (송현동)",제조업,070-7576-2723
121,상신용접기,"인천광역시 동구 방축로37번길 41, 108,109호 (송현동)",제조업,032-577-3861
122,서울천막기업,인천광역시 동구 보세로26번길 24-19 (만석동),제조업,032-764-2300
123,성원기업,인천광역시 동구 방축로157번길 40 (송림동),제조업,032-583-4119
124,세영엔지니어링,"인천광역시 동구 보세로 30 (만석동, 세영엔지니어링)",제조업,032-817-6947
125,세움기술(주),인천광역시 동구 방축로167번길 11 (송림동) 3층,제조업,
126,세원주조금형제작소,"인천광역시 동구 염전로 25, V동 101호 (송림동)",제조업,032-766-1433
127,세종금속개발,인천광역시 동구 방축로191번길 35(송림동),제조업,032-565-0565
128,세진기업,"인천광역시 동구 방축로62번길 16, B동 101호 (송림동, 중앙동력상가)",제조업,032-588-2260
129,스카이엔지니어링,인천광역시 동구 샛골로 230-21 (송현동),제조업,032-576-5666
130,승리산업,인천광역시 동구 방축로9번길 40-5 (송현동),제조업,032-583-6983
131,시민철강(주),인천광역시 동구 염전로40번길 28 (송림동),제조업,032-772-5800
132,신아이엔씨(주),인천광역시 동구 만석부두로13번길 18 (만석동),제조업,032-571-1973
133,신정산업,"인천광역시 동구 방축로177번길 30 (송림동, (주)유진종합)",제조업,032-811-1757
134,신진엔지니어링,"인천광역시 동구 방축로62번길 16, B동 104호 (송림동, 중앙동력상가)",제조업,032-572-0210
135,신흥전자,"인천광역시 동구 봉수대로96번길 42, 에이동(신흥전자) (송림동)",제조업,032-576-2557
136,신흥테크,"인천광역시 동구 염전로 25, 제가동 104호 (송림동)",제조업,032-579-1088
137,씨앤에이치,인천광역시 동구 염전로40번길 40-23 (송림동),제조업,032-765-4333
138,씨에프씨글로벌 주식회사,"인천광역시 동구 샛골로 228, 1,2층 일부(송림동)",제조업,02-6959-3402
139,아트코리아,"인천광역시 동구 송림로 12, 8층 (금곡동, 솔빛메디칼센터)",제조업,070-8625-9003
140,안동산업,인천광역시 동구 방축로177번길 22-1 (송림동),제조업,032-504-1253
141,안전기계공업사,"인천광역시 동구 만석부두로13번길 12 (만석동, 제1동)",제조업,032-762-4214
142,에딘스(EDINS),인천광역시 동구 방축로177번길 9 (송림동) 3층,제조업,
143,에메스상사,인천광역시 동구 보세로42번길 21-14 (만석동),제조업,070-8970-4962
144,에스에스엠퍼니처,인천광역시 동구 보세로42번길 14 (만석동),제조업,032-565-3397
145,에스에이취조선(주),"인천광역시 동구 만석부두로 16-7 (만석동, 에스에이취조선) 외 2필지",제조업,032-761-1247
146,에스엠티,인천광역시 동구 방축로23번길 41-6 (송현동),제조업,032-327-4741
147,에스윈텍,인천광역시 동구 샛골로 222-24 (송림동),제조업,032-763-3580
148,에이스펌프,인천광역시 동구 보세로42번길 29-12 (만석동),제조업,032-865-4084
149,에이치디현대인프라코어(주),인천광역시 동구 화수동 7-11번지 외 5필지,제조업,032-211-1211
150,엘에스와이스포츠,인천광역시 동구 서해대로513번길 17-5 (창영동),제조업,
151,엠에스인천가스(주),인천광역시 동구 방축로9번길 40 (송현동),제조업,032-581-7001
152,엠코,"인천광역시 동구 방축로23번길 62, C동 108호 (송현동)",제조업,070-4197-4411
153,영일볼트,"인천광역시 동구 방축로9번길 60 (송현동, 영일볼트)",제조업,032-575-0566
154,영창기계,인천광역시 동구 만석부두로7번길 15-7 (만석동),제조업,032-584-1522
155,오성상사,인천광역시 동구 보세로 36 (만석동),제조업,032-579-0605
156,오성스텐레스,인천광역시 동구 만석부두로 23 (만석동),제조업,032-568-8681
157,오성에어테크,"인천광역시 동구 방축로 10, d동 101호 (송현동)",제조업,032-761-0577
158,올파인텍,인천광역시 동구 만석동 17-9번지,제조업,032-205-3605
159,우복기계제작소,인천광역시 동구 방축로23번길 38 (송현동),제조업,032-582-1746
160,우종산업(주),"인천광역시 동구 만석부두로13번길 33 (만석동, 우종산업)",제조업,032-765-6467
161,원일제강(주),"인천광역시 동구 석수로 108 (만석동, 원일제강)",제조업,032-762-2214
162,월드테크,"인천광역시 동구 방축로37번길 67, B동 102호 (송현동)",제조업,
163,유건,"인천광역시 동구 중봉대로 92, 나동 103호 (송현동)",제조업,032-578-0133
164,유진기업(주)인천,"인천광역시 동구 방축로62번길 37 (송림동, 유진기업(주)인천)",제조업,032-765-4111
165,이레디자인(주),"인천광역시 동구 화도로 18, 1층 (화평동)",제조업,032-764-1028
166,이엔이엘이디(주),"인천광역시 동구 방축로37번길 61-3, 3층4층 일부(송현동)",제조업,032-675-8707
167,인천산업기계,"인천광역시 동구 염전로40번길 40-21 (송림동, 인천산업기계)",제조업,032-762-8995
168,인천중기센타,인천광역시 동구 방축로23번길 22 (송현동),제조업,032-577-4111
169,인천특수엔지니어링,인천광역시 동구 염전로47번길 16 (송림동),제조업,032-582-7141
170,인현산업 주식회사,인천광역시 동구 보세로26번길 24-68(만석동),제조업,032-883-9053
171,자코파인테크(주),"인천광역시 동구 방축로23번길 60-6 (송현동, (주)세화캐스터) 외 1필지",제조업,032-576-6225
172,정석시스템,인천광역시 동구 보세로26번길 24-18 (만석동) 외 1필지,제조업,032-772-0780
173,제이더블유이엔지,"인천광역시 동구 방축로157번길 17, I동 104호(송림동, 동유철재상가)",제조업,
174,제이엘테크놀로지,"인천광역시 동구 방축로37번길 45 (송현동, 주식회사이건시스템)",제조업,032-583-4855
175,제일산업,"인천광역시 동구 중봉대로 90, h-104호 (송현동)",제조업,032-761-4875
176,제일히트씽크(주),인천광역시 동구 만석부두로13번길 40 (만석동),제조업,032-816-1553
177,조일알미늄,인천광역시 동구 방축로62번길 26 (송림동),제조업,032-772-3711
178,조형건업,인천광역시 동구 보세로42번길 27 (만석동),제조업,032-439-2365
179,주식회사 다올갤러리,"인천광역시 동구 중봉대로68번길 48(송림동, (주)유로트럭서비스)",제조업,
180,주식회사 동기바르네,"인천광역시 동구 방축로23번길 44 (송현동, (주)동기실업)",제조업,032-582-8152
181,주식회사 로픽,인천광역시 동구 염전로40번길 40-38(송림동),제조업,032-875-3270
182,주식회사 명성이엔지,인천광역시 동구 송미로23번길 21 (송림동),제조업,032-578-8766
183,주식회사 봉림실업,인천광역시 동구 방축로 7 (송현동),제조업,032-578-5731
184,주식회사 부송,인천광역시 동구 샛골로 143 (송림동),제조업,032-881-7007
185,주식회사 선업금속,인천광역시 동구 방축로9번길 57-8 (송현동),제조업,032-710-6061
186,주식회사 시현정보,"인천광역시 동구 봉수대로96번길 59, 2층(송림동)",제조업,032-773-3494
187,주식회사 아시아플러스인터내셔널,인천광역시 동구 보세로26번길 24-41 (만석동),제조업,032-761-3310
188,주식회사 이스턴무역,인천광역시 동구 염전로40번길 21 (송림동),제조업,032-325-8235
189,주식회사 이지라인,인천광역시 동구 샛골로 230-13 (송현동),제조업,032-812-5937
190,주식회사 인탑피유,"인천광역시 동구 염전로 19, 가(R)동 107호 (송림동)",제조업,032-811-7096
191,주식회사 지디원,"인천광역시 동구 인중로 389, A동 일부(만석동, 효창산업주식회사)",제조업,032-503-9281
192,주식회사 진영산기,"인천광역시 동구 만석부두로13번길 27 (만석동, 진영산업)",제조업,032-446-9290
193,주식회사 채다원,인천광역시 동구 만석부두로7번길 3 (만석동),제조업,032-752-7227
194,준호이스트,인천광역시 동구 염전로47번길 15(송림동),제조업,032-576-0945
195,진성정밀(주),"인천광역시 동구 염전로40번길 40-17 (송림동, 경화정공)",제조업,032-761-9159
196,진영정밀,인천광역시 동구 보세로26번길 19 (만석동),제조업,
197,진영철강,인천광역시 동구 방축로157번길 32 (송림동),제조업,032-766-3434
198,진우전력,"인천광역시 동구 보세로42번길 7-16, 2층(만석동)",제조업,032-773-7648
199,천성산업,인천광역시 동구 보세로42번길 7-11 (만석동),제조업,032-579-0248
200,천수산업,"인천광역시 동구 염전로 15, N동 102호 (송현동)",제조업,032-865-9751
201,천일테크윈(주),인천광역시 동구 화도진로 127 (화수동),제조업,032-764-0671
202,청하산업(주),"인천광역시 동구 만석부두로 37 (만석동, 청하산업(주))",제조업,032-579-0165
203,카테코(주),"인천광역시 동구 방축로 16, F동 108호 (송현동)",제조업,032-761-0028
204,케이에이치에프엔제이(KHF&J),인천광역시 동구 방축로23번길 55 (송현동),제조업,032-582-9131
205,케이지모빌리티인천서비스센터(주),"인천광역시 동구 방축로 17 (송현동, 쌍용자동차인천정비사업소(주))",제조업,032-584-5501
206,태광정밀기계정공,"인천광역시 동구 방축로167번길 29 (송림동, 태광정밀기계정공)",제조업,032-571-6025
207,태성엔지니어링,"인천광역시 동구 방축로 145, C 104호 (송림동)",제조업,032-584-5676
208,태양목재가공산업,인천광역시 동구 방축로9번길 39-16 (송현동),제조업,032-584-1970
209,태진금속,"인천광역시 동구 방축로191번길 21-4, 1층 (송림동)",제조업,032-425-4141
210,태항조선(주),"인천광역시 동구 보세로 62 (만석동, 태항조선(주))",제조업,032-761-7701
211,태화목형,"인천광역시 동구 방축로167번길 21-3 (송림동, 태화목형)",제조업,032-582-6006
212,테스코(Tesco),인천광역시 동구 방축로23번길 62 (송현동) C동 103호,제조업,032-212-3386
213,티.아이.에스,"인천광역시 동구 인중로 389, j동(티.아이.에스)(만석동)",제조업,02-540-3102
214,파코,"인천광역시 동구 중봉대로 87-5, 1002호 (송현동)",제조업,032-765-0286
215,펌프텍코리아(주),"인천광역시 동구 염전로 12 (송현동, (주)펌프텍코리아)",제조업,032-772-4004
216,평산라인,"인천광역시 동구 방축로 151, 나동 105호 (송림동)",제조업,032-572-3789
217,피엔에쓰다이아툴스(주),인천광역시 동구 보세로42번길 21-11 (만석동),제조업,032-762-2114
218,하이스쿨 학생복,"인천광역시 동구 화도진로7번길 20-8, 2층(금곡동)",제조업,
219,하이테크,"인천광역시 동구 염전로 25, V동 103호 (송림동)",제조업,032-773-7525
220,한국기초소재(주),"인천광역시 동구 만석부두로 16-3 (만석동, (주)한국기초소재)",제조업,032-777-7871
221,한국펠저(주),인천광역시 동구 보세로 81 (만석동),제조업,032-577-1507
222,한림,인천광역시 동구 샛골로 230-5 (송현동),제조업,032-761-3871
223,한신펌프,"인천광역시 동구 방축로 105, 47동 109호 (송림동, 인천산업용품유통단지)",제조업,032-589-6210
224,한일열처리,인천광역시 동구 방축로167번길 41 (송림동),제조업,032-572-1072
225,한진 정밀,"인천광역시 동구 염전로 7, K동 108호 (송현동)",제조업,032-887-4095
226,한진기계,인천광역시 동구 만석부두로 27 (만석동) (총 2 필지) 외 1필지,제조업,032-868-0099
227,한진기계,인천광역시 동구 보세로42번길 7-17 (만석동),제조업,032-885-5148
228,해강이엔지 주식회사,"인천광역시 동구 염전로 23, T동 107호(송림동, 기계철재단지)",제조업,032-773-7849
229,해동실업,인천광역시 동구 보세로42번길 21-10 (만석동),제조업,032-777-1628
230,해양조선,인천광역시 동구 보세로26번길 24-50 (만석동),제조업,032-777-1148
231,해운기계,"인천광역시 동구 염전로 7, (기계철재단지 K-106) 106호 (송현동)",제조업,032-773-4057
232,해천이엔씨(주),"인천광역시 동구 방축로9번길 57-16 (송현동, 제일종합상사)",제조업,032-1577-6411
233,햇빛과 단비 기획,인천광역시 동구 서해대로513번길 7 (창영동),제조업,032-773-3711
234,향우선박,"인천광역시 동구 방축로62번길 10, 중앙동력상가 A동 116호 (송림동)",제조업,070-8173-5197
235,현대제철(주),"인천광역시 동구 중봉대로 63 (송현동, 현대제철) (총 20 필지)",제조업,032-760-2114
236,현대호이스트크레인,인천광역시 동구 보세로26번길 21 (만석동),제조업,032-766-0482
237,현영엔지니어링,"인천광역시 동구 방축로 143, B동 105호 (송림동)",제조업,032-584-5757
238,현진공업사,인천광역시 동구 중봉대로 87-5 (송현동),제조업,
239,혜성방음문,인천광역시 동구 방축로23번길 41-5 (송현동),제조업,032-874-8188
240,효창산업(주),"인천광역시 동구 인중로 389, D,E,G동 (만석동, 효창산업주식회사)",제조업,032-777-6605
