순번,회사명,공장대표주소(도로명),업종명,전화번호,생산품
35,(주)벨라도르,"인천광역시 연수구 송도미래로 30, A동 4층 409 (송도동)",화장품 제조업,미기재,화장품
36,(주)보이저아이엔씨,"인천광역시 연수구 송도미래로 30, E동 4층 405, 406, 407, 408, 409, 410 (송도동)",컴퓨터 제조업,02-838-2022,네트워크 보안장비
37,(주)브릭스컴퍼니,"인천광역시 연수구 송도미래로 30, E동 303호(송도동, 송도 BRC 스마트밸리 지식산업센터)",기타 음향기기 제조업 외 1 종,032-215-0483,"스피커, 앰프, CCTV 등"
38,(주)브릴언스,"인천광역시 연수구 송도미래로 30, A동 1층 109 (송도동)",기타 직물제품 제조업,032-888-1208,마스크
39,(주)블루스파인테크놀러지,"인천광역시 연수구 송도미래로 30, E동 18층 1801 (송도동)",그 외 기타 의료용 기기 제조업,032-837-7583,보행분석장치
40,(주)블루시스템,"인천광역시 연수구 송도미래로 30, E동 17층 1708 (송도동)","물질 검사, 측정 및 분석기구 제조업",032-837-5860,환경측정기기
41,(주)비에스티그룹,"인천광역시 연수구 송도미래로 30, D동 9층 903 (송도동)",배전반 및 전기 자동제어반 제조업,032-715-6134,자동제어반(판넬)
42,(주)비제이씨,"인천광역시 연수구 송도미래로 30, 이동 15층 1508 (송도동)",생물학적 제제 제조업,032-821-2090,바이오리메디
43,(주)비즈엔몰드,"인천광역시 연수구 송도미래로 30, 비동 4층 401 (송도동)",주형 및 금형 제조업 외 1 종,032-876-0919,"금형, 가정용전기기기"
44,(주)비케이비젼,인천광역시 연수구 송도과학로 32 (송도동) 송도테크노파크IT센터 M동 1401호,"물질 검사, 측정 및 분석기구 제조업",032-831-8211,기계진동 검사기
45,(주)비케이테크놀로지,"인천광역시 연수구 송도미래로 30, B동 7층 702 (송도동)",전구 및 램프 제조업 외 4 종,02-365-7310,"LED조명, LED모듈, LED램프, 회로기판 리드프레임"
46,(주)비텍스,"인천광역시 연수구 송도미래로 30, B동 6층 614 (송도동)",전자 응용 절삭기계 제조업,032-813-9021,자동화 기계
47,(주)빛고은인터내셔날,"인천광역시 연수구 송도미래로 30, D동 14층 1403 (송도동)",전시 및 광고용 조명장치 제조업,032-224-1485,이미지라이트
48,(주)샤이닉스,"인천광역시 연수구 송도과학로 80, 101동 15층 1509호 (송도동, 송도 AIT센터)",전시 및 광고용 조명장치 제조업,032-832-5603,LED모듈
49,(주)서호엔텍,"인천광역시 연수구 송도미래로 30, D동 22층 2211 (송도동)",기체 여과기 제조업,미기재,"환경기계장치,열교환기, 폐기물소각로 등"
50,(주)성도밸브콘트롤스,"인천광역시 연수구 송도미래로 30, 비동 10층 1002 (송도동)",유압기기 제조업,032-328-5171,공압식 자동밸브
51,(주)성호알앤씨,"인천광역시 연수구 송도미래로 30, 송도비알씨스마트밸리 비동115호 (송도동)",절삭가공 및 유사처리업,032-442-9268,밀봉기계부품(가공)
52,(주)세나비즈텍,"인천광역시 연수구 송도미래로 30, D동 5층 508-3호(송도동, 송도 BRC 스마트밸리 지식산업센터)",비디오 및 기타 영상기기 제조업 외 1 종,02-3142-8007,AV스위처
53,(주)세이브월드,"인천광역시 연수구 송도미래로 30, 이동 10층 1009,1010호 (송도동)",변압기 제조업 외 2 종,032-837-5997,"전력요금절감장치, 엘이디조명"
54,(주)셀트리온(제1공장),인천광역시 연수구 아카데미로 23 (송도동),생물학적 제제 제조업,032-851-1522,생물의약품(관절염치료제 등)
55,(주)셀트리온(제2공장),"인천광역시 연수구 아카데미로51번길 20 (송도동, 셀트리온)",생물학적 제제 제조업,032-850-5000,생물의약품(관절염치료제 등)
56,(주)숨비,"인천광역시 연수구 송도과학로16번길 13-25, 1층 (송도동)","유인 항공기, 항공우주선 및 보조장치 제조업 외 1 종",032-720-4561,유인및무인드론개발
57,(주)스마트링크,"인천광역시 연수구 송도과학로 32, M동 2203-1호(송도동, 송도테크노파크IT센터)",산업처리공정 제어장비 제조업,032-212-5981,블리스터 알약 포장 검사장비
58,(주)스마트맥스,"인천광역시 연수구 송도미래로 30, D동 5층 509,510 (송도동)",기타 주변기기 제조업,032-762-9555,"무한카트리지, 무한프린터"
59,(주)스완전자,"인천광역시 연수구 송도미래로 30, B동 6층 608 (송도동)",텔레비전 제조업,미기재,"TV,모니터, 투명디스플레이"
60,(주)시안솔루션,"인천광역시 연수구 송도과학로 32, M동 2603호(송도동, 송도테크노파크IT센터)",그 외 기타 의료용 기기 제조업,032-235-0708,의료기기 및 의료기구
61,(주)씨디이싸인,"인천광역시 연수구 송도미래로 30, 에이동 8층 801 (송도동)",기록매체 복제업 외 3 종,02-324-8240,"USB복제, UV인쇄, 패트인쇄"
62,(주)씨엠코리아,"인천광역시 연수구 송도미래로 30, 에이동 3층 314 (송도동)","치약, 비누 및 기타 세제 제조업",032-837-5536,"세정제, 세척제, 탈취제"
63,(주)아스타,"인천광역시 연수구 송도미래로 30, E동 9층 905 (송도동)",기타 주변기기 제조업,070-8777-7703,"인터넥피브화이트보드,멀티미디어학습장치"
64,(주)아이리스코리아,인천광역시 연수구 첨단대로60번길 29 (송도동),그 외 기타 플라스틱 제품 제조업 외 4 종,031-459-5955,"플라스틱생활용품, 생활가전"
65,(주)아이센스,인천광역시 연수구 하모니로275번길 12 (송도동),의료용품 및 기타 의약 관련제품 제조업,032-850-0900,"혈당측정용스트립, 질병진단용카트리지센서, 당화혈색소측정용카트리지,자가혈당측정바이오센서외1종 "
66,(주)아이시에스솔루션스,"인천광역시 연수구 송도미래로 30, 이동 7층 705 (송도동) 외 1필지",배전반 및 전기 자동제어반 제조업 외 2 종,032-858-5161,"전기자동제어반, 유선통신장비"
67,(주)아이씨디,"인천광역시 연수구 송도미래로 30, B동 6층 602 (송도동)",전시 및 광고용 조명장치 제조업 외 3 종,032-858-1043,LED 사이니지
68,(주)아콘스,"인천광역시 연수구 송도미래로 30, B동 B1층 B08,  B09호(송도동, 송도 BRC 스마트밸리 지식산업센터)",기기용 자동측정 및 제어장치 제조업 외 2 종,032-811-0305,자동제어시스템 DCS판넬
69,(주)앤에이치씨,"인천광역시 연수구 송도과학로 56, 송도테크노파크BT센터 524호 (송도동)",디스플레이 제조용 기계 제조업 외 1 종,미기재,디스플레이 장비
70,(주)얀센백신,인천광역시 연수구 하모니로303번길 23 (송도동),생물학적 제제 제조업,032-290-8400,간염백신
71,(주)어드밴스메탈,"인천광역시 연수구 송도미래로 30, B동 9층 03호(송도동, 송도 BRC 스마트밸리 지식산업센터)","기타 비철금속 압연, 압출 및 연신 제품 제조업",032-720-5740,귀금속 연선제품(극세선)
72,(주)에스아이티코리아,"인천광역시 연수구 송도과학로 32, M동 2103호 (송도동)",전자카드 제조업,032-441-9300,전자카드
73,(주)에스에이엘,인천광역시 연수구 송도미래로 30 (송도동) 송도 BRC 스마트밸리 지식산업센터 A동 20층 2004호,전자감지장치 제조업,032-217-5010,온도측정기
74,(주)에스엘바이젠,인천광역시 연수구 송도과학로 85 (송도동) 연세대학교 국제캠퍼스 에스엘바이젠 산학협력관,생물학적 제제 제조업,032-280-8400,세포유전자 치료제
75,(주)에스티,"인천광역시 연수구 송도미래로 30, 에이동404호(송도동 송도비알씨스마트밸리지식산업센터) (송도동)",반도체 제조용 기계 제조업,032-812-0075,반도체제조용기기
76,(주)에스피지,인천광역시 연수구 송도과학로16번길 13-30 (송도동),전동기 및 발전기 제조업 외 1 종,032-820-8200,"동력용모터, 유성감속기"
77,(주)에어로솔루션즈,"인천광역시 연수구 송도과학로16번길 13-18, 405호(송도동, 송도건원테크노큐브)",무인 항공기 및 무인 비행장치 제조업,032-214-6288,무인항공기
78,(주)에이스전자,"인천광역시 연수구 송도미래로 30, A동 9층 913 (송도동)",가정용 전기 난방기기 제조업,032-837-7710,"전기카본히터, 모기퇴치기,휴대용 세탁기"
79,(주)에이지브이에스,"인천광역시 연수구 송도미래로 30, 이동 4층 403 (송도동)",산업용 로봇 제조업,미기재,무인운반차(AGV)
80,(주)에이치에스글로벌,"인천광역시 연수구 송도과학로 32, 송도IT센터 M동 1703호, 1704호 (송도동)",화장품 제조업,032-832-0670,화장품
81,(주)에이펙스이에스씨,"인천광역시 연수구 송도미래로 30, D동 14층 1411 (송도동)",기타 전기 변환장치 제조업 외 6 종,070-7811-5869,통신장비
82,(주)에이피텍,인천광역시 연수구 송도과학로16번길 13-46 (송도동),반도체 제조용 기계 제조업 외 1 종,032-299-5014,"카메라 모듈 반도체 설비, 카메라 모듈 반도체 설비"
83,(주)엔디에스,"인천광역시 연수구 송도미래로 30, 비동 204호 (송도동)",반도체 제조용 기계 제조업,032-427-2880,"알루미늄, 스테인레스"
84,(주)엔유엔지니어링,"인천광역시 연수구 비류대로331번길 2-11, (주)엔유엔지니어링 (연수동)",일반용 전기 조명장치 제조업,032-542-9904,조명기기/통신기기
85,(주)엔티앤에스,"인천광역시 연수구 송도미래로 30, 비동 1층 104 (송도동)",디스플레이 제조용 기계 제조업,미기재,POL Attach외 10종
86,(주)엘브이에스,"인천광역시 연수구 송도미래로 30, 송도비알씨스마트밸리 지식산업센터 비동 801,802,803호 (송도동)",광학렌즈 및 광학요소 제조업,032-461-1800,화상처리용조명
87,(주)엘제이전자,인천광역시 연수구 함박뫼로50번길 59 (연수동),"전자코일, 변성기 및 기타 전자 유도자 제조업 외 1 종",032-819-1142,"전자제품, 솔레노이드"
88,(주)엠블록스,"인천광역시 연수구 송도미래로 30, 디동 13층 1310-C호(송도동, 송도 BRC 스마트밸리 지식산업센터)",산업용 로봇 제조업,미기재,무인물류이동로봇
89,(주)엠에스시스템,"인천광역시 연수구 송도미래로 30, E동 9층 907 (송도동)",방송장비 제조업,032-330-5822,"CCTV, 방송장비"
90,(주)우림월드,"인천광역시 연수구 송도미래로 30, 비407호 (송도동)","전기회로 개폐, 보호장치 제조업 외 2 종",032-327-3322,"전기회로개폐기, 자판기부품(보일러)"
91,(주)우신라보타치,"인천광역시 연수구 송도미래로 30, B동 1019호 (송도동, 송도 BRC 스마트밸리 지식산업센터) 외 9필지",완제 의약품 제조업,032-822-9849,파스류
92,(주)우영오토비,"인천광역시 연수구 송도미래로 30, 송도비알씨스마트밸리 지식산업센터 비동515호 (송도동)",산업처리공정 제어장비 제조업 외 2 종,032-761-1090,"사격통제기, 의료용복합자동밸브 등"
93,(주)원더브릿지,"인천광역시 연수구 송도미래로 30, D동 1층 105호 (송도동, 송도 BRC 스마트밸리 지식산업센터)","근무복, 작업복 및 유사의복 제조업 외 17 종",070-4108-3105,"남성용 겉옷, 여성용 겉옷, 속옷, 잠옷, 셔츠, 블라우스, 근무복, 작업보, 가죽의복, 유아용 의복, 기타 봉제의복, 편조의복, 스타킹, 양말, 기타 편조의복, 모자, 기타 의복액세서리, 핸브백, 지갑, 가방, 기타 보호용 케이스, 기타 가죽제품, 구두, 신발"
94,(주)원스타인터내셔널,"인천광역시 연수구 송도미래로 30, A동 8층 808 (송도동) 외 4필지",기타 가정용 전기기기 제조업 외 1 종,16003619,"칫솔, 전동칫솔"
95,(주)웨이드,"인천광역시 연수구 송도미래로 30, E동 17층 1702 (송도동)",반도체 제조용 기계 제조업,032-837-7760,반도체장비용 부품
96,(주)위더스테크,"인천광역시 연수구 송도미래로 30, 비동 5층 518 (송도동)",산업처리공정 제어장비 제조업,032-815-2700,공장자동화장비
97,(주)유니트원,"인천광역시 연수구 송도미래로 30, 디동 1107호(송도동, 송도 BRC 스마트밸리 지식산업센터)",일반용 전기 조명장치 제조업,032-837-5678,조명기구
98,(주)유라가,"인천광역시 연수구 송도미래로 30, B동 310호(송도동, 송도 BRC 스마트밸리 지식산업센터)",떡류 제조업,032-837-4880,떡류
99,(주)유시스,"인천광역시 연수구 송도미래로 30, B동 5층 515 (송도동)",기타 음향기기 제조업 외 5 종,032-831-9800,"구내방송장치, 폐쇠회로텔레비젼, 컴퓨터 등"
100,(주)유이에스인프라,"인천광역시 연수구 송도미래로 30, 비동 721호(송도동, 송도 BRC 스마트밸리 지식산업센터)",유선 통신장비 제조업 외 3 종,032-715-7110,CCTV용 카메라 등
101,(주)유환아이티,"인천광역시 연수구 대암로 39-1, 1층 (옥련동)",기타 음향기기 제조업 외 1 종,032-834-5500,"구내방송장치, 폐쇠회로텔레비젼"
102,(주)이노인스트루먼트,인천광역시 연수구 송도미래로 30 (송도동) E동 22층 2206호 외 1필지,유선 통신장비 제조업 외 3 종,032-837-5600,"광섬유 융착접속기, 절단기등"
103,(주)이선이엔지,"인천광역시 연수구 송도미래로 30, E동 19층 1905D (송도동)","전자기 측정, 시험 및 분석기구 제조업",041-555-5824,전기전자교육장비
104,(주)이스젠,"인천광역시 연수구 송도미래로 30, 비동 721호(송도동, 송도 BRC 스마트밸리 지식산업센터)",유선 통신장비 제조업 외 4 종,032-811-9077,"CCTV용 카메라, 가공 케이블(절연 금속선), 기간 통신 사업용 교환기전용부품, 기타 무선 통신장비용 전용 부분품, 기타 전기 변환장치 전용 부분품"
105,(주)이엔씨테크놀로지,"인천광역시 연수구 송도미래로 30, 송도비알씨스마트밸리지식산업센터 비동411,412호 (송도동)",액체 여과기 제조업,032-812-1561,선박용정수장치
106,(주)이음디앤피,"인천광역시 연수구 송도미래로 30, D동 10층 1005 (송도동)",제책업 외 1 종,032-437-4411,인쇄물 및 실사출력물
107,(주)인더블럭,"인천광역시 연수구 송도과학로 32, 테크노파크IT센터 M동 1101호 (송도동)",인형 및 장난감 제조업,070-8887-8874,자석블럭 제품 등
108,(주)인터몰드,"인천광역시 연수구 송도미래로 30, 이동 23층 2304 (송도동) 외 1필지",주형 및 금형 제조업,032-837-4876,UV 성형금형
109,(주)정도테크,"인천광역시 연수구 송도미래로 30, 디동 9층 907 (송도동)",육상 금속 골조 구조재 제조업 외 1 종,032-811-3844,accese floor가공
110,(주)정완테크,"인천광역시 연수구 송도미래로 30, B동 B1층 B01,B02 (송도동)",주형 및 금형 제조업,032-720-4516,자동차 배터리 단조금형
111,(주)제브라앤시퀀스,인천광역시 연수구 송도과학로 56 (송도동) 송도테크노파크 BT센터 522호,교통 신호장치 제조업,미기재,스마트 횡단보도
112,(주)제브라앤시퀀스,"인천광역시 연수구 송도과학로 56, 321호(송도동, 송도테크노파크 BT센터)",교통 신호장치 제조업,032-816-1216,ICT 융합 스마트 폴
113,(주)제이에스티앤랩,"인천광역시 연수구 송도미래로 30, B동 8층 808 (송도동)","탭, 밸브 및 유사장치 제조업 외 1 종",032-837-5160,유압제어밸브
114,(주)쥬비트,"인천광역시 연수구 송도미래로 30, 디동 4층 408 (송도동) 외 1필지",기억장치 제조업,032-837-5196,USB
115,(주)지앤지테크놀러지,"인천광역시 연수구 송도미래로 30, A동 1층 102, 103 (송도동)",육상 금속 골조 구조재 제조업 외 6 종,032-812-0878,"크린맥,팩카유니트,열교환기"
116,(주)지엠티,"인천광역시 연수구 송도미래로 30, 에이동 9층 901 (송도동)",기타 무선 통신장비 제조업 외 2 종,032-837-5135,"선박용네비게이션, 무선기지국제어장치"
117,(주)지원파트너스,"인천광역시 연수구 송도미래로 30, E동 5층 508 (송도동)",기타 가정용 전기기기 제조업,02-2038-4876,가정용 미용기기
118,(주)천인에이엠피,"인천광역시 연수구 송도미래로 30, B동 3층 205,318,319,320,321,322 (송도동)",전동기 및 발전기 제조업,032-815-0509,전동기(모터)
119,(주)케이디코퍼레이션,"인천광역시 연수구 하모니로275번길 34 (송도동, KD Corporation 송)","물질 검사, 측정 및 분석기구 제조업",031-499-0815,HPLC(High Performance Liquid Chromatography)
120,(주)케이앤,"인천광역시 연수구 송도미래로 30, E동 10층 1006 (송도동)",기타 주변기기 제조업 외 1 종,032-715-7238,교육과학기기
121,(주)케인아시아,"인천광역시 연수구 송도미래로 30, A동 3층 311,312 (송도동)","전자기 측정, 시험 및 분석기구 제조업",032-837-5773,전자계측기
122,(주)코아텍,"인천광역시 연수구 송도미래로 30, B동 2층 215 (송도동)",변압기 제조업 외 1 종,032-818-4450,변압기
123,(주)퀸테스,"인천광역시 연수구 송도미래로 30, D동 22층 2210 (송도동)",그 외 기타 전자부품 제조업,032-212-2130,"전자소자/부품용 원재료 소재, MEMS 소자용 박막기판소재 외"
124,(주)큐엘,인천광역시 연수구 송도미래로 30 (송도동) 송도 BRC 스마트밸리 지식산업센터 D동 2206호,전시 및 광고용 조명장치 제조업,032-201-9577,"조명기기, 전기전자부품, 안내전광판"
125,(주)크라이저,인천광역시 연수구 송도미래로 30 (송도동) 송도 BRC 스마트밸리 지식산업센터 A동 206호,컴퓨터 모니터 제조업,070-7098-1475,"키오스크&무인시스템, 터치PC모니터"
126,(주)태인스포먼트,"인천광역시 연수구 송도미래로 30, 에이동 B1층 B02 (송도동) 외 1필지","체조, 육상 및 체력단련용 장비 제조업 외 2 종",032-837-5421,"역도용기구, 경기용품, 전광판"
127,(주)탭탭,인천광역시 연수구 송도미래로 30 (송도동) 송도 BRC 스마트밸리 지식산업센터 E동 20층 2002호,그 외 기타 일반목적용 기계 제조업 외 2 종,032-721-5156,"절수시스템, 키오스크"
128,(주)파블로항공,"인천광역시 연수구 송도미래로 30, A동 2005호(송도동, 송도 BRC 스마트밸리 지식산업센터) 외 1필지",무인 항공기 및 무인 비행장치 제조업,미기재,무인항공기(드론)
129,(주)포토메카닉,"인천광역시 연수구 송도과학로 56, 송도BT센터 914호 (송도동)","기타 측정, 시험, 항해, 제어 및 정밀기기 제조업 외 2 종",032-822-5780,"진동측정 및 솔루션 시스템, 가속도센서"
130,(주)프로센,"인천광역시 연수구 송도과학로 32, 송도테크노파크 IT센터 M동 1001호 (송도동)","물질 검사, 측정 및 분석기구 제조업",032-811-3457,측정기기
131,(주)플러그린,"인천광역시 연수구 송도미래로 30, D동 16층 1609호(송도동, 송도 BRC 스마트밸리 지식산업센터)",산업용 송풍기 및 배기장치 제조업,032-812-2210,산업용 송풍기 및 배기장치 제조
132,(주)피앤테크놀로지,"인천광역시 연수구 송도미래로 30, D동 11층 1103 (송도동)",전자부품 실장기판 제조업,032-210-6627,"PROCB CARD, LOAD BOARD"
133,(주)피에스유코리아,"인천광역시 연수구 송도미래로 30, 에이동 9층 916 (송도동)",기타 전기 변환장치 제조업 외 1 종,032-815-0533,전원공급장치
134,(주)피플그룹,"인천광역시 연수구 송도과학로 70, 1105호(송도동)",기타 구조용 금속제품 제조업,02-566-1214,"금속제 조립식 건물 부품, 금속제 조립식 세트"
135,(주)한국고압,"인천광역시 연수구 송도미래로 30, 에이동 9층 911 (송도동)","물질 검사, 측정 및 분석기구 제조업 외 1 종",032-816-3660,"시험장비, 가스압축기"
136,(주)한국엠아이씨,"인천광역시 연수구 송도과학로 32, 송도테크노파크 IT센터 M동 804호 (송도동)",기타 절연선 및 케이블 제조업,032-818-4716,M.I heating cable
137,(주)휴마테크,"인천광역시 연수구 송도미래로 30, D동 10층 1010호(송도동, 송도 BRC 스마트밸리 지식산업센터)","전자기 측정, 시험 및 분석기구 제조업 외 1 종",032-272-4000,미세먼지측정기
138,DELTA TEK,"인천광역시 연수구 송도미래로 30, 에이동 13층 1304 (송도동)",전자부품 실장기판 제조업,032-837-5891,"스프정렬기 콘트롤러, 오일도포량측정기 등"
139,강유시스템(주),"인천광역시 연수구 송도미래로 30, B동 3층 304 (송도동)",그 외 기타 1차 철강 제조업,032-837-5687,LM GUIDE
140,거산전설(주),"인천광역시 연수구 인권로9번길 24 (옥련동) 거산빌딩 2층, 3층",교통 신호장치 제조업,032-833-3565,"교통안전시스템, 교통안전장치, SI"
141,고은엔지니어링,"인천광역시 연수구 송도미래로 30, A동 21층 2109 (송도동)",컴퓨터 제조업,032-720-5455,산업용컴퓨터 및 주변기기
142,글란츠(주),"인천광역시 연수구 송도과학로16번길 13-18, 송도건원테크노큐브 504호 (송도동)",전시 및 광고용 조명장치 제조업 외 2 종,070-8680-2626,조명기구
143,남부산업,"인천광역시 연수구 벚꽃로82번길 14, 1층 (청학동)","금속 문, 창, 셔터 및 관련제품 제조업 외 1 종",032-872-5425,"금속창호, 금속구조물, 금속조형물"
144,농가식품,인천광역시 연수구 청량로68번길 9 (동춘동),김치류 제조업 외 1 종,032-832-5813,김치류
145,농업회사법인 그린에이트(주),"인천광역시 연수구 청량로 123, 2층(옥련동)",농업 및 임업용 기계 제조업,032-851-1282,식물재배장치
146,뉴인테크(주),"인천광역시 연수구 송도과학로 56, 504호(송도동, 송도테크노파크 BT센터)",유선 통신장비 제조업 외 5 종,032-812-6598,"영상감시장치, 보안용 카메라, 산업용 L2 스위치, 컴퓨터, 드론 등"
147,니브스코리아(주),"인천광역시 연수구 송도과학로 32, 송도테크노파크 IT센터 M동 2301호 (송도동)",속도계 및 적산계기 제조업 외 2 종,032-209-8588,유량계외
148,다우엘이디(주),"인천광역시 연수구 송도미래로 30, 비동 9층 907, 908, 909 (송도동)",일반용 전기 조명장치 제조업 외 2 종,032-528-5674,"LED등기구, 교통신호장치, 조명제어장치"
149,대동도어주식회사,인천광역시 연수구 첨단대로124번길 64 (송도동),그 외 자동차용 신품 부품 제조업 외 1 종,031-680-8200,"자동차부품(Door, Latch등)"
150,대우냉난방(주),인천광역시 연수구 한나루로86번길 32-6 (옥련동),산업용 난방보일러 및 방열기 제조업,032-831-7070,"방열기,온수분배기"
151,도림사,인천광역시 연수구 청학로6번길 30 (청학동),간판 및 광고물 제조업,032-833-8216,"현수막,간판,기념품"
