순번,회사명,공장대표주소(도로명),업종명,전화번호,종업원수,생산품
60,(주)티이바이오스,대전광역시 서구 도마동 380-1번지 배재대 산학협력관 105,기타 기초 유기화학 물질 제조업,042-520-5806,4,스캐폴드(고분자화학물질)
61,(주)펀아이티,"대전광역시 서구 도산로403번길 21, 550,551,552호 (탄방동)",컴퓨터 제조업,070-7098-2382,11,레미콘
62,(주)프레이즈,"대전광역시 서구 동서대로 940, 제2동 102호 (변동)",기타 음향기기 제조업,042-476-9116,7,마이크
63,(주)필라민디자인,"대전광역시 서구 탄방로 62, 1층 (탄방동)",주방용 및 음식점용 목재가구 제조업 외 1 종,042-537-7172,9,"주방가구, 신발장"
64,(주)한국 바이오팜,대전광역시 서구 벌곡로 416-54 (평촌동),반려동물용 사료 제조업 외 2 종,,5,버섯 생산용 배지
65,(주)헬로우미스터리,"대전광역시 서구 도안북로93번길 25 (도안동) 304호 (도안동, 센터빌딩)",일반용 전기 조명장치 제조업,070-3397-3953,4,LED램프
66,(주)형지엘리트,대전광역시 서구 도솔로 243 (내동),"근무복, 작업복 및 유사의복 제조업 외 2 종",032-454-8474,3,"근무복, 작업복, 유니폼, 피복, 겉옷"
67,(합)대원자동차,"대전광역시 서구 도산로181번길 21 (변동, 대원자동차)",건설 및 채광용 기계장비 제조업,042-523-9093,45,건설기계정비
68,5 18민주화운동부상자회,"대전광역시 서구 도산로 113, 동문빌딩 3층 (도마동)",편조의복 제조업 외 7 종,062-714-2518,0,"군 방상내피, 팬티, 동내의, 점퍼 , 근무복, 작업복, 체육복, 의류, 겉옷, 셔츠,블라우스, 조끼"
69,개업상사,"대전광역시 서구 갈마로203번길 40, 지하1층 (괴정동)",간판 및 광고물 제조업,042-533-1444,1,승강장 표지판 
70,고향식품,대전광역시 서구 사진개길 44-13 (흑석동),김치류 제조업 외 1 종,042-537-3317,7,김치류
71,골드라인,"대전광역시 서구 배재로 122, 1층 (도마동) 외 2필지",핸드백 및 지갑 제조업 외 4 종,042-534-4673,6,"가방, 매트, 방석,벨트,배낭,커버"
72,광성에그로텍,대전광역시 서구 계룡로232번길 79 (월평동),농업 및 임업용 기계 제조업,042-524-9966,19,농업용분무기
73,금강실리테크(주),대전광역시 서구 영골길 81 (오동),합성수지 및 기타 플라스틱 물질 제조업 외 3 종,042-584-3241,9,"실리콘수지, 소포제"
74,금강인쇄사,대전광역시 서구 만년남로11번길 34 (만년동),경 인쇄업 외 2 종,042-484-7403,6,경인쇄물
75,금강인쇄정보,대전광역시 서구 갈마로147번길 5-26 (갈마동),경 인쇄업 외 1 종,042-526-0311,6,경인쇄
76,노아외식산업(주),"대전광역시 서구 정림서로 206, 지상1층,2층, 지하1층 (정림동)",떡류 제조업,042-587-3200,14,떡류
77,농업꾸지뽕사업단(주),대전광역시 서구 괴곡길 575-18 (괴곡동),차류 가공업,042-585-9208,2,"꾸지뽕차, 분말 등"
78,농업회사법인 영식품 주식회사,대전광역시 서구 우명길 33-8 (우명동),육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,042-581-2144,16,돈육
79,농업회사법인 유선식품 주식회사,"대전광역시 서구 우명길 33-8, 유선식품(주) (우명동)",가금류 가공 및 저장 처리업,042-824-3240,18,"정육,유선신선닭"
80,농업회사법인 주식회사 지세븐,"대전광역시 서구 가장로 144, 104호(가장동)",건강기능식품 제조업,042-537-8993,3,"꾸지뽕 음료, 꾸지뽕 환, 꾸지뽕 티백, 와송 환, 와송 가루, 와송 효소, 마카 환, 마카 가루"
81,다우정보(주),"대전광역시 서구 한밭대로 705, 3층 (월평동)",방송장비 제조업 외 1 종,042-538-2002,36,보안용카메라
82,대광전자,대전광역시 서구 벌곡로 416-54 (평촌동),전자축전기제조업,042-585-2082,14,콘덴서
83,대성Q&B,대전광역시 서구 도마6길 125 (도마동),침구 및 관련제품 제조업,042-533-6921,12,침구류
84,대승기전(주),"대전광역시 서구 당고개길 103 (평촌동, 평촌동제조업소)",배전반 및 전기 자동제어반 제조업,041-736-1551,4,"수ㆍ배전반, 제어반"
85,대암(주),"대전광역시 서구 문정로170번길 7-13, 1층 (둔산동)",경 인쇄업 외 3 종,042-635-5980,5,"현수막,실사출력물,간판등"
86,대전에이티에스 주식회사,"대전광역시 서구 구봉산북로7번길 52-20, 201호(관저동, 쁄라라빌딩)",교통 신호장치 제조업 외 4 종,070-4786-0081,1,"무인카메라, 교통신호기, 교통신호제어기, 전기경보 및 신호장치"
87,대한민국상이군경회 서울시지부,대전광역시 서구 월평로90번길 28 (월평동),"근무복, 작업복 및 유사의복 제조업 외 3 종",042-471-0056,5,"환의, 시트, 수술복"
88,덕산이앤씨(주),"대전광역시 서구 벌곡로 63, 1층 일부, 2층 (우명동)",일반용 도료 및 관련제품 제조업 외 4 종,042-624-6464,5,"도로미끄럼방지포장재, 석유정제물, 아스콘개질재, 탄소섬유, 도막형바닥재"
89,동양엔지리어링,대전광역시 서구 신갈마로195번길 70 (갈마동),메모리용 전자집적회로 제조업 외 1 종,042-531-0498,7,집적회로
90,드론미디어,"대전광역시 서구 계백로 1260, 지하 1층 (정림동)",무인 항공기 및 무인 비행장치 제조업,042-221-7955,2,드론
91,드림푸드 빵굽네,대전광역시 서구 언목재길 391 (흑석동),빵류 제조업,042-581-5282,8,제과 제빵
92,디자인라이팅,"대전광역시 서구 장안로 62, 1층 (흑석동)",육상 금속 골조 구조재 제조업 외 5 종,042-489-7784,3,산업용조명기구
93,라인,대전광역시 서구 괴곡길 168 (괴곡동),기타 목재가구 제조업,,2,파티클보드 가공품 일체
94,마이팜영농조합법인,대전광역시 서구 평촌동 산 12-20번지,기타 과실ㆍ채소 가공 및 저장 처리업,,3,매실농축액 및 추출액
95,미래정보산업(주),대전광역시 서구 동서대로1006번길 108 (변동),기타 음향기기 제조업 외 12 종,042-532-1940,15,음향기기. CCTV
96,미호커텐,"대전광역시 서구 도마6길 184, 1층 (도마동)",커튼 및 유사제품 제조업,042-274-3005,1,"커튼, 블라인드"
97,바이오살,"대전광역시 서구 도안북로 88, O1관 203호(도안동) 외 1필지",화장품 제조업 외 1 종,042-933-5601,3,"비누, 마스크"
98,보성통신(주),"대전광역시 서구 가장로 10 (괴정동, 보성통신)",전시 및 광고용 조명장치 제조업 외 3 종,042-531-6585,2,"cctv, vcm"
99,부원공업(주),대전광역시 서구 벌곡로 1346 (가수원동) 외 4필지,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 2 종,042-542-0181,9,"콘크리트제품, 콘크리트제품, 원심력철근콘크리트관"
100,브이애드컴퍼니,"대전광역시 서구 유등로 515-13, 201호 (용문동)",간판 및 광고물 제조업 외 3 종,,3,"태양광가로등, LED경관조명기구, 도로명판, 건물번호판, 교통안전표지"
101,브이티시스템즈,"대전광역시 서구 도산로452번길 21, 지하1층 (용문동)",일반철물 제조업,070-4242-4447,2,접지봉
102,사단법인 한국장애인기업협회 피복사업단,"대전광역시 서구 갈마역로 155, 5층 501 (월평동)","근무복, 작업복 및 유사의복 제조업 외 11 종",042-489-5511,18,
103,삼성산업사,대전광역시 서구 도솔로 530 (용문동),아이스크림 및 기타 식용빙과류 제조업,042-523-1116,42,아이스크림 및 빙과류
104,삼영정공,대전광역시 서구 장전길 165 (오동),액체 펌프 제조업,042-626-0008,4,산업용액상펌프 및 부품
105,삼창산업사,대전광역시 서구 장전길 168-12 (오동),"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종",042-583-4900,4,벽돌
106,상왕기업주식회사,대전광역시 서구 도솔로505번길 20 (용문동),그 외 기타 분류 안된 금속 가공 제품 제조업 외 2 종,042-533-7341,13,"금속재기타울타리, 보행신호음성안내보조장치"
107,서광전기통신공사(주),"대전광역시 서구 사진개길 19-13, 1층,2층 일부(흑석동, 서광전기통신공사(주)E동)",그 외 기타 플라스틱 제품 제조업 외 3 종,042-522-1834,3,"전선지지대,암타이봉, 리튬이차전지,클램프류"
108,선영산업,대전광역시 서구 괴정로166번길 30 (가장동),기타의복액세서리제조업,042-523-4252,2,넥타이
109,성산실업,대전광역시 서구 복수남로11번길 75 (복수동),표면광택제 및 실내가향제 제조업 외 3 종,042-585-0089,3,"탈취제,방향제"
110,성화지관,대전광역시 서구 장안로 84-52 (흑석동),위생용 종이제품 제조업,042-582-2100,7,"지관, 키친타올"
111,세기산업,"대전광역시 서구 벌곡로1328번안길 99, 세기산업 (가수원동) 외 1필지",골판지 제조업,042-541-0170,1,골판지상자
112,세브란스까운사,"대전광역시 서구 계룡로 670-1, 303호 (용문동)","근무복, 작업복 및 유사의복 제조업 외 2 종",042-534-6614,4,근무복
113,소망푸드,대전광역시 서구 유등로 19 (복수동),육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,042-584-6700,2,포장육
114,수메디&테크,"대전광역시 서구 계룡로491번길 90, 5층 501호 (둔산동)",전시용 모형 제조업,042-483-8851,2,전시용 모형
115,수양건설(주),대전광역시 서구 변동중로45번길 15 (변동),"금속 문, 창, 셔터 및 관련제품 제조업",042-533-6619,0,창호
116,승일미디어그룹 주식회사,"대전광역시 서구 계룡로326번길 3, 3층 (갈마동)",기타 인쇄업,1800-3673,5,"책, 포스터, 리플릿"
117,시온디자인,대전광역시 서구 조달청길 186 (도마동),간판 및 광고물 제조업,,1,실내사인 광고물
118,쌍용실업,"대전광역시 서구 유등로465번길 21 (가장동, 신축(2010.11.17))",그 외 기타 봉제의복 제조업,042-534-3850,90,"부라우스, Y-셔츠"
119,아이티즈,"대전광역시 서구 도안북로 88, 창업진흥센터 O1-401호,407호,420호 (도안동, 목원대학교)","전자기 측정, 시험 및 분석기구 제조업 외 3 종",042-822-0169,8,"로봇, 교육용기자재"
120,아톰월드(주),대전광역시 서구 사기점골길 45-14 (평촌동),유압기기 제조업 외 1 종,042-525-2644,5,"그리스 주입기기, 조립피트형 주차시스템"
121,어스테크코리아,대전광역시 서구 유등로 495-1 (용문동),그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,042-532-5357,10,피뢰접지자재
122,에스엠테크(주),"대전광역시 서구 신갈마로 8-22, 스마트캐슬 1층 (내동)",기타 음향기기 제조업,042-538-9390,4,스피커
123,에스프리가구,대전광역시 서구 벌곡로 416-52 (평촌동),기타 목재가구 제조업,042-581-7747,7,사무용 가구
124,에이치피씨코리아(주),"대전광역시 서구 대덕대로 408, 테크노월드 712, 713, 727, 739, 740, 741, 742, 746, 747호 (만년동)",컴퓨터 제조업,042-610-6131,8,컴퓨터 및 서버
125,에이티아이,대전광역시 서구 가수원동 353-3번지,배전반 및 전기 자동제어반 제조업,042-541-2220,10,배전반
126,엑트바이오(주),"대전광역시 서구 월평동로 5-9, 지하1층 101 (갈마동)",기타 기초 유기화학 물질 제조업,1670-7789,4,"살균제, 세정제"
127,엠기술연구소,"대전광역시 서구 도안북로 88, O동 5층 506호(도안동, 목원대학교)(도안동, 목원대학교)",기타 조명장치 제조업 외 1 종,,0,태양광 LED 로프
128,엠제이하이테크(주),대전광역시 서구 장안로 68 (흑석동),구조용 금속 판제품 및 공작물 제조업 외 6 종,042-535-2222,4,이동식화장실
129,연광복지재단,"대전광역시 서구 영골길 159-1, 연광실업(오동, 사회복지법인 연광원)",남자용 겉옷 제조업 외 6 종,042-580-2890,11,"운동복, 근무복, 군용 피복, 가방"
130,오김치(주),대전광역시 서구 복수남로12번길 17 (복수동),김치류 제조업 외 1 종,042-542-0187,12,김치
131,오동산업,대전광역시 서구 정림서로138번길 87 (정림동),기타 목재가구 제조업 외 1 종,042-582-3245,4,온돌침대
132,오성레이저테크(주),"대전광역시 서구 유등로661번길 7, 203호 (탄방동)",속도계 및 적산계기 제조업 외 3 종,042-825-5071,3,이동식 무인 속도 측정기
133,오케이디자인,"대전광역시 서구 동서대로 1019-1, 1층 (내동)",간판 및 광고물 제조업 외 1 종,042-537-0472,2,"간판프레임, 펜스"
134,우명동 참기름마을 영농조합법인,대전광역시 서구 우명길 89 (우명동),식물성 유지 제조업,042-581-1837,1,"참기름, 들기름"
135,워터하이테크(주),대전광역시 서구 도마12길 30 (도마동),그 외 기타 특수목적용 기계 제조업 외 1 종,042-534-5913,3,"자동약품주입기, 무동력관내혼화장치"
136,월드정보통신(주),"대전광역시 서구 계룡로 318, 3층(갈마동)",방송장비 제조업 외 4 종,042-482-1472,10,"구내방송장치, 전광판, 출입통제시스템, 폐쇄회로 텔레비전시스템 등"
137,윈도우마스타,대전광역시 서구 원매노길 22 (매노동),플라스틱 창호 제조업,042-541-0091,4,PVC창호
138,유니비젼(주),대전광역시 서구 도산로 452 (용문동),옥외 광고업 외 1 종,042-531-3001,7,"광고판,정보표지,현수막 등"
139,유진기획,대전광역시 서구 중반7길 11(변동),간판 및 광고물 제조업 외 7 종,,1,"옥외광고물, 조경시설물"
140,윤기획,"대전광역시 서구 탄방로 72-2, 1층 (탄방동)",간판 및 광고물 제조업 외 2 종,042-487-0934,1,"간판, 현수막"
141,이엠트리,대전광역시 서구 갈마로147번길 5-8 (갈마동) 1층,유기질 비료 및 상토 제조업 외 3 종,,2,"미생물(유산균, 효모) 원액"
142,인성산업개발 주식회사,"대전광역시 서구 원도안로25번길 70, 1층 115호,116호 (가수원동)",화학 살균.살충제 및 농업용 약제 제조업 외 2 종,042-543-2274,3,비료 및 미생물제제
143,인터엠음향정보통신(주),대전광역시 서구 도산로 449 (탄방동),유선 통신장비 제조업 외 4 종,042-487-0193,18,"음향시설,스피커"
144,장수식품,대전광역시 서구 계룡로662번길 44 (용문동),육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,042-523-9045,3,족발
145,장태산참숯가마,대전광역시 서구 장안로 326 (장안동) (총 3 필지) 외 2필지,바이오매스계 기초 화학물질 제조업 외 2 종,042-535-8990,8,"숯(목탄), 목초액"
146,재경실업,"대전광역시 서구 제비네8길 6, 1층(도마동, 안남주택)",남자용 겉옷 제조업 외 4 종,042-282-5486,7,운동복
147,정원산업사,대전광역시 서구 무도리길 305 (원정동),어망 및 기타 끈 가공품 제조업,042-585-6522,7,방충망
148,제닉스밴(주),대전광역시 서구 도솔로412번길 58 (탄방동),컴퓨터입·출력장치및기타주변기기제조업,042-535-1640,11,차량강도에방시스템
149,주식회사 근우드,대전광역시 서구 벌곡로1384번길 77 (가수원동),기타 목재가구 제조업 외 4 종,042-543-9685,2,가구
150,주식회사 다주,대전광역시 서구 벌곡로 63 (우명동),그 외 기타 분류 안된 비금속 광물제품 제조업,,3,미끄럼방지포장재
151,주식회사 대경이앤씨,"대전광역시 서구 월드컵대로484번길 147-42, 1층(월평동)",교통 신호장치 제조업 외 4 종,042-710-5790,2,"보행신호 음성안내 보조장치, 전광판, 신호등, 교통신호제어기"
152,주식회사 대광인더스트리,대전광역시 서구 벌곡로 371 (평촌동),포장용 플라스틱 성형용기 제조업,042-586-1880,26,"의료폐기물전용용기, 플라스틱생활용품"
153,주식회사 대라,대전광역시 서구 배재로 225 (변동) 외 5필지,그 외 기타 나무제품 제조업 외 4 종,042-527-8454,10,"목재데크,금속울타리부품"
154,주식회사 도어피플,"대전광역시 서구 가수원로65번길 26, 주식회사 도어피플(가수원동)","금속 문, 창, 셔터 및 관련제품 제조업",042-286-0726,2,중문
155,주식회사 동양지티에스,대전광역시 서구 사기점골길 130 (평촌동),구조용 금속 판제품 및 공작물 제조업 외 1 종,042-585-8870,3,금속패널
156,주식회사 둥지,"대전광역시 서구 정림로 56-11, 2층(정림동)",남자용 겉옷 제조업 외 4 종,042-581-2204,1,"운동복, 보호용의류, 유니폼, 코트 및 재킷"
157,주식회사 리즈너스,"대전광역시 서구 도솔로 256-1, 2층 (내동)",기체 여과기 제조업 외 18 종,042-522-0719,3,플라즈마 방식의 공기살균기
158,주식회사 리하이브,"대전광역시 서구 둔지로 48, 8층, 806호(둔산동, RM둔산빌딩)",그 외 기타 분류 안된 화학제품 제조업 외 2 종,042-536-1213,2,"조습제, 탈취제, 전시용모형"
159,주식회사 명품시스템,"대전광역시 서구 계룡로 408, 2층 (갈마동)",방송장비 제조업 외 5 종,042-524-0164,13,"CCTV, 방송장비, 출입통제시스템, 전광판"
160,주식회사 부광패널,"대전광역시 서구 장안로 26-22, 주식회사 부광패널 (흑석동)",구조용 금속 판제품 및 공작물 제조업,,1,알루미늄 복합패널
161,주식회사 비노스트링,"대전광역시 서구 둔산대로117번길 44, 1209호 (만년동, 엑스포오피스텔)",기타 악기 및 전자 악기 제조업,042-823-9168,3,"현악기(바이올린, 비올라, 첼로, 콘트라베이스 등))"
162,주식회사 선양소주,대전광역시 서구 영골길 158 (오동),소주 제조업,042-580-1842,169,소주
163,주식회사 아워스,"대전광역시 서구 도산로 485, 4층 (탄방동)",기기용 자동측정 및 제어장치 제조업 외 40 종,042-273-4268,13,원격접속장치
164,주식회사 에스제이솔루션,"대전광역시 서구 도안북로 88, 창업진흥센터 오1관 308호(도안동, 목원대학교)",일반용 전기 조명장치 제조업 외 3 종,070-7931-7963,4,"전기 조명기구, LED 조명기구, 조명기구, 조명기구"
165,주식회사 에이원소토,대전광역시 서구 대덕대로168번길 74 (갈마동) 502호,기체 여과기 제조업,,2,"공기살균기, 공기청정기"
166,주식회사 엔아이티,대전광역시 서구 괴정로165번길 30-10 (용문동),일반용 전기 조명장치 제조업 외 2 종,042-719-7708,3,"태양광 도로표지병, 전기식 도로표지병, 일바 경관조명, 일반 도료"
167,주식회사 영기획,"대전광역시 서구 도산로 419-26, 광고빌딩 4층 (주)영기획 (탄방동)",간판 및 광고물 제조업,042-525-8724,10,"광고기획 및 간판, 현수막 "
