회사명,유형,사업자등록번호,업종번호,업종명,최초등록일,지번주소,도로명주소,위도,경도,전화번호,팩스번호,대표자이름,종업원수,홈페이지주소
(주)비젼텍,법인,3088140109,"28422, 28410, 28429",일반용 전기 조명장치 제조업 외 2 종,2014-02-28,대전광역시 유성구 대정동 516-4번지,대전광역시 유성구 원계산로77번길 16 (대정동),36.32064891,127.305825,,042-367-7008,김범상,2,
(주)비투코리아 대전로봇센터,법인,6628502254,"29280, ",산업용 로봇 제조업,2023-04-07,대전광역시 유성구 노은동 555-1 월가빌딩 2층 201호,"대전광역시 유성구 왕가봉로24번길 2, 2층 201호(노은동, 월가빌딩)",36.36536189,127.3155916,031-214-0814,,이창하,12,
(주)삼삼전기,법인,1748601250,"28123, 25112, 28303, 28909",배전반 및 전기 자동제어반 제조업 외 3 종,2020-11-23,대전광역시 유성구 학하동 763-6 201호,대전광역시 유성구 학하북로 23-15 (학하동) 201호,36.33873241,127.3128499,042-825-3432,042-825-3442,원혜경,5,
(주)세주엔지니어링,법인,3148120622,"26299, 26295, 26429",그 외 기타 전자부품 제조업 외 2 종,1999-12-29,대전광역시 유성구 구암동 611-1번지 2층,"대전광역시 유성구 유성대로654번길 142, 2층 (구암동)",36.35038514,127.3367571,042-825-6852,042-823-9169,이원배,4,www.safe-drive.com
(주)솔버아이티,법인,3148195900,"58222, ",응용 소프트웨어 개발 및 공급업,2020-06-18,대전광역시 유성구 노은동 534-18 2층,대전광역시 유성구 노은동로75번길 34 (노은동) 2층,36.36742377,127.32158,044-867-6116,044-867-6705,이동한,6,
(주)씨에스초음파세척기,법인,1768601732,"28909, ",그 외 기타 전기장비 제조업,2020-01-03,대전광역시 유성구 장대동 229-52번지,대전광역시 유성구 월드컵대로 49-10 (장대동),36.36213249,127.327799,,042-822-3401,이인성,2,
(주)아름씨엔씨,법인,3058604021,"26421, 26410, 26429, 26519, 28903",방송장비 제조업 외 4 종,2018-12-09,대전광역시 유성구 복용동 619-7번지,대전광역시 유성구 복용남로 89 (복용동),36.33927949,127.3155298,042-635-7961,042-627-4504,김형일,4,
(주)아이디,법인,3058632740,"26310, 26410",컴퓨터 제조업 외 1 종,2024-12-04,대전광역시 유성구 복용동 236-3번지 4층 430호,대전광역시 유성구 복용동 236-3번지 4층 430호,36.33796267,127.3216903,042-223-2024,,박근영,4,
(주)아이엘컴퍼니,법인,4808602310,"28423, 28901",전시 및 광고용 조명장치 제조업 외 1 종,2023-06-15,대전광역시 유성구 어은동 116 3층,"대전광역시 유성구 대학로 227, 3층 (어은동)",36.36247002,127.358105,,,신견지,2,
(주)아이피아이테크,법인,3358600050,"22291, 22292",플라스틱 접착처리 제품 제조업 외 1 종,2017-01-24,대전광역시 유성구 문지동 660-4번지,대전광역시 유성구 문지로 272-27 (문지동),36.3914429,127.4084308,042-861-8999,042-867-8999,이태석,8,
(주)아이피티씨,법인,3148629287,"27219, ","기타 측정, 시험, 항해, 제어 및 정밀기기 제조업",2021-09-06,대전광역시 유성구 신동 657-6,대전광역시 유성구 국제과학2로 2(신동),36.47477339,127.3682855,042-867-5791,,이범제,43,
(주)에르코스,법인,3058634656,"10793, 10713",수프 및 균질화식품 제조업 외 1 종,2018-10-08,대전광역시 유성구 원신흥동 524-1번지,대전광역시 유성구 도안동로 329 (원신흥동),36.33468158,127.34755,070-7816-5395,070-4771-7126,김슬기,29,www.lusol.co.kr
(주)에스엠텍,법인,3148625471,"29271, 26219, 27213, 27219, 29221, 29223",반도체 제조용 기계 제조업 외 5 종,2021-03-02,대전광역시 유성구 신동 95-6 (주)에스엠텍,대전광역시 유성구 국제과학2로 36 (신동) (주)에스엠텍,36.47478193,127.3647926,042-824-4413,,장인구,14,
(주)에스유아이티,법인,3148616818,"33932, ",전시용 모형 제조업,2024-05-22,대전광역시 유성구 지족동 1091-3 대영빌딩 301호,"대전광역시 유성구 지족북로 49-3, 대영빌딩 301호 (지족동)",36.38925019,127.3040242,042-488-0099,042-537-0099,김선국,7,
(주)에이티비,법인,2388601078,"29271, ",반도체 제조용 기계 제조업,2021-05-13,대전광역시 유성구 둔곡동 산19-1 3층 (주)에이티비,"대전광역시 유성구 국제과학11로 18, 3층 (주)에이티비 (둔곡동)",36.46130364,127.36218,042-935-9972,,이승섭,5,
(주)엔텍코아,법인,3148616744,"28121, 26295, 27212, 27213, 27215, 28122, 28123","전기회로 개폐, 보호장치 제조업 외 6 종",2015-11-20,대전광역시 유성구 지족동 1047-4번지,대전광역시 유성구 지족로148번길 5-34 (지족동),36.37822535,127.303565,042-861-0600,042-861-0601,안병주,22,
(주)엔텍코아,법인,3148616744,"28121, 26295, 27212, 27213, 27215, 28122, 28123","전기회로 개폐, 보호장치 제조업 외 6 종",2022-08-26,대전광역시 유성구 봉산동 697,대전광역시 유성구 금남구즉로 1359-22(봉산동),36.44694184,127.385299,042-861-0600,042-861-0601,안병주,19,
(주)엠에스엘,법인,4238700640,"27112, ",전기식 진단 및 요법 기기 제조업,2024-12-20,"대전광역시 유성구 복용동 551 318호, 319호","대전광역시 유성구 학하로159번길 12, 318호, 319호 (복용동)",36.34652888,127.3114001,042-936-2017,0504-142-7615,정연호 최상동,6,www.medsyslab.co.kr
(주)엠지앤,법인,8648801191,"25119, 18111, 18113, 25111, 25112, 25994, 25999, 28423, 33910",기타 구조용 금속제품 제조업 외 8 종,2022-05-26,대전광역시 유성구 화암동 173-4,대전광역시 유성구 대덕대로 953(화암동),36.41391808,127.3778539,042-524-6392,042-524-6393,박경섭,4,
(주)오이네트웍스,법인,3148667092,"58222, ",응용 소프트웨어 개발 및 공급업,2021-09-03,대전광역시 유성구 노은동 534-18 노은빌딩 301호,"대전광역시 유성구 노은동로75번길 34, 301호(노은동, 노은빌딩)",36.36742377,127.32158,042-823-2400,042-823-2405,강혜숙,5,
(주)와이파이브,법인,3148632759,"26429, 28901",기타 무선 통신장비 제조업 외 1 종,2020-11-03,대전광역시 유성구 궁동 482-7 701호 (인산빌딩),대전광역시 유성구 대학로 82 (궁동) 701호 (인산빌딩),36.36067569,127.344637,042-822-8502,070-4325-8502,성태경,11,www.wifive.co.kr
(주)우리원에너지,법인,3148653623,"25121, 25999",산업용 난방보일러 및 방열기 제조업 외 1 종,2023-09-22,대전광역시 유성구 학하동 771-4,대전광역시 유성구 학하동로63번길 63 (학하동),36.33788067,127.313626,042-533-0990,042-935-0993,신문식,2,www.e-urione.com
(주)유진산업,법인,3148638108,"23112, 22223, 23119",안전유리 제조업 외 2 종,2014-10-15,대전광역시 유성구 대정동 67-1번지,대전광역시 유성구 한우물로 160 (대정동),36.31495631,127.3333818,042-546-0601,,한인수,22,
(주)인바이오넷,법인,3148115610,"20312, 20313, 20495, 20499, 21102",복합비료 및 기타 화학비료 제조업 외 4 종,2000-11-09,대전광역시 유성구 전민동 461-6번지,"대전광역시 유성구 유성대로 1646 (전민동, 한남대대덕밸리캠퍼스)",36.39955563,127.3907663,042-866-9114,042-866-9111,구본탁,39,
(주)인터뷰,법인,3838101897,"10791, ",커피 가공업,2021-06-21,대전광역시 유성구 학하동 716-3,대전광역시 유성구 학하동 학하중앙로149번길 27,36.34155996,127.3093049,042-716-3305,042-716-0001,"권순창,박주영",4,
(주)정채움,법인,3148645574,"41122, ",제조업 및 유사 산업용 건물 건설업,2021-12-27,대전광역시 유성구 장대동 169-7 정채움,"대전광역시 유성구 월드컵대로51번길 51-4, 정채움(장대동)",36.36145043,127.329922,042-624-7287,042-623-7287,정한철,20,
(주)제이씨텍,법인,3058630043,"29210, 25944",농업 및 임업용 기계 제조업 외 1 종,2023-04-24,대전광역시 유성구 복용동 236-3 F506호 F506호,"대전광역시 유성구 복용동로 43, F506호 (복용동) F506호",36.33796267,127.3216903,070-7527-6304,042-625-0367,정태준,4,
(주)제이에스바이오,법인,7108601513,"29199, 25924, 27199, 31999, 32091",그 외 기타 일반목적용 기계 제조업 외 4 종,2018-01-18,대전광역시 유성구 학하동 586-1번지,대전광역시 유성구 학하동로64번길 54 (학하동),36.33648439,127.3121679,042-826-8645,042-826-8465,윤상급,8,
(주)주안전기,법인,1148725261,"28123, 28903, 31202",배전반 및 전기 자동제어반 제조업 외 2 종,2020-05-06,대전광역시 유성구 교촌동 643-5번지,대전광역시 유성구 교촌로6번길 9 (교촌동),36.30022428,127.3148239,042-252-2018,042-252-2019,하창규,6,
(주)진미식품,법인,3148101299,"10743, ",장류 제조업,1981-05-11,대전광역시 유성구 용계동 327번지,"대전광역시 유성구 유성대로298번길 132 (용계동, 진미식품)",36.32101977,127.3186182,042-543-5505,042-543-0233,"송인섭, 송상문",99,www.jinmifoods.co.kr
(주)컨텍,법인,3188106471,"26429, ",기타 무선 통신장비 제조업,2021-05-20,대전광역시 유성구 지족동 1046-7 1층 외 2필지,"대전광역시 유성구 지족로148번길 5-29, 1층 (지족동) 외 2필지",36.37863296,127.303918,,,이성희,5,
(주)코리아 디펜스 인더스트리,법인,5658801784,"25929, ",그 외 기타 금속가공업,2020-12-23,대전광역시 유성구 신봉동 483-1 외 1필지,외삼로8번길 99 외 1필지,36.4020204,127.3276125,042-829-1772,042-829-1786,정정모,86,
(주)코봇,법인,3148656197,"29292, 29222","고무, 화학섬유 및 플라스틱 성형기 제조업 외 1 종",2014-07-16,대전광역시 유성구 노은동 555-11번지 5층 502호,"대전광역시 유성구 왕가봉로 22, 5층 502호 (노은동)",36.36517283,127.3156267,042-525-4434,,이종화,8,
(주)태양전기조명이엔지,법인,8108701218,"28422, ",일반용 전기 조명장치 제조업,2023-01-30,대전광역시 유성구 봉명동 558-10 1층,"대전광역시 유성구 유성대로654번길 195, 1층(봉명동)",36.35034768,127.3397656,042-672-6262,042-627-8700,윤상호,6,대전 유성구 노은동 561-8번지
(주)태영라이텍,법인,3148617461,"28410, ",전구 및 램프 제조업,2010-09-06,대전광역시 유성구 봉명동 565-4번지,대전광역시 유성구 계룡로38번길 8 (봉명동),36.35511552,127.3349232,042-282-4620,042-283-4620,김진호,6,www.ledew.co.kr
(주)태진엔지니어링,법인,3148642349,"29131, 29120, 29142, 29163, 29169, 29173, 29174, 29175",액체 펌프 제조업 외 7 종,2012-01-03,대전광역시 유성구 교촌동 641-7번지,대전광역시 유성구 교촌로6번길 31 (교촌동),36.30122309,127.3145479,042-625-6629,042-624-6629,정소영,5,
(주)테라정보통신,법인,4078127117,"26429, 26310, 26410, 26421, 26519, 26529",기타 무선 통신장비 제조업 외 5 종,2014-12-30,"대전광역시 유성구 덕명동 16-1번지 S9동 402호(덕명동,한밭대학교)","대전광역시 유성구 동서대로 125, S9동 402호(덕명동,한밭대학교) (덕명동)",36.34530307,127.3051388,070-7124-8888,,김성현,6,
(주)테크플렉스,법인,3148623930,"26429, ",기타 무선 통신장비 제조업,2020-03-23,대전광역시 유성구 덕명동 529-6번지,대전광역시 유성구 덕명로71번길 16 (덕명동),36.35811956,127.3068302,070-4304-6990,042-487-3933,윤병호,3,
(주)티엘인더스트리,법인,5158700177,"29299, ",그 외 기타 특수목적용 기계 제조업,2021-10-22,대전광역시 유성구 원내동 71-9,대전광역시 유성구 진잠로124번길 23-3(원내동),36.3022187,127.3168663,070-5129-5219,070-8610-5218,김창식,3,
(주)파이버시큐리티,법인,4388800784,"26410, 26299, 26421, 26429, 28301",유선 통신장비 제조업 외 4 종,2025-03-17,"대전광역시 유성구 장대동 143-1 KT유성지점 3층, 파이버시큐리티","대전광역시 유성구 장대로 95, 3층, 파이버시큐리티(장대동, KT유성지점)",36.36293288,127.3339431,042-524-0030,042-524-0090,오승현,5,
(주)파이버폭스,법인,3148649847,"26410, ",유선 통신장비 제조업,2024-10-18,대전광역시 유성구 덕명동 156-16 3층,"대전광역시 유성구 동서대로 158-6, 3층 (덕명동)",36.34885424,127.2959271,042-716-7220,,김원영,18,
(주)파파플랜트,법인,4498700851,"29172, 29174",공기 조화장치 제조업 외 1 종,2020-05-22,대전광역시 유성구 계산동 805-2번지 1층,"대전광역시 유성구 학하서로10번길 25, 1층 (계산동)",36.34176648,127.3045017,042-825-8807,042-825-9256,강정수,2,horseofcw@papaplant.com
(주)프리어스,법인,6638603291,"27191, ",치과용 기기 제조업,2024-11-15,"대전광역시 유성구 관평동 1351 STOM 1차 2동 1,2층 105호","대전광역시 유성구 테크노1로 12-13, 2동 1,2층 105호(관평동, STOM 1차)",36.43032368,127.3889429,02-933-3290,042-933-3291,김홍동,1,
(주)피알존,법인,3148151561,"26421, 27219",방송장비 제조업 외 1 종,2011-06-23,대전광역시 유성구 도룡동 385-28 번지,대전광역시 유성구 대덕대로556번길 115 (도룡동),36.38637006,127.3801573,042-861-3100,042-864-3111,정해영,21,www.pr-zone.com
(주)한경아이넷,법인,3148606343,"26321, 26322, 26323, 26329",기억장치 제조업 외 3 종,2013-03-05,대전광역시 유성구 궁동 487-4번지 1층,"대전광역시 유성구 대학로76번안길 43, 1층 (궁동)",36.36091999,127.3464624,042-934-7944,042-933-7946,태효식,5,ths@hkinet.co.kr
(주)한백전자,법인,3148120980,"26329, 26295, 26299, 26410, 26422, 26429, 27192, 27211, 27212, 27309, 29280",기타 주변기기 제조업 외 10 종,2018-12-24,대전광역시 유성구 복용동 189-1번지 NDM빌딩 3층,"대전광역시 유성구 유성대로 518, 3층 (복용동, NDM빌딩)",36.34214179,127.3212196,042-610-1195,042-610-1195,진수춘,22,www.hanback.co.kr
(주)한생화장품,법인,3148102788,"20423, 20132, 20422, 20424",화장품 제조업 외 3 종,1998-08-26,대전광역시 유성구 원내동 802번지,대전광역시 유성구 계백로 927 (원내동),36.30095765,127.3265418,042-545-5670,042-545-5672,박혜린,20,
(주)현대넥솔,법인,3148616614,"28111, 28114, 28119, 29210",전동기 및 발전기 제조업 외 3 종,2015-12-18,대전광역시 유성구 학하동 777-3번지,대전광역시 유성구 학하동로63번길 40 (학하동),36.33818862,127.31232,1566-0384,042-541-0533,홍갑종,8,
(주)휴메이트,법인,3148147316,"26429, ",기타 무선 통신장비 제조업,2011-06-15,대전광역시 유성구 노은동 534-6 번지 진성빌딩3층,"대전광역시 유성구 노은동로79번길 25, 진성빌딩3층 (노은동)",36.36759632,127.3218126,042-820-5310,042-820-5399,양기성,23,www.fumate.com
(주)희송지오텍,법인,3148118562,"27211, ","레이더, 항행용 무선기기 및 측량기구 제조업",2012-04-02,대전광역시 유성구 노은동 550-3번지 로얄빌딩 6층,"대전광역시 유성구 노은동로79번길 71, 6층 (노은동)",36.36760075,127.3194166,042-488-2374,042-488-2375,김기석,17,www.hsgeo.com
HI네트웍스 주식회사,법인,3148604423,"26410, 26529",유선 통신장비 제조업 외 1 종,2018-04-16,대전광역시 유성구 지족동 892-15번지 3층,"대전광역시 유성구 은구비남로7번길 37, 3층 (지족동)",36.37392817,127.3163749,042-823-8366,042-823-8368,나정훈,5,www.hinetworks.kr
경대조명,개인,3140484402,"28422, ",일반용 전기 조명장치 제조업,1999-06-14,대전광역시 유성구 대정동 36-0번지,대전광역시 유성구 한우물로66번길 6 (대정동),36.31204585,127.3302551,042-544-2778,042-544-4199,현기호,26,
계룡과학(주),법인,3148119805,"25999, 25933, 25944, 25995, 27194, 27213, 29173, 29174, 32091",그 외 기타 분류 안된 금속 가공 제품 제조업 외 8 종,1995-03-10,대전광역시 유성구 궁동 431-14번지,대전광역시 유성구 궁동로2번길 83-4 (궁동),36.36071625,127.3520912,042-825-4281,042-822-6447,손정모,7,www.krbios.co.kr
공감디자인,개인,4952200291,"33910, ",간판 및 광고물 제조업,2017-01-10,대전광역시 유성구 학하동 780-8번지,대전광역시 유성구 학하동로64번길 15-13 (학하동),36.33655284,127.3115323,070-8808-1678,042-822-1679,김수민,5,
광성산업,개인,8850800159,"22211, 22299, 25112","플라스틱 선, 봉, 관 및 호스 제조업 외 2 종",2020-08-10,대전광역시 유성구 원내동 98-6 1층,대전광역시 유성구 원내로39번길 42-14 (원내동) 1층,36.30152159,127.32107,042-547-0567,,이미영,3,
구봉주류,개인,3141128465,"11111, ",탁주 및 약주 제조업,2014-10-20,대전광역시 유성구 원내동 213-8번지,대전광역시 유성구 진잠로92번길 28 (원내동),36.29992278,127.3172648,042-543-3051,,이철구,4,
구즉여울묵 영농조합법인,법인,3148646272,"10794, ",두부 및 유사식품 제조업,2016-04-11,대전광역시 유성구 관평동 542-17번지,대전광역시 유성구 관용로 46 (관평동),36.41484771,127.381593,042-932-3313,042-932-3413,성민용,5,
그린나래,개인,3142284556,"26224, ",전자부품 실장기판 제조업,2011-01-12,대전광역시 유성구 장대동 356-3 번지 1층,"대전광역시 유성구 문화원로6번길 13, 1층 (장대동)",36.36116421,127.3367884,042-826-3560,,이동철,1,
금란복지재단,법인,5458200116,"13229, ",기타 직물제품 제조업,2022-08-03,대전광역시 유성구 봉명동 466-25 1층,"대전광역시 유성구 유성대로694번길 95, 1층(봉명동)",36.35409896,127.3368817,042-824-1601,,이준원,21,
