순번,회사명,공장대표주소(도로명),업종명,전화번호,
18,(주)에스지이엔지 건축사사무소,"대전광역시 중구 동서대로 1433, 3층 (중촌동)",전시용 모형 제조업 외 6 종,042-223-6536,
19,(주)엔아이티,"대전광역시 중구 보문산로 402, 301호(대사동)",그 외 기타 분류 안된 금속 가공 제품 제조업,042-719-7708,
20,(주)엘에스아이정보기술,대전광역시 중구 보문로 293 (선화동),비디오 및 기타 영상기기 제조업 외 11 종,042-627-8400,
21,(주)엠티포장산업,대전광역시 중구 호동 163-2번지,골판지 제조업 외 1 종,042-285-0020,
22,(주)엠플렛,대전광역시 중구 계백로1646번길 23 (유천동) 2층,컴퓨터 제조업 외 2 종,042-586-6737,전화번호 이상
23,(주)예건,대전광역시 중구 보문로 215 (대흥동),간판 및 광고물 제조업,042-255-9470,
24,(주)우리가만드는안전한세상,대전광역시 중구 중앙로13번길 63 (용두동) 지하층,교통 신호장치 제조업 외 1 종,042-477-0055,
25,(주)우리웰,"대전광역시 중구 목척8길 43, 102호, 103호(은행동)","탭, 밸브 및 유사장치 제조업",042-863-3330,
26,(주)우림테크,대전광역시 중구 어덕마을로 161 (중촌동),액체 펌프 제조업,042-252-1478,
27,(주)위몬,"대전광역시 중구 계룡로816번길 16, 3층 (오류동)","근무복, 작업복 및 유사의복 제조업 외 1 종",042-525-5857,
28,(주)유유엔,"대전광역시 중구 안영로79번길 147 (안영동, 삼천리빌딩)",방송장비 제조업,042-587-8665,
29,(주)이브이파트너스,"대전광역시 중구 대둔산로 133, 201호(안영동)",기타 전기 변환장치 제조업,042-581-3335,
30,(주)임상,대전광역시 중구 천근로70번길 69 (문화동),셔츠 및 블라우스 제조업 외 1 종,,
31,(주)제일식품,대전광역시 중구 계백로1685번길 57 (오류동),도시락류 제조업 외 1 종,042-524-8742,
32,(주)중도일보,대전광역시 중구 동서대로1304번길 33 (오류동),교과서 및 학습서적 출판업 외 4 종,042-220-1114,
33,(주)착한천연비누,대전광역시 중구 성산로3번길 30 (안영동),"치약, 비누 및 기타 세제 제조업",042-586-7482,
34,(주)창인,대전광역시 중구 어덕마을로 159 (중촌동) 외 2필지,인쇄잉크 및 회화용 물감 제조업 외 6 종,042-627-3090,
35,(주)충남연식품,대전광역시 중구 오류로 119-15 (오류동),두부 및 유사식품 제조업,042-531-1605,
36,(주)케이아이비,대전광역시 중구 동서대로 1272 (태평동) (총 4 필지) 외 3필지,기타 주변기기 제조업,042-524-9633,
37,(주)케이에스솔루션,대전광역시 중구 가재울로4번길 58 (산성동),방송장비 제조업 외 1 종,042-824-5966,
38,(주)테라정보통신,대전광역시 중구 충무로 172(문창동),컴퓨터 제조업 외 6 종,070-7124-8888,
39,(주)피엠에스,"대전광역시 중구 우암로 17, 3층 (선화동)",경 인쇄업 외 8 종,042-255-0456,
40,(주)하나,"대전광역시 중구 대흥로111번길 40-8, 3층 3-1호(대흥동)",그 외 기타 플라스틱 제품 제조업 외 2 종,042-672-3030,
41,(주)한일,대전광역시 중구 어덕마을로 1-18 (용두동),가죽의복 제조업,042-252-5151,
42,(주)해인우리,"대전광역시 중구 계백로 1619, B-01호 (유천동) (총 2 필지) 외 1필지",그 외 기타 의료용 기기 제조업,042-532-4323,
43,가나롤스크린,"대전광역시 중구 계룡로 833, 1층, 지하1층 (용두동)",커튼 및 유사제품 제조업 외 7 종,042-222-2353,
44,가온유니폼,"대전광역시 중구 보문로 91, 2층 (부사동)",남자용 겉옷 제조업 외 4 종,,
45,광정보통신 ,"대전광역시 중구 태평로 115, 2층 (태평동)",방송장비 제조업,042-536-0811,
46,그래인에프앤디,대전광역시 중구 대전천서로163번길 15 (석교동),과자류 및 코코아 제품 제조업,042-271-6717,
47,그린에스피드,"대전광역시 중구 보문로95번길 29, 지하1층, 1층 (부사동)","전기회로 개폐, 보호장치 제조업 외 1 종",042-256-7200,
48,기룡전기(주),대전광역시 중구 문창로 116 (문창동),배전반 및 전기 자동제어반 제조업,042-541-8744,
49,남경제과,대전광역시 중구 대종로 254-20 (석교동),과자류 및 코코아 제품 제조업,042-271-2766,
50,농업회사법인 버드내(주),대전광역시 중구 대둔산로350번길 100 (사정동),가금류 가공 및 저장 처리업,042-583-1878,
51,농업회사법인 주식회사 새벽애,대전광역시 중구 성산로9번길 22 (안영동),두부 및 유사식품 제조업,042-587-7002,
52,뉴딜조명전기공사,"대전광역시 중구 충무로 173, 지하층 (문창동)",일반용 전기 조명장치 제조업,042-534-4086,
53,대림공영(주),대전광역시 중구 단재로 349 (어남동),아스팔트 콘크리트 및 혼합제품 제조업 외 1 종,042-285-9987,
54,대림공영(주) 제2공장,대전광역시 중구 어남동 145번지 외 2필지,레미콘 제조업 외 1 종,042-0285-9985,
55,대성창호건설 주식회사,대전광역시 중구 대둔산로 162 (안영동),기타 1차 비철금속 제조업 외 1 종,042-586-6378,
56,대전도시락,"대전광역시 중구 문창로 33, 1층 (부사동)",도시락류 제조업 외 1 종,042-254-9061,
57,대전콘크리트(주),대전광역시 중구 단재로 380 (어남동),레미콘 제조업,042-285-3902,
58,대지철형사,대전광역시 중구 대전천서로 147 (석교동),그 외 기타 분류 안된 금속 가공 제품 제조업,042-271-4885,
59,대진피엔엠,대전광역시 중구 어덕마을로 93-9 (중촌동),그 외 기타 플라스틱 제품 제조업,042-673-3339,
60,두두담,대전광역시 중구 문화로 171 (문화동) 1층,곡물 혼합분말 및 반죽 제조업 외 4 종,042-583-0992,
61,두진푸드시스템,대전광역시 중구 보문산로294번길 47(문화동),도시락류 제조업,042-582-8350,
62,디와이캘텍주식회사,"대전광역시 중구 단재로 365-42, 어남동 (어남동) 외 2필지",기기용 자동측정 및 제어장치 제조업,042-670-7723,
63,디와이캘텍주식회사,"대전광역시 중구 단재로 365-16 (어남동, 디와이켈텍(주))",기기용 자동측정 및 제어장치 제조업,042-670-7723,
64,레아,"대전광역시 중구 보문로 91, 3층 (부사동)","근무복, 작업복 및 유사의복 제조업 외 2 종",042-320-6852,
65,로만기업,대전광역시 중구 어덕마을로 9-8 (용두동),커튼 및 유사제품 제조업,042-273-2363,
66,로쏘 주식회사(HACCP공장),대전광역시 중구 중교로73번길 7(은행동) 외 2필지,빵류 제조업 외 2 종,042-220-4117,
67,로쏘주식회사,대전광역시 중구 대종로480번길 15 (은행동),빵류 제조업 외 1 종,042-254-4114,
68,멍석수제만두,대전광역시 중구 안영로 10 (안영동),그 외 기타 식료품 제조업,1899-9908,
69,메밀고개푸드(주),대전광역시 중구 안영로30번길 32 (안영동) 화이트빌 1층,그 외 기타 식료품 제조업,1688-3704,
70,모던학생복,대전광역시 중구 목중로 1 (목동),셔츠 및 블라우스 제조업 외 4 종,042-226-5644,
71,무지개풀상사,대전광역시 중구 대둔산로300번길 83-6 (사정동) 지하층,접착제 및 젤라틴 제조업,042-586-8960,
72,별과모래,대전광역시 중구 보문산로103번길 63 (산성동) 1층,유아용 의복 제조업,070-4113-4969,
73,부경,"대전광역시 중구 대종로 154, 2층 (호동)",기타 인쇄업 외 1 종,042-283-2077,
74,상진테크,대전광역시 중구 모암로 10-1(호동),배전반 및 전기 자동제어반 제조업,042-252-8835,
75,신기술(주),대전광역시 중구 대흥로111번길 40-8 (대흥동),비 및 솔 제조업,042-253-3105,
76,신한애드테크,대전광역시 중구 성산로 17 (안영동) 외 1필지,간판 및 광고물 제조업 외 1 종,042-532-3788,
77,신호전자통신,대전광역시 중구 계백로1584번길 12 (유천동),전기경보 및 신호장치 제조업 외 3 종,042-583-0450,
78,쌍용자동차남대전사업소(주),"대전광역시 중구 대둔산로 461 (산성동, 산성동 143-4 자동차관련시설 (쌍용자동차남대전사업소 주식회사))",기타 일반 기계 및 장비 수리업,042-587-5582,
79,알 앤디 패션,"대전광역시 중구 유등천동로 280, 2층 (산성동)",남자용 겉옷 제조업 외 6 종,042-226-7279,
80,에스에스물산,"대전광역시 중구 대둔산로 419-4, 지하1층 (산성동, 한밭프라자)",남자용 겉옷 제조업 외 5 종,042-583-7999,
81,에이스기전(주),대전광역시 중구 유등천동로324번길 58-3 (유천동),방송장비 제조업 외 4 종,042-525-6434,
82,영화카건설기계,대전광역시 중구 보문산로 24 (산성동),건설 및 채광용 기계장비 제조업,042-585-8679,
83,윈텍스,"대전광역시 중구 과례로22번길 49, 2층 (문화동)",커튼 및 유사제품 제조업,042-221-0582,
84,유니버셜주식회사,"대전광역시 중구 대종로704번길 13, 1층 (중촌동)",교통 신호장치 제조업 외 1 종,042-632-7203,
85,유한회사 알레스,대전광역시 중구 보문로 115 (대사동),기체 펌프 및 압축기 제조업 외 1 종,,
86,이노테크,대전광역시 중구 대흥로24번길 29-9 (대사동),기타 목재가구 제조업 외 4 종,042-257-3946,
87,"일신패션, 에이스베이직학생복",대전광역시 중구 보문로 221 (대흥동),남자용 겉옷 제조업 외 3 종,042-226-5475,
88,임마누엘인쇄출판사,"대전광역시 중구 선화로 106 (선화동, 임마누엘빌딩)",경 인쇄업 외 8 종,042-253-6168,
89,재경실업,대전광역시 중구 대둔산로 419 (산성동) 2층 202호,남자용 겉옷 제조업 외 16 종,042-282-5486,
90,정진글로벌,대전광역시 중구 산서로 939 (금동),주형 및 금형 제조업 외 1 종,042-274-4035,
91,제이퍼블리코,"대전광역시 중구 보문로 77, 지하 1층(부사동)",컴퓨터 제조업,,
92,종합카렌다,대전광역시 중구 모암로 74 (호동),기타 인쇄업 외 1 종,042-257-1513,
93,주)대명시스템,대전광역시 중구 유천로 95 (유천동),"금속 문, 창, 셔터 및 관련제품 제조업",042-536-4334,
94,주식회사 건미,"대전광역시 중구 대종로 162, 주1 (호동)",플라스틱 창호 제조업 외 2 종,042-633-0038,
95,주식회사 다해 ,대전광역시 중구 범골로 52 (호동),간판 및 광고물 제조업 외 8 종,042-621-6117,
96,주식회사 메스코리아,"대전광역시 중구 동서대로1365번길 12, 1층 (목동)",가방 및 기타 보호용 케이스 제조업 외 7 종,042-0256-2035,
97,주식회사 비긴스포츠,대전광역시 중구 유천로33번길 55(유천동),"근무복, 작업복 및 유사의복 제조업 외 3 종",042-673-9080,
98,주식회사 사이언스세라믹코리아,"대전광역시 중구 유천로 10, 2층(유천동)",기체 여과기 제조업 외 3 종,042-380-9000,
99,주식회사 세명테크,"대전광역시 중구 대종로549번길 18, 502호(선화동, 대훈빌딩)",배전반 및 전기 자동제어반 제조업,042-320-7830,
100,주식회사 세진엘러텍,대전광역시 중구 보문산로 327 (문화동),산업용 난방보일러 및 방열기 제조업 외 3 종,042-536-9204,
101,주식회사 씨앤텍,"대전광역시 중구 대전천서로 353, 1층(문창동)","전자기 측정, 시험 및 분석기구 제조업",042-672-0116,
102,주식회사 아이엘비(ILB),"대전광역시 중구 대종로346번길 8, 1층, 지하1층 (부사동)",기타 운동 및 경기용구 제조업,042-253-7045,
103,주식회사 운조,"대전광역시 중구 대흥로111번길 40-8, 2층 (대흥동)",주형 및 금형 제조업,042-252-7528,
104,주식회사 원진,대전광역시 중구 어덕마을로 13 (용두동) 외 1필지,간판 및 광고물 제조업 외 4 종,042-0221-9333,
105,주식회사 윈탑,대전광역시 중구 대둔산로128번길 52 (안영동),안전유리 제조업 외 1 종,042-587-7582,
106,주식회사 유앤아이치과기공,대전광역시 중구 동서대로1321번길 8 (용두동),정형외과용 및 신체보정용 기기 제조업,042-253-3120,
107,주식회사 이에스텍,대전광역시 중구 중앙로79번길 47 (선화동),기타 전기 변환장치 제조업,042-252-9896,
108,주식회사 인컴바이오,"대전광역시 중구 충무로 172, 지하 1층 (문창동)",화학 살균.살충제 및 농업용 약제 제조업,042-584-7211,
109,주식회사 인컴푸드,"대전광역시 중구 충무로 172, 1층 (문창동)",육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,,
110,주식회사 줌애드,"대전광역시 중구 계룡로 832, 2층 (오류동)",경 인쇄업 외 1 종,042-624-2009,
111,주식회사 중부보안,대전광역시 중구 어덕마을로150번길 5 (중촌동),컴퓨터 제조업 외 14 종,042-254-5966,
112,주식회사 지에스비신바람홈케어,"대전광역시 중구 대종로 541, 201호 (선화동, 선화시티빌)",기타 가정용 전기기기 제조업,042-251-8188,
113,주식회사 코쿤,대전광역시 중구 대종로 591 (선화동) 반석빌딩 3층,동력식 수지공구 제조업,1644-0506,
114,주식회사 피에스정보,대전광역시 중구 목중로16번길 46 (중촌동) 1층,전자감지장치 제조업 외 1 종,042-223-5811,
115,주식회사 하예,"대전광역시 중구 대흥로111번길 40-8, 3층 3-2호(대흥동)",그 외 기타 특수목적용 기계 제조업 외 3 종,1811-9733,
116,주식회사 한국방재,"대전광역시 중구 송리로 2, B1층(문화동, 흥진빌라)",전시용 모형 제조업,042-581-7688,
117,주식회사 합동전기,"대전광역시 중구 선화서로130번길 40, 3층 (선화동)",방송장비 제조업,042-538-7770,
118,주식회사 휴먼월드,"대전광역시 중구 대흥로111번길 40-8, 1층 (대흥동)",비 및 솔 제조업,042-632-6789,
119,주안씨에스(CS),대전광역시 중구 선화로22번길 127 (선화동),커튼 및 유사제품 제조업 외 4 종,070-4412-9584,
120,중앙아스콘(주),대전광역시 중구 단재로 378-47 (어남동) 외 17필지,아스팔트 콘크리트 및 혼합제품 제조업 외 1 종,042-285-0160,
121,지성콘트롤,"대전광역시 중구 계백로1618번길 90, 102호, 202호(유천동)",배전반 및 전기 자동제어반 제조업,,
122,지앤비건설(주),대전광역시 중구 안영로 73 (사정동),플라스틱 창호 제조업 외 2 종,042-522-0422,
123,착한푸드,"대전광역시 중구 대종로 433, 1층 (대흥동, 충남빌딩)",기타 곡물 가공품 제조업,042-221-4021,
124,청운엔지니어링,대전광역시 중구 대종로224번안길 7 (석교동),유압기기 제조업 외 3 종,070-4318-1025,
125,케이아이비,대전광역시 중구 동서대로 1272 (태평동) (총 4 필지) 외 3필지,기타 주변기기 제조업,,
126,케이에스에프(주),"대전광역시 중구 보문로 337, 102(선화동, 선화현대빌딩)","물질 검사, 측정 및 분석기구 제조업 외 1 종",042-222-3625,
127,태건이엔씨,"대전광역시 중구 대종로692번길 5, 1층 (중촌동)",육상 금속 골조 구조재 제조업 외 3 종,042-226-7712,
128,태현테라피,대전광역시 중구 대둔산로300번길 83-20 (사정동),"치약, 비누 및 기타 세제 제조업",042-585-4410,
129,한국필터,"대전광역시 중구 당디로36번길 47, 1층 (산성동)",기체 여과기 제조업,042-585-2263,
130,한미스위스광학(주),대전광역시 중구 대종로 122-11 (호동),안경 및 안경렌즈 제조업,042-272-8972,
131,한일사,대전광역시 중구 보문산로 274-29 (문화동),"근무복, 작업복 및 유사의복 제조업 외 2 종",042-582-9997,
132,한화큐비클,대전광역시 중구 모암로 90-13 (호동),기타 건축용 나무제품 제조업,042-282-5656,
133,한화한성시스템,대전광역시 중구 대둔산로137번길 37 (안영동),플라스틱 창호 제조업,042-586-1555,
134,햇잎푸드 주식회사,대전광역시 중구 산서로 952-10(금동),그 외 기타 식료품 제조업,042-533-3049,
135,현대에듀텍,대전광역시 중구 천근로70번길 69 (문화동),사무용 기계 및 장비 제조업 외 13 종,042-586-9200,
136,흙코리아,"대전광역시 중구 산성로 9-1, 외 1필지 (산성동)",매트리스 및 침대 제조업,042-586-3134,
